measure_id,org_id,Budget_2018_Funding,Budget_2018_Allocated,Budget_2018_Withheld,Budget_2018_Remaining
89,326,2000,0,0,2000
55,326,750,0,0,750
125,non_allocated,25000,0,0,25000
56,non_allocated,3200,0,0,3200
35,non_allocated,-100000,0,0,-100000
net_adjust,net_adjust,519596,0,0,519596
1,128,0,0,0,0
1,non_allocated,0,0,0,0
24,130,0,0,0,0
29,130,0,0,0,0
41,94,0,0,0,0
46,132,0,0,0,0
50,74,0,0,0,0
69,130,0,0,0,0
90,129,0,0,0,0
93,110,0,0,0,0
94,137,0,0,0,0
96,non_allocated,0,0,0,0
157,124,0,0,0,0
