measure_id,org_id,budget_2018_funding,budget_2018_allocated,budget_2018_withheld,budget_2018_remaining,ActivityCode1,ProgramAmount1,ActivityCode2,ProgramAmount2,ActivityCode3,ProgramAmount3,ActivityCode4,ProgramAmount4,ActivityCode5,ProgramAmount5,ActivityCode6,ProgramAmount6,ActivityCode7,ProgramAmount7,ActivityCode8,ProgramAmount8,ActivityCode9,ProgramAmount9,ActivityCode10,ProgramAmount10,ActivityCode11,ProgramAmount11,ActivityCode12,ProgramAmount12,ActivityCode13,ProgramAmount13,ActivityCode14,ProgramAmount14,ActivityCode15,ProgramAmount15,ActivityCode16,ProgramAmount16,ActivityCode17,ProgramAmount17,ActivityCode18,ProgramAmount18,ActivityCode19,ProgramAmount19,ActivityCode20,ProgramAmount20,ActivityCode21,ProgramAmount21,ActivityCode22,ProgramAmount22,ActivityCode23,ProgramAmount23,ActivityCode24,ProgramAmount24,ActivityCode25,ProgramAmount25,ActivityCode26,ProgramAmount26,ActivityCode27,ProgramAmount27
20,124,700000,576955,123045,0,BUV06,576955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,126,2000000,1790786,209214,0,BVC03,1639498,ISS00,151288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,127,17905000,0,0,17905000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,139,4746000,0,0,4746000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,122,10000000,0,0,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,348,102134000,102133524,0,476,BWT02,102133524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,230,20000000,0,0,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,46,4885000,3966360,918640,0,BRA01,165699,BRA11,31094,BRA06,0,BRA05,1339316,BRA03,2493,ISS00,2427758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,46,30788000,0,0,11999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,348,43200000,43200000,0,0,BWS02,43200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,135,1370000,1099233,267909,2858,BVS02,936449,ISS00,162784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,128,42500000,0,0,42500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,110,1947000,0,0,1947000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,305,278107000,180351001,14637786,83118199,ISS00,18507723,BWG03,1392810,BWG02,13320428,BWG01,1717339,BWD01,62501,BWD04,949352,BWD05,367429,BWD07,246407,BWD03,172827,BWD06,17844546,BWD08,17388157,BWE07,971420,BWE03,170550,BWE01,33690049,BWE05,2519716,BWE04,141193,BWE08,168240,BWE02,54424591,BWF00,2321415,BWF01,1734155,BWF03,5062509,BWF02,25597,BWF05,1483131,BWC01,333842,BWC03,8319,BWC04,253932,BWE06,5072823
34,326,10000000,0,0,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,non_allocated,-100000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,246,855000,775460,79540,0,BWH01,758359,ISS00,17101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,132,2000000,0,0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,256,2880000,2880000,0,0,BRF01,2880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,46,7000000,0,0,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,128,6000000,0,0,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,126,35800000,33477276,2322724,0,BVC01,30111425,ISS00,3365851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
