"fiscal_year","is_above_line","org_id","est_doc","covid_measure_id","vote","stat"
2020,1,128,"SEA","COV028",,2501300000
2020,1,128,"SEA","COV029",,20000000
2020,1,128,"SEA","COV036",,157500000
2020,1,128,"SEA","COV039",,350000000
2020,1,128,"SEB","COV014",,28000000000
2020,1,128,"SEB","COV020",,186200000
2020,1,128,"SEB","COV023",900000,
2020,1,128,"SEB","COV024",,-269198833
2020,1,128,"SEB","COV025",,1019000000
2020,1,128,"SEB","COV027",,-912000000
2020,1,128,"SEB","COV036",,236700000
2020,1,128,"SEB","COV040",,863600000
2020,1,128,"SEB","COV084",12473190,12826810
2020,1,128,"SEB","COV085",,1500000000
2020,1,128,"SEB","COV088",,63900000
2020,1,128,"SEB","COV096",6934442,16681810
2020,1,128,"SEB","COV104",,467769000
2020,1,128,"SEB","COV144",,4000000
2020,1,128,"SEC","COV014",,-11945000000
2020,1,128,"SEC","COV026",8000000,-2248000000
2020,1,128,"SEC","COV040",,395866
2020,1,128,"SEC","COV088",,-124910
2020,1,128,"SEC","COV106",,10095000000
2020,1,128,"SEC","COV126",,780000000
2020,1,128,"SEC","COV127",,2897000000
2020,1,128,"SEC","COV140",,20194152
2020,1,128,"SEC","COV149",2599946,
2020,1,129,"SEA","COV008",,114900000
2020,1,129,"SEB","COV046",17100000,
2020,1,129,"SEC","COV008",64700000,
2020,1,129,"SEC","COV088",2277239,
2020,1,348,"SEA","COV002",,10000000
2020,1,348,"SEA","COV013",,280536000
2020,1,348,"SEA","COV032",,380000000
2020,1,348,"SEA","COV033",,269986900
2020,1,348,"SEA","COV034",,10000000
2020,1,348,"SEB","COV024",15879000,90021000
2020,1,348,"SEB","COV032",,305000000
2020,1,348,"SEB","COV033",7236222,-7236222
2020,1,348,"SEB","COV044",,75000000
2020,1,348,"SEB","COV045",298300000,
2020,1,348,"SEB","COV088",8100000,237300000
2020,1,348,"SEB","COV099",,82500000
2020,1,348,"SEC","COV002",2437358,-2437358
2020,1,348,"SEC","COV013",1253035,-1253035
2020,1,348,"SEC","COV023",300000,
2020,1,348,"SEC","COV032",383838641,-3838641
2020,1,348,"SEC","COV033",2502673,-2502673
2020,1,348,"SEC","COV038",30000000,
2020,1,348,"SEC","COV044",59809163,-1809163
2020,1,348,"SEC","COV079",5500000,
2020,1,348,"SEC","COV088",23612858,-25773432
2020,1,348,"SEC","COV099",58268205,-58268205
2020,1,348,"SEC","COV124",525726568,3205691
2020,1,348,"SEC","COV125",63749620,127701
2020,1,130,"SEA","COV002",192204708,
2020,1,130,"SEA","COV010",375066499,536012
2020,1,130,"SEA","COV043",60481352,106171
2020,1,130,"SEB","COV024",64299292,26923988
2020,1,130,"SEB","COV043",8300000,14000000
2020,1,130,"SEB","COV050",863000,
2020,1,130,"SEB","COV082",15000000,
2020,1,130,"SEC","COV024",9461597,-9461597
2020,1,130,"SEC","COV043",11322949,15037051
2020,1,130,"SEC","COV134",5875000,
2020,1,130,"SEC","COV141",21661230,159676
2020,1,132,"SEC","COV151",46000000,
2020,1,217,"SEB","COV061",,18200000
2020,1,218,"SEB","COV060",,1112328
2020,1,219,"SEC","COV147",1944599,
2020,1,133,"SEB","COV120",255972498,36393408
2020,1,223,"SEC","COV133",4740000,
2020,1,224,"SEB","COV060",,4808711
2020,1,226,"SEB","COV060",,5338974
2020,1,134,"SEB","COV024",1170516,14629484
2020,1,134,"SEB","COV062",159126202,895416
2020,1,134,"SEB","COV078",30511094,54556
2020,1,228,"SEA","COV002",44513300,423900
2020,1,228,"SEA","COV010",17090800,356400
2020,1,228,"SEA","COV043",,250000000
2020,1,228,"SEB","COV024",9938584,9488975
2020,1,228,"SEB","COV082",33500000,33500000
2020,1,228,"SEB","COV083",50000000,40020000
2020,1,228,"SEB","COV094",31040000,124160000
2020,1,228,"SEC","COV082",30158628,-30158628
