"deptcode","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2",pa_last_year
"ACOA","bc","0.0698320364692705","0.0504031845004972","0.0977600681035281","0.0755061820912732",0
"ACOA","mb","0.0865191483177095","0","0","0",0
"ACOA","nb","73.5292602391732","76.0287568100812","69.7107000215713","84.7893322861022",92.9240199150522
"ACOA","nl","90.8977356868404","86.7814324570042","88.3670367918282","99.1815028879776",105.234632319469
"ACOA","ns","67.2181708073838","65.4577171830171","65.0869356459047","67.9913248815126",84.8052402532717
"ACOA","on","0.183341965462704","0.0997185620573016","0.101389021549908","0.0898742319827315",0.100318539278755
"ACOA","pe","194.743648576519","198.311508807551","200.198803392403","218.685765531378",192.984395076322
"ACOA","qc","0.121255587516598","0.135552106054484","0.137626086303624","0.375619326851159",0.104323957228608
"AECB","on","0.0432779852902663","0.0461021188726994","0.0548013746870211","0.0639500570836574",0.0569383610132998
"AGR","ab","75.4983087469418","69.2762438826668","68.6010743267905","92.0127347379346",84.7674566716181
"AGR","bc","5.21308561446681","9.47034439085667","7.81118921215302","9.73498479905892",9.26635656795026
"AGR","mb","44.6247026621127","38.8365632693372","43.8671270564117","30.1912250900062",31.7842148097601
"AGR","nb","11.1925586469692","10.3823877820617","10.686770252515","10.3968039510437",11.1687106773986
"AGR","nl","10.7204860026171","7.22204538967949","7.73413411519909","7.84130843145113",8.75954156130814
"AGR","ns","17.1509616339714","9.96946347335444","9.06142679858848","11.276531962285",13.3286500901512
"AGR","nt","14.2001900753513","15.5542049786948","12.9384745800522","76.6976733919032",15.2576098332183
"AGR","nu","0","0","0","16.6214229039937",11.9682149692236
"AGR","on","21.7943152307339","15.4571293329845","16.3495898882749","19.2067728834406",13.8598565944977
"AGR","pe","141.149349434004","111.690068869012","133.372559947892","120.523191947861",126.648378475613
"AGR","qc","17.4419671880518","16.2210723072713","14.471887622308","16.7957535976066",13.7410198554408
"AGR","sk","310.851291466081","266.695991767648","256.203000784861","345.751450216562",249.143582513469
"AGR","yt","23.5375949909023","19.5220808579991","19.5020396716129","20.403855721393",33.5399620698998
"CCRA","ab","9.07789186832352","5.97300900457104","13.3742477868575","7.50885658841894",7.74577449590326
"CCRA","bc","11.5922571950366","5.42363893542322","26.1011272913217","9.34671935468568",9.8275551936086
"CCRA","mb","9.25444614005765","8.67425620521478","12.3550691884797","13.0435276676036",13.6188113680362
"CCRA","nb","4.79417825727191","4.38695822712908","5.65674299422804","5.96062350132378",5.7928844908882
"CCRA","nl","7.2992597474165","7.29704779960043","10.8635108294713","11.369243275789",11.7787031050958
"CCRA","ns","4.42544840115736","3.78857315431389","5.18675287453357","4.89603569694026",5.00471910368063
"CCRA","nt","20.4217409997058","17.1050235478807","19.4274432819506","18.3129000927111",18.181433565655
"CCRA","nu","23.6883388914919","20.4183914923709","28.6770194650459","29.3261042052367",32.0699063776962
"CCRA","on","3.91881935879373","3.23669209632365","4.78425663261074","4.31396257342776",4.02936045945656
"CCRA","pe","3.85733992333234","3.39719036382593","4.11647114913276","4.24735887732577",3.92766742046564
"CCRA","qc","7.14103137511005","4.23145908410261","9.59379979477254","8.84889848915482",9.66560597205671
"CCRA","sk","18.4347456127336","17.2754354650633","25.8001273218802","27.0877641912509",27.6545937881876
"CCRA","yt","12.6134271647223","11.3216182114505","10.3720361021875","9.66084577114428",11.224378709884
"CEAA","bc","0.0254138555567863","0.113168969124542","0.0225107299377609","0.173194641999947",0.0538410630144369
"CEAA","mb","0","0","0","0.0253042048632161",0.0554379426238381
"CEAA","nb","0","0","0","0.134740420175498",0
"CEAA","ns","0","0","0","0",0.361564855608048
"CEAA","on","0.0103364628459984","0","0","0",0.0506205295382389
"CEAA","qc","0.0300744953211803","0.029924117070947","0.0296826567319842","0.0293792071802543",0.0417376088310905
"CEAA","sk","0","0","0","0.130827386712342",0.114270635946054
"CEO","ab","0","0","0.0293131457165929","0",0
"CEO","bc","0","0","0.192556930803175","0",0
"CEO","mb","0","0","0.0285848086040702","0",0
"CEO","on","1.02246167846635","0.505803151221959","5.82895145063575","0.255619978936029",0.0591635378641147
"CEO","qc","0.111386130426777","0.0554148329764989","0.803925316742965","-0.470332026925954",0
"CEO","yt","0","0","2.75812044260874","0",0
"CFIA","ab","0.0948368577864981","0.110333077061958","0.573329907162431","8.28522157402892",0.55943424132151
"CFIA","bc","0.0735640455937344","1.89629864936038","0.118209899089409","0.11387338150784",0.0232722646915459
"CFIA","mb","0","0.0497957202281812","0.192159962781761","0",0
"CFIA","nb","55.4075694250462","0","0.348245860597068","0",0
"CFIA","nl","24.7129565979817","0","0","0",0
"CFIA","ns","0","0","0.241500920188428","0.543318023479761",0
"CFIA","on","0.112950242358005","0.0873592493637158","0.79227176153512","0.0771340331578845",0.0334284666052942
"CFIA","pe","1.03979647716954","1.84845387696867","9.1768588714822","1.19971354987911",0
"CFIA","qc","0.0361653462676939","0","0","0",0.0253571158418909
"CFIA","sk","0.646868179112375","0.787007347409311","0.108403244091742","1.09876479324388",1.7748463528168
"CH","ab","12.6639280091079","12.2674428142184","11.9894193727743","14.5997024188159",15.8375816871034
"CH","bc","11.9002555614944","12.6217571663161","11.2972667174614","13.7313717110527",13.6470426687908
"CH","mb","5.67709371896422","5.94321871267276","6.72878390159861","8.35173871867817",8.8557358579292
"CH","nb","44.0059516594022","44.0443335795217","40.0590138644668","18.8694857817563",19.3922549416129
"CH","nl","14.8451302212047","15.6656201624381","18.1546448500899","18.1194640764455",24.1109277033308
