dept_code,activity_code,vs_type,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
AGR,BWP03,V,923340.6,1393656.01,1584298.53,2008788.0299999998,2196876.98
AGR,BWP04,S,646196791.05,720123993.1,1052830680.27,1210640018.09,1264827992.56
AGR,BWP04,V,2658949.5,2629421.65,3182306.4400000004,3492513.32,3732657.39
AGR,BWP05,S,104680.18,141072.1,79055.56999999999,,
AGR,BWP05,V,5720310.92,7241384.15,7044136.29,,
AGR,BWP06,S,25751870.53,31224453.48,59484075.06999999,143876503.04,123041319.12
AGR,BWP06,V,4504359.89,4874664.050000001,5106774.23,4899109.48,5344151.96
AGR,BWP07,S,166907.88,123725.63,112627.42,138209.27000000002,139962.64
AGR,BWP07,V,2468219.59,2094809.78,2105966.77,2718547.25,3236931.92
AGR,BWP08,S,877038.22,792032.4099999999,921735.2,1088234.8499999999,1050812.8599999999
AGR,BWP08,V,8451073.16,9020861.88,11244965.18,12308941.88,11982722.34
AGR,BWP09,S,361025.85,446867.16000000003,429800.92000000004,211291.67,260481.77000000002
AGR,BWP09,V,13387251.8,14679615.26,17773593.990000002,6146755.5600000005,13780941.45
AGR,BWP10,S,112630.63999999998,120384.6,139800.34,162097.31,157309.6
AGR,BWP10,V,26728977.65,28165495.74,34853940.81,29373765.759999998,40857045.05
AGR,BWP11,S,-11915931.469999999,-13064206.9,-6872639.87,-4047736.1199999996,-5524023.79
AGR,BWP11,V,,,,2210.0,
AGR,BWP12,S,36875443.71,283332.39999999997,,,
AGR,BWP12,V,35710839.81,54511516.769999996,,,
AGR,BWP13,S,,,1246.68,61947.229999999996,85838.43
AGR,BWP13,V,,,8729.310000000001,7967346.29,8331031.71
AGR,BWP14,S,,,,2071589.0999999999,2136477.13
AGR,BWP14,V,,,,161122.2,185344.06000000003
AGR,ISS01,S,5170358.21,5161160.77,5764114.45,6122767.57,6019241.83
AGR,ISS01,V,40592321.66,44948902.3,49556636.29,51636003.019999996,53696965.81
AGR,ISS02,S,1432448.76,1344316.68,1392775.71,1600989.7,1644584.6500000001
AGR,ISS02,V,11702100.639999999,13098546.26,12627629.639999999,14902027.820000002,13921989.57
AGR,ISS03,S,77451.97,63998.1,48758.09,105255.0,110566.88
AGR,ISS03,V,4440021.7700000005,5400285.01,4418392.4799999995,5147599.7700000005,4735351.93
AGR,ISS04,S,3022291.11,3096318.63,3300371.7800000003,3990215.0,3774126.3499999996
AGR,ISS04,V,22613545.31,24220405.510000005,24655279.020000003,30583177.51,29571161.200000003
AGR,ISS05,S,3372269.38,3518459.91,3658252.16,4369201.55,4267258.38
AGR,ISS05,V,17017271.22,16064143.64,15698018.6,19903414.160000004,18259267.5
AGR,ISS06,S,1640449.6800000002,1569060.08,1762126.71,2054530.5,2115679.85
AGR,ISS06,V,17298743.29,18093028.95,19864061.61,21447443.97,20999334.63
AGR,ISS07,S,2805308.0300000003,3419872.45,3928542.5,4670933.75,5060285.680000001
AGR,ISS07,V,48851463.21,48095767.379999995,57549549.82,66148803.06,62001878.62
AGR,ISS08,S,698016.09,948231.15,609213.77,671254.6799999999,670067.62
AGR,ISS08,V,9530026.64,8191678.459999999,8501171.03,20335434.54,15557208.0
AGR,ISS09,S,9846.43,3018.7200000000003,,7975.24,8498.1
AGR,ISS09,V,313580.69,80235.6,26093.14,128105.13,124481.95999999999
AGR,ISS0Z,S,194500.32,345157.95,407092.67000000004,460091.25,491107.5
AGR,ISS0Z,V,1432731.08,2845891.22,3144846.65,3393459.1399999997,4191212.3200000003
ATSSC,BEE01,S,1790419.2,1753260.62,2016064.68,2790290.42,2565327.36
ATSSC,BEE01,V,7318862.399999999,9309100.55,11343634.37,14018842.79,11463059.58
ATSSC,BEE02,S,1118567.7,1251745.45,1372450.64,1397635.58,1628294.45
ATSSC,BEE02,V,6164920.6,7447450.180000001,8154164.84,8066000.02,9296090.98
ATSSC,BEE03,S,5025907.03,5035713.81,6127872.2,6343732.54,6075976.34
ATSSC,BEE03,V,25845042.869999997,27026394.43,30578166.590000004,30277072.71,29125171.08
ATSSC,ISS00,S,2012638.71,2004141.44,2344818.8299999996,2603429.02,2728891.92
ATSSC,ISS00,V,18873230.029999997,18442883.75,20658253.73,23195558.41,23076489.43
CAS,BEG01,S,2454583.13,2368575.87,2321687.12,2936678.52,3462302.45
CAS,BEG01,V,28511777.89,25499281.88,28158576.44,33420386.49,45934969.14
CAS,BEG02,S,3759985.3899999997,3759781.66,3912777.34,4802809.3,4960931.03
