"org_id","fiscal_year","est_doc","covid_initiative_id","vote","stat"
139,2020,"SEB","COVINIT088",,20000000
139,2020,"SEC","COVINIT155",600000,
140,2020,"SEA","COVINIT016",,95700000
140,2020,"SEA","COVINIT023",12000000,
140,2020,"SEA","COVINIT046",8000000,
140,2020,"SEA","COVINIT082",5131519,203131454
140,2020,"SEB","COVINIT014",,9518000
140,2020,"SEB","COVINIT016",,67000000
140,2020,"SEB","COVINIT082",65160906,131539094
140,2020,"SEB","COVINIT097",5191667,51750
140,2020,"SEC","COVINIT014",1140000,
140,2020,"SEC","COVINIT016",,63800000
140,2020,"SEC","COVINIT082",125000000,-39300000
140,2020,"SEC","COVINIT135",13250000,
141,2020,"SEA","COVINIT016",18300000,53000000
141,2020,"SEA","COVINIT082",114821458,25262969
141,2020,"SEB","COVINIT014",6992000,2150000
141,2020,"SEB","COVINIT016",11300000,12000000
141,2020,"SEB","COVINIT082",46500000,
141,2020,"SEB","COVINIT097",3146000,
141,2020,"SEC","COVINIT014",1650000,-1650000
141,2020,"SEC","COVINIT105",103500,25235
141,2020,"SEC","COVINIT135",14375000,
148,2020,"SEB","COVINIT071",832083,1724241
148,2020,"SEC","COVINIT071",243854,-243854
148,2020,"SEC","COVINIT117",6876000,
150,2020,"SEA","COVINIT016",,39400000
150,2020,"SEA","COVINIT082",103035250,109738437
150,2020,"SEB","COVINIT016",15000000,15000000
150,2020,"SEB","COVINIT082",65574603,88425397
150,2020,"SEB","COVINIT097",4700000,
150,2020,"SEC","COVINIT016",752263,-752263
150,2020,"SEC","COVINIT082",13706883,-13706883
217,2020,"SEB","COVINIT074",,18200000
218,2020,"SEB","COVINIT067",,1112328
219,2020,"SEC","COVINIT133",1944599,
223,2020,"SEC","COVINIT117",4740000,
224,2020,"SEB","COVINIT067",,4808711
226,2020,"SEB","COVINIT067",,5338974
228,2020,"SEA","COVINIT023",44513300,423900
228,2020,"SEA","COVINIT037",,250000000
228,2020,"SEA","COVINIT046",17090800,356400
228,2020,"SEB","COVINIT018",3938584,488975
228,2020,"SEB","COVINIT034",50000000,40020000
228,2020,"SEB","COVINIT037",31040000,124160000
228,2020,"SEB","COVINIT042",33500000,33500000
228,2020,"SEB","COVINIT075",6000000,9000000
228,2020,"SEC","COVINIT034",32264906,-32264906
228,2020,"SEC","COVINIT037",118674607,-118674607
228,2020,"SEC","COVINIT042",30158628,-30158628
230,2020,"SEB","COVINIT027",5000000,
230,2020,"SEB","COVINIT075",,153400000
237,2020,"SEB","COVINIT107",4910000,
238,2020,"SEC","COVINIT117",12000000,2211300
246,2020,"SEA","COVINIT087",10000000,30000000
246,2020,"SEB","COVINIT003",,50000000
246,2020,"SEC","COVINIT003",8700000,-8700000
263,2020,"SEB","COVINIT095",74100000,
263,2020,"SEC","COVINIT095",54100000,
278,2020,"SEA","COVINIT015",48710504,791282
278,2020,"SEB","COVINIT015",-32900000,
278,2020,"SEC","COVINIT015",-10700000,
280,2020,"SEA","COVINIT001",,1800000000
280,2020,"SEA","COVINIT028",37200000,
280,2020,"SEA","COVINIT039",,7500000
280,2020,"SEA","COVINIT046",5051228,231982
280,2020,"SEA","COVINIT063",,200000000
280,2020,"SEA","COVINIT066",,177068800
280,2020,"SEA","COVINIT068",,74700000
280,2020,"SEB","COVINIT001",2202874822,3347025178
280,2020,"SEB","COVINIT005",7533544,5275384
280,2020,"SEB","COVINIT006",230761435,278038565
280,2020,"SEB","COVINIT015",10000000,
280,2020,"SEB","COVINIT039",3299229,-3299229
280,2020,"SEB","COVINIT041",5301600,13498400
280,2020,"SEB","COVINIT042",782826667,536473333
280,2020,"SEB","COVINIT043",25000000,
280,2020,"SEB","COVINIT044",5378297032,3821702968
280,2020,"SEB","COVINIT059",320133334,622266666
280,2020,"SEB","COVINIT062",6419812,
280,2020,"SEB","COVINIT063",89150038,-101549187
280,2020,"SEB","COVINIT064",90000000,7700000
280,2020,"SEB","COVINIT066",33982060,-33982060
280,2020,"SEB","COVINIT068",16700000,-16700000
280,2020,"SEB","COVINIT085",46199588,298400412
280,2020,"SEB","COVINIT092",8200000,600000
280,2020,"SEC","COVINIT001",1722283700,-1722283700
280,2020,"SEC","COVINIT006",225556596,-225556596
280,2020,"SEC","COVINIT015",3000000,
280,2020,"SEC","COVINIT041",3184160,-3184160
280,2020,"SEC","COVINIT042",536461532,-536461532
280,2020,"SEC","COVINIT044",2482712418,-2482712418
280,2020,"SEC","COVINIT059",522888313,-522888313
280,2020,"SEC","COVINIT063",84434710,-84434710
280,2020,"SEC","COVINIT064",7700000,-7700000
280,2020,"SEC","COVINIT092",571456,-600000
280,2020,"SEC","COVINIT125",485109029,134205
280,2020,"SEC","COVINIT131",50000000,
280,2020,"SEC","COVINIT134",6250000,
280,2020,"SEC","COVINIT154",208496863,18517524
288,2020,"SEC","COVINIT152",505015,39726
29,2020,"SEA","COVINIT007",,55000000
29,2020,"SEB","COVINIT007",,7800000
305,2020,"SEB","COVINIT024",,1100000
305,2020,"SEB","COVINIT025",,2400000
305,2020,"SEB","COVINIT038",90954090,
305,2020,"SEB","COVINIT075",,16000
305,2020,"SEB","COVINIT084",,9964000
305,2020,"SEC","COVINIT115",27858000,
306,2020,"SEB","COVINIT075",,50700000
306,2020,"SEB","COVINIT081",125000000,325000000
315,2020,"SEA","COVINIT007",,27000000
315,2020,"SEB","COVINIT007",,2755000
315,2020,"SEB","COVINIT090",,50000000
315,2020,"SEC","COVINIT090",49654000,-49654000
326,2020,"SEC","COVINIT113",3779000,518400
334,2020,"SEC","COVINIT117",187500000,
348,2020,"SEA","COVINIT024",,280536000
348,2020,"SEA","COVINIT029",,10000000
348,2020,"SEA","COVINIT033",,269986900
348,2020,"SEA","COVINIT036",,305000000
