dept_code,activity_code,pa_last_year_5_exp,pa_last_year_4_exp,pa_last_year_3_exp,pa_last_year_2_exp,pa_last_year_exp,pa_last_year_planned,planning_year_1,planning_year_2,planning_year_3
CAS,BEG01,30966361.02,27867857.75,30480263.56,36357065.01,49397271.59,82076523,112535513,84540422,46968392
CAS,BEG02,32726973.44,30502583.94,32483780.24,38084735.04,36058449.48,33681830,40190316,35771027,34449587
CAS,BEG03,2768879.7,2970597.95,2631585.41,334160.01,13686.17,3987658,8195482,1302149,89180
CAS,BEG04,9109427.05,6549965.6,7449300.2,8919198.84,8542702.43,10067961,14766454,11349777,10252178
CAS,ISS00,29131352.38,32481510.97,35009732.03,41432509.62,41709197.11,38286646,33052761,33103877,33277125
CASDO,BXZ01,1555714.65,1655122.33,3868184.05,5595406.87,5396366.9,12028231,3550476,3550476,3550476
CASDO,BXZ02,6885341.73,9747419.55,10535816.42,10956619.06,10413953.65,3528230,12050476,12050476,12050476
CASDO,ISS00,6163082.85,5098072.55,4662599.98,5037179.03,5568773.91,5706389,5693557,5693557,5693557
CATSA,BEO00,686325308.4,686115078,865964449,971162874,1079165190,,,,
CB,BEZ01,3162303.6,2922185.08,3196652.96,3259893.85,4062308.57,3564988,3784463,3787392,3787392
CB,ISS00,740083.68,728486.91,799134.61,814954.97,1010997.54,891247,946116,946848,946848
CBC,BFD00,1366915479,1250423241,1287296942,1454159531,1425237411,,,,
CBSA,BUF01,70620698.85,77067588.15,73988160.26,69035115.98,74510456.32,82277320,76986645,76108845,76219384
CBSA,BUF02,93063335.71,106063071.6,113831895.3,117584390.5,136137025.3,111983907,128598672,129448367,124990834
CBSA,BUF03,14101824.13,20502403.71,28211897.83,31136693.66,34605491.61,25387166,47804676,41025035,31880175
CBSA,BUF04,535971121.6,677054976.6,690003336.3,696390126.8,856702050.2,682700938,797025983,774449063,764678811
CBSA,BUF05,432160413.4,473221787,409456829.1,428154111.6,489306043.9,306303748,378848192,397440640,381019003
CBSA,BUF06,9092287.9,10018020.75,10715718.69,11830478.55,14680598.99,10971640,14323384,14320533,11166448
CBSA,BUF07,11910057.07,9994156.19,7345615.96,11058463.42,13525962.55,9129372,13079466,13212004,13252457
CBSA,BUF08,10305398.83,12375014.75,13499837.55,12780651.52,13464357.32,22483611,26877663,17635235,15522266
CBSA,BUF09,19437620.96,24036021.8,24903643.96,24617143.33,26943625.45,21473443,24538617,23930856,24656138
CBSA,BUF10,51775764.97,63519658.4,73338792.7,76197601.7,77380706.1,61925465,73403247,65301176,64949092
CBSA,BUF11,166095745.3,150137615,145986813,149057734.3,174353781.6,272190005,265591579,268017181,228731844
CBSA,BUF12,38287862.94,41452845.61,44292691.86,46937280.68,48509846.68,105649383,71907002,94222441,100024286
CBSA,BUF13,,,57947789.82,65124967.11,79350850.88,64027394,79510482,75531898,75119307
CBSA,BUG01,67176271.14,86441548.3,116463869.5,110646066.1,98098351.72,62632421,95820362,84167104,78920255
CBSA,BUG02,64408133.98,73916466.52,82699963.11,101359044.3,130151809.8,132598669,199140074,190732747,193069125
CBSA,BUG03,41463838.99,46541681.14,53981495.56,57658180.45,65105076.55,49552130,75882807,66804607,62664757
