dept_code,activity_code,pa_last_year_5_exp,pa_last_year_4_exp,pa_last_year_3_exp,pa_last_year_2_exp,pa_last_year_exp,pa_last_year_planned,planning_year_1,planning_year_2,planning_year_3
CRTC,BRT01,14061780.59,2854818.52,3516512.47,5783478.99,5087523.37,4510826,6499439,3363748,3361987
CRTC,BRT02,7590698.83,3076401.68,3640365.47,4465056.73,5556044.13,4095194,5015012,3875940,3874177
CRTC,BRT03,7745289.88,4773553.94,5076752.08,5934792.68,6239073.52,5634854,6010588,5614692,5615298
CRTC,ISS00,9937340.84,3274306.89,2791938.95,3722819.48,4385877.89,3774274,4341215,3642662,3644546
CSA,BLM01,112038891.8,145564876.3,267676373.9,210344281.1,388413971.2,165813203,600055763,576426532,329798818
CSA,BLM02,54262083.45,55146295.51,52342732.52,63501325.16,63050982.04,78451804,89442183,128121750,124958461
CSA,BLM03,105653273.7,107231878.5,105052940.6,97532426.11,97730279.82,104747250,88513006,77591911,73397382
CSA,ISS01,13694224.66,12267693.03,15816373.54,16077010.47,17591774.48,15706514,14285783,14586105,15822251
CSA,ISS02,5325198.75,5123721.16,5783968.43,7668273.14,7169350.62,7540138,5650785,4709176,4720526
CSA,ISS03,1336575.45,1243754.49,1301608.7,1198743.83,1465624.45,729728,1401333,1400568,1399568
CSA,ISS04,4684880.38,5137185.91,7045368.37,9465880.97,9731340.68,7316266,9169397,8930960,8218406
CSA,ISS05,6264082.42,7277143.37,7235669.84,8633227.07,9756916.36,6113544,5833226,5681292,6141656
CSA,ISS06,2466863.63,2606901.65,4421635.84,4787187.04,3775020.82,3571910,2456322,2461322,2462322
CSA,ISS07,6938666.11,9104484.12,9119426.8,11151628.24,12349687.25,8348842,12481672,13105831,13182926
CSA,ISS08,16466152.03,15995250.16,21012116.43,18763378.56,21258079.18,14203780,2503071,2370777,2160210
CSA,ISS09,438945.42,459364.4,333812.16,497085.17,499401.64,273012,387310,267398,340037
CSA,ISS0Z,839814.54,949600.4,1093468.23,1126762.64,1934112.07,1151478,1900980,1862931,1631178
CSC,BUJ01,165572078.4,179869860.6,162974678.4,189836531.8,209789850.2,142708940,513189969,272351559,146470201
CSC,BUJ02,893315551.1,864157078,851313277.5,876896855,1078672229,876902493,942616242,811371130,811717789
CSC,BUJ03,12682078.26,12344699.22,12351965.9,13929687.1,16284926.3,12277864,13141658,13137532,13142231
CSC,BUJ04,228027584.1,203013804.3,210137503.6,231528515.8,263711750.3,224182646,256808259,256181735,255425291
CSC,BUJ05,101774508.4,103141471.8,108498766.6,119060095.4,139215118.7,120920138,140988607,140468368,139389915
CSC,BUJ06,96456586.48,88612388.74,88440243.79,106707973.7,120385838.4,99113560,120674261,119653042,120192186
CSC,BUJ07,377264894.7,411518214.5,487437820.9,556522096.4,518372616.7,519393230,589588516,616916845,649019875
CSC,BUJ08,,,20683298.61,24717619.92,23497532.74,21987710,22770098,22656780,22666921
CSC,BUK01,264080202.4,250988649.7,249455818.2,306568707.6,305176353.2,289123566,324222361,338567406,317067827
CSC,BUK02,8193725.16,7937645.44,8149860.48,9893432.8,9301017.62,8849206,9292499,9272341,9276269
CSC,BUK03,8219458.61,10152162.31,11737136.25,12260591.02,12529694.88,10347881,13067786,13050273,13051283
CSC,BUK04,8702980.54,7824412.93,8237841.58,8842531.1,12398717.74,7111252,8655881,8655888,8655926
CSC,BUK08,26786252.78,27969090.18,27459331.25,30761129.71,30133347,29345518,29417894,29334010,29344420
CSC,BUK09,60697843.08,54587082.81,46582646.3,60136050.64,50988169.25,46357698,55788050,55773274,55776437
CSC,BUK10,24484264.32,23783320.08,24669964.47,29630662.72,27476892.16,25271269,26540046,26346532,26356833
CSC,BUK11,94638812.4,91387794.69,93880746.04,108782952.6,102763363.5,100502429,101948356,101784037,102136476
CSC,BUL01,23626710.48,23838392.73,24031125.45,27211788.59,26894199.33,24409754,25521646,25489526,25496662
CSC,BUL02,110212981.1,111712957.5,118132391.2,139340262.4,148655278.5,125985787,158663432,158663432,158663432
CSC,BUL03,22698798.8,23688192.89,24785902.89,25592422.68,28815430.8,21676808,27366695,26966750,27198253
CSC,BUL04,15468259.52,16571101.32,16084084.84,16711439,18770275.03,15707068,18445100,18345185,18134856
CSC,ISS01,87843331.51,82412506.02,91002683.66,103452279.5,97138539.39,97825553,99171809,98594803,98615729
CSC,ISS02,8549793.54,8748781.74,9619394.44,11485969.4,12947551.1,10907437,11448925,11401337,11404955
CSC,ISS03,22164853.78,23610191.1,24639683.14,29429030.85,27952160.33,26953244,27581376,27574761,27575376
CSC,ISS04,89490001.83,97583627.51,110343533.7,129926704.8,126709412.3,119299297,135593944,134898224,135080084
CSC,ISS05,44576890.37,45856199.97,46184361.05,50291312.12,48636257.03,53496075,48440358,47801546,47819940
CSC,ISS06,6041964.8,5974717.54,6637715.54,8229604.32,6534590.27,8212754,9706453,9934377,9708493
CSC,ISS07,94509540.62,93562541.7,95766233.16,113142690.1,100664068.2,95457810,95727335,87411678,85970678
CSC,ISS08,15585331.38,19370219.17,16554304.9,13155429.08,14017209.1,14816442,14439038,10688114,11003420
CSC,ISS09,9952658.04,9997685.26,9511282.33,9086521.98,8217582.69,10206301,9583008,9582709,9586574
CSC,ISS0Z,9598149.82,9708462.87,10133216.61,11830930.54,13867444.33,11926336,12129883,11800193,11804129
CSEC,BUM01,521012359.6,529674651.6,336912405.1,356782293.5,371722905.5,,,,
CSEC,BUM02,258673184.2,271316054.3,304486444.5,350408924.7,368068916.8,,,,
CSEC,BUM03,,,9145757.1,11932939.62,59876779.56,,,,
CSEC,BUM04,,,280703287.4,291671819,288863658.8,,,,
CSIS,BUY00,676899700.5,642172826.9,672446875.7,828409598.3,813017414.4,,,,
CTA,BTT01,6844952.89,6393755.15,7262750.92,,,,,,
CTA,BTT02,14331425.63,14103798.08,13308980.52,24152269.7,28844517.14,25176025,24601652,14898897,14916059
CTA,BTT03,9228372.21,9224594.25,8647691.87,14440326.18,15273557.01,14927764,15483511,9376900,9387701
CTA,ISS00,10992478.39,13165739.37,11910893.69,16683127.83,14587438.46,16155598,16386368,9923675,9935107
CTAIB,BWA01,15363552.78,14499109.31,13901632.11,14901529.85,15721461.37,16199129,15670281,15691068,15691068
CTAIB,BWA02,6035837.59,5708734.43,6697136.77,8198587.29,6812696.8,7803960,8621542,8632979,8632979
CTAIB,BWA03,6450860.87,6878458.73,6548408.74,7455284.79,6766670.31,7630652,7839894,7850293,7850293
CTAIB,BWA04,547006.79,569031.83,739518.39,729646.34,646997.46,861737,767288,768306,768306
CTAIB,ISS00,7976504.19,8281582.27,8927284.22,12243603.05,13029258.67,8123869,8224751,8235662,8235662
EA,BVB01,40069861.14,37245199.26,40207047.69,52841683.68,79927126.76,65159553,,,
EA,BVB03,456650121.5,415199327.8,419530017.2,438510934,437675937.1,449620609,,,
EA,BVB04,21566839.9,22096580.34,24690937.18,28887151.62,28613418.98,26280767,,,
EA,BVB05,24134054.12,30870749.33,40168302.96,38113503.25,36915567.23,40809795,,,
EA,BVB06,78885826.67,81346178.59,86734981.35,97432275.54,103712670.1,80463383,,,
EA,BVB07,98378834.8,99671023.52,112121630.7,123746561.6,124451369.2,94870444,,,
EA,BVB08,39451153.78,39825072.74,48187819.75,59834987.6,88956989.8,91657599,,,
EA,BVB09,13217528.9,15279233.9,16866455.46,18460252.91,19046719.36,11542590,,,
EA,BVB10,6351454.43,7342976.63,9102142.25,7176514.83,6547993.86,5563640,,,
EA,BVB19,108038703.3,107512594.2,121298564.8,128534466.8,138626985.8,140028973,,,
EA,BVB20,12287346.44,13195557.34,11644387.93,13130437.85,11743839.19,14938741,,,
EA,BVB21,,,,,,,805763710,672492692,671649331
EA,BVB22,,,,,,,361957247,357497022,358310389
EA,BVC01,57415199.49,56739105.22,63174608.75,64330792.78,77337705.07,70463375,,,
EA,BVC02,25221569.19,23976770.79,21671812.83,22836933.69,22885560.42,15854881,,,
EA,BVC03,99839142.54,108112632.9,115660004.2,132400288.6,123972084.2,174291478,,,
EA,BVC04,32249145.21,31125645.77,41684121.15,41029725.76,34711388,33441459,,,
EA,BVC05,36657041.16,38283845.58,30232623.56,27513698.55,26527608.92,32720617,,,
EA,BVC06,30132380.2,33100232.29,34555707.43,33964605.34,38886250.6,43843077,,,
EA,BVC07,43058607.43,44709766.45,48411093.93,51457082.52,44966878.55,42186123,,,
EA,BVC08,7385309.29,6696065.56,7007138.7,6722713.69,7732970.73,7617066,,,
EA,BVC10,,,,,,,119863016,119652539,118504317
EA,BVC11,,,,,,,255561754,254209072,250090041
EA,BVD01,3618376.21,4391298.9,4429182.43,4807407.62,7124951.65,3972831,,,
EA,BVD02,1366440474,1004378210,1174530006,726407094.8,840585653.2,586330122,,,
EA,BVD03,523189751.8,293514076.5,353221500.4,499951444.7,454327013.3,435415052,,,
EA,BVD04,2944807439,2442375508,2998635362,2398971645,2392222385,2601614958,,,
EA,BVD05,155321976.7,151246276,189750949.6,198865362,343760210.1,195959219,,,
EA,BVD06,45859980.24,66948892.94,72647102.03,136520628.1,89535420.13,80586042,,,
EA,BVD07,68914025.92,87655154.93,77267587.53,77997132.92,75003087.73,76041022,,,
EA,BVD08,20922950.28,25971577.26,29221984.22,29645958.89,29804305.95,31374991,,,
EA,BVD09,225043034.5,229466423.2,271758781.9,208575112.2,306306028.3,162429669,,,
EA,BVD10,288816160.8,230041625.2,310693148,226961470,245010520.9,307219690,,,
EA,BVD11,319456782.2,241557637.6,289683691.7,221926971.1,275162196.6,321816753,,,
EA,BVD12,679191589.2,615286836.4,603128963.1,596009096.7,669261010.5,773965331,,,
EA,BVD13,15970091.3,15630071.74,16443228.42,17358651,16397260.48,18761665,,,
EA,BVD14,17465864.89,23598561.1,20448463.12,24774416.46,20694412.71,23982470,,,
EA,BVD15,,,,,,,4979923384,4261286042,4238818978
EA,BVE01,73826298.09,47702738.3,52355464.08,69619579.69,63928572.23,61084736,,,
EA,BVE02,61629814.73,7195392.47,6682239.76,16357719.17,51327967.71,12807404,,,
EA,BVE03,,,,,,,91259259,89288878,89247506
EA,BVF01,21786705.63,28368320.72,35393942.46,36375608,37285176.97,18375566,,,
EA,BVF02,163764579,191211897.2,194128756.1,210969598.7,226109187.1,228000563,,,
EA,BVF03,247577452.8,246662487.2,259943723.6,277178539.4,300826152.5,276513550,,,
EA,BVF04,78143897.89,86210793.63,96830547.36,114316026.5,117813125,121235170,,,
EA,BVF05,251561811.7,289724467.9,291635483.3,293397886,328119061.3,362457401,,,
EA,BVF06,77008406.7,71740392.5,94790996.85,126003395,142966349.3,174008499,,,
EA,BVF07,55483013.04,60694582.4,59625091.6,68029555.71,63189933.43,71931239,,,
EA,BVF08,87502552.19,88504883.66,111177778.6,102764898.9,111261615.4,81021069,,,
EA,BVF09,,,,,,,1042833467,999343995,954566146
EA,BVF10,,,,,,,359102799,358759736,359510263
EA,ISS01,54907464.77,54570116.22,61601953.74,69351358.46,70518599.78,76353557,84255821,83070053,82714252
EA,ISS02,30609786.65,30918221.57,33743060.28,36809067.12,34841021.01,31826900,30923918,29350628,29171743
EA,ISS03,9073807.07,11351793.32,14091035.22,14671953.67,16723725.95,12823747,18496299,17685191,17523792
EA,ISS04,69914075.43,70493208.53,77010153.34,87908456.04,92431885.01,78653970,84492229,84010531,85214530
EA,ISS05,58639019.22,51091028.58,57985840.35,70594045.5,65660009.31,65638761,141025749,139920342,139345190
EA,ISS06,9535217.91,11467916.98,16075972.36,19025281.48,19808188.28,16050835,11210353,10611468,10529026
EA,ISS07,29114987.06,27097972.07,25100570.66,19259417.8,19232153.05,23040023,21044393,20157299,19905512
EA,ISS08,51545399.75,46157493.73,54559724.95,62884179.21,57305114.85,26877586,21396073,20977883,21303312
EA,ISS09,-779.62,1807358.65,1834.36,2806.48,13824.68,1639164,1590366,1591418,1591418
EA,ISS0Z,4074770.01,6848987.89,6660110.01,6862924.2,6295560.13,6930098,6390238,6345412,6248177
EC,BGR01,439525765.7,319345904.2,307687028.4,461873543.1,579121158.1,393997740,1125920410,543929727,293349251
EC,BGR02,32721972.35,36660103.64,78778234.2,84979360.75,83690882.01,73691062,65853586,24165743,24165744
EC,BGR03,23614711.05,25376498.44,20909121.65,23895838.56,569672730.9,569188778,42079829,37539565,34784968
EC,BGS01,78232918.56,75634644.93,70834985.61,72996568.03,76150810.84,70951476,70771317,71241874,70943428
EC,BGS02,92056136.01,94352193.42,115739582.6,157353536.8,115337061.5,,,,
EC,BGS03,24235238.24,49541604.4,26232873.81,29204078.73,26440078.49,27729603,27631476,12222195,12222195
EC,BGS04,120878784.2,117582563.7,129502759.3,160704641,160013939.7,230060209,250772537,222171535,195172537
EC,BGS05,44862296.99,42950039.23,47949501.84,51217591.19,52639576.48,53191797,54917613,52629793,52340227
EC,BGS06,,,,,12068849.74,70007981,,,
EC,BGT01,98476496.61,128095658.7,163533009,187241684.3,189795052,181791369,185874790,45368964,45368963
EC,BGT02,47945517.18,48476293.02,53463245.82,68641560.37,63242653.97,61223888,58270408,57155329,54755480
EC,BGT03,177851217.8,187325467.3,269298652.4,402712384.6,382839312.8,433681173,650533928,199103043,197314755
EC,BGT04,6493646.17,7978021.63,47493545.37,12741272.77,10784294.67,10114954,9732777,9247750,9229973
EC,BGT05,16121207.43,18953054.29,19887255.8,24641877.19,23527805.28,26082163,24991957,26348858,26465994
EC,BGT06,19963663.71,22835402.34,22525372.21,24129256.56,23956147.24,23826998,23394352,23678572,23664493
EC,BGU01,213143001.8,233514914.4,210902083.1,234983883.4,226353948.2,221262847,223302107,214399865,217511768
EC,BGU02,39586017.48,41216953.06,46283381.61,46207323.65,50895670.73,50396022,47531795,46513074,45962255
EC,ISS11,55646953.19,58505418.86,67967686.43,73067894.22,69443517.04,53464711,52934994,51993878,51224052
EC,ISS12,18933305.58,21578841.29,26846043.3,23025566.18,21332257.99,20552098,20754325,18206552,17720856
EC,ISS13,9426383.2,8367468.35,9071271.05,8750187.47,8663279.85,10271027,10347793,9643338,9447219
EC,ISS14,30797356.68,29764784.06,32359069.31,37560866.65,37781708.12,34277196,34900247,32744134,32238309
EC,ISS15,26846535.5,27266057.41,31349812.85,33846159.33,35295155.38,32858835,32374076,30363456,30034589
EC,ISS16,13382435.51,15804569.82,16752442.5,19548509.59,19746931.02,13744281,15163472,14964514,14556265
EC,ISS17,43931033.99,50813048.01,54512450.45,60736875.38,67852076.45,37655341,41036626,36181949,35769495
EC,ISS18,65809275.96,42965160,51394372.51,51549411.47,46154131,51809017,48837511,42806755,41878443
EC,ISS19,3131846.02,3855577.41,3954809.61,5457832.42,5997996.69,3819705,3893607,3884012,3884201
EC,ISS1Z,3172870.66,4128422.64,4453427.16,5061752.62,6971472.47,5318955,5449595,4913683,4716039
EDC,BXE01,253018024.3,1255643280,1606430880,10522747357,583163743.1,,,,
ERC,BXJ01,3185516.18,3874704.55,4877619.88,3941763.56,5006006.47,4614222,4799577,4801864,4801864
ERC,ISS50,,,,1430609.35,1682492.31,1908094,1974496,1974463,1974463
FBCL,BTU00,6061390.14,9123879,4423000,7044808.6,17863915.09,,,,
FCAC,BUT01,6915340.76,7595602.02,9327051.66,11331155.71,12339183.34,15704157.97,16014898.87,16917075.72,18376820.82
FCAC,BUT02,,,7063526.81,8065242.89,8298036.39,9645519.7,13119037.77,16954550.75,19361542.34
FCAC,BUU01,4692116.29,6546130.4,,,,,,,
FCAC,ISS00,23428539.33,24516604.79,37560804.4,33970777.06,34630324.62,38473537.16,46370062.68,48275960.24,59817615.56
FEDNO,BYL01,,57311655.02,72385333.8,35784906.07,27704579.94,23985451,25231045,22475813,22469142
FEDNO,BYL02,,6565048.02,10358055.8,7600757.27,5901407.85,4913979,14852082,12778988,12774552
FEDNO,BYL03,,23490853.12,42266575.83,21515857.98,23209786.32,21729754,24874373,19894451,19888173
FEDNO,ISS00,,1853395.19,7067900.98,6874858.05,7247356.38,4512390,6846991,6692773,6710158
FEDSO,BNM10,80641563.36,66939823.56,140293743.8,180802453.9,113677289.2,91978812,135372382,125073723,126116903
FEDSO,BNM11,82308980.19,93338189.33,113543802.4,141649905.8,68061684.35,60840548,75126303,68902710,67951164
FEDSO,BNM12,516555934.1,225899786.9,328066486.4,121784147.6,60136065.19,59885097,41109242,19979345,19886322
FEDSO,ISS00,13240017.41,13937680.19,17282663.55,17795972.86,16720746.65,15977075,16223574,14904072,14904887
FIN,BUV01,23120418.92,23639005.73,26901386.61,29122390.12,31178215.33,29191009,34180181,33701841,29870928
FIN,BUV02,32612398.38,21098955.37,14493307.99,13930755.9,14613223.88,14143628,14633109,14153364,13871706
FIN,BUV03,61726428.48,224797891.6,588173436.3,1771480272,2376979093,3476640031,3697523425,3507731606,3538750630
FIN,BUV04,28202680.24,9164436.55,9908335.61,10247014.78,9780556.5,10234539,10438476,10381162,10381162
FIN,BUV05,67718084.16,16057174.86,19953125.37,23129650.11,24219638.28,23279831,27507112,25944528,22556878
FIN,BUV06,8540356.34,8643930.6,9419567.7,10553371.48,12059865.05,9983636,212697856,10087948,10087948
FIN,BUV07,41880464075,47133260702,47140983675,51431604829,52070685977,52081006291,54685004741,57419240741,60290188741
FIN,BUV08,54040293731,35206291881,36618642594,38856896311,40009159602,40196498821,41386140792,42840592958,44314580531
FIN,BUV09,715401.3,798474.62,743419.29,679707.53,814188.49,899406,932345,932345,932345
FIN,BUV10,569726196.7,579307797.7,1130489309,614437092.2,555106522.8,538570525,575289488,584944312,586426715
FIN,BUV11,20896814814,23116963806,31697783166,42691666505,48097919564,46620000000,49141000000,52037000000,55965000000
FIN,ISS01,13271165.37,11539520.14,12199018.72,11889425.77,12103497.85,12860661,13805958,13626735,12183298
FIN,ISS02,10664889.68,10254899.26,12122601.01,11927056.78,11891826.63,10571643,12570269,12515321,12515321
FIN,ISS03,3962060.94,4141054.55,6275780.56,4912409.4,6050879.75,4629252,5039889,4961794,4511794
FIN,ISS04,6093231.64,6090788.94,7123073.8,7888802.95,7138102.65,6104696,6938826,6962340,6962340
FIN,ISS05,3019046.6,3101463.73,3500880.93,3537292.38,3797503.1,3554966,3542941,3566472,3566472
FIN,ISS06,1551833.48,1384674.5,1777223.03,2324930.89,1439402.15,3043622,2681289,2681115,2681115
FIN,ISS07,8695731.06,8641712.89,10944697.78,11453010.77,10676791.88,6555526,7490402,7299756,6655324
FIN,ISS08,2310581.7,2128808.63,2769539.64,2908282.08,3103788.91,1495946,1564721,1564721,1564721
FIN,ISS09,154946.81,188437.18,175560.74,258625.69,216224.52,304442,306073,306073,306073
FIN,ISS0Z,569804.09,556952.94,610648.4,603197.79,912221.05,600377,643554,643554,643554
FJA,BNZ01,613473724.5,656497927.5,697295631.1,738389749.6,788502018.7,774063257,831699923,872348620,915064878
FJA,BNZ02,10177440.13,10557895.13,12006008.5,11399000.95,11993471.97,11075042,10536128,10540315,10540315
FJA,BNZ03,2738668.05,3000310.91,2133312.03,2204413.23,2976169.63,2934958,3029805,3029275,3029275
FJA,ISS00,726800,726800,726800,726800,726800,726800,1691888,1691888,1691888
FO,BTF01,217921344.8,135223230.4,107685186.4,156851402.5,111995164.3,107504282,100762808,62503582,58915298
FO,BTF02,154734207.4,468967677.2,200754426.5,274851883.8,297053145.2,226827026,449632791,242187431,154731122
FO,BTF03,16886348.34,15174649.38,22062399.83,20756978.03,16155092.37,10117843,14718749,13365280,13362781
FO,BTF04,42002267.27,38469443.17,48882884.38,68676548.29,74254057.52,71302961,72377885,34741389,34741391
FO,BTF05,13118857.98,15119178.42,24966538.52,26293899.43,28204053.31,23402019,14706896,14643896,14643896
FO,BTF06,164836999.4,151221000.9,245308449.4,264647105.9,229365424.8,118098156,259063493,308385613,117199733
FO,BTF07,140888027.7,155655668,154800087.6,185117054.3,187709488.7,203958023,204479939,158934928,158575562
FO,BTF08,6494648.89,6299925.76,6607108.78,7724738.11,7657421.71,6128502,6349716,6330504,6330504
FO,BTF09,4306847.51,4771664.15,3553381.03,3849140.5,3515284.12,3211653,2758369,2117679,2117679
FO,BTF10,16574927.7,15795954.12,13799385.85,13818922.38,12451196.4,15167251,15682555,15713595,15713594
FO,BTF11,142226680.5,158731389.7,173015843.3,185770680.1,173154412.3,155935309,168993295,155176374,155176372
FO,BTF12,8762402.54,11342007.18,14363256.89,14986628.9,19721093.57,11618725,18022555,12136140,11894732
FO,BTF13,59638631.46,68899729.89,61465606.62,99008212.86,86780593.74,85468826,82826848,550998,550998
FO,BTG01,136310479.7,106964101.9,94409264.88,138711315.7,130672236.7,132256447,112003929,58997053,42139241
FO,BTG02,15858786.39,16107723.42,15238771.22,20914299.39,23555004.15,21057683,19510380,20104958,13863496
FO,BTG03,42897001.97,49176745.01,56284022.91,50016044.41,50755250.74,52289337,53371672,17312839,17312839
FO,BTG04,30515331.54,48207017.95,84317537.32,89021754.89,285850694.2,93161433,315377619,29080297,29220797
FO,BTG05,103615521.4,108823557,131245114.9,137615225.6,138258007.3,141447227,142158866,85315789,66102821
FO,BTG06,23694433.83,29936267.25,25136393.36,22370389.06,21587186.04,17841904,18488738,18337429,18337431
FO,BTG07,1913941.9,,,,,,,,
FO,BTH01,7923211.36,20053418.01,35338073.58,26239292.74,25846296.54,13540970,13590419,13590430,13590430
FO,BTH02,1712058.37,2908973.42,4793164.95,5481208.22,4416389.14,10706950,4885006,4886157,5907780
FO,BTH03,8528837,7170384.65,9139280.21,6433907.92,9100010.06,7778875,7613444,7624905,7715299
FO,BTH04,41723771.62,40668838.02,39797319.73,44262474.98,43794126.4,46117228,43076756,38717295,38800357
FO,BTH05,183845715,210165642.3,223266220.7,226873455.9,208333262.4,254978346,270767403,207714517,187227824
FO,BTH06,42169283.02,42379713.03,40382501.77,52002157.8,50480691.92,43673109,45243593,44315297,35197220
FO,BTI01,59257490.89,53629224.95,69286028.34,72750438.67,68698522.03,61398558,60008958,60487407,62775207
FO,BTI02,61052925.99,91350391.53,97555823.59,86171317.3,104268234.4,122327326,95604924,84415723,54309614
FO,BTI03,7743486.7,7184574.05,10216143.83,11500366.71,9750438.73,9874412,7814500,8296645,8296645
FO,BTI04,437434353.4,408142651.7,404036205.8,526410582.8,462001760.9,377774542,474858757,480025289,496018401
FO,BTI05,308650692.2,336359941.5,360847405.2,429326882.7,508078840.6,577630713,357041280,344763097,326280857
FO,BTI06,259688829,356742535.9,388442365.7,638865623.2,1185647688,1013568572,1957748816,2508286804,2257071172
FO,BTI07,26712516.39,23488137.89,31277851.16,33647230.14,33214346.52,19793695,26814079,26643371,26371733
FO,ISS01,53907399.61,80946255.5,95300670.48,87261423.17,79082920.64,101202950,84692020,74155873,73504631
FO,ISS02,20292117.07,24906621.9,24322411.75,23890847.84,22483866.52,20227918,20085203,19349145,19113819
FO,ISS03,14908479.33,13910347.08,38221620.45,14648704.87,15959170.58,19489326,19607217,15141152,13851552
FO,ISS04,44231526.76,55162765.8,56863211.58,57266872.36,52501273.58,45454435,52054664,48397921,47983417
FO,ISS05,72163535.22,61819410.96,51983533.06,52694642.7,48729030.14,41109783,46618721,42513757,41633423
FO,ISS06,10590934.44,7890071.9,7463271.6,6664472.06,5795865.24,13987838,14465657,14392586,14299267
FO,ISS07,68143076.44,94650511.3,78522306.18,100614700.7,103025116.3,79840611,76834496,65651204,61742678
FO,ISS08,262835689.6,198665962.3,208742748.7,247446723.1,252344995,298205906,285393350,242023899,236366372
FO,ISS09,6166833.97,8143375.75,9721911.58,8427378.45,16884298.05,5632293,11174308,10942955,10919976
FO,ISS0Z,4106929.67,7640841.12,7412019.82,6179478.63,5899103.38,4071441,5266504,4484899,4423243
FORDQ,BLL02,88045190.63,98750860.66,102250601.9,102888870.5,102147565.9,93508572,101835704,78557927,78326924
FORDQ,BLL03,259063942.3,142196476.1,272619923.8,260263233.3,26811004.15,25727559,27584520,20177672,17162672
FORDQ,BLL04,180690391.5,178095417.7,144703079.4,173017103.5,183925771.4,174368160,178430633,104459051,104766752
FORDQ,ISS00,22576373.83,24794975.95,24541114.96,27013594.74,24746098.72,22330430,23378466,21148480,21063857
FTRAC,BUW01,19553711.13,24669224.78,26798462.87,30192156.09,46096560.31,48376893,59155310,58395445,58626334
FTRAC,BUW02,390702.59,689923.74,894511.35,746345.72,30333.04,984953,1352121,1334753,1340030
FTRAC,BUX01,16181504.24,19029390.09,21026896.28,23091420.97,41847244.2,39935682,29831589,30762473,28661116
FTRAC,BUX02,1191533.46,1529027.09,1850855.61,1946037.73,101480.96,5188187,3348436,3495736,3256945
FTRAC,ISS00,24393503.03,31110709.04,37582652.95,42646958.48,13363408.96,14880237,14672124,15088404,12665468
GG,BKY00,14898575.98,14393716.72,16437138.07,18001746.09,20838602.02,,,,
GG,ISS00,9778599.5,9460112.66,8802872.22,8414113.32,8792006.59,,,,
GSC,BVV01,196274740.7,122202426.3,,,,,,,
GSC,BVV02,309524711.3,126409735.5,,,,,,,
GSC,BVV03,,,184863896,196842939.8,227211192.6,181701564,187050746,161641612,163201203
GSC,BVW01,438002845.8,427488620.4,452700148,599290922.1,683231533.9,581635669,853272701,825030721,103398401
GSC,BVW02,28130207.15,23964535.72,29760486.48,23533558.31,22146227.33,14554979,19124715,17509435,17509435
GSC,BVW03,41685677.72,8597875.4,-48487283.51,58440985.31,16504278.56,6549166,6686993,6702555,6702555
GSC,BVW04,81337944.56,93320484.82,99958772.98,124280158.3,130952206.2,136127338,186995590,153303609,167642676
GSC,BVW05,14205870.26,15966384.29,17185343.96,18230971.83,18777709.77,16759461,30584050,23883736,23333936
GSC,BVW06,16732751.8,14870801.32,12926089.63,12720307.95,11596828.63,12286099,12460355,10860080,10497959
GSC,BVX01,2277021027,2333963842,2708188807,3051298730,3003796504,2926435520,4569216024,3299200466,2717444105
GSC,BVX02,-16236118.87,-26816378.89,-15215943.58,31965457.6,21146909.96,20800000,700000,-5400000,25450000
GSC,BVX03,486145277.8,506420705.5,497527628.3,666434823.2,743737096,393814825,802866576,730176658,893128861
GSC,BVX04,8083883.29,8391250.14,6992844.01,8280764.31,6931234.87,6567913,11936061,7066115,6997824
GSC,BVY01,90847801.97,85637183.48,77437097.19,98548441.65,84379516.49,78751567,89502319,79215283,73707703
GSC,BVY02,16338854.66,15029668.44,15782807.65,17462191.91,16688819.18,17154058,17331862,16328582,16341994
GSC,BVY03,26599102.6,15289576.87,10671097.87,8771155.39,12692350.09,10008792,11258491,10545093,10622306
GSC,BVY04,7271747.8,689798.71,3580955.03,2564221.63,1484478.96,4509705,6223310,4387282,3816062
GSC,BVY05,4728631.79,3502638.19,3311515.7,6225183.72,7648864.62,2915307,7319306,3370664,2975724
GSC,BVY06,2581649.01,2681397.76,2716651.89,2506733.09,2380331.48,3474849,3532345,3535860,3535860
GSC,BVY07,1710493.36,1647932.99,1720211.56,1736541.39,1891108.24,1347917,1343444,1342346,1343171
GSC,BVY08,31547167.31,30604150.27,29144046.39,37088167.63,40611936.21,41729942,55910649,38097430,38977938
GSC,BVZ01,4091747.8,3995891.57,4630094.16,4697285.89,5356262.93,4480464,4534537,4537309,4537309
GSC,ISS01,51792696.72,47109449.24,45781168.49,66401957.41,63657186.22,42049979,49515691,44755366,43166854
GSC,ISS02,21745037.38,21803859.35,22071881.27,23383464.75,24701376.47,16136534,17794912,17786041,15528224
GSC,ISS03,2277072.09,2316213.44,3883037.24,4562857.63,4540007.12,4589904,4609102,4548815,4185071
GSC,ISS04,59953468.68,58384660.75,62241712.93,75646940.6,74592849.09,49868381,58117911,56035428,46596870
GSC,ISS05,56957240.61,64316653.59,64503259.5,65928212.58,64932127.01,76537982,93983019,77033112,67538143
GSC,ISS06,18786121.81,18218760.75,16546005.66,19002489.21,16304063.01,18503009,17856802,17351300,14366242
GSC,ISS07,144503234.5,126364470.6,118134963.3,129218262,120258317.9,103088418,123707351,101052403,76964872
