dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ND,qclessncr,3161,2870,2774,2792,2776,0.12303
ND,sk,157,152,146,146,146,0.00639
ND,yt,2,1,1,1,1,5E-05
NEB,ab,406,432,444,460,449,0.98872
NEB,bc,.,.,.,2,3,0.00226
NEB,na,.,.,.,1,.,0.00045
NEB,nt,2,2,2,2,1,0.00406
NEB,qclessncr,1,1,1,4,3,0.00451
NFB,ab,11,10,7,7,7,0.02059
NFB,bc,21,18,15,17,20,0.04461
NFB,nl,2,3,3,2,2,0.00588
NFB,mb,6,2,2,3,3,0.00784
NFB,nb,7,3,3,4,3,0.0098
NFB,ncr,.,1,.,.,.,0.00049
NFB,ns,10,5,4,4,5,0.01373
NFB,onlessncr,35,35,36,30,22,0.07745
NFB,pe,1,.,.,.,.,0.00049
NFB,qclessncr,372,342,324,322,309,0.81814
NFB,sk,1,1,.,.,.,0.00098
NPB,ab,40,40,43,43,38,0.08967
NPB,bc,43,47,48,45,49,0.10198
NPB,na,.,.,.,2,2,0.00176
NPB,nb,37,37,39,40,38,0.08396
NPB,ncr,172,169,166,154,155,0.35868
NPB,onlessncr,64,65,66,57,60,0.13714
NPB,qclessncr,63,58,67,69,70,0.14374
NPB,sk,35,43,38,37,36,0.08308
NR,ab,324,320,329,321,300,0.0752
NR,bc,252,253,260,256,210,0.05808
NR,nl,19,22,24,25,19,0.00514
NR,mb,9,4,5,6,5,0.00137
NR,na,.,.,.,52,438,0.02312
NR,nb,80,80,76,64,61,0.01703
NR,ncr,2818,2694,2615,2640,2505,0.62616
NR,ns,81,81,69,68,61,0.01698
NR,nt,10,6,7,7,7,0.00175
NR,nu,19,17,17,10,7,0.0033
NR,onlessncr,301,303,297,304,258,0.06902
NR,pe,1,.,.,1,1,0.00014
NR,qclessncr,431,437,436,423,379,0.09936
NR,sk,9,9,8,8,8,0.00198
NR,yt,7,5,6,6,5,0.00137
NRC,ab,108,111,116,118,112,0.03084
NRC,abroad,1,1,1,1,.,0.00022
NRC,bc,267,271,280,285,278,0.07538
NRC,nl,105,105,104,102,99,0.02811
NRC,mb,63,57,53,50,49,0.01485
NRC,na,.,.,.,.,68,0.00371
NRC,nb,54,49,51,53,40,0.01348
NRC,ncr,2001,2007,2036,2145,2195,0.56678
NRC,ns,107,111,119,123,116,0.03144
NRC,onlessncr,116,119,118,117,129,0.03269
NRC,pe,24,25,24,28,24,0.00682
NRC,qclessncr,540,547,584,630,644,0.16074
NRC,sk,139,131,132,128,110,0.03493
NRTEE,ncr,3,.,.,.,.,1
NSERC,bc,4,4,5,4,4,0.00991
NSERC,mb,6,4,4,4,5,0.01085
NSERC,na,.,.,.,.,4,0.00189
NSERC,nb,4,3,3,6,5,0.00991
NSERC,ncr,383,389,398,420,415,0.94575
NSERC,onlessncr,6,5,4,6,5,0.01226
NSERC,qclessncr,4,4,4,4,4,0.00943
OAG,ab,10,10,13,11,12,0.01887
OAG,bc,20,21,18,19,18,0.03235
OAG,na,.,.,.,.,1,0.00034
OAG,ncr,554,522,512,531,560,0.90263
OAG,ns,9,9,10,9,9,0.0155
OAG,onlessncr,.,1,.,1,.,0.00067
OAG,qclessncr,17,17,17,16,17,0.0283
OAG,sk,1,1,1,1,.,0.00135
OCI,na,.,.,.,.,4,0.0221
OCI,ncr,33,40,35,37,32,0.9779
OCOL,ab,2,2,3,2,3,0.01456
OCOL,bc,1,.,.,.,.,0.00121
OCOL,mb,4,4,4,4,3,0.02306
OCOL,na,.,.,.,.,3,0.00364
OCOL,nb,5,5,6,6,4,0.03155
OCOL,ncr,140,151,151,142,134,0.87136
OCOL,onlessncr,5,4,3,3,3,0.02184
OCOL,qclessncr,4,4,4,6,4,0.0267
OCOL,sk,1,1,1,1,1,0.00607
ODPP,ab,113,109,102,111,115,0.11338
ODPP,bc,103,104,100,99,90,0.10225
ODPP,nl,7,9,9,8,10,0.00886
ODPP,mb,44,41,43,40,41,0.04308
ODPP,na,.,.,.,1,17,0.00371
ODPP,nb,8,8,8,10,9,0.00886
ODPP,ncr,227,245,266,259,256,0.2583
ODPP,ns,50,51,44,47,44,0.04865
ODPP,nt,51,49,49,49,45,0.05009
ODPP,nu,33,30,36,33,39,0.03525
ODPP,onlessncr,171,177,176,175,180,0.1812
ODPP,qclessncr,82,82,75,81,83,0.08308
ODPP,sk,28,26,26,28,29,0.02824
ODPP,yt,37,38,34,29,32,0.03504
OICC,na,.,.,.,.,10,0.00613
OICC,ncr,308,288,346,341,307,0.97546
OICC,qclessncr,.,.,8,10,12,0.0184
OPSIC,na,.,.,.,.,3,0.02239
OPSIC,ncr,31,28,25,26,21,0.97761
ORL,na,.,.,.,.,2,0.0155
ORL,ncr,26,26,27,26,22,0.9845
OSFI,bc,13,13,13,13,14,0.01954
OSFI,na,.,.,.,1,1,0.00059
OSFI,ncr,299,309,325,306,310,0.45869
OSFI,onlessncr,311,346,344,328,345,0.49571
OSFI,qclessncr,15,16,18,19,18,0.02547
PCA,ab,578,631,674,735,716,0.19212
PCA,bc,333,368,372,380,413,0.10753
PCA,nl,97,113,113,136,139,0.03446
PCA,mb,157,160,185,202,185,0.05123
PCA,na,.,.,.,.,169,0.00974
PCA,nb,64,74,73,96,101,0.02351
PCA,ncr,468,484,509,595,580,0.1519
PCA,ns,247,265,276,311,285,0.07975
PCA,nt,56,55,63,77,78,0.01896
PCA,nu,27,32,30,40,39,0.00968
PCA,onlessncr,402,430,490,580,570,0.14245
PCA,pe,36,46,45,66,72,0.01527
PCA,qclessncr,320,353,385,452,431,0.11185
PCA,sk,95,112,119,135,137,0.03446
PCA,yt,43,52,60,81,61,0.01711
PCC,bc,14,14,17,2,3,0.14837
PCC,na,.,.,.,.,12,0.03561
PCC,ncr,46,50,56,69,52,0.81009
PCC,onlessncr,.,1,1,.,.,0.00593
PCO,abroad,2,.,.,.,.,0.00053
PCO,bc,.,.,.,.,6,0.0016
PCO,na,.,.,.,9,44,0.01416
PCO,ncr,751,751,728,703,749,0.98344
PCO,qclessncr,1,.,.,.,.,0.00027
PHAC,ab,36,34,35,34,34,0.01575
PHAC,bc,43,50,49,47,41,0.02095
PHAC,nl,6,4,3,6,4,0.00209
PHAC,mb,475,491,509,489,482,0.22275
PHAC,na,.,.,.,37,36,0.00665
PHAC,nb,6,6,5,5,3,0.00228
PHAC,ncr,1319,1280,1292,1302,1338,0.59475
PHAC,ns,34,33,31,32,32,0.01475
PHAC,nt,.,2,1,2,.,0.00046
PHAC,nu,1,.,1,3,6,0.001
PHAC,onlessncr,156,176,170,167,163,0.07577
PHAC,pe,2,1,1,1,2,0.00064
PHAC,qclessncr,68,82,75,81,75,0.0347
PHAC,sk,12,10,11,13,13,0.00537
PHAC,yt,5,6,3,4,5,0.00209
PMPRB,na,.,.,.,.,4,0.01307
PMPRB,ncr,53,55,60,69,65,0.98693
PSC,ab,6,.,.,.,.,0.00155
PSC,bc,15,8,5,8,9,0.01166
PSC,mb,5,2,.,.,.,0.00181
PSC,na,.,.,.,3,12,0.00389
PSC,ncr,747,661,664,639,695,0.88238
PSC,ns,20,9,11,10,10,0.01554
PSC,onlessncr,22,14,17,14,16,0.0215
PSC,qclessncr,50,42,41,67,38,0.06166
PSEP,ab,14,10,8,6,7,0.0083
PSEP,abroad,3,2,2,.,.,0.00129
PSEP,bc,16,13,16,19,18,0.01513
PSEP,nl,4,4,3,2,5,0.00332
PSEP,mb,13,10,10,11,9,0.00978
PSEP,na,.,.,.,9,18,0.00498
PSEP,nb,8,8,8,8,8,0.00738
PSEP,ncr,977,940,869,1014,1024,0.88987
PSEP,ns,26,24,23,23,15,0.02048
PSEP,nt,6,3,2,1,1,0.0024
PSEP,onlessncr,11,11,9,9,15,0.01015
PSEP,pe,5,4,5,3,2,0.0035
PSEP,qclessncr,20,19,16,14,19,0.01623
PSEP,sk,8,8,7,6,8,0.00683
PSEP,yt,1,1,.,.,.,0.00037
PSSRB,ncr,96,91,.,.,.,1
PSST,ncr,32,31,.,.,.,1
RCMP,ab,545,558,592,632,665,0.09396
RCMP,abroad,.,.,.,1,.,3E-05
RCMP,bc,1150,1147,1236,1228,1260,0.18907
RCMP,nl,161,161,175,188,186,0.02735
RCMP,mb,328,341,353,363,360,0.0548
RCMP,na,.,.,.,48,81,0.00405
RCMP,nb,434,434,473,469,453,0.07106
RCMP,ncr,1805,1868,1933,1966,2081,0.30312
RCMP,ns,255,251,272,272,275,0.04161
RCMP,nt,36,38,33,34,43,0.00578
RCMP,nu,10,10,12,11,14,0.00179
RCMP,onlessncr,273,251,272,255,257,0.04107
RCMP,pe,32,31,41,38,37,0.00562
RCMP,qclessncr,295,284,277,259,254,0.04299
RCMP,sk,612,653,733,770,802,0.11211
RCMP,yt,35,38,35,37,33,0.00559
RPSDP,ncr,9,9,.,.,.,1
RSCT,ncr,10,9,.,.,.,1
SC,ab,283,314,281,424,328,0.04855
SC,bc,121,112,114,226,116,0.02052
SC,nl,28,26,35,51,29,0.00503
SC,mb,237,274,227,278,271,0.03834
SC,na,.,.,.,7,62,0.00206
SC,nb,45,40,38,57,34,0.00637
SC,ncr,4262,4515,4590,4704,4835,0.68232
SC,ns,204,252,228,293,272,0.0372
SC,nt,4,5,5,6,8,0.00083
SC,nu,1,1,1,1,7,0.00033
SC,onlessncr,545,543,594,734,576,0.08912
SC,pe,23,20,23,23,18,0.00319
SC,qclessncr,331,351,331,515,368,0.05648
SC,sk,41,46,53,88,53,0.00837
SC,yt,6,7,12,11,7,0.00128
SCC,ncr,216,219,213,212,216,1
SHARE,ab,92,91,83,81,70,0.01583
SHARE,bc,138,136,135,128,114,0.02471
SHARE,nl,41,39,37,24,22,0.00619
SHARE,mb,99,94,91,87,74,0.01689
SHARE,na,.,.,.,39,26,0.00247
SHARE,nb,168,163,155,141,137,0.029
SHARE,ncr,3889,4006,3884,3860,4044,0.74718
SHARE,ns,96,101,99,98,91,0.01841
SHARE,nt,3,3,3,3,2,0.00053
SHARE,onlessncr,279,274,270,253,246,0.05018
SHARE,pe,83,76,71,69,59,0.01359
SHARE,qclessncr,387,384,385,353,351,0.07061
SHARE,sk,24,27,23,21,21,0.0044
SIRC,na,.,.,.,.,4,0.04396
SIRC,ncr,15,16,18,20,18,0.95604
SSHRC,na,.,.,.,.,1,0.00097
SSHRC,ncr,199,205,209,210,210,0.99903
SWC,ab,6,4,3,3,3,0.03958
SWC,bc,.,1,1,1,.,0.00625
SWC,na,.,.,.,.,6,0.0125
SWC,nb,5,5,5,5,5,0.05208
SWC,ncr,84,85,79,79,81,0.85
SWC,qclessncr,5,3,4,3,4,0.03958
TBC,na,.,.,.,5,39,0.00491
TBC,nb,1,.,.,.,.,0.00011
TBC,ncr,1858,1778,1759,1721,1802,0.99442
TBC,onlessncr,1,.,2,2,.,0.00056
TC,ab,169,160,186,178,172,0.03503
TC,abroad,2,2,2,3,.,0.00036
TC,bc,471,462,520,527,494,0.1002
TC,nl,94,94,93,90,93,0.01879
TC,mb,229,238,262,277,241,0.05051
TC,na,.,.,.,1,15,0.00065
TC,nb,180,190,202,195,188,0.03868
TC,ncr,2543,2537,2753,2732,2499,0.52912
TC,ns,124,119,125,114,105,0.02377
TC,nt,3,2,2,4,3,0.00057
TC,onlessncr,450,435,477,451,434,0.09101
TC,pe,7,7,7,6,8,0.00142
TC,qclessncr,490,509,555,558,513,0.10632
TC,sk,12,13,18,14,13,0.00284
TC,yt,4,3,3,4,4,0.00073
TRC,ab,2,2,1,.,.,0.10204
TRC,bc,1,.,.,.,.,0.02041
TRC,mb,15,10,6,.,.,0.63265
TRC,ncr,5,2,1,.,.,0.16327
TRC,nt,2,1,1,.,.,0.08163
VAC,ab,77,67,69,71,82,0.02261
VAC,abroad,17,19,19,16,26,0.00599
VAC,bc,198,158,148,168,185,0.05295
VAC,nl,28,26,25,30,43,0.00939
VAC,mb,114,76,65,73,79,0.02515
VAC,na,.,.,.,37,53,0.00556
VAC,nb,63,57,56,63,73,0.01928
VAC,ncr,186,163,170,188,221,0.05733
VAC,ns,151,123,109,125,142,0.04016
VAC,onlessncr,373,340,331,368,370,0.1101
VAC,pe,1242,1112,1117,1169,1178,0.35945
VAC,qclessncr,1132,1033,1056,1094,338,0.28747
VAC,sk,21,14,9,11,19,0.00457
VRAB,na,.,.,.,.,15,0.17442
VRAB,pe,.,.,.,.,71,0.82558
WDO,ab,132,119,120,126,125,0.40894
WDO,bc,69,68,59,58,50,0.19987
WDO,mb,47,44,36,34,32,0.12689
WDO,na,.,.,.,.,3,0.00197
WDO,ncr,46,43,39,36,28,0.12623
WDO,sk,41,44,43,38,41,0.13609
JJJ,ab,95,99,96,92,.,0.06794
JJJ,bc,126,131,129,124,.,0.0907
JJJ,nl,36,37,37,36,.,0.02596
JJJ,mb,51,52,54,53,.,0.03735
JJJ,na,.,.,.,.,1128,0.2006
JJJ,nb,39,39,38,38,.,0.02739
JJJ,ncr,110,108,118,127,.,0.08234
JJJ,ns,49,54,59,60,.,0.03948
JJJ,nt,4,4,4,4,.,0.00285
JJJ,nu,6,6,6,5,.,0.00409
JJJ,onlessncr,315,315,337,328,.,0.2303
JJJ,pe,9,9,8,8,.,0.00605
JJJ,qclessncr,212,206,206,213,.,0.14885
JJJ,sk,46,48,50,51,.,0.03468
JJJ,yt,2,2,2,2,.,0.00142
