Dept,Occ_Cat,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
CIDA,Technical,7,6,.,.,.,0.00378
CIHR,Other,424,394,412,432,409,1
CIRB,Administration and Foreign Service,65,65,64,.,.,0.72388
CIRB,Administrative Support,2,2,2,.,.,0.02239
CIRB,Executive,7,8,7,.,.,0.08209
CIRB,Other,11,10,10,.,.,0.11567
CIRB,Scientific and Professional,4,6,5,.,.,0.05597
CITT,Administration and Foreign Service,43,46,48,.,.,0.60352
CITT,Administrative Support,8,8,7,.,.,0.10132
CITT,Executive,7,7,8,.,.,0.09692
CITT,Other,9,7,9,.,.,0.11013
CITT,Scientific and Professional,10,5,5,.,.,0.08811
CNEDA,Administration and Foreign Service,.,.,.,60,53,0.74342
CNEDA,Administrative Support,.,.,.,1,1,0.01316
CNEDA,Executive,.,.,.,8,10,0.11842
CNEDA,Other,.,.,.,1,2,0.01974
CNEDA,Scientific and Professional,.,.,.,5,11,0.10526
CPAC,Administration and Foreign Service,12,11,12,13,11,0.67816
CPAC,Executive,1,.,.,1,1,0.03448
CPAC,Operational,.,.,.,.,2,0.02299
CPAC,Other,.,.,1,1,1,0.03448
CPAC,Scientific and Professional,3,5,4,4,4,0.22989
CPCC,Other,4,9,11,14,29,1
CRTC,Administration and Foreign Service,340,333,330,355,347,0.76048
CRTC,Administrative Support,19,21,19,17,13,0.0397
CRTC,Executive,29,31,28,26,29,0.06378
CRTC,Other,17,13,14,15,17,0.0339
CRTC,Scientific and Professional,45,46,44,49,44,0.10169
CRTC,Technical,1,.,.,.,.,0.00045
CSA,Administration and Foreign Service,251,206,203,203,201,0.32688
CSA,Administrative Support,66,58,55,51,53,0.08694
CSA,Executive,30,25,22,22,24,0.03779
CSA,Operational,2,3,3,2,2,0.00369
CSA,Other,63,39,18,19,19,0.04854
CSA,Scientific and Professional,300,289,284,267,275,0.43472
CSA,Technical,43,43,36,36,42,0.06144
CSC,Administration and Foreign Service,6202,5921,5846,5536,5312,0.31813
CSC,Administrative Support,1890,1711,1660,1502,1442,0.09058
CSC,Executive,203,185,171,161,157,0.00968
CSC,Operational,9044,9083,8989,9034,8855,0.49684
CSC,Other,111,84,64,39,61,0.00396
CSC,Scientific and Professional,1478,1434,1432,1267,1248,0.07572
CSC,Technical,84,83,97,100,97,0.00509
CSEC,Other,1985,2075,2171,2168,2162,1
CTA,Administration and Foreign Service,163,161,151,164,166,0.67534
CTA,Administrative Support,15,16,9,13,11,0.05369
CTA,Executive,13,14,13,14,13,0.05621
CTA,Other,16,12,4,13,11,0.04698
CTA,Scientific and Professional,43,41,41,37,38,0.16779
CTAIB,Administration and Foreign Service,61,61,62,71,67,0.30696
CTAIB,Administrative Support,18,13,14,10,10,0.06196
CTAIB,Executive,7,7,7,7,7,0.03337
CTAIB,Other,3,5,4,4,5,0.02002
CTAIB,Scientific and Professional,31,29,26,29,31,0.13918
CTAIB,Technical,96,87,90,92,95,0.43851
EA,Administration and Foreign Service,5114,4856,4372,4335,4232,0.70028
EA,Administrative Support,1104,1192,237,212,179,0.08938
EA,Executive,531,478,529,535,559,0.08045
EA,Operational,11,11,13,16,10,0.00186
EA,Other,308,227,157,163,181,0.03167
EA,Scientific and Professional,436,453,671,665,687,0.08901
EA,Technical,51,52,48,47,42,0.00734
EC,Administration and Foreign Service,1907,1684,1732,1751,1699,0.26755
EC,Administrative Support,300,296,279,256,217,0.04111
EC,Executive,187,173,166,169,154,0.02589
EC,Operational,41,39,33,30,29,0.00525
EC,Other,450,356,374,326,354,0.05672
EC,Scientific and Professional,2774,2747,2829,2917,2912,0.43242
EC,Technical,1103,1113,1137,1146,1110,0.17106
ERC,Administration and Foreign Service,1,2,2,2,2,0.33333
ERC,Executive,.,1,.,.,1,0.07407
ERC,Other,.,.,1,1,1,0.11111
ERC,Scientific and Professional,2,3,2,3,3,0.48148
FCAC,Other,68,73,78,84,94,1
FEDSO,Administration and Foreign Service,156,147,158,151,149,0.68744
FEDSO,Administrative Support,21,28,21,20,19,0.09846
FEDSO,Executive,14,13,16,14,12,0.06233
FEDSO,Other,6,5,3,3,12,0.0262
FEDSO,Scientific and Professional,28,25,26,30,30,0.12556
FIN,Administration and Foreign Service,258,248,253,249,233,0.32953
FIN,Administrative Support,16,11,10,10,12,0.01567
FIN,Executive,162,155,155,141,142,0.20048
FIN,Operational,.,.,2,2,.,0.00106
FIN,Other,15,12,13,8,10,0.0154
FIN,Scientific and Professional,326,326,314,328,335,0.43255
FIN,Technical,4,4,4,5,3,0.00531
FJA,Administration and Foreign Service,36,38,38,39,39,0.625
FJA,Administrative Support,8,8,1,1,2,0.06579
FJA,Executive,8,7,8,7,9,0.12829
FJA,Other,4,3,2,1,1,0.03618
FJA,Scientific and Professional,9,10,8,6,7,0.13158
FJA,Technical,1,1,1,.,1,0.01316
FO,Administration and Foreign Service,2606,2422,2299,2267,2332,0.23415
FO,Administrative Support,760,673,645,629,573,0.0644
FO,Executive,268,251,218,210,216,0.02283
FO,Operational,1873,1813,1804,1810,1831,0.17927
FO,Other,100,101,92,113,99,0.00991
FO,Scientific and Professional,1806,1667,1570,1548,1622,0.16125
FO,Technical,3510,3367,3330,3281,3228,0.32819
FORDQ,Administration and Foreign Service,270,226,237,230,241,0.68721
FORDQ,Administrative Support,42,36,32,31,25,0.09475
FORDQ,Executive,16,14,14,15,16,0.04281
FORDQ,Other,23,21,22,20,14,0.05708
FORDQ,Scientific and Professional,50,42,43,35,37,0.11815
FTRAC,Other,376,374,347,355,374,1
GG,Administration and Foreign Service,87,86,85,84,94,0.54432
GG,Administrative Support,20,18,17,18,21,0.11735
GG,Executive,12,13,12,12,12,0.07615
GG,Operational,28,24,25,24,24,0.15605
GG,Other,9,8,9,10,7,0.05368
GG,Scientific and Professional,4,4,4,4,3,0.02372
GG,Technical,6,5,3,4,5,0.02871
GSC,Administration and Foreign Service,9156,7922,7871,7916,7866,0.65757
GSC,Administrative Support,1555,1476,1458,1510,1476,0.12068
GSC,Executive,344,332,337,354,356,0.02782
GSC,Operational,427,406,366,354,320,0.03024
GSC,Other,267,194,201,262,284,0.0195
GSC,Scientific and Professional,1253,1155,1125,1126,1202,0.09462
GSC,Technical,676,659,609,570,557,0.04958
H,Administration and Foreign Service,3629,3233,3152,3066,3029,0.33639
H,Administrative Support,1339,1205,1047,965,938,0.11473
H,Executive,231,210,218,212,205,0.02247
H,Operational,231,242,230,173,166,0.02176
H,Other,168,144,180,159,225,0.01829
H,Scientific and Professional,4452,4167,4053,4056,4193,0.43687
H,Technical,528,500,461,448,433,0.04949
HMIRC,Administration and Foreign Service,18,10,.,.,.,0.39437
HMIRC,Administrative Support,1,2,.,.,.,0.04225
HMIRC,Executive,2,2,.,.,.,0.05634
HMIRC,Other,2,2,.,.,.,0.05634
HMIRC,Scientific and Professional,17,15,.,.,.,0.4507
HRSD,Administration and Foreign Service,17346,15063,15473,15888,16419,0.74305
HRSD,Administrative Support,2709,2514,3077,2990,3050,0.13288
HRSD,Executive,515,468,451,465,461,0.02187
HRSD,Operational,15,6,3,5,4,0.00031
HRSD,Other,516,254,416,632,603,0.02243
HRSD,Scientific and Professional,1452,1575,1531,1596,1620,0.07204
HRSD,Technical,203,166,146,131,155,0.00742
IJC,Administration and Foreign Service,13,13,14,14,13,0.43226
IJC,Administrative Support,4,5,.,.,.,0.05806
IJC,Executive,1,2,2,2,2,0.05806
IJC,Other,3,3,3,4,3,0.10323
IJC,Scientific and Professional,7,9,12,12,14,0.34839
INAC,Administration and Foreign Service,3086,2790,2678,2543,2507,0.55511
INAC,Administrative Support,614,521,523,492,473,0.10703
INAC,Executive,242,208,199,181,188,0.04154
INAC,Operational,4,4,3,4,3,0.00073
INAC,Other,169,195,224,266,278,0.04619
INAC,Scientific and Professional,1194,1156,1135,1099,1051,0.22993
INAC,Technical,100,101,95,99,82,0.01946
IOG,Other,79,84,85,80,85,1
IPC,Administration and Foreign Service,194,186,194,208,190,0.72918
IPC,Administrative Support,13,10,12,10,6,0.03826
IPC,Executive,20,19,18,20,20,0.07277
IPC,Operational,1,.,.,.,.,0.00075
IPC,Other,9,7,4,7,10,0.02776
IPC,Scientific and Professional,36,36,33,37,33,0.13128
IRB,Administration and Foreign Service,523,546,511,500,520,0.51958
IRB,Administrative Support,273,262,255,237,251,0.2554
IRB,Executive,35,36,31,29,28,0.03177
IRB,Other,156,106,101,87,83,0.10651
IRB,Scientific and Professional,73,84,85,101,91,0.08673
ISC,Administration and Foreign Service,2927,2615,2555,2579,2540,0.54479
ISC,Administrative Support,422,375,355,334,323,0.07457
ISC,Executive,209,211,198,199,203,0.04205
ISC,Operational,34,23,22,20,19,0.00486
ISC,Other,59,54,84,85,144,0.01756
ISC,Scientific and Professional,1110,1057,1056,1084,1098,0.2228
ISC,Technical,480,447,448,441,449,0.09337
JJJ,Other,1105,1100,1110,1144,1141,1
JUS,Administration and Foreign Service,1110,1009,958,962,934,0.21283
JUS,Administrative Support,796,687,647,624,628,0.14474
JUS,Executive,330,313,283,282,284,0.06385
JUS,Other,54,31,36,37,47,0.00877
JUS,Scientific and Professional,2836,2683,2649,2570,2567,0.56942
JUS,Technical,4,2,1,1,1,0.00039
LAC,Administration and Foreign Service,370,318,322,323,319,0.32616
LAC,Administrative Support,233,171,226,152,108,0.17572
LAC,Executive,39,28,29,31,29,0.0308
LAC,Operational,1,1,.,.,.,0.00039
LAC,Other,19,9,19,19,11,0.0152
LAC,Scientific and Professional,419,329,376,397,371,0.37354
LAC,Technical,64,57,71,104,100,0.07818
MPCC,Administration and Foreign Service,8,10,7,14,15,0.5625
MPCC,Administrative Support,2,1,.,1,2,0.0625
MPCC,Executive,2,2,2,3,3,0.125
MPCC,Other,1,1,1,1,2,0.0625
MPCC,Scientific and Professional,3,4,4,3,4,0.1875
ND,Administration and Foreign Service,7988,7316,6904,6779,7005,0.29788
ND,Administrative Support,4003,3572,3224,3120,3140,0.14119
ND,Executive,154,162,149,152,166,0.00648
ND,Operational,8390,7811,7162,6962,6885,0.30796
ND,Other,330,206,208,185,313,0.01028
ND,Scientific and Professional,3229,3013,2821,2823,2847,0.12193
ND,Technical,3083,2859,2678,2590,2598,0.11428
NEB,Other,396,409,435,447,469,1
NFB,Other,425,466,420,394,389,1
NPB,Administration and Foreign Service,264,285,288,283,277,0.61951
NPB,Administrative Support,100,107,108,119,111,0.24169
NPB,Executive,13,14,14,13,12,0.02927
NPB,Operational,1,.,.,.,.,0.00044
NPB,Other,48,46,46,49,46,0.10421
NPB,Scientific and Professional,2,2,3,3,1,0.00488
NR,Administration and Foreign Service,1537,1410,1320,1283,1249,0.3149
NR,Administrative Support,211,186,190,168,159,0.04233
NR,Executive,159,145,150,148,144,0.03455
NR,Operational,71,67,61,65,52,0.01464
NR,Other,169,185,175,168,174,0.04034
NR,Scientific and Professional,1943,1829,1784,1782,1889,0.42735
NR,Technical,569,539,551,535,524,0.12589
NRC,Other,3945,3525,3534,3618,3780,1
NRTEE,Other,32,3,.,.,.,1
NSERC,Other,424,407,409,418,444,1
OAG,Other,653,611,581,571,588,1
OCI,Other,28,33,40,35,37,1
OCOL,Administration and Foreign Service,125,120,132,128,127,0.75779
OCOL,Administrative Support,12,11,12,14,8,0.06835
OCOL,Executive,15,15,13,15,13,0.08513
OCOL,Other,6,6,3,4,4,0.02758
OCOL,Scientific and Professional,6,9,9,9,10,0.05156
OCOL,Technical,1,1,2,2,2,0.00959
ODPP,Administration and Foreign Service,120,135,152,166,169,0.15487
ODPP,Administrative Support,231,229,218,212,209,0.22939
ODPP,Executive,40,37,31,32,28,0.03507
ODPP,Other,6,8,5,2,2,0.0048
ODPP,Scientific and Professional,533,545,563,556,562,0.57587
OICC,Administration and Foreign Service,189,168,162,165,179,0.52335
OICC,Administrative Support,6,5,6,6,3,0.01577
OICC,Executive,31,28,25,31,31,0.08854
OICC,Other,14,7,5,17,15,0.03517
OICC,Scientific and Professional,108,100,90,135,123,0.33717
OPSIC,Administration and Foreign Service,24,20,15,13,11,0.59286
OPSIC,Executive,3,3,4,4,4,0.12857
OPSIC,Other,1,2,1,.,1,0.03571
OPSIC,Scientific and Professional,2,6,8,8,10,0.24286
ORL,Administration and Foreign Service,21,19,19,19,18,0.7218
ORL,Administrative Support,.,.,.,1,.,0.00752
ORL,Executive,3,3,3,3,4,0.1203
ORL,Other,1,1,1,1,1,0.03759
ORL,Scientific and Professional,3,3,3,3,3,0.11278
OSFI,Other,603,638,684,700,667,1
PCA,Other,3821,2923,3175,3394,3886,1
PCC,Administration and Foreign Service,39,42,45,50,52,0.70154
PCC,Administrative Support,3,4,2,2,2,0.04
PCC,Executive,.,5,5,6,3,0.05846
PCC,Other,6,3,6,9,7,0.09538
PCC,Scientific and Professional,7,6,7,7,7,0.10462
PCO,Administration and Foreign Service,491,425,418,417,398,0.56007
PCO,Administrative Support,79,58,54,43,42,0.07193
PCO,Executive,107,102,88,82,71,0.11728
PCO,Operational,19,17,22,20,24,0.02658
PCO,Other,41,22,35,33,30,0.04196
PCO,Scientific and Professional,119,95,102,103,113,0.13865
PCO,Technical,36,35,32,30,34,0.04352
PHAC,Administration and Foreign Service,1085,666,632,648,655,0.3198
PHAC,Administrative Support,210,118,106,84,70,0.05102
PHAC,Executive,77,75,69,67,73,0.03132
PHAC,Operational,34,35,33,35,33,0.01475
PHAC,Other,94,93,128,103,118,0.0465
PHAC,Scientific and Professional,1027,942,954,983,1011,0.4266
PHAC,Technical,252,234,253,266,263,0.11001
PMPRB,Administration and Foreign Service,32,31,30,33,42,0.57338
PMPRB,Administrative Support,2,2,2,2,1,0.03072
PMPRB,Executive,6,6,6,6,6,0.10239
PMPRB,Other,.,.,1,1,.,0.00683
PMPRB,Scientific and Professional,16,14,16,18,20,0.28669
PSC,Administration and Foreign Service,590,554,462,442,445,0.6148
PSC,Administrative Support,112,90,69,78,67,0.10259
PSC,Executive,63,52,43,44,43,0.06042
PSC,Other,28,15,10,18,21,0.02269
PSC,Scientific and Professional,182,154,152,156,165,0.19951
PSEP,Administration and Foreign Service,711,680,630,607,654,0.60947
PSEP,Administrative Support,47,46,42,38,43,0.04011
PSEP,Executive,100,96,90,79,72,0.08115
PSEP,Operational,2,.,1,.,.,0.00056
PSEP,Other,32,33,34,43,70,0.03937
PSEP,Scientific and Professional,215,252,259,206,280,0.22507
PSEP,Technical,6,5,1,5,6,0.00427
PSSRB,Other,88,96,91,.,.,1
PSST,Administration and Foreign Service,24,18,20,.,.,0.61386
PSST,Executive,4,4,2,.,.,0.09901
