"measure_id","org_id","funding","allocated","withheld","remaining"
130,138,3900000,3156958,727062,15980
131,122,14500000,0,0,0
131,280,2000000,287923,1712077,0
132,26,85491000,73729991,11761009,0
133,132,2300000,0,0,2300000
133,240,3000000,3000000,0,0
134,280,4632000,1795790,2200360,635850
135,348,25000000,0,25000000,0
136,117,74700000,65302282,9360456,37262
136,247,680000,527582,152418,0
137,280,75000000,75000000,0,0
138,122,32460000,29505997,2942090,11913
138,123,5170000,4826849,342933,218
138,127,2940000,2140000,800000,0
138,128,4360000,4188166,36182,135652
138,280,1260000,263475,996525,0
138,313,600000,450139,149315,546
139,118,5500000,4599433,900567,0
139,288,2059000,1785430,273570,0
140,246,10000000,4709531,5290469,0
141,128,3800000,0,3800000,0
142,263,1250000,1076124,173876,0
143,122,10000000,0,10000000,0
144,348,10000000,10000000,0,0
145,280,5000000,5000000,0,0
146,295,105474000,0,0,24794000
147,122,3325000,3325000,0,0
148,81,4000000,4000000,0,0
149,129,15026000,14973056,52944,0
150,129,5000000,5000000,0,0
151,130,10000000,10000000,0,0
152,129,21900000,20257614,1298665,343721
153,74,3000000,2966856,33144,0
153,135,2000000,0,0,2000000
153,295,2800000,2088559,700000,11441
154,125,10813000,9523168,1289832,0
155,133,400000,400000,0,0
155,135,900000,0,0,900000
155,246,5500000,2500000,0,3000000
155,280,5625000,2320471,3304529,0
155,295,1500000,1397060,95578,7362
156,238,8253000,6999000,1254000,0
158,248,990000,571278,192722,226000
160,348,0,68860595,2639407,0
161,348,0,19735298,224701,0
162,348,0,4406534,93466,0
163,348,0,5241339,258661,0
164,46,0,14944003,3844131,0
165,228,0,10813667,1586333,0
166,228,0,52378832,7221168,0
167,137,0,6535996,1350608,0
168,137,0,6248371,2198025,0
169,228,0,5915916,84084,0
170,228,0,29579584,420416,0
171,126,0,71569653,1121227,0
172,110,0,35703582,156339,0
173,"non_allocated",0,0,99196,0
174,"non_allocated",0,0,99196,0
175,"non_allocated",0,0,99196,0
176,"non_allocated",0,0,852917,0
177,"non_allocated",0,0,99196,0
178,"non_allocated",0,0,99196,0
179,"non_allocated",0,0,99196,0
180,"non_allocated",0,0,99196,0
181,"non_allocated",0,0,99196,0
182,"non_allocated",0,0,2339766,0
183,"non_allocated",0,0,634801,0
184,"non_allocated",0,0,184700,0
185,"non_allocated",0,0,935821,0
186,"non_allocated",0,0,3191733,0
187,"non_allocated",0,0,99196,0
188,"non_allocated",0,0,1581070,0
189,"non_allocated",0,0,863666,0
190,"non_allocated",0,0,1321584,0
191,"non_allocated",0,0,546164,0
192,"non_allocated",0,0,524737,0
193,"non_allocated",0,0,510271,0
194,"non_allocated",0,0,3090753,0
195,"non_allocated",0,0,471374,0
196,"non_allocated",0,0,129278,0
197,"non_allocated",0,0,1803820,0
198,"non_allocated",0,0,769838,0
199,"non_allocated",0,0,302971,0
200,"non_allocated",0,0,99196,0
201,"non_allocated",0,0,129278,0
202,"non_allocated",0,0,99196,0
203,"non_allocated",0,0,99196,0
204,"non_allocated",0,0,108510,0
205,"non_allocated",0,0,673286,0
206,"non_allocated",0,0,99196,0
207,"non_allocated",0,0,99196,0
208,"non_allocated",0,0,99196,0
209,"non_allocated",0,0,216112,0
210,"non_allocated",0,0,99196,0
211,"non_allocated",0,0,1109910,0
212,"non_allocated",0,0,99196,0
213,"non_allocated",0,0,99196,0
214,"non_allocated",0,0,611975,0
215,"non_allocated",0,0,210934,0
216,"non_allocated",0,0,99196,0
217,"non_allocated",0,0,0,0
218,"non_allocated",0,0,0,0
219,"non_allocated",0,0,0,0
220,"non_allocated",0,0,0,0
221,"non_allocated",0,0,0,0
222,"non_allocated",0,0,0,0
223,"non_allocated",0,0,0,0
224,"non_allocated",0,0,0,0
225,"non_allocated",0,0,0,0
226,"non_allocated",0,0,0,0
227,"non_allocated",0,0,0,0
228,"non_allocated",0,0,0,0
229,"non_allocated",0,0,0,0
230,"non_allocated",0,0,0,0
231,"non_allocated",0,0,0,0
232,"non_allocated",0,0,0,0
233,"non_allocated",0,0,0,0
234,"non_allocated",0,0,0,0
235,"non_allocated",0,0,0,0
236,"non_allocated",0,0,0,0
237,"non_allocated",0,0,0,0
238,"non_allocated",0,0,0,0
239,"non_allocated",0,0,0,0
240,"non_allocated",0,0,0,0
241,"non_allocated",0,0,0,0
242,"non_allocated",0,0,0,0
243,"non_allocated",0,0,0,0
244,"non_allocated",0,0,0,0
245,"non_allocated",0,0,0,0
246,"non_allocated",0,0,0,0
247,"non_allocated",0,0,0,0
248,"non_allocated",0,0,0,0
249,"non_allocated",0,0,0,0
250,"non_allocated",0,0,0,0
251,"non_allocated",0,0,0,0
252,"non_allocated",0,0,0,0
253,"non_allocated",0,0,0,0
254,"non_allocated",0,0,0,0
255,"non_allocated",0,0,0,0
256,"non_allocated",0,0,0,0
257,"non_allocated",0,0,0,0
258,"non_allocated",0,0,0,0
259,"non_allocated",0,0,0,0
260,"non_allocated",0,0,0,0
261,305,0,123166756,0,0
262,305,0,57184259,14637786,0
263,46,0,9805851,2194149,0
264,110,0,985185,114815,0
265,127,0,144617038,282825,0
266,127,0,8933723,166277,0
267,348,0,195037281,0,0
268,305,0,3965167,4282539,0
269,305,0,20892999,0,0
270,313,0,36363664,6025524,0
271,313,0,3885728,1233084,0
272,326,0,945374,154627,0
273,326,0,1990763,459236,0
274,122,0,10983832,516168,0
275,126,0,87766819,0,0
276,136,0,54260435,12800000,0
277,136,0,188548775,51198790,0
278,326,0,6991848,1008152,0
279,326,0,5989717,1374283,0
280,"net_adjust",0,0,70000000,0
281,"net_adjust",0,0,149691941,0
282,"net_adjust",0,0,299904059,0
283,110,0,1603689,107596,0
284,110,0,219645,16070,0
285,305,0,25368344,692501,0
286,326,0,4000000,0,0
287,295,0,80000000,0,0
288,295,0,680000,0,0
289,125,0,11355817,941815,0
290,110,0,4926426,410209,0
291,122,0,700148,2299852,0
292,348,0,12747677,52323,0
293,348,0,20800000,0,0
294,348,0,39782802,217198,0
295,348,0,0,12100000,0
296,313,0,2111861,698139,0
297,313,0,1759363,2378637,0
"net_adjust","net_adjust",519596000,0,0,0
