"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"PMPRB",7,21000,2000,2000,35000,2000,2000
"PMPRB",9,670000,89000,89000,65000,52000,52000
"PMPRB",12,47000,6000,6000,12000,19000,19000
"PSC",1,85760000,16177000,16177000,83814000,16959000,16959000
"PSC",2,731000,108000,108000,551000,103000,103000
"PSC",3,175000,31000,31000,215000,30000,30000
"PSC",4,10894000,791000,791000,9929000,689000,689000
"PSC",5,1195000,124000,124000,2307000,81000,81000
"PSC",6,75000,8000,8000,220000,12000,12000
"PSC",7,189000,59000,59000,137000,23000,23000
"PSC",9,659000,118000,118000,464000,134000,134000
"PSC",12,77000,165000,165000,126000,630000,630000
"PSC",20,-14252000,-551000,-551000,-14252000,-470000,-470000
"PSEP",1,119261262,30008946,30008946,110263117,27627242,27627242
"PSEP",2,4255650,580820,580820,3625205,481736,481736
"PSEP",3,3504606,356950,356950,1834867,226218,226218
"PSEP",4,21676020,1996555,1996555,19441215,1846099,1846099
"PSEP",5,5684112,742183,742183,4344385,521680,521680
"PSEP",6,1045102,34199,34199,692756,32251,32251
"PSEP",7,1147220,70168,70168,1292354,75861,75861
"PSEP",9,2947966,231343,231343,3654953,517260,517260
"PSEP",10,1007864906,51407626,51407626,914540358,65243829,65243829
"PSEP",12,188672,568690,568690,100514,440085,440085
"PSEP",20,-2700000,-1243262,-1243262,-2700000,-1021250,-1021250
"RCMP",1,3472759000,810711000,810711000,3194707000,912505000,912505000
"RCMP",2,213890000,67541000,67541000,173265000,62336000,62336000
"RCMP",3,4418000,337000,337000,3457000,356000,356000
"RCMP",4,475039000,95826000,95826000,402982000,82957000,82957000
"RCMP",5,123094000,33450000,33450000,90538000,20032000,20032000
"RCMP",6,101590000,13373000,13373000,91963000,12455000,12455000
"RCMP",7,143995000,35319000,35319000,121479000,28038000,28038000
"RCMP",8,97233000,9809000,9809000,88262000,4175000,4175000
"RCMP",9,243633000,48929000,48929000,265735000,22914000,22914000
"RCMP",10,261923000,61282000,61282000,233574000,54160000,54160000
"RCMP",11,824000,188000,188000,0,0,0
"RCMP",12,118389000,22799000,22799000,157876000,21642000,21642000
"RCMP",20,-1699988000,-407855000,-407855000,-1934332000,-320443000,-320443000
"SC",1,512332000,129600000,129600000,482636000,125928000,125928000
"SC",2,16557000,2369000,2369000,16223000,3440000,3440000
"SC",3,7198000,933000,933000,3482000,880000,880000
"SC",4,29945000,4941000,4941000,31750000,3241000,3241000
"SC",5,12207000,4468000,4468000,12302000,3429000,3429000
"SC",6,1241000,128000,128000,2034000,54000,54000
"SC",7,2589000,188000,188000,2808000,259000,259000
"SC",8,172000,7000,7000,0,2000,2000
"SC",9,10419000,2822000,2822000,8170000,2061000,2061000
"SC",10,100000,0,0,100000,0,0
"SC",12,5659000,1177000,1177000,31559000,121000,121000
"SC",20,-120000000,-17347000,-17347000,-120000000,-17218000,-17218000
"SCC",1,24806778,6161056,6161056,23867193,5722606,5722606
"SCC",2,1660351,182740,182740,1716055,249545,249545
"SCC",3,107857,38783,38783,135666,215,215
"SCC",4,3193547,382732,382732,3401775,415097,415097
"SCC",5,1029588,206311,206311,1092231,137360,137360
"SCC",6,527344,10264,10264,279963,22258,22258
"SCC",7,1833768,216382,216382,2191970,225204,225204
"SCC",9,1786705,123185,123185,1996386,58071,58071
"SCC",12,89911,31807,31807,201683,2274,2274
"SHARE",1,655638000,156871000,156871000,601992000,133955000,133955000
"SHARE",2,489889000,73324000,73324000,501786000,70234000,70234000
"SHARE",3,761000,207000,207000,692000,118000,118000
"SHARE",4,226103000,35796000,35796000,232079000,33279000,33279000
"SHARE",5,297392000,180061000,180061000,323767000,122461000,122461000
"SHARE",6,118721000,22285000,22285000,96992000,31452000,31452000
"SHARE",8,12017000,0,0,3782000,0,0
"SHARE",9,370617000,29319000,29319000,369705000,29430000,29430000
"SHARE",11,4181000,435000,435000,0,0,0
"SHARE",12,2044000,4701000,4701000,1844000,3236000,3236000
"SHARE",20,-442094000,-106803000,-106803000,-407094000,-46758000,-46758000
"SSHRC",1,22291000,5587000,5587000,18959000,5193000,5193000
"SSHRC",2,1236000,214000,214000,1474000,135000,135000
"SSHRC",3,1101000,115000,115000,1297000,150000,150000
"SSHRC",4,3314000,254000,254000,3243000,298000,298000
"SSHRC",5,702000,180000,180000,720000,201000,201000
"SSHRC",6,69000,2000,2000,135000,19000,19000
"SSHRC",7,68000,32000,32000,101000,32000,32000
"SSHRC",9,409000,13000,13000,1500000,16000,16000
"SSHRC",10,756933000,172861000,172861000,751815000,182148000,182148000
"SSHRC",12,26000,0,0,0,0,0
"SWC",1,23212000,3380000,3380000,13173000,2563000,2563000
"SWC",2,2316000,146000,146000,936000,103000,103000
"SWC",3,980000,28000,28000,323000,36000,36000
"SWC",4,16821000,205000,205000,2103000,187000,187000
"SWC",5,171000,53000,53000,55000,46000,46000
"SWC",6,6000,0,0,492000,0,0
"SWC",7,210000,5000,5000,124000,3000,3000
"SWC",9,222000,124000,124000,190000,66000,66000
"SWC",10,25880000,3374000,3374000,20580000,6803000,6803000
"SWC",12,126000,47000,47000,1000,0,0
"TBC",1,4182007756,837965992,837965992,3557827685,689786255,689786255
"TBC",2,2013589,412702,412702,1412763,256764,256764
"TBC",3,220717,69593,69593,235642,73051,73051
"TBC",4,59641158,20201913,20201913,75546702,14474655,14474655
"TBC",5,1969969,284708,284708,2242431,154609,154609
"TBC",6,976697,5597,5597,2642973,4156,4156
"TBC",7,508076,155434,155434,581379,53490,53490
"TBC",9,3240474,1407374,1407374,6257557,729220,729220
"TBC",10,981690,350013,350013,981690,351297,351297
"TBC",12,398616,253602,253602,624888,1898218,1898218
"TBC",20,-690158007,-121409479,-121409479,-633050470,-111263193,-111263193
"TC",1,580930000,146767000,146767000,532993000,126020000,126020000
"TC",2,34223000,6694000,6694000,37490000,4763000,4763000
"TC",3,4503000,438000,438000,3902000,181000,181000
"TC",4,193136000,16234000,16234000,159934000,14600000,14600000
"TC",5,12270000,701000,701000,11727000,939000,939000
"TC",6,12581000,1544000,1544000,15000000,782000,782000
"TC",7,18496000,4405000,4405000,18396000,3074000,3074000
"TC",8,77266000,1144000,1144000,84846000,32000,32000
"TC",9,48650000,5494000,5494000,43904000,1907000,1907000
"TC",10,553328000,80160000,80160000,415306000,77048000,77048000
"TC",12,91670000,18623000,18623000,103477000,30754000,30754000
"TC",20,-69573000,-10815000,-10815000,-68982000,-10512000,-10512000
"VAC",1,236624000,60138000,60138000,227949000,58678000,58678000
"VAC",2,36207000,7435000,7435000,29768000,6594000,6594000
"VAC",3,4157000,264000,264000,6248000,46000,46000
"VAC",4,508436000,83265000,83265000,457547000,87105000,87105000
"VAC",5,8807000,864000,864000,8085000,1151000,1151000
"VAC",6,10513000,511000,511000,11025000,536000,536000
"VAC",7,256283000,50575000,50575000,213154000,49726000,49726000
"VAC",8,528000,0,0,735000,0,0
"VAC",9,1520000,313000,313000,2572000,195000,195000
"VAC",10,3327214000,911133000,911133000,3728436000,1381360000,1381360000
"VAC",12,4266000,8835000,8835000,5880000,5100000,5100000
"VRAB",1,10001000,2093000,2093000,9888000,1785000,1785000
"VRAB",2,478000,104000,104000,557000,107000,107000
"VRAB",3,8000,4000,4000,2000,0,0
"VRAB",4,201000,34000,34000,172000,21000,21000
"VRAB",5,8000,1000,1000,31000,3000,3000
"VRAB",6,40000,0,0,27000,2000,2000
"VRAB",7,65000,7000,7000,63000,14000,14000
"VRAB",9,103000,0,0,51000,7000,7000
"VRAB",12,0,4000,4000,0,103000,103000
"WDO",1,28990000,7660000,7660000,28674000,7817000,7817000
"WDO",2,1611000,249000,249000,1434000,176000,176000
"WDO",3,301000,37000,37000,367000,21000,21000
"WDO",4,6772000,1098000,1098000,6448000,1199000,1199000
"WDO",5,893000,156000,156000,1039000,83000,83000
"WDO",6,430000,0,0,372000,1000,1000
"WDO",7,121000,10000,10000,260000,12000,12000
"WDO",9,672000,30000,30000,903000,29000,29000
"WDO",10,109773000,19990000,19990000,173158000,20459000,20459000
"WDO",12,0,196000,196000,0,94000,94000

