"dept_code","activity_code","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year","pa_last_year_planned","planning_year_1","planning_year_2","planning_year_3"
"PCA","ISS03",0,0,0,0,0,0,0,0,0
"PCA","ISS04",277,276,268,289,294,287,302,299,286
"PCA","ISS05",167,176,182,201,217,143,171,169,142
"PCA","ISS06",50,49,52,50,53,54,56,55,54
"PCA","ISS07",60,58,55,64,64,68,67,66,65
"PCA","ISS08",81,76,73,78,92,63,70,70,64
"PCA","ISS09",4,2,3,2,2,1,1,1,1
"PCA","ISS0Z",50,48,51,48,55,35,44,44,34
"PCAN","BYK01",,,,,41,25,25,25,25
"PCAN","BYK02",,,,,33,63,63,56,56
"PCAN","BYK03",,,,,19,40,44,40,40
"PCAN","BYK04",,,,,30,10,7,3,3
"PCAN","ISS00",,,,8,,,,,
"PCAN","ISS10",,,,,41,33,33,33,33
"PCC","AYX00",43,,,,,,,,
"PCC","BXF01",,37,39,36,38,37,44,44,44
"PCC","BXF02",,18,16,14,16,15,26,26,26
"PCC","BXF03",,3,3,4,5,4,6,6,6
"PCC","ISS30",25,17,23,20,22,20,27,27,27
"PCO","BWW01",85,82,85,89,,,94,94,94
"PCO","BWW02",92,94,95,102,,,127,127,131
"PCO","BWW03",148,162,206,203,,,194,194,194
"PCO","BWW04",102,25,2,26,,,2,0,0
"PCO","BWW05",17,10,0,,,,,,
"PCO","BWW06",61,59,63,65,,,68,68,68
"PCO","BWW07",42,42,37,40,,,38,38,38
"PCO","BWW08",26,32,38,45,,,58,60,60
"PCO","BWW09",63,64,63,66,,,71,71,71
"PCO","ISS00",544,560,591,626,,,657,655,655
"PHAC","BVP01",50,207,221,219,272,237,229,230,227
"PHAC","BVP02",235,56,45,43,53,60,61,60,59
"PHAC","BVP03",191,261,276,302,328,326,321,322,257
"PHAC","BVQ01",552,568,597,685,735,1111,895,890,717
"PHAC","BVQ02",241,282,286,390,557,592,389,406,293
"PHAC","BVQ03",90,98,160,496,521,642,274,279,83
"PHAC","BVQ04",99,106,106,126,135,146,116,116,109
"PHAC","BVR01",227,239,381,450,444,459,477,322,246
"PHAC","BVR02",78,90,161,300,283,116,92,92,92
"PHAC","BVR03",49,56,201,698,555,374,56,35,35
"PHAC","ISS01",241,249,326,515,525,416,342,339,325
"PHAC","ISS02",0,0,0,0,0,64,0,0,0
"PHAC","ISS03",0,0,0,0,0,0,0,0,0
"PHAC","ISS04",0,0,0,0,0,98,0,0,0
"PHAC","ISS05",78,81,97,142,156,131,82,80,79
"PHAC","ISS06",0,0,0,0,0,18,0,0,0
"PHAC","ISS07",0,0,0,0,0,96,0,0,0
"PHAC","ISS08",3,3,0,0,0,8,0,0,0
"PHAC","ISS09",0,0,0,0,0,17,0,0,0
"PHAC","ISS0Z",0,0,3,2,1,8,4,4,4
"PMPRB","BVM01",35,45,44,41,43,45,43,43,43
"PMPRB","BVM02",12,13,13,14,12,15,15,15,15
"PMPRB","ISS00",19,21,23,23,22,24,23,23,23
"PPS","BSW00",,,,,,,,,
"PSC","BWB01",87.2,101,87,67,66,70,63,63,63
"PSC","BWB02",329.3,351,344,345,383,362,380,373,373
"PSC","BWB03",110.2,114,104,100,124,105,124,124,124
"PSC","ISS00",270,291,293,263,294,287,284,284,284
"PSEP","BVS01",96,112,105,113,108,105,126,126,125
"PSEP","BVS02",47,44,48,48,48,50,50,50,50
"PSEP","BVS03",80,25,22,28,31,32,31,31,31
"PSEP","BVT01",67,53,48,50,65,74,74,74,73
"PSEP","BVT02",29,35,44,55,83,40,61,42,36
"PSEP","BVT03",57,70,64,92,112,112,101,76,70
"PSEP","BVT04",27,27,25,25,25,24,30,30,30
"PSEP","BVT05",42,55,61,79,111,90,89,89,83
"PSEP","BVT06",49,47,48,52,63,59,56,56,56
"PSEP","BVU01",57,65,69,81,93,73,67,59,60
"PSEP","BVU02",80,77,70,77,87,64,77,77,76
"PSEP","BVU03",115,122,116,130,145,134,162,162,161
"PSEP","ISS01",144,152,162,144,169,168,188,178,174
"PSEP","ISS02",69,77,75,76,77,77,75,75,75
"PSEP","ISS03",6,6,6,7,7,6,6,6,6
"PSEP","ISS04",67,75,70,76,96,60,61,61,61
"PSEP","ISS05",40,45,44,47,49,47,45,45,45
"PSEP","ISS06",31,32,30,31,31,24,25,25,25
"PSEP","ISS07",44,49,52,60,71,63,74,74,74
"PSEP","ISS08",15,17,8,16,19,9,16,16,16
"PSEP","ISS09",,,,,0,0,0,0,0
"PSEP","ISS0Z",18,20,19,11,15,12,13,11,11
"RCMP","AYO00",22509,,,,,,,,
"RCMP","AYR00",1250,,,,,,,,
"RCMP","BXG01",,2623,2619,2483,3129,3233,3239,3241,3231
"RCMP","BXG02",,540,549,545,600,539,533,533,526
"RCMP","BXG03",,814,740,695,706,698,698,698,698
"RCMP","BXG04",,40,34,41,,,,,
"RCMP","BXG05",,181,167,176,170,172,172,172,172
"RCMP","BXG06",,662,673,731,,,,,
"RCMP","BXG07",,316,332,323,366,340,340,340,338
"RCMP","BXH01",,68,69,80,91,98,117,117,117
"RCMP","BXH02",,46,45,44,48,50,50,49,46
"RCMP","BXH03",,658,657,634,626,725,726,726,725
"RCMP","BXH04",,73,72,71,77,75,77,77,77
"RCMP","BXH05",,74,78,87,94,106,114,114,114
"RCMP","BXH06",,1250,1288,1308,1217,1290,1294,1294,1294
"RCMP","BXH07",,375,388,412,426,385,432,437,404
"RCMP","BXH08",,741,745,746,751,830,856,877,877
"RCMP","BXH09",,360,369,341,326,371,345,345,345
"RCMP","BXH10",,,,,108,100,100,100,100
"RCMP","BXI01",,10393,10441,10508,10437,10402,10402,10402,10402
"RCMP","BXI02",,5942,5998,5908,5970,5952,5952,5952,5952
"RCMP","BXI03",,473,483,481,489,523,639,676,676
"RCMP","BXI04",,243,227,233,237,332,324,320,311
"RCMP","BXI05",,1384,1142,1249,1156,1370,1466,1466,1466
"RCMP","HGD00",158,,,,,,,,
"RCMP","HGE00",85,,,,,,,,
"RCMP","HGF00",0,,,,,,,,
"RCMP","ISS01",792,467,477,508,560,535,561,570,561
"RCMP","ISS02",153,238,237,233,239,240,240,240,240
"RCMP","ISS03",13,15,14,13,15,14,14,14,14
"RCMP","ISS04",2692,1768,1761,1806,1941,1806,1845,1856,1856
"RCMP","ISS05",435,439,454,474,499,480,485,485,485
"RCMP","ISS06",303,112,129,182,198,166,183,194,194
"RCMP","ISS07",779,270,265,275,335,298,325,350,350
"RCMP","ISS08",321,230,238,236,249,240,240,240,240
"RCMP","ISS09",295,235,245,242,244,245,245,245,245
"RCMP","ISS0Z",85,89,87,96,111,101,105,105,105
"SC","BNV01",1469,1296,1296,1466,1647,1497,1564,1552,1534
"SC","BNV02",1056,998,893,1265,1570,1464,1295,1305,1274
"SC","BNV03",639,698,1079,1557,708,538,135,60,6
"SC","BNV04",1331,1308,1340,1542,1785,1171,1129,1137,1189
"SC","BNV05",1003,1295,1491,1356,1295,1219,1292,1335,1364
"SC","ISS01",49,57,66,88,75,86,77,72,66
"SC","ISS02",20,20,14,36,32,27,36,36,36
"SC","ISS03",0,0,0,0,0,0,0,0,0
"SC","ISS04",181,169,173,199,247,182,179,164,156
"SC","ISS05",157,140,142,144,164,145,134,134,134
"SC","ISS06",38,39,35,41,35,37,36,36,36
"SC","ISS07",160,162,213,154,231,126,96,88,88
"SC","ISS08",26,23,28,33,29,36,31,33,27
"SC","ISS09",7,7,7,9,10,10,12,12,12
"SC","ISS0Z",7,9,6,9,10,10,9,9,9
"SCA","BNS00",,,,,,,,,
"SCC","BRH01",149,146,149,149,147,156,156,156,156
"SCC","BRH02",0,0,0,0,0,0,0,0,0
"SCC","ISS00",69,69,76,75,78,81,92,92,92
"SEN","BSX00",,,,,,,,,
"SEN","BSY00",,,,,,,,,
"SEN","BSZ00",,,,,,,,,
"SHARE","BWC01",117.31,154,,,,,,,
"SHARE","BWC02",0.11,12,,,,,,,
"SHARE","BWC03",8.33,11,,,,,,,
"SHARE","BWC04",169.77,160,,,,,,,
"SHARE","BWC05",,12,,,,,,,
"SHARE","BWC06",,,349,,,,,,
"SHARE","BWD01",21.39,24,,,,,,,
"SHARE","BWD02",0,0,,,,,,,
"SHARE","BWD03",128.27,131,,,,,,,
"SHARE","BWD04",142.01,146,,,,,,,
"SHARE","BWD05",126.33,137,,,,,,,
"SHARE","BWD06",654.59,823,,,,,,,
"SHARE","BWD07",172.44,183,,,,,,,
"SHARE","BWD08",183.3,179,,,,,,,
"SHARE","BWD09",157.15,65,83,,,,,,
"SHARE","BWD10",,,1699,,,,,,
"SHARE","BWE01",503.29,573,,,,,,,
"SHARE","BWE02",202.88,473,,,,,,,
"SHARE","BWE03",10.56,8,,,,,,,
"SHARE","BWE04",11.16,9,,,,,,,
"SHARE","BWE05",360.92,354,,,,,,,
"SHARE","BWE06",66.71,68,,,,,,,
"SHARE","BWE07",58.5,53,,,,,,,
"SHARE","BWE08",265.62,4,,,,,,,
"SHARE","BWE09",,,481,,,,,,
"SHARE","BWE10",,,1113,,,,,,
"SHARE","BWF02",25.06,38,,,,,,,
"SHARE","BWF03",250.53,498,,,,,,,
"SHARE","BWF04",81.4,9,,,,,,,
"SHARE","BWF05",66.22,82,,,,,,,
"SHARE","BWF07",,,621,,,,,,
"SHARE","BWG01",322.95,418,,,,,,,
"SHARE","BWG02",516.63,542,,,,,,,
"SHARE","BWG03",474.24,522,,,,,,,
"SHARE","BWG04",,,1574,,,,,,
"SHARE","BYE01",,,,375,388,399,352,352,357
"SHARE","BYE02",,,,73,112,165,97,97,97
"SHARE","BYE03",,,,1862,1982,1762,1984,1949,1952
"SHARE","BYE04",,,,564,596,822,605,593,593
"SHARE","BYE05",,,,1192,1229,1232,920,902,902
"SHARE","BYE06",,,,670,745,811,1310,1228,1210
"SHARE","BYE07",,,,1615,1904,1324,1556,1538,1536
"SHARE","ISS01",182.08,197,246,231,219,223,303,304,304
"SHARE","ISS02",112.64,109,106,102,111,118,98,98,98
"SHARE","ISS03",0,0,,,0,0,0,0,0
"SHARE","ISS04",285.87,300,346,382,396,314,318,318,318
"SHARE","ISS05",241.82,285,306,309,326,249,322,320,320
"SHARE","ISS06",45.45,57,39,43,58,63,35,35,35
"SHARE","ISS07",143.08,173,244,272,300,162,256,256,256
"SHARE","ISS08",33.78,45,47,45,46,33,26,26,26
"SHARE","ISS09",0,0,15,20,24,0,15,15,15
"SHARE","ISS0Z",185.96,203,206,200,214,190,173,173,173
"SIRC","BWY01",12.49,14.2,,,,,,,
"SIRC","BWY02",5.59,8.1,,,,,,,
"SIRC","BXW01",,0,38,52,53,69,69,69,69
"SIRC","ISS00",10.76,14.7,22,22,25,31,31,31,31
"SSHRC","BNT01",66,76,82,95,98,91,121,120,120
"SSHRC","BNT02",37,37,39,38,39,41,40,40,40
"SSHRC","BNT03",28,32,39,51,51,49,57,57,57
"SSHRC","BNT04",10,14,15,25,28,24,31,31,31
"SSHRC","BNT05",,,5,,,,,,
"SSHRC","BNT06",,,,9,12,15,15,13,10
"SSHRC","BNU01",3,4,4,7,7,5,9,9,9
"SSHRC","ISS01",29,41,47,34,36,39,37,37,37
"SSHRC","ISS02",11,13,14,11,11,11,13,13,13
"SSHRC","ISS03",0,0,0,0,0,0,0,0,0
"SSHRC","ISS04",9,12,13,14,17,14,21,21,21
"SSHRC","ISS05",9,10,11,10,14,11,17,16,16
"SSHRC","ISS06",3,5,7,7,6,5,7,7,7
"SSHRC","ISS07",32,26,27,19,17,28,24,24,24
"SSHRC","ISS08",3,2,5,6,5,5,6,6,5
"SSHRC","ISS09",4,0,0,0,0,0,0,0,0
"SSHRC","ISS0Z",1,2,2,2,2,2,3,3,3
"SWC","BWH01",69,,,,,,,,
"SWC","BWH02",66,,,,,,,,
"SWC","BXR01",,110,99,125,124,130,142,132,132
"SWC","BXR02",,98,127,115,181,174,167,134,134
"SWC","ISS00",87,92,119,130,147,129,130,127,127
"TBC","BXA01",186,171,168,162,158,170,173,173,173
"TBC","BXA02",77,126,124,122,131,132,132,130,127
"TBC","BXA03",46,,,,,,,,
"TBC","BXA04",,,,,0,0,,,
"TBC","BXB01",263,103,109,117,120,105,,,
"TBC","BXB02",166,154,151,137,172,99,,,
"TBC","BXB03",217,203,179,154,237,118,,,
"TBC","BXB04",23,20,8,11,12,9,,,
"TBC","BXB05",,71,62,62,69,62,,,
"TBC","BXB06",,66,77,56,57,13,,,
"TBC","BXB07",,51,51,56,55,52,,,
"TBC","BXB08",,20,18,18,19,16,16,16,16
"TBC","BXB09",,67,87,106,127,108,108,108,108
"TBC","BXB10",,13,11,16,21,11,,,
"TBC","BXB11",,18,18,21,24,19,19,0,0
"TBC","BXB12",,,,,,,237,225,221
"TBC","BXB13",,,,,,,247,233,234
"TBC","BXC01",143,150,157,181,312,180,,,
"TBC","BXC02",90,100,67,97,0,70,,,
"TBC","BXC03",236,159,109,115,127,118,,,
"TBC","BXC04",0,0,0,0,0,0,0,0,0
"TBC","BXC05",,57,55,52,62,60,,,
"TBC","BXC06",,66,91,101,88,79,,,
"TBC","BXC07",,,66,60,65,59,,,
"TBC","BXC08",,,,,,,459,449,431
"TBC","BXD01",23,55,61,66,73,73,74,74,59
"TBC","BXD02",29,,,,,,,,
"TBC","ISS01",131,133,153,142,138,155,163,163,163
"TBC","ISS02",94,99,108,109,105,88,85,85,85
"TBC","ISS03",26,31,32,29,34,30,34,34,33
"TBC","ISS04",105,120,118,117,132,114,114,114,114
"TBC","ISS05",102,102,102,118,113,102,102,102,102
"TBC","ISS06",15,15,16,15,15,24,24,24,24
"TBC","ISS07",101,107,102,97,95,102,102,103,103
"TBC","ISS08",16,12,9,10,14,15,15,15,15
"TBC","ISS09",11,9,9,10,11,9,9,9,9
"TBC","ISS0Z",11,15,12,12,12,10,10,10,10
"TC","BTW01",239,243.9,244,243,251,214,213,199,200
"TC","BTW02",633,513.06,482,955,943,1050,1040,1050,1050
"TC","BTW03",389,464.94,486,,,,,,
"TC","BTW04",77,80.14,87,84,86,68,72,68,68
"TC","BTW05",183,188.56,186,201,205,205,213,206,204
"TC","BTW06",305,314.55,314,306,312,392,381,387,392
"TC","BTW07",91,93.99,94,106,98,100,102,102,103
"TC","BTW08",164,171.92,413,406,376,439,441,435,437
"TC","BTW09",259,249.44,0,,,,,,
"TC","BTW10",18,9.82,11,12,12,11,11,11,11
"TC","BTW11",89,92.57,86,84,79,89,88,88,88
"TC","BTW12",55,75.34,84,,,,,,
"TC","BTW13",24,19.74,24,23,22,21,17,19,19
"TC","BTW14",183,180.84,189,194,214,206,200,169,169
"TC","BTW15",3,3.21,4,4,7,3,1,1,1
"TC","BTW16",66,122.71,135,104,97,65,72,67,60
"TC","BTW17",45,192.01,202,200,228,174,204,150,150
"TC","BTW18",25,21.97,21,20,23,23,31,33,33
"TC","BTW19",31,34.58,36,35,36,38,20,20,20
"TC","BTW20",60,62.76,69,60,53,50,28,28,28
"TC","BTW21",179,184.59,189,199,192,200,107,107,107
"TC","BTW22",51,55.46,54,54,48,65,32,32,32
"TC","BTW23",124,,,,,,,,
"TC","BTW24",43,57.17,60,63,67,28,28,28,28
"TC","BTW25",35,45.8,44,39,36,41,41,41,41
"TC","BTX01",80,83,95,93,108,102,129,132,122
"TC","BTX02",337,363.54,397,403,419,297,582,575,543
"TC","BTX03",83,87.05,85,85,81,86,99,92,84
"TC","BTX04",39,50.05,48,47,51,38,48,46,36
"TC","BTX05",32,44.88,53,58,55,45,52,43,43
"TC","BTX06",,,,89,89,96,36,36,36
"TC","BTY01",178,174.75,165,162,206,176,254,182,181
"TC","BTY02",46,59.41,65,60,49,47,65,65,58
"TC","BTY03",210,209.9,210,214,214,225,243,251,245
"TC","BTY04",37,44.35,50,67,111,118,123,118,44
"TC","ISS01",318,324.89,339,337,333,308,347,320,331
"TC","ISS02",113,125.39,122,122,126,110,132,133,113
"TC","ISS03",18,17.24,17,19,20,11,15,10,11
"TC","ISS04",219,235.46,256,278,289,245,259,251,248
"TC","ISS05",231,246.04,253,254,249,243,238,244,231
"TC","ISS06",99,114.28,151,162,150,76,105,106,107
"TC","ISS07",273,263.17,308,328,312,254,254,255,246
"TC","ISS08",61,76.82,77,76,72,58,56,58,57
"TC","ISS09",6,14.91,9,10,7,7,7,8,8
"TC","ISS0Z",39,30.07,37,36,41,34,36,34,34
"TOUR","BKZ00",,,,,,,,,
"VAC","BWI01",230.1,,,,,,,,
"VAC","BWI02",497,,,,,,,,
"VAC","BWI03",63.8,,,,,,,,
"VAC","BWI04",42.3,,,,,,,,
"VAC","BWI05",3.1,,,,,,,,
"VAC","BWI06",435.4,476.9,521.8,560.8,532.8,416,434,434,415
"VAC","BWI07",411.6,452.1,495.5,532.5,506,408.1,412,412,394
"VAC","BWI08",109.7,119.7,131.2,141,134,104.6,109,109,104
"VAC","BWI09",244.6,266.8,292.5,314.3,298.6,233.2,243,243,233
"VAC","BWI10",18.1,20.9,22.9,24.6,23.4,18.3,19,19,18
"VAC","BWI11",8.3,8.7,9.5,10.2,9.7,7.6,8,8,8
"VAC","BWI12",3.6,80.6,88.3,94.9,90.2,70.4,74,74,70
"VAC","BWI13",3.6,1.9,2.1,2.2,2.1,1.7,2,2,2
"VAC","BWI14",0.5,0.6,,,,,,,
"VAC","BWI15",4.7,5.1,,,,,,,
"VAC","BWI16",,893.1,978.9,1051.9,999.4,951.2,1395,830,794
"VAC","BWI17",,0,,,,,,,
"VAC","BWI18",,,7,7.5,7.2,5.6,6,6,6
"VAC","BWJ01",84.2,88,68.7,66.4,73.7,90.1,87,87,87
"VAC","BWJ02",1.8,2,1.3,2.5,2.5,2.5,3,3,3
"VAC","BWK01",34.3,32.5,34.2,31.8,33.9,39,39,39,39
"VAC","ISS01",138,154.3,180.2,182.9,187.2,174.2,177,173,172
"VAC","ISS02",56.4,70,86.1,95.1,79,77,81,78,78
"VAC","ISS03",4.3,4.7,6.4,6.6,5.4,4.4,4,4,4
"VAC","ISS04",114.7,134.7,130.5,127.3,131.3,121.9,156,125,123
"VAC","ISS05",113.1,115,116.1,125.1,118.3,116.5,135,122,117
"VAC","ISS06",23.6,23.6,23.8,23.3,23.7,26.1,26,26,26
"VAC","ISS07",168.2,192,197.9,195.7,204.2,184.2,200,186,184
"VAC","ISS08",31.1,33.1,38.7,44.7,41.1,33.5,53,36,34
"VAC","ISS09",13.9,13.1,13.5,12.9,12.5,12.4,14,12,12
"VAC","ISS0Z",7.7,8.6,8.1,8.9,9.2,7.4,7,7,7
"VIA","BTZ00",,,,,,,,,
"VRAB","BWL01",84,83,85,97,101.5,101,139,97,97
"WDBA","BTQ00",,,,,,,,,
"WDO","BNW01",88,103,124,118,,,,,
"WDO","BNW02",63,67,77,76,,,,,
"WDO","BNW03",41,44,49,47,,,,,
"WDO","BNW04",20,23,34,38,,,,,
"WDO","BYM01",,,,,108,102,96,83,100
"WDO","BYM02",,,,,62,69,49,48,53
"WDO","BYM03",,,,,43,42,37,37,37
"WDO","BYM04",,,,,50,46,38,30,3
"WDO","ISS00",97,97,102,107,109,115,98,89,86

