"deptcode","activitycode","FTEActual_2012","FTEActual_2013","FTEActual_2014","FTEActual_2015","FTEActual_2016","FTEPlanned_2017","FTEPlanned_2018","FTEPlanned_2019","PlannedFTE_1617"
"CCRA","BRA10",".",".",".",".",".",162,162,162,"."
"CCRA","BRA11",".",".",".",".",".",1092,1097,1093,"."
"CCRA","BRB01",".",".",".",".",".",1592,1586,1550,"."
"CCRA","BRC01",".",".",".",".",".",31,31,31,"."
"CCRA","ISC00",8041,7860,7765,7688,7875,".",".",".",7348
"CCRA","ISS01",".",".",".",".",".",1014,989,981,"."
"CCRA","ISS02",".",".",".",".",".",413,412,424,"."
"CCRA","ISS03",".",".",".",".",".",50,49,49,"."
"CCRA","ISS04",".",".",".",".",".",1115,1116,1120,"."
"CCRA","ISS05",".",".",".",".",".",677,671,660,"."
"CCRA","ISS06",".",".",".",".",".",404,404,404,"."
"CCRA","ISS07",".",".",".",".",".",3320,3141,3029,"."
"CCRA","ISS08",".",".",".",".",".",193,193,193,"."
"CCRA","ISS09",".",".",".",".",".",372,362,362,"."
"CCRA","ISS0Z",".",".",".",".",".",107,107,107,"."
"CEAA","AGG00",124,133,129,125,164,150,150,150,142
"CEAA","AGH00",38,40,40,41,59,40,39,39,42
"CEAA","ISC00",59,60,64,70,42,72,72,70,"."
"CEO","HGG00",204,212,309,444,262,257,229,220,216
"CEO","HGI00",74,75,70,81,87,75,71,71,82
"CEO","HGJ00",66,57,57,68,71,67,67,67,67
"CEO","ISC00",142,129,120,131,143,152,148,152,122
"CFGB","ATA00",27,25.8,25.96,29.3,29,35,35,35,32
"CFGB","ISC00",11,13.2,14,14,12,11,11,11,14
"CFIA","AAQ00",3216,3296,3250,3155,3220,2890,2732,2627,3116
"CFIA","AJY00",1118,1074,1012,959,975,942,929,760,1023
"CFIA","AJZ00",849,809,737,703,695,688,678,678,756
"CFIA","HGA00",338,343,335,307,295,310,277,256,343
"CFIA","ISC00",925,856,804,777,916,861,853,835,749
"CGC","AAW00",71,44,59,45,48,43,43,43,47
"CGC","AAZ00",342,250,199,215,219,211,211,211,219
"CGC","ABB00",114,44,14,14,16,15,15,15,15
"CGC","ABD00",31,28,23,30,33,31,31,31,31
"CGC","ISC00",97,89,100,91,110,104,104,104,92
"CH","ACR00",133.1,128.3,121.4,109.9,95.4,99,99,94,108.1
"CH","ACS00",117.6,115.3,124.1,128.27,136.6,151,136,128,122.7
"CH","ACU00",268.9,248.8,237.8,233.4,238,247,235,231,226.7
"CH","ADA00",202.9,176.7,144.2,127.75,121,115,115,114,123.8
"CH","ADB00",123.5,141,183.6,207.6,208.6,229,184,182,203.5
"CH","ADM00",116.9,103.9,104.6,126.5,128.7,168,134,118,116
"CH","ADN00",171.3,149.7,144.6,151.6,146.5,149,139,136,150.3
"CH","AFQ00",".",".",".",10,22.1,".",".",".",0
"CH","ISC00",652.8,648.9,652.5,649,643.6,643,643,640,657.7
"CHRC","ARG00",34,31,30,".",".",".",".",".","."
"CHRC","ARH00",75,74,74,".",".",".",".",".","."
"CHRC","BHZ00",28,28,21,".",".",".",".",".","."
"CHRC","BSA01",".",".",".",".",".",34,34,34,"."
"CHRC","BSB01",".",".",".",".",".",74,74,74,"."
"CHRC","BSC01",".",".",".",".",".",10,10,10,"."
"CHRC","DAR00",".",".",".",117,113,".",".",".",125
"CHRC","ISC00",65,65,64,70,67,".",".",".",69
"CHRC","ISS00",".",".",".",".",".",73,73,73,"."
"CHRT","ARJ00",9,12,7.58,".",".",".",".",".","."
"CHRT","ISC00",9,8,6.71,".",".",".",".",".","."
"CI","AFP00",496,467,438,415,588,415,408,405,433
"CI","AFV00",91,69,53,70,79,73,73,73,80
"CI","AFW00",609,728,819,887,1007,866,902,872,946
"CI","AJO00",".",549,".",".",".",".",".",".","."
"CI","COA00",".",".",585,674,619,643,633,393,632
"CI","ISC00",1648,1629,1530,1428,1576,1522,1537,1537,1473
"CI","LJI00",303,384,507,491,457,444,435,436,453
"CI","LJV00",239,297,339,376,335,321,321,322,408
"CI","LJW00",361,308,339,475,417,321,257,258,300
"CI","LJX00",302,278,315,319,356,350,316,316,368
"CI","LJY00",562,722,1029,1000,844,758,750,750,774
"CI","LJZ00",12,23,29,33,33,36,35,35,34
"CI","X0001",34,29,28,23,".",".",".",".",40
"CICS","AVS00",19,19,18,22,23,25,25,25,23
"CICS","ISC00",10,11,9,9,8,7,7,7,9
"CIDA","BHP00",318,".",".",".",".",".",".",".","."
"CIDA","BHQ00",116,".",".",".",".",".",".",".","."
"CIDA","BHR00",159,".",".",".",".",".",".",".","."
"CIDA","BHS00",181,".",".",".",".",".",".",".","."
"CIDA","BHT00",129,".",".",".",".",".",".",".","."
"CIDA","ISC00",739,".",".",".",".",".",".",".","."
"CIHR","BDW00",109,114,254,208,117,125,120,122,104
"CIHR","BDX00",15,14,142,113,110,122,123,123,104
"CIHR","BDY00",7,6,".",".",".",".",".",".","."
"CIHR","BDZ00",86,85,".",".",".",".",".",".","."
"CIHR","ISC00",187,180,23,82,198,209,209,203,194
"CIRB","ALJ00",65.4,64.6,38,".",".",".",".",".","."
"CIRB","ISC00",26.2,27.5,14,".",".",".",".",".","."
"CITT","AHJ00",55,59,31,".",".",".",".",".","."
"CITT","AHK00",1,1,0.5,".",".",".",".",".","."
"CITT","ISC00",19,20,10,".",".",".",".",".","."
"CNEDA","BMH00",14,16,".",".",".",".",".",".","."
"CNEDA","BMI00",14,15,".",".",".",".",".",".","."
"CNEDA","BMJ00",15,22,".",".",".",".",".",".","."
"CNEDA","CLA00",".",".",30,26,29,28,14,14,13
"CNEDA","CLB00",".",".",25,26,26,26,26,26,12
"CNEDA","ISC00",27,25,28,28,27,26,26,26,"."
"CPCC","AMW00",4,9.5,10,11,".",".",".",".","."
"CPCC","DAT00",".",".",".",14,15,22,25,25,22
"CPCC","DAU00",".",".",".",6,14,14,14,14,19
"CPCC","ISC00",2,1.5,3,8,14,16,18,18,10
"CRTC","ACY00",145,".",".",".",".",".",".",".","."
"CRTC","ACZ00",142,".",".",".",".",".",".",".","."
"CRTC","CAA00",".",145,115,118,115,112,112,112,115
"CRTC","CAB00",".",164,135,139,133,147,147,147,148
"CRTC","CPA00",".",".",76,80,83,83,83,83,83
"CRTC","ISC00",145,125,119,113,129,133,133,133,119
"CSA","ANW00",108.4,94.9,89.5,87.2,105.9,103,108,111,91.6
"CSA","ANX00",95.4,104,103.8,102.6,104.6,115,111,107,103.1
"CSA","ANY00",176.8,171.9,164.4,154.8,151.1,153,148,148,160.6
"CSA","ISC00",262.8,249.9,235.2,246.8,252.4,264,267,270,263.7
"CSC","BER00",11000,10896,10791,10603,10432.97,10566,10566,10566,10718.6
"CSC","BES00",4573,4614,4388,4030,4057.41,4060,4060,4060,4026.95
"CSC","BET00",203,209,192,220,225.45,218,218,218,221.93
"CSC","ISC00",3033,2911,2787,2613,2505.29,2540,2540,2540,2627.46
"CT","AOD00",6,3.25,3.5,".",".",".",".",".","."
"CT","ISC00",2.5,2,1.2,".",".",".",".",".","."
"CTA","BAN00",108,94,93,91,90,98,98,98,98
"CTA","BAO00",67,67,71,74,72,66,66,66,75
"CTA","ISC00",65,59,57,64,58,62,61,61,57
"CTAIB","AVX00",91,90,87,90,89,".",".",".",89
"CTAIB","AVY00",39,34,36,35,36,".",".",".",37
"CTAIB","AVZ00",4,2,2,2,3,".",".",".",3
"CTAIB","AWC00",35,38,39,37,40,".",".",".",40
"CTAIB","BWA01",".",".",".",".",".",88,88,88,"."
"CTAIB","BWA02",".",".",".",".",".",37,37,37,"."
"CTAIB","BWA03",".",".",".",".",".",42,42,42,"."
"CTAIB","BWA04",".",".",".",".",".",2,2,2,"."
"CTAIB","ISC00",49,43,44,45,46,".",".",".",51
"CTAIB","ISS00",".",".",".",".",".",51,51,51,"."
"EA","AJG00",1866,1620,1548,1644,1636,1663,1663,1657,1649
"EA","AJK00",4335,4083,4049,4287,4294,4147,4147,4145,4151
"EA","AJL00",446,354,433,371,420,433,433,433,433
"EA","AJO00",2488,".",".",".",".",".",".",".","."
"EA","AJP00",626,860,854,816,809,832,832,832,830
"EA","AJQ00",1285,1291,1241,1311,1338,1364,1364,1364,1359
"EA","AJR00",53,54,54,53,49,56,56,56,55
"EA","BHP00",".",286,".",".",".",".",".",".","."
"EA","BHQ00",".",103,".",".",".",".",".",".","."
"EA","BHR00",".",141,".",".",".",".",".",".","."
"EA","BHS00",".",194,".",".",".",".",".",".","."
"EA","BHT00",".",113,".",".",".",".",".",".","."
"EA","DAN00",".",".",".",137,157,168,168,166,156
"EA","DAP00",".",".",".",696,848,892,892,886,882
"EA","DAQ00",".",".",".",40,69,70,70,69,69
"EA","ISC00",1284,1984,1797,1533,1382,1534,1534,1533,"."
"EC","AGL00",531,562,600,600,614,546,498,480,539
"EC","AGM00",783,748,701,694,602,598,590,581,571
"EC","AGR00",1014,1038,1086,1108,1097,1072,1018,993,1060
"EC","AGS00",578,586,618,632,625,629,584,570,613
"EC","BDJ00",416,393,409,351,332,371,365,361,388
"EC","BDK00",329,324,359,371,416,422,407,397,436
"EC","BDO00",346,352,363,336,340,353,294,289,276
"EC","BIA00",661,681,705,670,727,813,496,495,309
"EC","BKF00",133,140,133,131,139,128,126,123,125
"EC","ISC00",1494,1483,1487,1429,1433,1443,1382,1360,"."
"ERC","BEN00",7,8,6,8,8,8,8,8,8
"FEDSO","BMF00",38.2,43,35,36,40,40,38,0,50
"FEDSO","BMR00",42.7,23,16,21,19,19,15,0,19
"FEDSO","HGL00",24.8,33,58,56,55,51,51,0,51
"FEDSO","ISC00",119.8,133,115,124,112,112,106,0,112
"FIN","BLH00",485,467,453,437,440,464,464,464,450
"FIN","BLI00",24,28,26,29,28,28,28,28,28
"FIN","BLJ01",0,0,0,0,5,5,5,5,5
"FIN","BLJ02",0,0,0,0,5,5,5,5,5
"FIN","BLJ06",0,0,0,0,0,0,0,0,0
"FIN","BLJ09",0,0,0,0,1,0,0,0,1
"FIN","BLJ11",0,0,0,0,1,1,1,1,1
"FIN","ISC00",270,286,286,271,254,232,232,232,249
"FJA","ARP00",10,11,10,10,10,10,10,10,10
"FJA","ARR00",44,43,47.5,47.5,47.5,51,51,51,50.5
"FJA","ARS00",0,0,0,0,0,0,0,0,0
"FJA","ISC00",8,8,5.5,5.5,5.5,6,6,6,5.5
"FO","AIP00",468,339,365.5,388.1,403.2,434,433,435,406.7
"FO","AIV00",165,164,161.8,173.4,184.1,189,164,164,180
"FO","AIW00",151,158,147.5,134.3,133.6,133,118,118,129.4
"FO","CGA00",".",15,15.3,12.9,10.4,8,0,0,0
"FO","HAA00",818,982,984.3,956.7,992.5,927,1022,1025,933.8
"FO","HAB00",263,262,276.2,305.1,354.9,336,338,332,287.3
"FO","HGM00",238,".",".",".",".",".",".",".","."
"FO","HGN00",129,117,105.3,107.1,107.1,105,105,105,119.9
"FO","HGO00",226,185,222.3,188.8,189.8,204,195,195,198.1
"FO","HGP00",53,50,47.5,48.2,52.2,51,51,51,53.5
"FO","HGQ00",22,21,18.1,26.3,19.3,23,23,23,23.3
"FO","HGR00",63,56,45.1,52.7,50.8,44,43,43,45.7
"FO","HGS00",241,220,222,220.6,257.2,247,228,228,261
"FO","HGW00",12,14,7.4,8,9.5,10,10,10,11.8
"FO","HGX00",676,699,680.3,662.9,686.7,738,743,741,737.9
"FO","HGY00",208,204,203.7,201.5,202.1,199,199,199,199.1
"FO","ISC00",1826,1742,1652.6,1685.5,1674.8,1791,1768,1768,1735.2
"FO","LJA00",79,79,74.7,83.5,99.9,93,93,93,112
"FO","LJB00",75,77,".",".",".",".",".",".","."
"FO","LJC00",148,129,127.7,123.2,144.8,150,150,150,139
"FO","LJD00",434,384,362,330.1,326.7,348,348,348,349
"FO","LJE00",43,44,48.1,45.5,47.3,60,60,60,66
"FO","LJF00",2743,2712,2788.8,2740.2,2933.4,2823,2823,2823,2749.5
"FO","LJG00",819,808,744.3,742.6,623.3,743,692,692,719
"FO","LJH00",265,254,243.9,243.8,270,290,290,290,284
"FO","LJK00",253,240,228.1,233.3,235.2,254,255,259,256
"FO","LJL00",133,113,102,97.7,95.3,105,105,104,97.1
"FORDQ","BNI00",128,130,121,134,122,121,139,139,124
"FORDQ","BNJ00",12,12,20,16,21,20,30,30,21
"FORDQ","BNK00",51,52,47,37,47,51,20,20,46
"FORDQ","ISC00",141,138,127,128,140,134,132,132,132
"FTRAC","BNG00",148,145,140,136,152,157,157,148,150
"FTRAC","BNH00",158,145,144,150,150,151,152,147,161
"FTRAC","ISC00",53,53,53,53,51,51,51,51,53
"GSC","AZA00",1772,1796,1694,1712.34,1617.47,1551,1542,1542,1491.05
"GSC","AZN00",1314,1402,1607,1773,2088.71,2022,2022,2022,1559.08
"GSC","BEQ00",3570,3531,3408.33,3410.4,3507.19,3509,3100,3040,3577.04
"GSC","BEU00",406,461,328,319,308,307,307,307,289.04
"GSC","BEW00",1529,1397,1263.77,1197,1149.51,1115,0,0,1124.65
"GSC","BEX00",614,648,481,479.65,642.63,609,620,622,572.91
"GSC","BEY00",28,23,25.02,25.14,23.37,23,23,23,26.5
"GSC","CUA00",".",".",362.78,354,358.14,398,382,382,368.4
"GSC","ISC00",2446,2285.27,2469.33,2474.62,2610.71,2802,2810,2812,2700.4
"H","AKR00",687,639,588,561,553,720,683,682,597
"H","AKS00",430,407,416,428,434,489,464,464,461
"H","AKU00",1593,1441,1361,1337,1363,1436,1346,1321,1352
"H","AKZ00",431,431,409,476,522,415,415,404,394
"H","ALA00",211,185,181,179,178,255,255,255,260
"H","BLZ00",239,".",".",".",".",".",".",".","."
"H","BMA00",155,126,182,175,177,238,238,238,238
