"deptcode","activitycode","FTEActual_2012","FTEActual_2013","FTEActual_2014","FTEActual_2015","FTEActual_2016","FTEPlanned_2017","FTEPlanned_2018","FTEPlanned_2019","PlannedFTE_1617"
"ND","ISC00",5101,5765,2967,3198,2870,3115,3129,3130,2690
"NEB","AUD00",242.4,279.2,292.3,251.5,276.7,".",".",".",294.2
"NEB","AUF00",38.1,41.3,46.2,48.1,37.3,".",".",".",42.4
"NEB","BTA01",".",".",".",".",".",117,116,116,"."
"NEB","BTA02",".",".",".",".",".",4,4,4,"."
"NEB","BTB01",".",".",".",".",".",87,87,87,"."
"NEB","BTB02",".",".",".",".",".",23,23,23,"."
"NEB","BTB03",".",".",".",".",".",12,12,12,"."
"NEB","BTB04",".",".",".",".",".",20,20,20,"."
"NEB","BTC01",".",".",".",".",".",35,35,35,"."
"NEB","BTC02",".",".",".",".",".",6,6,6,"."
"NEB","BTD01",".",".",".",".",".",12,10,10,"."
"NEB","BTD02",".",".",".",".",".",4,4,4,"."
"NEB","ISC00",117.7,104.8,102.1,157.9,160.5,".",".",".",158.8
"NEB","ISS00",".",".",".",".",".",134,128,128,"."
"NFB","AEA00",241,242,194,197,164,192,192,192,191
"NFB","BLT00",109,109,144,126,168,126,126,126,150
"NFB","ISC00",53,53,52,51,64,51,51,51,51
"NPA","AUP00",12,8,3,2,1,4,4,4,4
"NPB","AXV00",311,325,325,322,321,".",".",".",326
"NPB","AXW00",56,53,54,42,44,".",".",".",44
"NPB","AXY00",58,79,69,52,59,".",".",".",65
"NPB","BUA01",".",".",".",".",".",335,335,335,"."
"NPB","BUB01",".",".",".",".",".",40,40,40,"."
"NPB","BUC01",".",".",".",".",".",40,40,40,"."
"NPB","ISC00",43,48,47,59,56,".",".",".",60
"NPB","ISS00",".",".",".",".",".",60,60,60,"."
"NR","BMT00",230,255,250,254,277,267,242,235,243
"NR","BMU00",280,303,296,313,328,289,255,252,296
"NR","BMV00",467,427,398,399,422,395,394,391,378
"NR","BMW00",0,0,0,0,0,0,0,0,0
"NR","BMX00",296,289,278,264,265,252,162,163,101
"NR","BMY00",647,631,635,665,653,646,539,541,516
"NR","BMZ00",276,235,247,244,223,186,184,185,242
"NR","BNA00",452,469,478,474,435,414,404,403,427
"NR","BNB00",471,394,385,383,387,386,378,377,408
"NR","ISC00",1105,1029,946,940,906,922,882,888,939
"NRC","APX00",267,".",".",".",".",".",".",".","."
"NRC","APY00",260,259.2,269.9,277.2,291.1,291,295,295,278.4
"NRC","APZ00",115,".",".",".",".",".",".",".","."
