id,url_en,url_fr
1,"ciec-ccie.parl.gc.ca/EN/Pages/default.aspx","ciec-ccie.parl.gc.ca/FR/Pages/default.aspx"
2,"en-corporate.canada.travel","fr-corporate.canada.travel"
3,"https://www.canada.ca/content/dam/pch/documents/corporate/publications/evaluations/chin_jan-eng.pdf","https://www.canada.ca/content/dam/pch/documents/corporate/publications/evaluations/chin_jan-fra.pdf"
4,"https://www.canada.ca/en/canadian-heritage/corporate/publications/evaluations/canadian-conservation-institute.html","https://www.canada.ca/fr/patrimoine-canadien/organisation/publications/evaluations/institut-canadien-conservation.html"
5,"https://www.canada.ca/en/conservation-institute.html","https://www.canada.ca/fr/institut-conservation.html"
6,"https://www.canada.ca/en/heritage-information-network.html","https://www.canada.ca/fr/reseau-information-patrimoine.html"
7,"https://www.canada.ca/en/treasury-board-secretariat/services/planned-government-spending/reports-plans-priorities/2017-18-departmental-plan.html","https://www.canada.ca/fr/secretariat-conseil-tresor/services/depenses-prevues/rapports-plans-priorites/plan-ministeriel-2017-2018.html"
8,"https://www.canada.ca/en/treasury-board-secretariat/services/reporting-government-spending/inventory-government-organizations/crown-corporations-financial-data.html","https://www.canada.ca/fr/secretariat-conseil-tresor/services/etablissement-rapports-depenses/inventaire-organisations-gouvernement/donnees-financieres-societes-etat.html"
9,"https://www.canada.ca/en/treasury-board-secretariat/services/reporting-government-spending/quarterly-financial-reporting/departments-agencies.html#listname","https://www.canada.ca/fr/secretariat-conseil-tresor/services/etablissement-rapports-depenses/rapports-financiers-trimestriels/ministeres-org"
10,"sen.parl.gc.ca/seo-cse/eng/Home-e.html","sen.parl.gc.ca/seo-cse/fr/Home-f.html"
11,"www.CanNor.gc.ca","www.CanNor.gc.ca"
12,"www.aadnc-aandc.gc.ca","www.aadnc-aandc.gc.ca"
13,"www.acls-aatc.ca","www.acls-aatc.ca"
14,"www.acoa-apeca.gc.ca","www.acoa-apeca.gc.ca"
15,"www.adb.org","www.adb.org"
16,"www.admtl.com","www.admtl.com"
17,"www.aecl.ca","www.aecl.ca"
18,"www.aeroportdequebec.com","www.aeroportdequebec.com"
19,"www.afdb.org","www.afdb.org"
20,"www.agr.gc.ca","www.agr.gc.ca"
21,"www.aiib.org","www.aiib.org"
22,"www.asc-csa.gc.ca","www.asc-csa.gc.ca"
23,"www.asiapacific.ca","www.asiapacific.ca"
24,"www.atlanticpilotage.com","www.atlanticpilotage.com"
25,"www.bac-lac.gc.ca","www.bac-lac.gc.ca"
26,"www.bankofcanada.ca","www.bank-banque-canada.ca"
27,"www.bdc.ca","www.bdc.ca"
28,"www.bst-tsb.gc.ca","www.bst-tsb.gc.ca"
29,"www.cadth.ca","www.cadth.ca/fr"
30,"www.cal-ocl.gc.ca","www.cal-ocl.gc.ca"
31,"www.canada.ca/ceaa","www.canada.ca/ceaa"
32,"www.canada.ca/en/administrative-tribunals-support-service.html","www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs.html"
33,"www.canada.ca/en/employment-social-development.html","www.canada.ca/fr/emploi-developpement-social.html"
34,"www.canada.ca/en/environment-climate-change.html","www.canada.ca/fr/environnement-changement-climatique.html"
35,"www.canada.ca/en/government/publicservice/benefitsmilitary/military-housing.html","www.canada.ca/fr/gouvernement/fonctionpublique/avantagesmilitaires/logements-militaires.html"
