dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
CPAC,Non-EX,15,16,17,18,18,0.965517
CPCC,EX 01,.,.,.,.,1,0.014925
CPCC,EX 02,.,1,1,1,.,0.044776
CPCC,Non-EX,4,8,10,13,28,0.940299
CRTC,EX 01,16,17,14,13,16,0.033898
CRTC,EX 02,5,7,6,4,4,0.011597
CRTC,EX 03,5,5,4,5,5,0.010705
CRTC,EX 04,1,1,1,1,1,0.00223
CRTC,Non-EX,424,414,410,439,424,0.94157
CSA,EX 01,12,8,6,8,8,0.012903
CSA,EX 02,11,10,8,7,8,0.013518
CSA,EX 03,6,7,7,6,7,0.010138
CSA,EX 04,1,.,1,1,1,0.001229
CSA,Non-EX,725,638,599,578,592,0.962212
CSC,EX 01,86,78,71,62,52,0.003853
CSC,EX 02,79,71,65,64,73,0.003886
CSC,EX 03,27,24,23,23,21,0.001303
CSC,EX 04,9,11,10,11,10,0.000563
CSC,EX 05,2,1,2,1,1,0.000077
CSC,Non-EX,18809,18316,18088,17478,17015,0.990318
CSEC,EX 01,12,12,7,3,2,0.003409
CSEC,EX 02,37,37,44,43,42,0.019222
CSEC,EX 03,15,16,17,16,17,0.00767
CSEC,EX 04,3,3,3,3,5,0.00161
CSEC,EX 05,2,2,1,1,1,0.000663
CSEC,Non-EX,1916,2005,2099,2102,2095,0.967427
CTA,EX 01,8,9,8,8,7,0.033557
CTA,EX 02,2,2,2,2,2,0.008389
CTA,EX 03,2,2,2,3,3,0.010067
CTA,Non-EX,238,231,206,228,227,0.947987
CTAIB,EX 01,1,1,1,1,1,0.004766
CTAIB,EX 02,5,5,5,5,5,0.023832
CTAIB,EX 04,1,1,1,1,1,0.004766
CTAIB,Non-EX,209,195,196,206,208,0.966635
EA,EX 01,273,250,266,275,286,0.041267
EA,EX 02,115,95,117,120,134,0.01776
EA,EX 03,111,103,108,104,107,0.016293
EA,EX 04,22,22,30,31,23,0.003913
EA,EX 05,10,8,8,5,9,0.001223
EA,Non-EX,7024,6791,5498,5438,5331,0.919545
EC,EX 01,113,107,101,105,93,0.015828
EC,EX 02,34,31,34,31,32,0.004941
EC,EX 03,29,27,23,25,22,0.003843
EC,EX 04,8,6,5,5,4,0.000854
EC,EX 05,3,2,3,3,3,0.000427
EC,Non-EX,6575,6235,6384,6426,6321,0.974108
ERC,EX 02,.,1,.,.,1,0.074074
ERC,Non-EX,3,5,5,6,6,0.925926
FCAC,EX 01,5,5,5,5,5,0.062972
FCAC,EX 02,.,.,.,.,1,0.002519
FCAC,EX 04,1,1,.,1,1,0.010076
FCAC,Non-EX,62,67,73,78,87,0.924433
FEDSO,EX 01,5,5,7,6,4,0.02439
FEDSO,EX 02,7,6,6,6,7,0.028907
FEDSO,EX 04,2,2,3,2,1,0.009033
FEDSO,Non-EX,211,205,208,204,210,0.937669
FIN,EX 01,86,82,79,71,69,0.102762
FIN,EX 02,33,34,35,33,35,0.045141
FIN,EX 03,26,23,25,21,24,0.031599
FIN,EX 04,10,9,9,8,7,0.011418
FIN,EX 05,7,7,7,8,7,0.009559
FIN,Non-EX,619,601,596,602,593,0.799522
FJA,EX 01,4,3,4,3,4,0.05921
FJA,EX 02,1,.,.,.,.,0.00329
FJA,EX 03,.,1,1,1,1,0.01316
FJA,EX 04,.,.,.,.,1,0.00329
FJA,Non-EX,61,63,53,50,53,0.92105
FO,EX 01,178,162,141,132,127,0.014529
FO,EX 02,37,36,37,33,37,0.003534
FO,EX 03,40,41,29,35,39,0.003613
FO,EX 04,11,10,9,8,11,0.000962
FO,EX 05,2,2,2,2,2,0.000196
FO,Non-EX,10655,10043,9740,9648,9685,0.977167
FORDQ,EX 01,7,6,7,8,7,0.019977
FORDQ,EX 02,6,5,5,5,6,0.015411
FORDQ,EX 03,1,1,.,2,2,0.003425
FORDQ,EX 04,2,2,2,.,1,0.003995
FORDQ,Non-EX,385,325,334,316,317,0.957192
FTRAC,EX 01,28,25,24,26,18,0.066265
FTRAC,EX 02,6,5,4,3,4,0.012048
FTRAC,EX 03,4,3,3,3,2,0.008215
FTRAC,Non-EX,338,341,316,323,350,0.913472
GG,EX 01,6,8,8,7,7,0.044944
GG,EX 02,3,2,1,2,2,0.012484
GG,EX 03,3,3,3,3,3,0.018727
GG,Non-EX,154,145,143,144,154,0.923845
GSC,EX 01,155,151,160,156,155,0.012544
GSC,EX 02,117,115,112,127,128,0.00967
GSC,EX 03,59,56,51,56,61,0.004569
GSC,EX 04,9,8,10,13,9,0.000791
GSC,EX 05,4,2,4,2,3,0.000242
GSC,Non-EX,13334,11812,11630,11738,11705,0.972184
H,EX 01,109,99,103,93,93,0.010378
H,EX 02,67,65,70,77,71,0.007309
H,EX 03,46,36,36,32,31,0.00378
H,EX 04,6,7,7,7,6,0.000689
H,EX 05,3,3,2,3,4,0.000313
H,Non-EX,10347,9491,9123,8867,8984,0.977531
HMIRC,EX 01,2,2,.,.,.,0.056338
HMIRC,Non-EX,38,29,.,.,.,0.943662
HRSD,EX 01,341,307,296,307,311,0.014474
HRSD,EX 02,85,74,73,66,64,0.003354
HRSD,EX 03,63,64,63,73,67,0.003058
HRSD,EX 04,17,14,10,12,13,0.000612
HRSD,EX 05,7,7,8,6,5,0.000306
HRSD,Non-EX,22243,19580,20647,21243,21852,0.978196
IJC,EX 02,.,1,1,1,1,0.025806
IJC,EX 03,1,1,1,1,1,0.032258
IJC,Non-EX,27,30,29,30,30,0.941935
INAC,EX 01,140,120,116,99,102,0.023544
INAC,EX 02,50,42,37,42,39,0.008569
INAC,EX 03,43,38,39,34,38,0.007834
INAC,EX 04,7,5,5,2,5,0.000979
INAC,EX 05,2,3,2,4,4,0.000612
INAC,Non-EX,5167,4767,4658,4503,4394,0.958461
IOG,EX 01,5,4,5,3,4,0.050847
IOG,EX 03,4,4,4,4,4,0.048426
IOG,EX 04,1,1,1,1,1,0.012107
IOG,Non-EX,69,75,75,72,76,0.88862
IPC,EX 01,9,10,8,11,10,0.036009
IPC,EX 02,4,5,5,5,5,0.018005
IPC,EX 03,2,2,2,2,2,0.007502
IPC,Non-EX,258,241,246,264,242,0.938485
IRB,EX 01,18,18,14,13,12,0.014988
IRB,EX 02,5,9,9,7,7,0.007394
IRB,EX 03,5,2,2,3,3,0.002998
IRB,EX 04,1,1,1,1,1,0.000999
IRB,EX 05,1,1,.,.,.,0.0004
IRB,Non-EX,1030,1003,957,930,950,0.973221
ISC,EX 01,116,118,104,104,103,0.022488
ISC,EX 02,47,49,52,52,53,0.010439
ISC,EX 03,34,35,34,36,37,0.007262
ISC,EX 04,7,4,4,5,7,0.001114
ISC,EX 05,5,5,4,2,3,0.000784
ISC,Non-EX,5032,4571,4520,4543,4573,0.95795
JJJ,Non-EX,1105,1100,1110,1144,1141,1
JUS,EX 01,37,36,32,30,28,0.006976
JUS,EX 02,14,10,10,10,15,0.002525
JUS,EX 03,8,8,8,8,8,0.001712
JUS,EX 04,2,3,1,1,.,0.0003
JUS,EX 05,.,.,2,3,3,0.000342
JUS,Non-EX,5069,4668,4521,4424,4407,0.988145
LAC,EX 01,22,12,14,14,13,0.014808
LAC,EX 02,11,10,9,12,11,0.010464
LAC,EX 03,3,3,4,4,3,0.003356
LAC,EX 04,3,3,2,1,2,0.002172
LAC,Non-EX,1106,885,1014,995,909,0.9692
MPCC,EX 01,1,1,.,.,.,0.020833
MPCC,EX 03,.,.,1,2,2,0.052083
MPCC,Non-EX,15,17,13,20,24,0.927083
ND,EX 01,90,89,79,81,87,0.003526
ND,EX 02,25,33,33,32,36,0.001316
ND,EX 03,28,30,27,29,31,0.0012
ND,EX 04,4,3,4,4,5,0.000166
ND,EX 05,7,6,5,5,6,0.00024
ND,Non-EX,27023,24778,22998,22460,22789,0.993553
NEB,EX 01,7,15,14,17,18,0.032931
NEB,EX 02,3,2,2,1,4,0.005566
NEB,EX 03,13,12,13,14,16,0.03154
NEB,EX 04,2,2,2,3,3,0.005566
NEB,EX 05,1,1,.,1,1,0.001855
NEB,Non-EX,370,377,404,411,427,0.922542
NFB,EX 01,7,4,6,6,3,0.012416
NFB,EX 02,19,18,19,20,18,0.04489
NFB,EX 03,1,1,.,.,2,0.00191
NFB,EX 04,5,5,6,6,4,0.012416
NFB,EX 05,1,1,1,1,1,0.002388
NFB,Non-EX,392,437,388,361,361,0.925979
NPB,EX 01,6,6,7,6,5,0.013304
NPB,EX 02,6,7,6,6,6,0.013747
NPB,EX 03,1,1,1,1,1,0.002217
NPB,Non-EX,415,440,445,454,435,0.970732
NR,EX 01,74,67,70,71,60,0.01584
NR,EX 02,39,35,34,34,40,0.008429
NR,EX 03,35,33,34,35,35,0.007966
NR,EX 04,7,8,10,6,6,0.001714
NR,EX 05,4,2,2,2,3,0.000602
NR,Non-EX,4500,4216,4081,4001,4047,0.965449
NRC,EX 01,63,75,81,77,79,0.020378
NRC,EX 02,49,38,38,51,47,0.012118
NRC,EX 03,33,25,23,7,9,0.005271
NRC,EX 04,1,2,2,14,14,0.001793
NRC,EX 05,5,5,5,6,7,0.001522
NRC,Non-EX,3794,3380,3385,3463,3624,0.958918
NRTEE,EX 01,3,.,.,.,.,0.085714
NRTEE,EX 02,2,.,.,.,.,0.057143
NRTEE,Non-EX,27,3,.,.,.,0.857143
NSERC,EX 01,14,10,11,12,13,0.028544
NSERC,EX 02,4,6,4,4,4,0.010466
NSERC,EX 03,4,3,2,2,2,0.006185
NSERC,EX 04,2,3,3,3,2,0.006185
NSERC,EX 05,2,1,1,1,1,0.002854
NSERC,Non-EX,398,384,388,396,422,0.945766
OAG,EX 01,101,91,86,85,84,0.148802
OAG,EX 02,2,1,.,.,.,0.000999
OAG,EX 03,51,49,45,43,44,0.07723
OAG,EX 04,5,5,5,3,1,0.006325
OAG,EX 05,13,12,11,12,9,0.018975
OAG,Non-EX,481,453,434,428,450,0.74767
OCI,EX 01,.,3,3,3,4,0.075145
OCI,EX 03,.,1,1,1,1,0.023121
OCI,Non-EX,28,29,36,31,32,0.901734
OCOL,EX 01,10,9,8,10,8,0.053957
OCOL,EX 03,3,4,3,3,3,0.019185
OCOL,Non-EX,152,149,160,159,153,0.926859
ODPP,EX 01,4,3,5,5,3,0.004174
ODPP,EX 02,5,4,3,3,3,0.003757
ODPP,Non-EX,921,947,961,960,964,0.992068
OICC,EX 01,18,15,14,15,16,0.047301
OICC,EX 02,7,7,6,8,6,0.020619
OICC,EX 03,2,3,3,4,5,0.010309
OICC,EX 04,4,3,2,4,4,0.010309
OICC,Non-EX,317,280,263,323,320,0.911461
OPSIC,EX 01,1,.,1,1,1,0.028571
OPSIC,EX 02,1,1,1,1,.,0.028571
OPSIC,EX 03,1,1,1,1,1,0.035714
OPSIC,Non-EX,27,29,25,22,24,0.907143
ORL,EX 01,2,2,2,2,3,0.082707
ORL,EX 02,1,1,1,1,1,0.037594
ORL,Non-EX,25,23,23,24,22,0.879699
OSFI,EX 01,76,81,95,93,96,0.133961
OSFI,EX 02,21,25,23,27,26,0.03706
OSFI,EX 03,8,11,10,12,11,0.015796
OSFI,EX 04,7,7,7,6,4,0.009417
OSFI,EX 05,3,4,3,2,4,0.00486
OSFI,Non-EX,488,510,546,560,526,0.798906
PCA,EX 01,7,6,7,6,3,0.001686
PCA,EX 02,43,39,40,44,44,0.01221
PCA,EX 03,21,16,13,13,18,0.00471
PCA,EX 04,4,5,7,8,7,0.001802
PCA,EX 05,4,6,6,8,6,0.001744
PCA,Non-EX,3742,2851,3102,3315,3808,0.977848
PCC,EX 01,.,3,3,4,2,0.036923
PCC,EX 02,.,1,1,1,1,0.012308
PCC,EX 03,.,1,1,1,.,0.009231
PCC,Non-EX,55,55,60,68,68,0.941538
PCO,EX 01,51,48,44,38,29,0.05473
PCO,EX 02,18,14,10,14,14,0.018243
PCO,EX 03,19,20,19,16,15,0.023195
PCO,EX 04,10,11,9,11,8,0.01277
PCO,EX 05,10,9,6,3,4,0.00834
PCO,Non-EX,784,652,663,646,642,0.882721
PHAC,EX 01,40,39,34,34,38,0.016051
PHAC,EX 02,21,20,18,16,17,0.007982
PHAC,EX 03,13,14,15,14,17,0.006334
PHAC,EX 04,3,2,2,3,1,0.000954
PHAC,Non-EX,2702,2088,2106,2119,2150,0.96868
PMPRB,EX 01,2,2,2,3,2,0.037543
PMPRB,EX 02,2,2,2,2,2,0.03413
PMPRB,EX 03,1,1,1,1,1,0.017065
PMPRB,Non-EX,51,48,50,54,64,0.911263
PSC,EX 01,40,29,24,22,18,0.032799
PSC,EX 02,7,8,6,9,13,0.010604
PSC,EX 03,12,11,10,9,7,0.012084
PSC,EX 04,3,3,3,3,4,0.003946
PSC,EX 05,1,1,.,1,1,0.000986
PSC,Non-EX,912,813,693,694,698,0.939581
PSEP,EX 01,57,61,54,50,41,0.048839
PSEP,EX 02,17,14,13,9,13,0.012256
PSEP,EX 03,20,15,16,14,13,0.014485
PSEP,EX 04,4,4,5,5,4,0.004085
PSEP,EX 05,2,2,2,1,1,0.001486
PSEP,Non-EX,1013,1016,967,899,1053,0.918849
PSSRB,EX 01,2,3,2,.,.,0.025455
PSSRB,EX 02,2,2,2,.,.,0.021818
PSSRB,EX 03,2,1,1,.,.,0.014545
PSSRB,Non-EX,82,90,86,.,.,0.938182
