DeptCode,Tenure,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
EA,Casual,274,316,261,298,253,0.04286
EA,Indeterminate,6676,6388,5415,5277,5231,0.88607
EA,Student,293,210,136,143,156,0.02867
EA,Term,312,355,215,255,250,0.04240
EC,Casual,157,255,318,292,271,0.03943
EC,Indeterminate,5973,5660,5675,5709,5514,0.87011
EC,Student,448,354,372,324,339,0.05602
EC,Term,184,139,185,270,351,0.03443
ERC,Indeterminate,3,5,5,4,5,0.81481
ERC,Term,.,1,.,2,2,0.18519
FCAC,Casual,7,6,8,7,12,0.10076
FCAC,Indeterminate,55,62,66,72,76,0.83375
FCAC,Student,3,2,.,.,4,0.02267
FCAC,Term,3,3,4,5,2,0.04282
FEDSO,Casual,31,23,19,25,22,0.10840
FEDSO,Indeterminate,178,172,189,181,172,0.80578
FEDSO,Student,5,4,2,2,11,0.02168
FEDSO,Term,11,19,14,10,17,0.06414
FIN,Casual,13,16,19,21,23,0.02443
FIN,Indeterminate,750,727,715,704,698,0.95433
FIN,Student,12,9,10,5,7,0.01142
FIN,Term,6,4,7,13,7,0.00982
FJA,Casual,5,6,2,4,8,0.08224
FJA,Indeterminate,57,59,55,48,50,0.88487
FJA,Student,2,1,.,.,.,0.00987
FJA,Term,2,1,1,2,1,0.02303
FO,Casual,605,576,693,729,647,0.06381
FO,Indeterminate,9415,8821,8457,8221,8190,0.84627
FO,Student,97,98,89,110,96,0.00962
FO,Term,806,799,719,798,968,0.08030
FORDQ,Casual,20,25,38,37,29,0.08505
FORDQ,Indeterminate,340,280,262,258,270,0.80479
FORDQ,Student,15,20,21,19,13,0.05023
FORDQ,Term,26,14,27,17,21,0.05993
FTRAC,Indeterminate,317,331,316,317,327,0.88061
FTRAC,Term,59,43,31,38,47,0.11939
GG,Casual,7,4,5,6,13,0.04370
GG,Indeterminate,143,141,135,137,140,0.86891
GG,Student,3,2,2,3,3,0.01623
GG,Term,13,11,13,10,10,0.07116
GSC,Casual,362,385,397,514,618,0.03674
GSC,Indeterminate,12701,11195,10977,10747,10517,0.90628
GSC,Student,263,191,198,259,282,0.01926
GSC,Term,352,373,395,572,644,0.03771
H,Casual,469,401,394,257,340,0.03886
H,Indeterminate,9319,8585,8178,8104,8080,0.88260
H,Student,167,142,177,157,223,0.01808
H,Term,623,573,592,561,546,0.06045
HMIRC,Casual,3,3,.,.,.,0.08451
HMIRC,Indeterminate,33,22,.,.,.,0.77465
HMIRC,Student,1,2,.,.,.,0.04225
HMIRC,Term,3,4,.,.,.,0.09859
HRSD,Casual,634,530,790,1024,986,0.03673
HRSD,Indeterminate,19970,17404,17549,16953,16840,0.82207
HRSD,Student,509,245,349,553,538,0.02033
HRSD,Term,1643,1867,2409,3177,3948,0.12087
IJC,Casual,.,2,3,.,2,0.04516
IJC,Indeterminate,22,25,24,24,25,0.77419
IJC,Student,2,2,2,2,1,0.05806
IJC,Term,4,3,2,6,4,0.12258
INAC,Casual,165,85,224,258,278,0.04121
INAC,Indeterminate,4686,4368,4127,3902,3803,0.85225
INAC,Student,163,189,218,261,268,0.04484
INAC,Term,395,333,288,263,233,0.06170
IOG,Casual,1,1,6,2,5,0.03632
IOG,Indeterminate,71,77,77,74,71,0.89588
IOG,Student,.,1,.,.,5,0.01453
IOG,Term,7,5,2,4,4,0.05327
IPC,Casual,26,13,16,24,22,0.07577
