dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,20-24,23,9,17,19,13,0.02632
ACOA,25-29,40,27,21,18,19,0.04062
ACOA,30-34,68,51,46,38,38,0.07832
ACOA,35-39,100,107,97,86,92,0.15665
ACOA,40-44,117,103,105,106,100,0.17257
ACOA,45-49,133,118,108,110,116,0.19012
ACOA,50-54,105,102,107,116,117,0.17777
ACOA,55-59,72,59,67,84,78,0.117
ACOA,60-64,16,12,19,21,35,0.03347
ACOA,65-69,2,2,4,5,5,0.00585
ACOA,< 20,.,.,.,1,.,0.00032
ACOA,70 +,1,.,.,.,2,0.00097
AECB,20-24,23,15,18,29,43,0.03037
AECB,25-29,62,62,51,41,65,0.06668
AECB,30-34,70,76,64,65,75,0.08306
AECB,35-39,105,108,102,94,87,0.1177
AECB,40-44,121,118,121,111,121,0.14048
AECB,45-49,146,136,131,134,118,0.15781
AECB,50-54,154,149,143,142,140,0.17276
AECB,55-59,108,116,111,116,113,0.13384
AECB,60-64,58,55,55,61,58,0.06811
AECB,65-69,12,17,19,22,22,0.02183
AECB,70 +,5,4,6,7,9,0.00736
AGR,20-24,406,380,358,396,410,0.06894
AGR,25-29,478,402,361,349,351,0.06862
AGR,30-34,626,539,439,391,389,0.08428
AGR,35-39,755,694,606,614,578,0.11479
AGR,40-44,782,739,664,649,662,0.12359
AGR,45-49,1004,870,744,701,671,0.14105
AGR,50-54,1154,1030,917,874,836,0.17008
AGR,55-59,906,838,736,725,737,0.13936
AGR,60-64,353,331,315,329,366,0.05989
AGR,65-69,104,98,92,95,106,0.0175
AGR,< 20,44,37,35,48,35,0.00704
AGR,70 +,32,33,24,23,26,0.00488
AHRAC,25-29,1,.,.,.,.,0.07143
AHRAC,30-34,2,.,.,.,.,0.14286
AHRAC,40-44,3,.,.,.,.,0.21429
AHRAC,45-49,2,.,.,.,.,0.14286
AHRAC,50-54,1,.,.,.,.,0.07143
AHRAC,55-59,1,.,.,.,.,0.07143
AHRAC,60-64,1,.,.,.,.,0.07143
AHRAC,65-69,3,.,.,.,.,0.21429
APPRT,25-29,1,1,.,.,.,0.15385
APPRT,35-39,1,1,.,.,.,0.15385
APPRT,40-44,2,.,.,.,.,0.15385
APPRT,45-49,1,.,.,.,.,0.07692
APPRT,50-54,1,.,.,.,.,0.07692
APPRT,55-59,3,1,.,.,.,0.30769
APPRT,65-69,1,.,.,.,.,0.07692
ATSSC,20-24,.,.,.,8,13,0.02905
ATSSC,25-29,.,.,.,23,32,0.07607
ATSSC,30-34,.,.,.,55,60,0.15906
ATSSC,35-39,.,.,.,48,52,0.13831
ATSSC,40-44,.,.,.,43,35,0.10788
ATSSC,45-49,.,.,.,44,45,0.1231
ATSSC,50-54,.,.,.,58,62,0.16598
ATSSC,55-59,.,.,.,35,37,0.09959
ATSSC,60-64,.,.,.,22,22,0.06086
ATSSC,65-69,.,.,.,10,11,0.02905
ATSSC,< 20,.,.,.,.,1,0.00138
ATSSC,70 +,.,.,.,3,4,0.00968
CAS,20-24,32,21,31,42,38,0.05152
CAS,25-29,96,99,86,84,106,0.14797
CAS,30-34,70,52,57,60,67,0.09614
CAS,35-39,71,72,72,70,72,0.11216
CAS,40-44,80,76,71,76,72,0.11781
CAS,45-49,110,103,87,85,99,0.15206
CAS,50-54,95,92,97,95,99,0.15017
CAS,55-59,65,71,73,67,71,0.10902
CAS,60-64,34,31,32,29,29,0.0487
CAS,65-69,3,3,6,8,10,0.00943
CAS,< 20,3,1,1,.,4,0.00283
CAS,70 +,1,2,1,2,1,0.0022
CAT,25-29,3,2,.,.,.,0.17857
CAT,30-34,1,1,3,.,.,0.17857
CAT,35-39,1,1,.,.,.,0.07143
CAT,45-49,2,1,1,.,.,0.14286
CAT,50-54,.,1,2,.,.,0.10714
CAT,55-59,2,2,1,.,.,0.17857
CAT,60-64,1,1,2,.,.,0.14286
CB,25-29,2,2,.,1,.,0.06849
CB,30-34,.,2,3,4,3,0.16438
CB,35-39,2,3,3,2,1,0.15068
CB,40-44,4,4,3,4,5,0.27397
CB,45-49,1,.,1,3,2,0.09589
CB,50-54,.,1,1,1,1,0.05479
CB,55-59,4,3,1,1,1,0.13699
CB,60-64,1,.,1,1,1,0.05479
CBSA,20-24,605,454,480,512,570,0.03676
CBSA,25-29,1851,1532,1285,1145,1042,0.09613
CBSA,30-34,2350,2370,2335,2236,2160,0.16059
CBSA,35-39,2138,2217,2350,2462,2519,0.16388
CBSA,40-44,1951,1999,2059,2092,2139,0.1436
CBSA,45-49,2128,2047,2035,2007,2010,0.14342
CBSA,50-54,1955,1946,2014,2064,2033,0.14041
CBSA,55-59,1188,1133,1041,1069,1135,0.07806
CBSA,60-64,403,387,372,397,415,0.02768
CBSA,65-69,105,101,83,89,103,0.00675
CBSA,< 20,17,14,27,19,23,0.0014
CBSA,70 +,19,18,15,21,22,0.00133
CCMD,20-24,29,8,16,31,36,0.03437
CCMD,25-29,95,54,41,37,41,0.07677
CCMD,30-34,115,78,79,82,58,0.11802
CCMD,35-39,131,116,106,106,106,0.16184
CCMD,40-44,129,103,107,104,112,0.15898
CCMD,45-49,107,94,96,98,103,0.14265
CCMD,50-54,117,102,95,90,94,0.14265
CCMD,55-59,108,63,59,68,64,0.1037
CCMD,60-64,59,32,21,20,25,0.04497
CCMD,65-69,21,6,4,9,7,0.01346
CCMD,< 20,.,.,1,.,2,0.00086
CCMD,70 +,4,1,.,1,.,0.00172
CCRA,20-24,1278,1180,1074,1237,1234,0.02946
CCRA,25-29,2863,2631,2607,2637,2491,0.06493
CCRA,30-34,3916,3785,3669,3654,3634,0.09157
CCRA,35-39,4769,4541,4558,4545,4571,0.11281
CCRA,40-44,5614,5434,5219,5200,5153,0.13065
CCRA,45-49,7264,6717,6426,6146,5979,0.15967
CCRA,50-54,8359,8220,7915,7588,7258,0.19308
CCRA,55-59,5498,5501,5498,5651,5741,0.13688
CCRA,60-64,2351,2397,2439,2465,2480,0.05954
CCRA,65-69,569,651,673,718,740,0.01645
CCRA,< 20,64,65,57,56,60,0.00148
CCRA,70 +,123,134,144,161,142,0.00346
CCRA,N/A,.,.,.,1,1,0.00001
CDC,20-24,1,1,1,4,2,0.03114
CDC,25-29,9,9,6,8,9,0.14187
CDC,30-34,9,8,9,8,12,0.15917
CDC,35-39,11,7,7,9,5,0.13495
CDC,40-44,11,12,8,8,10,0.16955
CDC,45-49,6,6,5,7,10,0.11765
CDC,50-54,7,9,8,7,6,0.12803
CDC,55-59,5,4,4,5,5,0.07958
CDC,60-64,2,2,1,.,1,0.02076
CDC,< 20,.,.,2,.,.,0.00692
CDC,70 +,2,1,.,.,.,0.01038
CEAA,20-24,8,5,11,10,16,0.04252
CEAA,25-29,24,18,24,19,29,0.09694
CEAA,30-34,44,34,34,34,36,0.15476
CEAA,35-39,39,40,45,42,46,0.18027
CEAA,40-44,39,41,39,40,37,0.16667
CEAA,45-49,29,28,23,27,31,0.11735
CEAA,50-54,33,29,29,27,25,0.1216
CEAA,55-59,14,13,20,23,28,0.08333
CEAA,60-64,5,8,2,5,4,0.02041
CEAA,65-69,4,3,3,2,5,0.01446
CEAA,70 +,1,.,.,.,1,0.0017
CEO,20-24,31,19,19,45,42,0.05558
CEO,25-29,57,44,57,76,83,0.11293
CEO,30-34,65,56,69,85,89,0.12968
CEO,35-39,68,78,70,85,78,0.13502
