"votestatcode","measure_id","org_id","funding","allocated","withheld","remaining"
"V0688",58,132,1620130,1620130.00,0,0.00
"V0624",59,128,1098000,864637.00,183271,50092.00
"V0625",60,128,20000000,20000000.00,0,0.00
"V0626",61,128,3000000,2914449.00,85551,0.00
"V0627",62,128,31800000,13760320.00,18039680,0.00
"V0628",63,128,6360000,5209234.00,1150740,26.00
"V0629",64,128,34710557,27889379.00,1340291,5480887.00
"V0630",65,128,75529000,74875408.00,653592,0.00
"V0631",66,128,1000000,0.00,0,1000000.00
"V0633",67,128,91100000,77256850.00,13694134,149016.00
"V0635",68,128,5000000,5000000.00,0,0.00
"V0636",69,128,29500000,27223590.00,737188,1539222.00
"V0637",70,128,4000000,4000000.00,0,0.00
"V0639",71,128,25000000,24691262.00,308738,0.00
"V0732",72,137,4739890,4231581.00,508309,0.00
"V0644",73,125,5069400,4273101.00,785421,10878.00
"V0645",74,126,11446936,0.00,0,11446936.00
"V0649",75,126,6133109,0.00,0,6133109.00
"V0651",76,127,7300000,0.00,0,7300000.00
"V0652",77,127,5000000,0.00,0,5000000.00
"V0653",78,127,1000000,0.00,0,1000000.00
"V0655",79,127,700000,0.00,0,700000.00
"V0656",80,127,11200000,0.00,0,11200000.00
"V0657",81,127,500000,0.00,0,500000.00
"V0620",82,123,18000000,13843723.00,4066008,90269.00
"V0623",83,123,125120000,125120000.00,0,0.00
"V0665",84,348,4279699,0.00,0,4279699.00
"V0666",85,348,404100000,399409009.00,4690991,0.00
"V0667",86,348,24000000,0.00,0,24000000.00
"V0669",87,348,66700000,66700000.00,0,0.00
"V0670",88,348,40316600,35000000.00,0,5316600.00
"V0671",89,348,32705600,32158266.00,547334,0.00
"V0672",90,348,3700000,0.00,0,3700000.00
"V0674",91,348,30000000,30000000.00,0,0.00
"V0675",92,348,5000000,0.00,0,5000000.00
"V0676",93,130,25905000,21881944.00,328056,3695000.00
"V0677",94,130,30000000,29751010.00,248990,0.00
"V0678",95,130,7357000,6090282.00,1266718,0.00
"V0681",96,130,10000000,10000000.00,0,0.00
"V0683",97,130,7300000,7300000.00,0,0.00
"V0684",98,130,5666667,5619574.00,47093,0.00
"V0694",100,133,34073332,0.00,0,34073332.00
"V0738",101,221,3670000,0.00,0,3670000.00
"V0696",102,134,12801946,12084697.00,717249,0.00
"V0698",103,134,1674737,0.00,0,1674737.00
"V0742",104,240,1154394,1129710.00,24684,0.00
"V0745",105,256,5100000,4049197.00,1050803,0.00
"V0744",106,256,3032615,2573468.00,459147,0.00
"V0746",107,280,2510000,2286643.00,223357,0.00
"V0748",108,280,4999000,4860623.00,138377,0.00
"V0743",109,248,4200000,3000000.00,1200000,0.00
"V0704",110,135,4443100,4322422.00,120678,0.00
"V0705",111,135,2000000,0.00,0,2000000.00
"V0707",112,136,3151598,2299275.00,852323,0.00
"V0709",113,136,5700000,5700000.00,0,0.00
"V0710",114,136,8081424,7690638.00,374201,16585.00
"V0711",115,136,4042000,3453994.00,588006,0.00
"V0712",116,136,372553504,270193725.00,4005580,98354199.00
"V0713",117,136,275000000,0.00,0,275000000.00
"V0753",118,295,96192357,78400079.00,0,17792278.00
"V0754",119,305,1619949,0.00,0,1619949.00
"V0757",120,313,500000,361469.00,138531,0.00
"V0719",121,138,73110648,62028750.00,11081897,1.00
"V0760",122,326,11000000,11000000.00,0,0.00
"V0720",123,139,30000000,0.00,0,30000000.00
"V0721",124,139,1000000,970000.00,30000,0.00
"V0722",125,139,500000,500000.00,0,0.00
"V0723",126,139,30000000,30000000.00,0,0.00
"V0724",127,139,901100,759957.00,85499,55644.00
"V0727",128,140,1000000,1000000.00,0,0.00
"V0729",129,140,33300000,32273942.00,1026058,0.00

