dept_code,dimension,2017,2018,2019,2020,2021,avg_share
CRTC,ind,421.0,407.0,437.0,480.0,491.0,0.8997987927565392
CRTC,stu,10.0,14.0,16.0,17.0,13.0,0.028169014084507043
CRTC,ter,21.0,18.0,17.0,22.0,30.0,0.04346076458752515
CSA,cas,37.0,27.0,44.0,43.0,53.0,0.05957943925233645
CSA,ind,540.0,570.0,573.0,584.0,619.0,0.8428738317757011
CSA,stu,47.0,28.0,40.0,29.0,50.0,0.0566588785046729
CSA,ter,31.0,22.0,35.0,30.0,22.0,0.040887850467289724
CSC,cas,245.0,265.0,294.0,374.0,267.0,0.016522027464297553
CSC,ind,16102.0,16001.0,16083.0,16153.0,16257.0,0.9215289449913673
CSC,stu,77.0,105.0,104.0,177.0,133.0,0.006814621708457676
CSC,ter,685.0,775.0,1001.0,1114.0,1247.0,0.05513440583587737
CSEC,cas,1.0,,1.0,,,0.0001557026080186843
CSEC,ind,2070.0,2164.0,2315.0,2527.0,2774.0,0.9225379525107044
CSEC,na,2.0,2.0,,,,0.0003114052160373686
CSEC,stu,55.0,81.0,87.0,95.0,77.0,0.030751265083690145
CSEC,ter,81.0,114.0,146.0,130.0,123.0,0.04624367458154923
CTA,cas,20.0,16.0,17.0,19.0,36.0,0.0784313725490196
CTA,ind,181.0,185.0,195.0,200.0,213.0,0.7073347857661583
CTA,stu,8.0,7.0,7.0,8.0,12.0,0.030501089324618733
CTA,ter,14.0,27.0,53.0,65.0,94.0,0.1837327523602033
CTAIB,cas,6.0,7.0,7.0,7.0,5.0,0.02933088909257562
CTAIB,ind,195.0,186.0,194.0,205.0,212.0,0.9092575618698442
CTAIB,stu,4.0,10.0,6.0,2.0,3.0,0.022914757103574702
CTAIB,ter,4.0,7.0,9.0,11.0,11.0,0.0384967919340055
EA,cas,273.0,366.0,391.0,351.0,369.0,0.053304904051172705
EA,ind,5316.0,5297.0,5424.0,5608.0,5824.0,0.8367042339323789
EA,na,1.0,,,,,3.0459945172098693e-05
EA,stu,171.0,241.0,276.0,305.0,231.0,0.037282972890648795
EA,ter,300.0,450.0,470.0,596.0,570.0,0.07267742918062747
EC,cas,265.0,330.0,429.0,284.0,275.0,0.044120516179380696
EC,ind,5631.0,5812.0,6100.0,6421.0,6502.0,0.8491318041194013
EC,stu,347.0,369.0,407.0,411.0,394.0,0.053736168789542633
EC,ter,358.0,325.0,340.0,434.0,445.0,0.05301151091167535
ERC,ind,5.0,6.0,5.0,5.0,13.0,0.7555555555555555
ERC,ter,1.0,,3.0,5.0,2.0,0.24444444444444446
FCAC,cas,15.0,11.0,15.0,5.0,6.0,0.08
FCAC,ind,76.0,91.0,98.0,128.0,142.0,0.823076923076923
FCAC,stu,2.0,2.0,4.0,5.0,3.0,0.024615384615384615
FCAC,ter,6.0,11.0,11.0,9.0,10.0,0.07230769230769231
FEDSO,cas,24.0,15.0,17.0,11.0,18.0,0.06630265210608426
FEDSO,ind,164.0,175.0,183.0,213.0,230.0,0.7527301092043682
FEDSO,stu,3.0,12.0,14.0,24.0,25.0,0.060842433697347896
FEDSO,ter,26.0,33.0,26.0,26.0,43.0,0.1201248049921997
FIN,cas,16.0,16.0,18.0,22.0,14.0,0.02137708177976634
FIN,ind,713.0,741.0,756.0,782.0,804.0,0.9435744469301517
FIN,na,1.0,1.0,,,,0.0004971414367387521
FIN,stu,10.0,14.0,16.0,17.0,20.0,0.019139945314441957
FIN,ter,7.0,16.0,12.0,12.0,15.0,0.015411384538901318
FJA,cas,3.0,,3.0,3.0,4.0,0.04100946372239748
FJA,ind,56.0,60.0,54.0,60.0,62.0,0.9211356466876972
FJA,stu,,,,1.0,1.0,0.006309148264984228
FJA,ter,,2.0,1.0,2.0,5.0,0.031545741324921134
FO,cas,561.0,560.0,465.0,507.0,568.0,0.044753527640895414
FO,ind,8593.0,9280.0,9973.0,10609.0,11139.0,0.8340873543113743
FO,na,24.0,29.0,37.0,35.0,24.0,0.002505928454901697
FO,stu,100.0,149.0,146.0,153.0,224.0,0.012983736692510807
FO,ter,952.0,1120.0,1290.0,1350.0,1571.0,0.10566945290031786
FORDQ,cas,27.0,7.0,15.0,6.0,7.0,0.037644201578627814
FORDQ,ind,274.0,269.0,258.0,268.0,285.0,0.8221007893139042
FORDQ,stu,10.0,9.0,13.0,9.0,13.0,0.03278688524590164
FORDQ,ter,25.0,22.0,38.0,37.0,55.0,0.10746812386156648
FTRAC,cas,,,,1.0,3.0,0.00211864406779661
FTRAC,ind,321.0,326.0,324.0,327.0,356.0,0.8760593220338982
FTRAC,stu,30.0,26.0,27.0,33.0,22.0,0.07309322033898305
FTRAC,ter,27.0,20.0,10.0,15.0,20.0,0.04872881355932203
GG,cas,5.0,8.0,7.0,12.0,1.0,0.042857142857142864
GG,ind,130.0,122.0,119.0,134.0,133.0,0.8285714285714287
GG,stu,2.0,8.0,12.0,10.0,16.0,0.062337662337662345
GG,ter,12.0,10.0,10.0,11.0,8.0,0.06623376623376624
GSC,cas,696.0,714.0,740.0,520.0,438.0,0.04058500914076782
GSC,ind,11105.0,11392.0,12626.0,13601.0,14327.0,0.8233350744319665
GSC,na,1.0,,,,,1.3058239749281796e-05
GSC,stu,389.0,390.0,408.0,423.0,381.0,0.025998955340820053
GSC,ter,703.0,1492.0,1947.0,2348.0,1939.0,0.11006790284669625
H,cas,273.0,307.0,350.0,337.0,382.0,0.032791775210292924
H,ind,8355.0,8610.0,9303.0,9747.0,7729.0,0.869886849483962
H,stu,186.0,245.0,320.0,327.0,328.0,0.02795951239883071
H,ter,513.0,577.0,821.0,812.0,765.0,0.06936186290691432
HRSD,cas,703.0,807.0,615.0,1061.0,1454.0,0.03477218225419664
