"DeptCode","ActivityCode","AuthorityType","Expenditures_2015","Expenditures_2016"
"NCC","ADV00","V",91009322.00,90623439.00
"ND","CQA00","S",138132838.65,127921990.96
"ND","CQA00","V",1221946300.14,1220031490.50
"ND","CQB00","S",57218876.78,30603393.32
"ND","CQB00","V",396475523.13,381686893.64
"ND","CQC00","S",491456470.73,473755299.20
"ND","CQC00","V",2909930085.92,2981299581.27
"ND","CQD00","S",788522530.27,765567993.41
"ND","CQD00","V",11789355550.97,11683195786.60
"ND","CQE00","S",33394661.07,34846472.24
"ND","CQE00","V",391394747.32,413415987.17
"ND","ISC00","S",48850207.59,48228022.67
"ND","ISC00","V",399395450.10,445600618.42
"NEB","AUD00","S",5087406.53,0.00
"NEB","AUD00","V",40754881.97,40961325.12
"NEB","AUF00","S",776045.07,0.00
"NEB","AUF00","V",6414734.64,6125215.63
"NEB","ISC00","S",2759271.33,8607168.99
"NEB","ISC00","V",26604227.97,28923108.52
"NFB","AEA00","S",88828.61,-5466271.24
"NFB","AEA00","V",34822999.75,38132272.95
"NFB","BLT00","S",0.00,7979352.62
"NFB","BLT00","V",16702002.48,13018610.97
"NFB","ISC00","S",-0.00,-1753189.27
"NFB","ISC00","V",8307357.77,12003649.63
"NGC","AEF00","V",45776761.00,46127385.00
"NMST","AEH00","V",59600577.00,108103274.00
"NPA","AUP00","S",30086.13,3336.35
"NPA","AUP00","V",425968.42,250994.05
"NPB","AXV00","S",4053459.10,3978158.54
"NPB","AXV00","V",30954521.00,31135175.12
"NPB","AXW00","S",592819.60,460368.50
"NPB","AXW00","V",3261336.94,3452013.69
"NPB","AXY00","S",537627.67,582870.77
"NPB","AXY00","V",-173264.14,673434.80
"NPB","ISC00","S",771410.67,753839.46
"NPB","ISC00","V",6333028.38,5789580.52
"NR","BMT00","S",4025849.97,3434819.34
"NR","BMT00","V",71901222.62,67303566.01
"NR","BMU00","S",4735744.15,4708945.19
"NR","BMU00","V",88639489.61,93052283.15
"NR","BMV00","S",6170501.15,6962091.02
"NR","BMV00","V",62099660.80,67631089.95
"NR","BMW00","S",347989272.56,473430813.58
"NR","BMX00","S",4295277.98,2614938.63
"NR","BMX00","V",206717145.10,174816855.82
"NR","BMY00","S",10949433.51,10421082.35
"NR","BMY00","V",132670973.86,137722801.18
"NR","BMZ00","S",3827894.06,3542201.51
"NR","BMZ00","V",117770733.63,31777778.12
"NR","BNA00","S",7384424.68,7030768.71
"NR","BNA00","V",66325521.85,72848325.82
"NR","BNB00","S",5394923.56,5071652.90
"NR","BNB00","V",68715747.15,69721556.21
"NR","ISC00","S",6748018.86,9644847.73
"NR","ISC00","V",118816834.33,116262496.43
"NRC","APY00","S",15137671.96,17441972.55
"NRC","APY00","V",101242013.41,108162171.26
"NRC","BMM00","S",9370659.49,10039844.69
"NRC","BMM00","V",279548418.65,312950216.95
"NRC","CTA00","S",129760797.73,139640956.08
"NRC","CTA00","V",197069712.96,212571082.69
"NRC","ISC00","S",51313996.06,70660910.87
"NRC","ISC00","V",161634324.65,177273309.96
"NSERC","CBA00","S",489783.01,507033.33
"NSERC","CBA00","V",272781431.18,273707987.79
"NSERC","CBB00","S",982916.45,985203.70
"NSERC","CBB00","V",454014513.56,503466697.67
"NSERC","CBC00","S",1958672.72,1868621.18
"NSERC","CBC00","V",367443465.59,391188308.01
"NSERC","ISC00","S",1778949.13,1882727.55
"NSERC","ISC00","V",16203462.58,17654314.23
"OAG","AHF00","S",8808845.16,8191624.20
"OAG","AHF00","V",68874230.37,70837600.85
"OCI","AYD00","S",469026.02,462058.41
"OCI","AYD00","V",3304298.05,3079550.18
"OCI","ISC00","S",40416.60,33688.40
"OCI","ISC00","V",756406.52,1117474.02
"OCOL","AWF00","S",832179.71,832141.71
"OCOL","AWF00","V",5841325.82,6722650.36
"OCOL","AWG00","S",675917.25,662892.11
"OCOL","AWG00","V",5383315.39,5975766.51
"OCOL","ISC00","S",607842.55,610163.01
"OCOL","ISC00","V",6889449.75,5631106.67
"OCSEC","ATG00","S",177890.06,125918.81
"OCSEC","ATG00","V",1320469.92,1233828.19
"OCSEC","ISC00","S",0.00,44241.81
"OCSEC","ISC00","V",536517.53,600389.26
"ODPP","BIT00","S",2919156.84,3321063.05
"ODPP","BIT00","V",14759775.06,15509113.28
"ODPP","BJF00","S",11474805.23,11310485.69
"ODPP","BJF00","V",118533154.97,123664479.58
"ODPP","DAG00","S",2407977.20,2735127.00
"ODPP","DAG00","V",771932.52,803736.84
"ODPP","DAH00","S",394427.11,506745.27
"ODPP","DAH00","V",519303.33,535825.65
"ODPP","ISC00","S",1885903.01,1525024.10
"ODPP","ISC00","V",18458150.37,17673196.83
"OEC","BDG00","S",468299.98,491448.68
"OEC","BDG00","V",3350692.99,3499130.66
"OEC","ISC00","S",132084.60,146796.36
"OEC","ISC00","V",1807060.43,2095525.87
"OICC","BJH00","S",0.00,14279.90
"OICC","BJH00","V",50036481.17,3050000.00
"OICC","BJQ00","S",1973343589.70,2072200671.49
"OICC","BJQ00","V",735611.09,30631637.56
"OICC","CSA00","S",90752.42,638948.82
"OICC","CSA00","V",84763903.68,164055287.19
"OICC","CSB00","S",242179.34,861679.61
"OICC","CSB00","V",887190509.35,702740346.54
"OICC","CSC00","S",106309.98,192844.84
"OICC","CSC00","V",88035172.65,156923319.45
"OICC","CSD00","S",638378.47,917451.20
"OICC","CSD00","V",65642932.53,27248444.62
"OICC","ISC00","S",4116402.96,2477458.38
"OICC","ISC00","V",35499533.03,45813902.92
"OPSIC","BLB00","S",284893.60,296513.90
"OPSIC","BLB00","V",2359602.96,2483431.57
"OPSIC","ISC00","S",113379.08,98458.00
"OPSIC","ISC00","V",1695681.76,1445294.88
"ORL","BIO00","S",87865.63,106386.82
"ORL","BIO00","V",898610.88,1087371.74
"ORL","BIP00","S",76365.86,65360.28
"ORL","BIP00","V",612281.07,566849.95
"ORL","DAF00","S",134627.75,123986.64
"ORL","DAF00","V",991091.09,1046562.52
"ORL","ISC00","S",105865.73,84093.96
"ORL","ISC00","V",1470749.11,1455966.33
"OSEO","BFL00","S",84858.41,80977.73
"OSEO","BFL00","V",681430.93,841493.15
"OSFI","AIG00","S",4498501.44,4471482.75
"OSFI","AIG00","V",945057.96,945057.96
"OSFI","AIH00","S",76831313.05,78131916.20
"OSFI","AII00","S",3984052.94,4194465.85
"OSFI","ISC00","S",57959651.23,60278453.65
"PCA","AGV00","S",12291217.56,12351734.10
"PCA","AGV00","V",151171115.00,165449776.30
"PCA","AGW00","S",543627.66,597041.18
"PCA","AGW00","V",17175866.95,13291435.48
"PCA","AGZ00","S",4057990.99,3997248.80
"PCA","AGZ00","V",36685152.16,40971222.59
"PCA","AHA00","S",141174394.59,138434313.75
"PCA","AHA00","V",259239378.10,352454482.60
"PCA","AHC00","S",12551178.88,10639582.71
"PCA","AHC00","V",259860924.26,299736181.64
"PCA","ISC00","S",27125613.39,32960869.52
"PCA","ISC00","V",114253947.41,120809162.06
"PCC","AYX00","S",714811.62,731830.82
"PCC","AYX00","V",5814469.18,5791471.16
"PCC","ISC00","S",266939.47,113930.68
"PCC","ISC00","V",2921842.79,2398719.15
"PCO","BEB00","S",7652872.25,7380128.54
"PCO","BEB00","V",56718248.24,65022019.73
"PCO","BEF00","S",389572.35,383185.75
"PCO","BEF00","V",3027640.84,3721123.41
"PCO","BEI00","S",0.00,222172.02
"PCO","BEI00","V",0.00,2883721.07
"PCO","BLG00","S",1605907.34,1396260.42
"PCO","BLG00","V",11732318.01,11420549.30
"PCO","ISC00","S",4167751.32,3409034.48
"PCO","ISC00","V",37824711.07,58402746.66
"PHAC","CIA00","S",8471918.58,8665090.68
"PHAC","CIA00","V",108156310.72,102928687.64
"PHAC","CIB00","S",11650141.96,10428669.29
"PHAC","CIB00","V",285861226.81,279622184.36
"PHAC","CIC00","S",6007368.87,5740369.60
"PHAC","CIC00","V",61965007.58,61154788.05
"PHAC","ISC00","S",14960081.93,13335460.07
"PHAC","ISC00","V",76008083.99,77341778.18
"PMPRB","ALD00","S",160914.26,186221.24
"PMPRB","ALD00","V",1527669.59,1430057.28
"PMPRB","ALE00","S",496740.74,462088.70
"PMPRB","ALE00","V",4902386.12,5636570.14
"PMPRB","ISC00","S",268205.82,260053.77
"PMPRB","ISC00","V",2142444.48,2158967.98
"PPP","AHZ00","V",11800000.00,11800000.00
"PPS","AVV00","S",3370693.94,5180956.89
"PPS","AVV00","V",47100237.18,59599369.15
"PSC","AEJ00","S",1593278.59,1351333.47
"PSC","AEJ00","V",10805706.64,9372153.23
"PSC","AEL00","S",3215350.03,2871854.24
"PSC","AEL00","V",16821279.33,20164581.71
"PSC","BHE00","S",1929518.53,1577242.95
"PSC","BHE00","V",13582218.49,12040328.38
"PSC","ISC00","S",2868975.48,3308527.38
"PSC","ISC00","V",21793379.06,25137086.61
"PSEP","AYJ00","S",2422106.52,2709760.36
"PSEP","AYJ00","V",21923964.15,44620562.87
"PSEP","AYK00","S",3332712.35,3841966.61
"PSEP","AYK00","V",171802163.09,918733053.25
"PSEP","BLE00","S",423838.94,449455.53
"PSEP","BLE00","V",3478268.25,3133359.80
"PSEP","ISC00","S",4926735.80,4102912.76
"PSEP","ISC00","V",49529432.42,48580504.87
"PSEP","LJP00","S",2925711.64,3316598.97
"PSEP","LJP00","V",146017794.01,168123761.37
"RCMP","AYO00","S",416232423.63,539296796.17
"RCMP","AYO00","V",1351998258.90,1298771525.54
"RCMP","AYR00","S",20637314.99,24389804.90
"RCMP","AYR00","V",134369740.05,134957415.85
"RCMP","HGD00","S",6910200.45,4843632.37
"RCMP","HGD00","V",46845246.33,42292397.48
"RCMP","HGE00","S",1329479.75,1941287.10
"RCMP","HGE00","V",12040338.88,13119800.81
"RCMP","HGF00","S",10391782.67,9392163.23
"RCMP","HGF00","V",169498579.47,187470282.19
"RCMP","ISC00","S",69704014.94,76932175.32
"RCMP","ISC00","V",616270191.07,684218803.11
"SC","AQL00","S",12831548.69,14773171.00
"SC","AQL00","V",122196190.82,274741747.55
"SC","AQM00","S",17207381.88,16562223.64
"SC","AQM00","V",113280654.17,112009116.47
"SC","AQN00","S",12367787.29,11651223.52
"SC","AQN00","V",89416734.12,87695716.12
"SC","AQR00","S",9917062.36,8676014.12
"SC","AQR00","V",77556542.72,77931089.45
"SC","AQT00","S",11431414.18,11719474.07
"SC","AQT00","V",-11431413.78,-11719473.65
"SC","ISC00","S",7085504.26,7334894.74
"SC","ISC00","V",55701158.34,70141963.81
"SCA","AQK00","V",10194937.00,10515380.00
"SCC","ASW00","S",1744615.61,1721327.90
"SCC","ASW00","V",13746679.09,13875799.55
"SCC","HGK00","S",7933811.86,7572983.59
"SCC","ISC00","S",845725.96,871140.21
"SCC","ISC00","V",8068915.84,9638174.64
"SEN","AVN00","S",21188985.24,24711784.07
"SEN","AVN00","V",12175174.44,14178629.02
"SEN","AVP00","S",1684906.73,1610211.70
"SEN","AVP00","V",15238304.74,15722752.03
"SEN","AVQ00","S",2558063.63,2375758.22
"SEN","AVQ00","V",21726658.62,22079620.96
"SHARE","BMO00","S",72026831.82,63493934.45
"SHARE","BMO00","V",1293839403.97,1467120822.92
"SHARE","ISC00","S",11371664.08,11355082.92
"SHARE","ISC00","V",127205870.54,139399896.51
"SIRC","AWV00","S",57919.69,102063.01
"SIRC","AWV00","V",581413.88,878416.68
"SIRC","AWW00","S",150452.92,163354.18
"SIRC","AWW00","V",1035385.61,1507400.48
"SIRC","ISC00","S",71420.07,84729.62
"SIRC","ISC00","V",972882.56,1738804.33
"SSHRC","AQA00","S",740028.62,763898.78
"SSHRC","AQA00","V",161710378.59,179270466.51
"SSHRC","AQB00","S",622634.45,632305.27
"SSHRC","AQB00","V",168672213.30,171468603.77
"SSHRC","AQD00","S",28870.16,27741.19
"SSHRC","AQD00","V",340637427.68,368652152.05
"SSHRC","AQZ00","S",78446.13,70075.15
"SSHRC","AQZ00","V",2467278.04,7946176.52
"SSHRC","BMS00","S",157697.25,162150.24
"SSHRC","BMS00","V",32807074.97,34315460.54
"SSHRC","ISC00","S",1372791.46,1395544.64
"SSHRC","ISC00","V",10997297.90,11249472.92
"SWC","CCA00","S",253076.68,291853.89
"SWC","CCA00","V",1599108.21,2598560.68
"SWC","CCB00","S",468191.83,539929.72
"SWC","CCB00","V",21991428.48,24659972.60
"SWC","ISC00","S",544114.94,627485.83
"SWC","ISC00","V",4686480.86,6551813.70
"TBC","BJV00","S",1162005794.16,339704346.50
"TBC","BJV00","V",2690624376.66,2406697551.07
"TBC","DAC00","S",5281079.44,5288907.72
"TBC","DAC00","V",36500483.64,41137580.17
"TBC","DAD00","S",7246541.15,7500547.20
"TBC","DAD00","V",57794825.08,63331546.83
"TBC","DAE00","S",6132559.71,6880067.09
"TBC","DAE00","V",84625185.84,120312965.01
"TBC","ISC00","S",7655882.96,7433466.68
"TBC","ISC00","V",70022013.47,65921655.66
"TC","BAY00","S",2042523.46,1851467.05
"TC","BAY00","V",24926447.09,21011836.32
"TC","BAZ00","S",610619.05,195501.70
"TC","BAZ00","V",405371023.43,158440954.17
"TC","BBC00","S",202612906.17,193058781.73
"TC","BBC00","V",209641760.35,214416507.79
"TC","BBH00","S",1290835.63,250425.62
"TC","BBH00","V",15315372.66,20995249.20
"TC","BBI00","S",1433584.46,1128895.26
"TC","BBI00","V",25253016.44,23178682.93
"TC","BBN00","S",1427862.39,1451513.32
"TC","BBN00","V",40799459.48,34065802.91
"TC","BBO00","S",26073601.35,22398320.41
"TC","BBO00","V",155413487.21,137777825.59
"TC","BBU00","S",8032693.17,7104580.07
"TC","BBU00","V",58282660.96,52929510.34
"TC","BCK00","S",2972837.17,2731189.10
"TC","BCK00","V",107578767.07,30148638.46
"TC","BCN00","S",2072208.78,1185755.00
"TC","BCN00","V",21598984.65,23553470.09
"TC","BCO00","S",1972392.89,1795233.57
"TC","BCO00","V",24648176.86,26068784.66
"TC","BCQ00","S",3761736.63,3424372.75
"TC","BCQ00","V",25279387.21,22186036.06
"TC","BCR00","S",1535095.79,1394666.57
"TC","BCR00","V",10725565.75,10096161.60
"TC","BCT00","S",579582.20,518764.96
"TC","BCT00","V",4470374.27,4586550.37
"TC","CHA00","S",1441263.39,1286045.07
"TC","CHA00","V",18329973.29,16456676.75
"TC","ISC00","S",16567051.10,14608235.67
"TC","ISC00","V",147065811.73,140862349.01
"TOUR","AOB00","V",62975770.00,95475770.00
"TRC","BJW00","V",4530570.07,0.00
"TRC","ISC00","S",59400.96,0.00
"TRC","ISC00","V",1391961.73,0.00
"VAC","BBX00","S",18442993.98,18883738.74
"VAC","BBX00","V",1052011801.67,1136626148.44
"VAC","BCJ00","S",525988.06,505857.93
"VAC","BCJ00","V",4074453.31,4124324.01
"VAC","BCX00","S",924447.83,995197.45
"VAC","BCX00","V",49103694.62,54558613.73
"VAC","BNC00","S",7890390.72,8139571.12
"VAC","BNC00","V",2135889887.68,2100199639.43
"VAC","BND00","S",674312.40,885622.48
"VAC","BND00","V",245839564.19,365097574.58
"VAC","ISC00","S",7870262.76,7652891.74
"VAC","ISC00","V",71786406.82,73139561.75
"VIA","BIZ00","V",365500460.29,348387316.99
"VRAB","LJQ00","S",1324762.67,1167203.24
"VRAB","LJQ00","V",9677602.30,9068085.26
"WDBA","CHB00","V",138500000.00,334500000.00
"WDO","BCE00","S",452249.32,567358.80
"WDO","BCE00","V",34788050.89,73701328.42
"WDO","BCW00","S",783754.99,752408.51
"WDO","BCW00","V",8138846.91,6088075.90
"WDO","CJA00","S",1469279.56,1351235.40
"WDO","CJA00","V",95829136.25,95469777.35
"WDO","ISC00","S",1324000.44,1140505.36
"WDO","ISC00","V",12906055.84,11412583.79

