dept_code,cr_id,planning_year_1,planning_year_2,planning_year_3
CCMD,CCMD-SO0121,63350543,58363587,58363587
JUS,JUS-SO0691,195920770,191669494,191669494
OAG,OAG-SO0041,95000000,93000000,93000000
EA,EA-SO0583,970036756,876679658,857835074
CNMI,CNMI-SO0721,76545000,76545000,76545000
ISC,ISC-SO0663,213708084,198005009,187706048
NAC,NAC-SO0751,140034681,140034681,140034681
NCC,NCC-SO0771,91895250,91895250,91895250
NGC,NGC-SO0811,54203410,54203410,54203410
NMST,NMST-SO0821,144527796,144527796,144527796
INAC,INAC-SO0643,488082676,367617073,382844658
AECB,AECB-SO0331,103619248,105729104,107543148
CCOHS,CCOHS-SO0161,6036633,6036633,6036633
JUS,JUS-SO0692,386430246,387488744,385790254
OSEO,OSEO-SO1191,1232127,1232127,1232127
OCI,OCI-SO0941,3585451,3585451,3585451
NPA,NPA-SO0871,494830,1911885,1911885
PSC,PSC-SO1091,53360786,52899027,52750016
PPP,PPP-SO1041,279500000,279500000,279500000
PMPRB,PMPRB-SO1031,8282168,8282168,8282168
ATSSC,ATSSC-SO0001,42351607,38800723,38800723
CI,CI-SO0423,66464126,64849568,64915855
PPS,PPS-SO1011,68262800,68262800,68262800
CPCC,CPCC-SO0342,16705888,20665192,20665192
CHRC,CHRC-BSA00,4737991,4737991,4707518
OCOL,OCOL-SO0901,14096389,14096389,14096389
CHRC,CHRC-BSB00,9297057,9297057,9237262
NPB,NPB-BUC00,529000,529000,529000
OSFI,OSFI-SO0972,85588716,87284722,88801677
TBC,TBC-BXD00,4663000,4663000,4663000
NRC,NRC-SO0832,200135686,157755761,128743382
CH,CH-SO0222,206380884,203028891,202066370
SCA,SCA-SO1221,10706000,10706000,10706000
CCRA,CCRA-BRC00,3183760,3203422,3200778
OCSEC,OCSEC-SO0911,1581736,1581736,1581736
FBCL,FBCL-SO0521,22885386,22885386,22885386
JCCB,JCCB-SO1271,331777000,331777000,331777000
RCMP,RCMP-SO1157,224013665,250068068,279676467
VIA,VIA-SO1341,221004897,221004897,221004897
VAC,VAC-SO1323,5234308,5234308,5234308
VRAB,VRAB-SO1331,10790952,10790952,10790952
EC,EC-SO0512,213307117,206477631,211048224
WDBA,WDBA-SO1361,258916050,258916050,258916050
