"dept_code","activity_code","doc","est_last_year_5","est_last_year_4","est_last_year_3","est_last_year_2","est_last_year","est_this_year"
"CPCC","ISC00","SEC",,,52616.00,,,
"CPCC","ISC01","ME",,,,,4888343,
"CPCC","ISC01","SEB",,,,,178559,
"CPCC","ISS00","ME",,,,,,9259257
"CRTC","BRT00","ME",,,,,,9162228
"CRTC","BRT00","SEA",,,,,,0
"CRTC","CAA00","ME",2461665,1892757.00,2074812.00,1986234.00,1822198,
"CRTC","CAA00","SEB",,173625.00,,,,
"CRTC","CAA00","SEC",,,-24157.00,,,
"CRTC","CAB00","ME",6266034,2220989.00,2424184.00,2542213.00,2327711,
"CRTC","CAB00","SEB",1,173625.00,,,,
"CRTC","CAB00","SEC",,,-24156.00,,,
"CRTC","CPA00","ME",,4170720.00,5276902.00,5152005.00,5038233,
"CRTC","CPA00","SEB",,298626.00,,,,
"CRTC","CPA00","SEC",,697989.00,-24156.00,,,
"CRTC","ISC00","ME",2479159,2302233.00,2480992.00,2443243.00,2298055,
"CRTC","ISC00","SEB",,173625.00,,,,
"CRTC","ISC00","SEC",,-35543.00,-24157.00,,,
"CRTC","ISS00","ME",,,,,,2401419
"CRTC","ISS00","SEA",,,,,,99196
"CSA","ANW00","ME",58528146,62772518.00,66268193.00,66094200.00,87170086,
"CSA","ANW00","SEB",,24644.00,,10000000.00,,
"CSA","ANW00","SEC",,,,1.00,,
"CSA","ANX00","ME",288783916,256908528.00,259609001.00,215085716.00,115240643,
"CSA","ANX00","SEB",,3985000.00,,-193500.00,4170532,
"CSA","ANY00","ME",95406830,96586363.00,112407879.00,99437817.00,96455420,
"CSA","ANY00","SEB",,0.00,,193500.00,8785500,
"CSA","ANY00","SEC",,,1.00,,,
"CSA","BLM00","ME",,,,,,301093697
"CSA","BLM00","SEA",,,,,,31454327
"CSA","BLM00","SEB",,,,,,-210000
"CSA","ISC00","ME",45962036,46179765.00,45143208.00,51777088.00,54943762,
"CSA","ISC00","SEA",,,4000000.00,,,
"CSA","ISS00","ME",,,,,,47779400
"CSA","ISS00","SEA",,,,,,-158473
"CSC","BER00","ME",1564435167,1471011448.00,1501862617.24,1512168537.00,1528166844,
"CSC","BER00","SEA",,,8850000.00,,,
"CSC","BER00","SEB",5291730,-3625180.00,,19053315.00,5612905,
"CSC","BER00","SEC",,,910000.00,-668315.00,78601419,
"CSC","BES00","ME",507230641,465029970.00,410155771.95,408423801.00,407357544,
"CSC","BES00","SEB",-205513,,,232558.00,5660825,
"CSC","BES00","SEC",,,3130000.00,-130000.00,30100830,
"CSC","BET00","ME",157124262,93399963.00,129857404.46,137257516.00,157830355,
"CSC","BET00","SEB",-36812,,,12327631.00,799760,
"CSC","BET00","SEC",,,,,2673565,
"CSC","BUJ00","ME",,,,,,1539111387
"CSC","BUJ00","SEB",,,,,,1572478
"CSC","BUK00","ME",,,,,,440605483
"CSC","BUL00","ME",,,,,,162635455
"CSC","ISC00","ME",368823621,305241011.00,308613132.73,304742225.00,307354420,
"CSC","ISC00","SEB",-388141,,,,1043594,
"CSC","ISC00","SEC",,-22928.00,,-340000.00,15854630,
"CSC","ISS00","ME",,,,,,301693278
"CSC","ISS00","SEA",,,,,,2339766
"CSC","ISS00","SEB",,,,,,5908123
"CSEC","BNE00","ME",277812763,598535605.00,388225246.00,420929869.00,429828281,
"CSEC","BNE00","SEB",8815516,5384074.15,,6394591.00,-260820,
"CSEC","BNE00","SEC",,439580.00,35344443.00,7097961.00,,
"CSEC","BNF00","ME",144395084,230596313.00,149976484.00,162694949.00,166155442,
"CSEC","BNF00","SEB",12723195,4714218.85,,612812.00,12150770,
"CSEC","BNF00","SEC",,170948.00,4068964.00,2103578.00,,
"CSEC","BUM00","ME",,,,,,624893953
"CSEC","BUM00","SEA",,,,,,1480897
"CSEC","BUM00","SEB",,,,,,15442142
"CSIS","AXF00","ME",445826087,447649011.00,492461267.00,524459826.00,528939177,
"CSIS","AXF00","SEA",,,14088549.00,,293086,
"CSIS","AXF00","SEB",3517341,4459486.00,,-1829112.00,4827901,
"CSIS","AXF00","SEC",,-701385.00,-364879.00,19423916.00,,
"CSIS","BJR00","ME",67181752,68587746.00,44575978.00,47609240.00,48152882,
"CSIS","BJR00","SEA",,,1256332.00,,29582,
"CSIS","BJR00","SEB",441626,769888.00,,-96269.00,1197319,
"CSIS","BJR00","SEC",,-36915.00,-88362.00,2233349.00,,
"CSIS","BUY00","ME",,,,,,570275135
"CSIS","BUY00","SEA",,,,,,15961621
"CSIS","BUY00","SEB",,,,,,345520
"CT","AOD00","ME",1631926,1758980.00,,,,
"CT","ISC00","ME",699397,586326.00,,,,
"CTA","BAN00","ME",11940173,11760314.00,11814080.73,11315866.00,11532859,
"CTA","BAO00","ME",8464881,8978938.00,10052251.90,9253556.00,8703153,
"CTA","BTT00","ME",,,,,,20217970
"CTA","BTT00","SEA",,,,,,1778099
"CTA","ISC00","ME",7255468,6911370.00,5867071.37,7222665.00,10678154,
"CTA","ISS00","ME",,,,,,11170150
"CTA","ISS00","SEA",,,,,,159312
"CTAIB","AVX00","ME",13128285,12778652.00,12537059.00,12831845.00,,
"CTAIB","AVX00","SEB",-15000,,,,,
"CTAIB","AVY00","ME",4730913,4646782.00,4902097.00,5089370.00,,
"CTAIB","AVY00","SEB",-5000,,,,,
"CTAIB","AVZ00","ME",443524,580848.00,600535.00,277784.00,,
"CTAIB","AWC00","ME",4730913,4646783.00,5332576.00,5868756.00,,
"CTAIB","AWC00","SEB",965000,,,,,
"CTAIB","AWC00","SEC",,340000.00,,,,
"CTAIB","BWA00","ME",,,,,23827409,24151162
"CTAIB","BWA00","SEA",,,,,,2381955
"CTAIB","BWA00","SEB",,,,,1845600,
"CTAIB","ISC00","ME",6534574,6389326.00,6357532.00,5720897.00,,
"CTAIB","ISC00","SEB",-3778,,,,,
"CTAIB","ISS00","ME",,,,,5589145,6037790
"CTAIB","ISS00","SEA",,,,,,595489
"EA","AJG00","ME",928211597,961248050.00,905984385.00,949769188.00,975067088,
"EA","AJG00","SEA",,,,29248056.00,,
"EA","AJG00","SEB",89240912,2005390.00,,30323919.00,4220674,
"EA","AJG00","SEC",8856980,152028830.00,93461732.00,-3123411.00,-2779500,
"EA","AJK00","ME",650086910,621876342.00,603804538.00,667852766.00,673226550,
"EA","AJK00","SEA",,134040781.00,,7169308.00,,
"EA","AJK00","SEB",2305443,16312399.00,,81919749.00,136770647,
"EA","AJK00","SEC",-10780676,20328522.00,75484284.00,9911784.00,572223,
"EA","AJL00","ME",46582770,46104699.00,45337728.00,52012000.00,54513189,
"EA","AJL00","SEB",-217444,396362.00,,,182350,
"EA","AJL00","SEC",1276524,576964.00,1069696.00,182350.00,,
"EA","AJO00","ME",70373000,,,,,
"EA","AJP00","ME",77104515,81448665.00,74932448.00,80118760.00,82495830,
"EA","AJP00","SEB",-1249321,1103416.00,,2471459.00,414151,
"EA","AJP00","SEC",291354,470111.00,1724410.00,414151.00,33434288,
"EA","AJQ00","ME",154135951,155940345.00,170922571.00,194782982.00,199530308,
"EA","AJQ00","SEA",,,,1864293.00,19014581,
"EA","AJQ00","SEB",-365114,6339211.00,,27000.00,5795126,
"EA","AJQ00","SEC",4202281,1316355.00,13939303.00,1103716.00,-338043,
"EA","AJR00","ME",201565520,187651645.00,195598665.00,203620216.00,234213875,
"EA","AJR00","SEB",-848186,976985.00,,15138335.00,2699647,
"EA","AJR00","SEC",13748660,9544645.00,14308881.00,15437941.00,425603,
"EA","BHP00","ME",,758754137.00,,,,
"EA","BHP00","SEB",-624561,-658655.00,,,,
"EA","BHP00","SEC",8421976,-1796007.00,,,,
"EA","BHQ00","ME",,689509476.00,,,,
"EA","BHQ00","SEB",189588278,-316000.00,,,,
"EA","BHQ00","SEC",170227,80556931.00,,,,
"EA","BHR00","ME",,351038682.00,,,,
"EA","BHR00","SEB",-1034964,,,,,
"EA","BHR00","SEC",336319,-2178068.00,,,,
"EA","BHS00","ME",,973708940.00,,,,
"EA","BHS00","SEB",15407688,10915566.00,,,,
"EA","BHS00","SEC",,36215157.00,,,,
"EA","BHT00","ME",,266513278.00,,,,
"EA","BHT00","SEB",-16100,,,,,
"EA","BHT00","SEC",-1292771,,,,,
"EA","BVB00","ME",,,,,,951392177
"EA","BVB00","SEA",,,,,,15672237
"EA","BVB00","SEB",,,,,,5266149
"EA","BVC00","ME",,,,,,267710639
"EA","BVC00","SEA",,,,,,12241033
"EA","BVC00","SEB",,,,,,920958
"EA","BVD00","ME",,,,,,3929834593
"EA","BVD00","SEA",,,,,,321902065
"EA","BVD00","SEB",,,,,,165017827
"EA","BVE00","ME",,,,,,46134992
"EA","BVF00","ME",,,,,,1044513127
"EA","BVF00","SEA",,,,,,31132804
"EA","BVF00","SEB",,,,,,2640431
"EA","DAN00","ME",,,377802527.00,237453939.00,475406438,
"EA","DAN00","SEB",,,,250013506.00,,
"EA","DAN00","SEC",,,15722902.00,1695393.00,12814627,
"EA","DAP00","ME",,,2491018462.00,2332030755.00,2337159353,
"EA","DAP00","SEB",,,,19607838.00,32279210,
"EA","DAP00","SEC",,,213538522.00,154828750.00,377613749,
"EA","DAQ00","ME",,,390590204.00,561725322.00,726422468,
"EA","DAQ00","SEB",,,,169726011.00,264890000,
"EA","DAQ00","SEC",,,98659380.00,164909817.00,,
"EA","ISC00","ME",183588331,255730898.00,270825672.00,236174969.00,,
"EA","ISC00","SEA",,,,2640463.00,,
"EA","ISC00","SEB",-118011,,,4266401.00,,
"EA","ISC00","SEC",1117256,-99242.00,-2406046.00,61273.00,1596396,
"EA","ISC01","ME",,,,,244090968,
"EA","ISC01","SEB",,,,,2928127,
"EA","ISS00","ME",,,,,,251246872
"EA","ISS00","SEA",,,,,,2573432
"EA","ISS00","SEB",,,,,,317360
"EC","AGL00","ME",99530109,91592394.00,122779285.00,137912691.00,135322453,
"EC","AGL00","SEA",,,12223153.00,3222356.00,1540070,
"EC","AGL00","SEB",-335229,34308663.00,,35298.00,475748,
"EC","AGL00","SEC",20000000,219951.00,385077.00,,68640,
"EC","AGM00","ME",96788965,91196857.00,95770859.00,80035023.00,69722840,
"EC","AGM00","SEB",-177964,75000.00,,921767.00,,
"EC","AGR00","ME",158545334,165962548.00,192103008.00,174382678.00,194578410,
"EC","AGR00","SEA",,,8725000.00,6459848.00,1769804,
"EC","AGR00","SEB",-5447532,9182389.00,,1022794.00,5241618,
"EC","AGR00","SEC",,100000.00,757493.00,,,
"EC","AGS00","ME",73874896,75747789.00,85149099.00,74912985.00,84357041,
"EC","AGS00","SEA",,,,14474945.00,7557539,
"EC","AGS00","SEB",2341503,5303010.00,,1390962.00,,
"EC","AGS00","SEC",,1977080.00,,,-200000,
"EC","BDJ00","ME",25547830,25266280.00,15792293.00,19267384.00,18728707,
"EC","BDJ00","SEA",,,,,211031,
"EC","BDJ00","SEB",985287,335910.00,,,1457,
"EC","BDJ00","SEC",,,-229582.00,,,
"EC","BDK00","ME",66589903,92013642.00,91480613.00,88026739.00,84520845,
"EC","BDK00","SEA",,,,3859668.00,11729160,
"EC","BDK00","SEB",1692966,631590.00,,6299153.00,9363010,
"EC","BDK00","SEC",-146000,,-698200.00,,,
"EC","BDO00","ME",43773701,38324642.00,37560222.00,34672528.00,41696948,
"EC","BDO00","SEA",,,,6875960.00,,
"EC","BDO00","SEB",215214,,,1493781.00,,
"EC","BGR00","ME",,,,,,575300731
"EC","BGR00","SEA",,,,,,4137230
"EC","BGR00","SEB",,,,,,-840000
"EC","BGS00","ME",,,,,,353189588
"EC","BGS00","SEA",,,,,,-1320200
"EC","BGS00","SEB",,,,,,-1000000
"EC","BGT00","ME",,,,,,172066587
"EC","BGT00","SEA",,,,,,15515166
"EC","BGT00","SEB",,,,,,4400000
"EC","BGU00","ME",,,,,,218314208
"EC","BGU00","SEB",,,,,,59500
"EC","BIA00","ME",179283757,154813450.00,122872074.00,97030449.00,147118686,
"EC","BIA00","SEA",,,,40301617.00,,
"EC","BIA00","SEB",-118937,785905.00,,18769663.00,5705874,
"EC","BIA00","SEC",1,5605041.00,172945.00,2000000.00,176500000,
"EC","BKF00","ME",16623597,15821926.00,16115510.00,16652429.00,16297080,
"EC","BKF00","SEB",109413,,,,408689,
"EC","ISC00","ME",198801226,181427802.00,181428113.00,179196292.00,,
"EC","ISC00","SEA",,,874889.00,9392611.00,,
"EC","ISC00","SEB",-376718,1959860.00,,1358139.00,,
"EC","ISC00","SEC",,229852.00,48883.00,,19472704,
"EC","ISC01","ME",,,,,194931405,
"EC","ISC01","SEA",,,,,1313464,
"EC","ISC01","SEB",,,,,2558266,
"EC","ISS00","ME",,,,,,196994194
"EC","ISS00","SEA",,,,,,1465582
"EC","ISS00","SEB",,,,,,-4400000
"ECBC","ABS00","ME",51763000,49536000.00,,,,
"ECBC","ABS00","SEB",1085000,,,,,
"ERC","BEN00","ME",934412,961418.00,952848.00,1554862.00,945510,3124931
"ERC","BEN00","SEA",710001,,600001.00,,,236162
"ERC","BEN00","SEB",,710001.00,,,927135,
"FBCL","BJG00","ME",13000000,21040000.00,35281996.00,31414312.00,22885386,
"FBCL","BJG00","SEB",1338293,,,2011135.00,,
"FBCL","BJG00","SEC",,,,8356417.00,698501,
"FBCL","BTU00","ME",,,,,,3472857
"FEDSO","BMF00","ME",55397113,34102802.00,41264851.00,66896145.00,105327756,
"FEDSO","BMF00","SEA",,,,22200000.00,,
"FEDSO","BMF00","SEB",19830000,,,,,
"FEDSO","BMR00","ME",62760436,79171993.00,91786705.00,92081080.00,93112055,
"FEDSO","BNM00","ME",,,,,,171166180
"FEDSO","HGL00","ME",90406932,77643433.00,66123559.00,58571582.00,54998686,
"FEDSO","HGL00","SEC",,,-4000000.00,,,
"FEDSO","ISC00","ME",14248285,15845887.00,16076604.00,16899045.00,15910152,
"FEDSO","ISC00","SEB",2000,,,,,
"FEDSO","ISC00","SEC",,,,,-21600,
"FEDSO","ISS00","ME",,,,,,15968791
"FEDSO","ISS00","SEA",,,,,,99196
"FIN","BLH00","ME",73407718,86840289.00,70864539.00,60440111.00,60243914,
"FIN","BLH00","SEB",10215522,1194760.00,,1637180.00,1627435,
"FIN","BLH00","SEC",6869887,47994678.00,2614474.00,1500000.00,23423414,
"FIN","BLI00","ME",27260500000,26419500000.00,25726000000.00,22878000000.00,21594000000,
"FIN","BLI00","SEB",-612000000,-326922075.00,,119000000.00,-195000000,
"FIN","BLI00","SEC",-241000000,-1082156059.00,-2572000000.00,-1165000000.00,-468000000,
"FIN","BLJ00","ME",60227888029,61060094305.00,63809601256.00,66484237172.00,68450488707,
"FIN","BLJ00","SEB",52097000,661205002.00,,427456902.00,480564000,
"FIN","BLJ00","SEC",113564502,103192333.00,120400809.00,-77873970.00,-18439000,
"FIN","BUV00","ME",,,,,,93932481327
"FIN","BUV00","SEA",,,,,,491576134
"FIN","BUV00","SEB",,,,,,3863865
"FIN","ISC00","ME",50046004,49296145.00,39931317.00,41115227.00,38878680,
"FIN","ISC00","SEB",1301479,2031429.00,,264810.00,502967,
"FIN","ISC00","SEC",-298312,743100.00,1970010.00,,,
"FIN","ISS00","ME",,,,,,39069589
"FIN","ISS00","SEA",,,,,,255196
"FIN","ISS00","SEB",,,,,,199361
"FJA","ARP00","ME",1672727,1642565.00,1699615.00,1704209.00,3701930,
"FJA","ARP00","SEA",,,2000000.00,1500000.00,,
"FJA","ARP00","SEB",,1600000.00,,,700000,
"FJA","ARR00","ME",7613383,8454448.00,7994262.00,7904536.00,8786280,
"FJA","ARR00","SEA",,,1000000.00,1152590.00,,
"FJA","ARR00","SEB",,66419.00,,449670.00,,
"FJA","ARR00","SEC",700000,,,,283730,
"FJA","ARS00","ME",487534826,500885033.00,514430443.00,544838708.00,558662575,
"FJA","BNZ00","ME",,,,,,582391453
"FJA","ISC00","ME",854278,726800.00,726800.00,726800.00,726800,
"FJA","ISS00","ME",,,,,,726800
"FO","AIP00","ME",58417049,62943218.00,59284200.00,63121302.00,71359349,
"FO","AIP00","SEA",,,,8449022.00,15376234,
"FO","AIP00","SEB",3788521,5000000.00,,3781905.00,6827107,
"FO","AIP00","SEC",,,6649746.00,0.00,-26500,
"FO","AIV00","ME",97933771,94277242.00,114501031.00,286114206.00,213252617,
"FO","AIV00","SEA",,,102417760.00,32091796.00,-754028,
"FO","AIV00","SEB",-107264,17800000.00,,1799828.00,5000000,
"FO","AIV00","SEC",-200000,0.00,257000.00,250000.00,26500,
"FO","AIW00","ME",23641311,22350000.00,14616829.00,22534830.00,22354201,
"FO","AIW00","SEA",,,8057314.00,,-364308,
"FO","AIW00","SEB",-110395,,,,,
"FO","AIW00","SEC",,,-48883.00,,0,
"FO","BTF00","ME",,,,,,664630910
"FO","BTF00","SEA",,,,,,56043889
"FO","BTF00","SEB",,,,,,5038066
"FO","BTG00","ME",,,,,,170713160
"FO","BTG00","SEA",,,,,,29165132
"FO","BTG00","SEB",,,,,,790408
"FO","BTH00","ME",,,,,,312150541
"FO","BTH00","SEA",,,,,,8100326
"FO","BTI00","ME",,,,,,884251849
"FO","BTI00","SEA",,,,,,888467956
"FO","BTI00","SEB",,,,,,7079086
"FO","CGA00","ME",3119554,2310465.00,2393994.00,,2385497,
"FO","CGA00","SEB",,,,2417800.00,653900,
"FO","HAA00","ME",144397270,132448762.00,132058128.00,128176269.00,147811981,
"FO","HAA00","SEA",,,,19387112.00,2275399,
"FO","HAA00","SEB",1975991,3748078.00,,0.00,7280228,
"FO","HAA00","SEC",,,4494000.00,,,
"FO","HAB00","ME",30062652,38351812.00,46666258.00,863517816.00,54268898,
"FO","HAB00","SEA",,,,11209341.00,21207851,
"FO","HAB00","SEB",7391025,6089992.00,,13837656.00,1150300,
"FO","HAB00","SEC",1410000,1289000.00,1198200.00,,1190000,
"FO","HGN00","ME",56875763,54778338.00,85549894.00,56234640.00,55786486,
"FO","HGN00","SEA",,,,34686847.00,47446084,
"FO","HGN00","SEB",26292055,28781684.00,,114176.00,8362684,
"FO","HGN00","SEC",-80000,-34559.00,3898415.00,-150000.00,-218640,
"FO","HGO00","ME",20674443,29222400.00,27854324.00,27951814.00,30475056,
"FO","HGO00","SEA",,,,,-491677,
"FO","HGO00","SEB",-25888,,,,,
"FO","HGO00","SEC",9281029,,2230000.00,,1250216,
"FO","HGP00","ME",5772301,5564900.00,5503416.00,45718459.00,6114231,
"FO","HGP00","SEA",,,,1260096.00,-112735,
"FO","HGP00","SEB",-3893,,,,-138362,
"FO","HGQ00","ME",3576752,2918827.00,3379708.00,3382084.00,3192457,
"FO","HGQ00","SEA",,,,,-122540,
"FO","HGQ00","SEB",37419,720000.00,,,,
"FO","HGR00","ME",14972643,14882983.00,12105833.00,14010930.00,13127462,
"FO","HGR00","SEA",,,,,3712316,
"FO","HGR00","SEB",114463,,,,0,
"FO","HGR00","SEC",,,190000.00,,,
"FO","HGS00","ME",42360512,34167537.00,41828751.00,46288327.00,46011571,
"FO","HGS00","SEA",,,,10000000.00,2398356,
"FO","HGS00","SEB",376200,,,,,
"FO","HGS00","SEC",,,653525.00,,,
"FO","HGW00","ME",2180095,742607.00,1593377.00,1625067.00,1182400,
"FO","HGW00","SEA",,,,,-77603,
"FO","HGW00","SEB",,848079.00,,,,
"FO","HGX00","ME",105381968,101372908.00,102911820.00,103320201.00,102351038,
"FO","HGX00","SEA",,,,,7046690,
"FO","HGX00","SEB",1316520,1619847.00,,,,
"FO","HGX00","SEC",,,,0.00,,
"FO","HGY00","ME",29688187,29597995.00,29421364.00,29458464.00,29195310,
"FO","HGY00","SEA",,,,,-1612384,
"FO","HGY00","SEB",-26834,0.00,,0.00,0,
"FO","HGY00","SEC",,,1123772.00,,,
"FO","ISC00","ME",286815011,290577438.00,283009130.00,313770705.00,375300173,
"FO","ISC00","SEA",,,45854676.00,119501674.00,75936829,
"FO","ISC00","SEB",-287266,5701297.00,,1851222.00,46100,
"FO","ISC00","SEC",1812838,3269871.00,6501638.00,-2840700.00,-209042,
"FO","ISS00","ME",,,,,,413878040
"FO","ISS00","SEA",,,,,,1373063
"FO","ISS00","SEB",,,,,,242369
"FO","LJA00","ME",10346850,12932842.00,16965722.00,17926048.00,34918463,
"FO","LJA00","SEA",,,,6671754.00,19474585,
"FO","LJA00","SEB",46626712,191349.00,,1233956.00,1458597,
"FO","LJA00","SEC",2157739,988401.00,434219.00,13207868.00,277054,
"FO","LJB00","ME",10849691,,,,,
"FO","LJB00","SEB",4274433,,,,,
"FO","LJC00","ME",34173775,30359815.00,30508166.00,31613840.00,33890834,
"FO","LJC00","SEA",,,,2042264.00,16738612,
"FO","LJC00","SEB",194370,280000.00,,172400.00,,
"FO","LJC00","SEC",,,1177757.00,,,
"FO","LJD00","ME",45502287,39400851.00,33337572.00,34101584.00,33679329,
"FO","LJD00","SEA",,,,,3365149,
"FO","LJD00","SEC",,,1051225.00,,,
"FO","LJE00","ME",8337583,9240284.00,8477162.00,8491010.00,8415573,
"FO","LJE00","SEA",,,,,250018,
"FO","LJE00","SEB",74276,,,,,
"FO","LJF00","ME",477114152,434001300.00,679602143.00,,730802589,
"FO","LJF00","SEA",,,48500000.00,9600000.00,114485774,
"FO","LJF00","SEB",22818625,99598983.00,,1624194.00,24745946,
"FO","LJF00","SEC",-16019930,16556800.00,149068631.00,7483151.00,,
"FO","LJG00","ME",109646331,114469108.00,108148093.00,101167711.00,121188483,
"FO","LJG00","SEA",,,,40193820.00,27208596,
"FO","LJG00","SEB",1222273,6285000.00,,,-30000,
"FO","LJG00","SEC",2227840,,1230284.00,,,
"FO","LJH00","ME",10912075,12928545.00,13063489.00,13096266.00,12946128,
"FO","LJH00","SEA",,,,,435947,
"FO","LJH00","SEC",,,1700000.00,,,
"FO","LJK00","ME",26590333,26671207.00,27983471.00,29428016.00,34556501,
"FO","LJK00","SEA",,,,7955580.00,15421606,
"FO","LJK00","SEB",2865066,1495057.00,,1472891.00,1734540,
"FO","LJK00","SEC",585000,1263740.00,2675973.00,,,
"FO","LJL00","ME",9547026,8799464.00,8476473.00,,16390301,
"FO","LJL00","SEA",,,,,6117030,
"FO","LJL00","SEB",-9393,,,,-622629,
"FORDQ","BLL00","ME",,,,,,256619068
"FORDQ","BNI00","ME",152565372,146609271.00,151677176.00,158796744.00,145866881,
"FORDQ","BNI00","SEB",140000,,,-160000.00,4385000,
"FORDQ","BNI00","SEC",,,,,-9600,
"FORDQ","BNJ00","ME",39283744,48507928.00,35237511.00,38450858.00,34883447,
"FORDQ","BNJ00","SEB",,-527510.00,,,1000000,
"FORDQ","BNK00","ME",48271536,38816648.00,53720902.00,87644272.00,104721027,
"FORDQ","BNK00","SEA",,,,15600000.00,,
"FORDQ","BNK00","SEB",50675872,7538136.00,,,500000,
"FORDQ","BNK00","SEC",,,3437000.00,,,
"FORDQ","ISC00","ME",14810720,13906770.00,20446605.00,18228067.00,18345114,
"FORDQ","ISC00","SEB",-12479,260000.00,,,,
"FORDQ","ISS00","ME",,,,,,19886400
"FTRAC","BNG00","ME",21846235,20905458.00,21083993.90,27127113.00,23038953,
"FTRAC","BNG00","SEA",,,3839764.00,,,
"FTRAC","BNG00","SEB",,1025184.00,,560000.00,420000,
"FTRAC","BNG00","SEC",,,150000.00,,,
"FTRAC","BNH00","ME",21846235,20905458.00,22060797.90,22259185.00,20978489,
"FTRAC","BNH00","SEB",,509640.00,,,,
"FTRAC","BUW00","ME",,,,,,17048431
"FTRAC","BUX00","ME",,,,,,16879800
"FTRAC","BUX00","SEA",,,,,,-193995
"FTRAC","ISC00","ME",7710437,7378396.00,7305388.20,7310764.00,7208111,
"FTRAC","ISC00","SEB",,118991.00,,,,
"FTRAC","ISS00","ME",,,,,,17962944
"FTRAC","ISS00","SEA",,,,,,-51544
"GG","AKC00","ME",13908848,13858784.00,13981917.00,16253434.00,16007130,
"GG","AKC00","SEA",,,1397300.00,,,
"GG","BKY00","ME",,,,,,16695107
"GG","ISC00","ME",6139083,6128935.00,6149200.00,6892000.00,6736880,
"GG","ISC00","SEA",,,465000.00,,,
"GG","ISS00","ME",,,,,,6381897
"GSC","AZA00","ME",129817489,152864600.00,151339610.00,148255037.00,153731765,
"GSC","AZA00","SEB",2758505,,,,-1681518,
"GSC","AZA00","SEC",6583603,,-928434.00,-2003585.00,2722602,
"GSC","AZN00","ME",64353442,118212847.00,114163435.00,81761681.00,80895164,
"GSC","AZN00","SEB",41144356,,,38550478.00,,
"GSC","AZN00","SEC",-1031493,124258.00,4851451.00,-1972232.00,121320270,
"GSC","BEQ00","ME",1978270455,1966139279.00,2175548102.00,2192828508.00,2994281728,
"GSC","BEQ00","SEA",,,70200000.00,332233600.00,,
"GSC","BEQ00","SEB",119245812,120150403.00,,10670000.00,,
"GSC","BEQ00","SEC",56070573,34068760.00,68762483.00,108297005.00,50526481,
"GSC","BEU00","ME",116907936,101056015.00,99157873.00,106647604.00,128471892,
"GSC","BEU00","SEA",,,,15845000.00,,
"GSC","BEU00","SEB",1009500,,,,,
"GSC","BEU00","SEC",,17421103.00,11865224.00,300000.00,,
"GSC","BEW00","ME",70388386,68100297.00,60913368.00,60707474.00,64762500,
"GSC","BEW00","SEC",3003313,,,,7273642,
"GSC","BEX00","ME",43890142,32606961.00,29617191.00,29454041.00,27562369,
"GSC","BEX00","SEB",9312372,,,,,
"GSC","BEX00","SEC",2500000,,,1078659.00,7383625,
"GSC","BEY00","ME",4280915,4103650.00,4111325.00,4118152.00,4080925,
"GSC","BVV00","ME",,,,,,117494195
"GSC","BVV00","SEA",,,,,,39049421
"GSC","BVV00","SEB",,,,,,4000000
"GSC","BVW00","ME",,,,,,215382307
"GSC","BVW00","SEA",,,,,,11800000
"GSC","BVW00","SEB",,,,,,27107838
"GSC","BVX00","ME",,,,,,2540948328
"GSC","BVX00","SEA",,,,,,5761532
"GSC","BVX00","SEB",,,,,,41792364
"GSC","BVY00","ME",,,,,,122059813
"GSC","BVY00","SEA",,,,,,2500000
"GSC","BVY00","SEB",,,,,,2575547
"GSC","BVZ00","ME",,,,,,4109731
"GSC","CUA00","ME",,19913717.00,15505622.00,15184073.00,18651926,
"GSC","CUA00","SEA",,,,3528232.00,,
"GSC","ISC00","ME",210067185,201126547.00,221169070.00,231502828.00,221643915,
"GSC","ISC00","SEB",3166570,5040000.00,,11449522.00,-6974827,
"GSC","ISC00","SEC",-794674,,-1500000.00,-5788000.00,38839735,
"GSC","ISS00","ME",,,,,,235396731
"GSC","ISS00","SEA",,,,,,1803820
"H","AKR00","ME",109816852,102849859.00,100282109.00,72844578.00,96356868,
"H","AKR00","SEA",,,,23588222.00,,
"H","AKR00","SEB",-86558,,,1395809.00,1281275,
"H","AKS00","ME",40442256,40651125.00,40190336.00,40238976.00,39983502,
"H","AKS00","SEB",736938,,,,,
"H","AKU00","ME",954094539,853702552.00,809838696.00,843780295.00,1099570276,
"H","AKU00","SEA",1,,,26575846.00,18994770,
"H","AKU00","SEB",19378898,19993902.00,,142973001.00,61529064,
"H","AKU00","SEC",-2133314,-14831999.00,7501763.00,13840777.00,,
"H","AKZ00","ME",84926070,82748939.00,86731215.00,87797766.00,88941061,
"H","AKZ00","SEA",,,,,4131885,
"H","AKZ00","SEB",717668,5500000.00,,825000.00,45887887,
"H","AKZ00","SEC",,,,500000.00,-342227,
"H","ALA00","ME",21939744,18728166.00,19133053.00,18685517.00,18326068,
"H","ALA00","SEB",-31029,,,,,
"H","ALA00","SEC",,,,,1856074,
"H","BMA00","ME",294238083,242633254.00,260390118.00,260866701.00,297012268,
"H","BMA00","SEB",1781154,28552776.00,,16848273.00,55304889,
"H","BMA00","SEC",,100000.00,10000000.00,25000000.00,,
"H","BMD00","ME",156037552,152060884.00,148110784.00,146005296.00,147322313,
"H","BMD00","SEB",620751,,,,4140857,
"H","BMD00","SEC",151650,,,,31961638,
