"dept_code","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"ISC","mb",39399570,14947121,16630771,7407529,27002092
"ISC","na",7468073,8261187,6983075,9196120,12731673
"ISC","nb",20494440,23415912,12033436,4294622,7679670
"ISC","nl",13265861,6026636,8522590,8485190,4146170
"ISC","ns",27864646,33264752,10321504,3056186,4973730
"ISC","nt",1778271,1371894,1751945,301618,322178
"ISC","nu",4029287,2215274,4500203,1781250,0
"ISC","on",843475060,974439655,1129566301,1057159707,1270707590
"ISC","pe",4643081,3455987,9073533,10028893,31476326
"ISC","qc",410260710,405310263,274277127,353240463,352992991
"ISC","sk",28826018,27551155,27507342,41825312,52636245
"ISC","yt",1101385,9565509,29544732,10449306,9698221
"JUS","ab",33296338,34627728,37176642,38745965,40369644
"JUS","abroad",474270,504523,504003,1136875,445713
"JUS","bc",44472763,46393429,46703625,47854960,51310304
"JUS","mb",16904955,18599785,19663169,21164391,21936487
"JUS","na",13474930,14138449,13794624,12281473,14272589
"JUS","nb",9455554,10013577,10346834,11337299,11186428
"JUS","nl",7782628,8130151,8697690,9491384,10166030
"JUS","ns",12994376,12811750,13710680,15098731,14615103
"JUS","nt",6927788,7311385,7210039,7290851,7963480
"JUS","nu",5653845,5668533,6453080,7079668,6931956
"JUS","on",132423948,135633759,138903925,165518795,161412346
"JUS","pe",3573556,3952920,3638451,4086230,3978853
"JUS","qc",66100847,66392423,69088409,72807060,75336251
"JUS","sk",16642055,18669726,19843737,21408152,22279491
"JUS","yt",4284835,4409006,4459842,4747757,5321011
"LAC","na",1384382,1426924,1400000,2614946,2607233
"LAC","on",153625,100000,100000,100000,0
"ND","ab",0,0,0,1617599,1028347
"ND","abroad",120045581,134855689,186232952,194840358,203997526
"ND","bc",1882663,145503,2149191,298298,5194376
"ND","mb",2908142,3019671,3059048,3447426,2986425
"ND","na",13837533,13263933,13022639,15610297,8336252
"ND","ns",0,1400000,2761770,436400,225000
"ND","nt",0,0,0,1634410,30000000
"ND","nu",3397989,0,0,0,0
"ND","on",10874000,1828286,1975914,3228305,7863136
"ND","qc",0,131412,110293,2768667,4647698
"NEB","ab",0,0,484198,332466,531407
"NEB","bc",0,393438,0,0,0
"NEB","na",794359,1923120,4253119,1163150,761285
"NEB","nb",0,0,107028,0,0
"NEB","ns",0,0,124123,0,0
"NEB","sk",0,160000,121255,0,0
"NR","ab",41959668,77790115,52928696,53534140,83044873
"NR","abroad",3874734,14040484,8529136,7474684,9152288
"NR","bc",34461504,44768878,53906506,78949823,104857836
"NR","mb",318595,653380,1124474,2555131,3615176
"NR","na",10923498,9205586,12225260,18008316,18904187
"NR","nb",4081660,3667008,14762595,7116256,13379384
"NR","nl",457639383,249210869,332677010,366768229,218345766
"NR","ns",18793164,281195566,89552107,55713416,43135677
"NR","nt",100000,602200,1037703,3991643,4682153
"NR","nu",0,0,0,2626949,2518535
"NR","on",60827718,131471887,89237133,1070512162,107622694
"NR","pe",3571562,2697682,2775415,1185630,695147
"NR","qc",72578032,88975136,68581212,76728748,88858490
"NR","sk",546798,1438432,9112957,18873512,15573488
"NR","yt",115100,0,2643717,4520979,4514578
"NRC","ab",20588500,11776589,20354949,26482167,55398391
"NRC","abroad",16613573,17209965,28283788,26703970,27084601
"NRC","bc",82200478,76848356,89782198,97603726,147791064
"NRC","mb",5717308,3644311,5997677,8324828,17408969
"NRC","na",103669747,93716773,106401091,98131265,211394046
"NRC","nb",3969959,4037756,5839381,9060527,16444000
"NRC","nl",6577076,5260243,5941563,6738139,10895913
"NRC","ns",5344026,5407288,5214247,8583422,18441335
"NRC","nt",182144,0,0,0,160000
"NRC","nu",171868,0,0,0,141402
"NRC","on",62350077,43742755,72513071,87502217,199877646
"NRC","pe",1529621,1547918,2232191,2147411,3471970
"NRC","qc",28028523,26171597,38928924,54168579,116149513
"NRC","sk",6001999,4567630,7230534,9619143,15118997
"NRC","yt",105228,105745,498381,160000,250000
"NSERC","ab",95195507,95554783,102716941,107757172,129233247
"NSERC","abroad",489878,499676,698486,667435,704243
"NSERC","bc",114355678,108757204,119367129,119724013,135153089
