"dept_code","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"SWC","yt",0,100267,298120,821369,1372501
"TBC","abroad",731560,707302,466462,747568,450000
"TBC","na",378056,368777,442787,430858,452402
"TBC","on",0,0,273841,0,0
"TC","ab",4532121,5541870,16295762,21697253,21484737
"TC","abroad",294610,0,0,59201213,46483851
"TC","bc",54449048,56431772,51856483,109453437,117961454
"TC","mb",12396957,17840334,7420155,8223869,31237100
"TC","na",2120254,3072419,5470455,25293917,27047753
"TC","nb",206884,2469231,959435,12496582,7853800
"TC","nl",2114873,4306603,7700719,4886116,4603710
"TC","ns",704947,921607,325085,9939407,11337388
"TC","nt",2032674,1182065,1178740,10849670,28096824
"TC","nu",0,1191171,4498531,4706811,23106513
"TC","on",210811963,94880395,93121507,104564870,125049479
"TC","pe",26100375,20971901,27253008,24312300,29254526
"TC","qc",58546185,64968736,54767897,277156202,160240232
"TC","sk",4295148,2526297,4152644,4834676,9029431
"TC","yt",583071,679296,1101980,2477625,17494045
"VAC","ab",100000,0,190723,687000,963062
"VAC","abroad",9254228,8865158,9278903,9163137,9545855
"VAC","bc",0,0,197750,0,739438
"VAC","mb",0,0,0,191282,0
"VAC","na",2747599461,3787603308,3632808931,3592790833,3636848165
"VAC","nb",0,0,0,150000,150000
"VAC","nl",0,0,100000,0,0
"VAC","ns",0,0,280000,687876,1572895
"VAC","on",8581890,9082037,3894496,36976092,36256846
"VAC","pe",0,0,0,350000,0
"VAC","qc",9098755,9120000,9114298,7784073,1569009
"VAC","sk",0,0,0,0,120000
"WDO","ab",34872930,48711439,37080775,69020496,216295179
"WDO","bc",56639336,61545504,42970365,77368039,259252589
"WDO","mb",23923058,29792722,25071563,41751751,131393023
"WDO","na",14275103,15296117,2867277,6439511,156049912
"WDO","on",1634270,706485,638335,779275,2546741
"WDO","qc",3500000,0,0,0,0
"WDO","sk",17898819,30231203,91098959,65760865,89340098
"ZGOC","ab",13152942661,14207388195,14806903478,16736950369,21946845948
"ZGOC","abroad",4280556205,4571567732,4819260815,4915643940,6857972334
"ZGOC","bc",16794442987,18001008874,19210945637,20917094729,25270202066
"ZGOC","mb",7613019105,8092092174,8957842071,9839181197,11703704972
"ZGOC","na",5368264581,4589837036,4717176361,9439861248,70467734989
"ZGOC","nb",4667846108,4818104693,5311032480,5604310225,6321886550
"ZGOC","nl",2558147687,2525221324,2742316372,2888085090,3597208196
"ZGOC","ns",5288177964,5820476493,6023890115,6111835674,7097670330
"ZGOC","nt",1649921891,1806574377,1747497186,1870944813,2195966851
"ZGOC","nu",1778922993,1840796431,1980209146,2095844297,2475960057
"ZGOC","on",49932348520,51396511843,55600238044,60243289784,72044187491
"ZGOC","pe",1037819882,1055633420,1154000228,1267927200,1394106219
"ZGOC","qc",35675733681,38191426550,39973306927,43933400318,77118936870
"ZGOC","sk",5038833443,5464729835,6042281608,6702802960,8312422662
"ZGOC","yt",1271027806,1309019201,1436135402,1562135153,1758880427

