"id","type","name_en","name_fr","desc_en","desc_fr"
"HWH","MtoM","How we help","Comment nous aidons","Information is organized according to how the Programs are delivered (e.g. grants, loans, etc.)","L'information est organisée selon le mécanisme de prestation des programmes (p. ex. bourse, prêts)"
"GOCO","OtoM","What we do","Ce que nous faisons","Each governmental program is mapped to a high-level activity which is itself associated to a major area of work","Chaque programme gouvernemental est lié à une activité de haut niveau qui est elle-même associée à un domaine de travail important"
"WWH","MtoM","Who we help","Qui aidons-nous","A group of people, economic segments, institutions and organization that a Program is intended to help/impact","Groupe de personnes, segment économique, institutions et organisations sur lesquels le programme devrait avoir une incidence"
"CCOFOG","OtoM","Canadian Classification of Functions of Government","Classifications canadiennes des fonctions des administrations publiques",,

