"measure_id","org_id","subject_id","program_allocation"
89,313,SC-ISS00,46518
89,326,TBC-BXA03,903591
89,326,TBC-ISS00,112601
91,128,HRSD-BGO12,5691828
91,128,HRSD-ISS00,183432
95,51,CATSA-BEO00,240612000
96,125,FO-BTF01,360393
96,125,FO-BTF07,394036
96,125,FO-BTG01,12032472
96,125,FO-BTG05,741490
96,125,FO-BTG07,613751
96,125,FO-ISS00,2277402
96,134,NR-BTM06,165576
96,134,NR-BTM07,165575
96,134,NR-ISS00,33279
96,137,EC-BGT01,27087113
96,137,EC-BGT04,82797
96,137,EC-BGT03,18428718
96,137,EC-ISS00,2105776
96,263,PCA-BGW01,1
96,263,PCA-BGW02,18213777
96,263,PCA-ISS00,1409570
97,134,NR-BTL07,10625574
97,134,NR-ISS00,264660
98,125,FO-BTF11,6092052
98,125,FO-ISS00,471758
98,137,EC-BGS05,169711
98,137,EC-BGS04,1703021
98,137,EC-ISS00,119071
98,138,TC-BTX02,21766208
98,138,TC-ISS00,943946
99,123,CI-BGD03,30793695
99,123,CI-ISS00,1402876
99,128,HRSD-BGO14,2358208
99,128,HRSD-ISS00,327936
99,305,SHARE-BWD06,52354
99,305,SHARE-BWD08,283644
99,305,SHARE-ISS00,5415
100,194,JCCB-BTN00,90557000
101,123,CI-BGE01,5652209
103,136,GSC-BVX02,275000000
104,326,TBC-BXC03,2427726
104,326,TBC-ISS00,332549
105,126,EA-BVC03,5021652
105,126,EA-BVC07,1673596
105,126,EA-BVC01,1591621
105,126,EA-BVB08,1329355
105,126,EA-ISS00,871290
108,12,ACOA-BED02,1962318
108,12,ACOA-BED05,2873388
108,12,ACOA-BED04,2873387
108,12,ACOA-ISS00,56962
108,86,CNEDA-BNL02,444900
108,130,ISC-BNN04,4318152
108,140,WDO-BNW01,24496829
108,140,WDO-BNW04,1075940
108,140,WDO-ISS00,109336
108,141,FORDQ-BLL01,9831732
108,141,FORDQ-BLL02,5292552
108,141,FORDQ-ISS00,91172
108,150,FEDSO-BNM01,5777344
108,150,FEDSO-BNM02,5571041
108,150,FEDSO-BNM04,2929858
108,150,FEDSO-BNM03,6809041
108,150,FEDSO-BNM09,1851372
109,150,FEDSO-BNM02,1200000
109,150,FEDSO-BNM03,19200000
109,150,FEDSO-BNM04,4600000
109,150,FEDSO-BNM09,0
110,86,CNEDA-BNL02,19423539
111,127,H-BVH12,2238006
111,127,H-BVG05,43794
111,127,H-ISS00,199666
111,280,PHAC-BVP03,654941
111,280,PHAC-ISS00,28963
111,295,RCMP-AYO00,1362880
111,295,RCMP-ISS00,40505
113,125,FO-BTF06,86966377
113,125,FO-ISS00,200000
114,136,GSC-ISS00,10811494
116,117,CSC-BUK09,2182340
116,117,CSC-ISS00,176330
118,306,SSHRC-BNU01,28750000
119,219,NCC-BSN00,13240741
120,140,WDO-BNW01,5900000
121,26,CBSA-BUF04,6242063
121,26,CBSA-ISS00,505915
121,135,PSEP-BVS01,727743
121,135,PSEP-ISS00,998769
121,138,TC-BTW05,312624
121,138,TC-ISS00,37515
122,65,CFIA-BUH13,1385176
122,65,CFIA-BUH15,3376281
122,65,CFIA-ISS00,222375
123,326,TBC-BXC04,554014185
124,136,GSC-BVV02,37569613
124,136,GSC-ISS00,574941
125,46,CCRA-BRA01,2328357
125,46,CCRA-ISS00,671584
126,138,TC-BTY03,4603935
127,65,CFIA-ISS00,879901
127,65,CFIA-BUH09,4927721
127,65,CFIA-BUH10,2497316
127,65,CFIA-BUH14,4449044
128,138,TC-BTX03,707209
128,138,TC-ISS00,94074
129,306,SSHRC-BNT03,3535353
129,306,SSHRC-ISS00,45000
129,313,SC-BNV02,285189
129,313,SC-BNV05,25039
129,313,SC-ISS00,16474
130,138,TC-BTW17,1739068
130,138,TC-BTW16,1079645
130,138,TC-ISS00,338245
131,280,PHAC-BVP02,256058
131,280,PHAC-ISS00,31865
132,26,CBSA-BUF04,48090642
132,26,CBSA-BUF05,17892560
132,26,CBSA-BUF03,769201
132,26,CBSA-BUG01,5914576
132,26,CBSA-BUG05,1063012
133,240,FJA-BNZ02,1000000
133,240,FJA-BNZ03,2000000
134,280,PHAC-BVP02,1755938
134,280,PHAC-ISS00,39852
136,117,CSC-BUJ01,46802282
136,117,CSC-ISS00,18500000
136,247,OCI-BVL01,527582
137,280,PHAC-BVP02,37500000
137,280,PHAC-BVP03,37500000
138,122,CH-BSH00,29505997
138,123,CI-BGE07,4826849
138,127,H-BVG13,2140000
138,128,HRSD-BGO16,1535673
138,128,HRSD-BGM02,2603093
138,128,HRSD-ISS00,49400
138,280,PHAC-BVP02,263475
138,313,SC-BNV02,379097
138,313,SC-BNV05,42854
138,313,SC-ISS00,28188
139,118,CAS-BEG01,1409865
139,118,CAS-BEG02,1934290
139,118,CAS-BEG03,56551
139,118,CAS-BEG04,25000
139,118,CAS-ISS00,1173727
139,288,SCC-BRH01,1123430
139,288,SCC-ISS00,662000
140,246,SWC-BWH02,4559844
140,246,SWC-ISS00,149687
142,263,PCA-BGW01,186100
142,263,PCA-BGW02,304184
142,263,PCA-BGW03,274787
142,263,PCA-BGW04,221766
142,263,PCA-ISS00,89287
144,348,INDSC-BWS01,10000000
145,280,PHAC-BVP03,5000000
147,122,CH-BSF01,3325000
148,81,CMHR-BRL00,4000000
149,129,INAC-BWM10,14934197
149,129,INAC-ISS00,38859
150,129,INAC-BWM13,5000000
151,130,ISC-BNP01,10000000
152,129,INAC-BWM02,20257614
153,74,CIHR-BUI03,2966856
153,295,RCMP-ISS00,2088559
154,125,FO-BTF03,9523168
155,133,ND-BUP03,400000
155,246,SWC-BWH02,2500000
155,280,PHAC-BVP02,2251000
155,280,PHAC-ISS00,69471
155,295,RCMP-AYO00,1315192
155,295,RCMP-ISS00,81868
156,238,OAG-BGX01,6999000
158,248,ODPP-BRE01,571278
160,348,INDSC-BWU01,67514390
160,348,INDSC-ISS00,1346205
161,348,INDSC-BWU12,19048160
161,348,INDSC-ISS00,687138
162,348,INDSC-BWU09,4273498
162,348,INDSC-ISS00,133036
163,348,INDSC-BWU04,4957586
163,348,INDSC-ISS00,283753
164,46,CCRA-BRA01,176843
164,46,CCRA-BRA11,350573
164,46,CCRA-BRA06,68656
164,46,CCRA-BRA07,237800
164,46,CCRA-BRA04,4948882
164,46,CCRA-BRA02,5951447
164,46,CCRA-BRA03,254220
164,46,CCRA-ISS00,2955582
165,228,NRC-BNQ01,2259884
165,228,NRC-BNQ02,700272
165,228,NRC-BNQ03,1737250
165,228,NRC-BNQ04,2617169
165,228,NRC-BNQ05,140403
165,228,NRC-BNQ07,932504
165,228,NRC-BNQ09,875558
165,228,NRC-BNQ11,316125
165,228,NRC-BNQ12,716580
165,228,NRC-BNQ13,2703
165,228,NRC-BNQ15,361037
165,228,NRC-BNQ16,154182
166,228,NRC-BNQ01,4134015
166,228,NRC-BNQ02,8985159
166,228,NRC-BNQ03,3323777
166,228,NRC-BNQ04,3278814
166,228,NRC-BNQ05,4669380
166,228,NRC-BNQ07,9617324
166,228,NRC-BNQ09,7591140
166,228,NRC-BNQ12,1640947
166,228,NRC-BNQ13,2440155
166,228,NRC-BNQ15,535860
166,228,NRC-BNQ16,6162261
167,137,EC-BGU01,6020125
167,137,EC-ISS00,515871
168,137,EC-BGU02,5825378
168,137,EC-ISS00,422993
169,228,NRC-BNQ22,5915916
170,228,NRC-BNQ22,29579584
171,126,EA-BVD07,71569653
172,110,CSEC-BUM00,35703582
261,305,SHARE-ISS00,2332109
261,305,SHARE-BWG02,213330
261,305,SHARE-BWF04,2061537
261,305,SHARE-BWD06,16478955
261,305,SHARE-BWD08,16887524
261,305,SHARE-BWD04,680949
261,305,SHARE-BWE01,28269971
261,305,SHARE-BWE06,5072823
261,305,SHARE-BWE02,51169558
262,305,SHARE-ISS00,16175616
262,305,SHARE-BWG03,1392811
262,305,SHARE-BWG02,13107098
262,305,SHARE-BWG01,1717339
262,305,SHARE-BWD01,62502
262,305,SHARE-BWD04,268403
262,305,SHARE-BWD05,367430
262,305,SHARE-BWD07,246407
262,305,SHARE-BWD03,172827
262,305,SHARE-BWD06,1365591
262,305,SHARE-BWD08,500634
262,305,SHARE-BWE07,971421
262,305,SHARE-BWE03,170550
262,305,SHARE-BWE01,5420079
262,305,SHARE-BWE05,2519717
262,305,SHARE-BWE04,141193
262,305,SHARE-BWE08,168241
262,305,SHARE-BWE02,3255033
262,305,SHARE-BWF04,259879
262,305,SHARE-BWF01,1734156
262,305,SHARE-BWF03,5062510
262,305,SHARE-BWF02,25597
262,305,SHARE-BWF05,1483131
262,305,SHARE-BWC01,333843
262,305,SHARE-BWC03,8319
262,305,SHARE-BWC04,253932
263,46,CCRA-BRA01,1496595
263,46,CCRA-BRA11,35571
263,46,CCRA-ISS00,8273685
264,110,CSEC-BUM00,985185
265,127,H-BVG05,144416608
265,127,H-ISS00,200430
266,127,H-BVG05,3907918
266,127,H-BVH13,4751453
266,127,H-ISS00,274352
267,348,INDSC-BWU08,195037281
268,305,SHARE-BWF02,2167332
268,305,SHARE-BWF03,1321399
268,305,SHARE-BWE02,298383
268,305,SHARE-BWD06,75326
268,305,SHARE-ISS00,102727
269,305,SHARE-BWG01,20497399
269,305,SHARE-ISS00,395600
270,313,SC-BNV03,36363664
271,313,SC-BNV03,3298997
271,313,SC-BNV05,353894
271,313,SC-ISS00,232837
272,326,TBC-BXD02,841620
272,326,TBC-ISS00,103754
273,326,TBC-BXD02,1754963
273,326,TBC-ISS00,235800
274,122,CH-BSG01,10983832
275,126,EA-BVD04,87766819
276,136,GSC-BVW01,54260435
277,136,GSC-BVW01,188548775
278,326,TBC-BXC03,6645967
278,326,TBC-ISS00,345881
279,326,TBC-BXC03,5158493
279,326,TBC-ISS00,831224
283,110,CSEC-BUM00,1603689
284,110,CSEC-BUM00,219645
285,305,SHARE-BWE02,40333
285,305,SHARE-BWF03,1274155
285,305,SHARE-BWD06,33143
285,305,SHARE-BWG01,18676292
285,305,SHARE-BWD04,4860000
285,305,SHARE-ISS00,484421
286,326,TBC-BXA04,4000000
287,295,RCMP-AYO00,14919060
287,295,RCMP-AYR00,1500000
287,295,RCMP-HGD00,69831
287,295,RCMP-ISS00,63511109
288,295,RCMP-AYO00,680000
289,125,FO-BTI06,11355817
290,110,CSEC-BUM00,1363860
291,122,CH-BSG01,604666
291,122,CH-ISS00,95482
292,348,INDSC-BWU03,12726620
292,348,INDSC-ISS00,21057
293,348,INDSC-BWU09,20800000
294,348,INDSC-BWU04,22898251
294,348,INDSC-BWU11,16773301
294,348,INDSC-ISS00,111250
296,313,SC-BNV02,1780426
296,313,SC-BNV05,199909
296,313,SC-ISS00,131526
297,313,SC-BNV05,1698405
297,313,SC-ISS00,60958
