dept_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year_1
CB,9,8587.17,81424.87000000001,73660.04999999999,25536.33,47532.84
CB,12,7203.91,799.8900000000001,-247.78000000000011,6816.42,18967.54
CBC,12,1366915479.0,1250423241.0,1287296942.0,1454159531.0,1425237411.0
CBSA,1,1594352325.1,1842940382.06,1850874360.52,2007180996.54,2367415540.06
CBSA,2,27476862.86,37970365.2,60038924.06,64880901.949999996,60109328.95
CBSA,3,1004879.5,1357088.95,2894795.48,4302934.87,5001861.27
CBSA,4,378818284.86,427999087.09,512248878.42,474892087.0,422155448.22
CBSA,5,10064013.53,12551272.16,11667644.05,10134973.47,10178920.86
CBSA,6,40201135.8,35242465.66,45094057.980000004,42722615.54,48048238.85
CBSA,7,20758475.3,18798984.07,20360917.18,20673880.69,19638133.93
CBSA,8,57477575.07,49884762.95999999,34061158.230000004,33514969.029999997,48282956.190000005
CBSA,9,45132201.93,59992421.71,71845017.83,54707744.96,55543529.08
CBSA,12,7805251.109999999,9770873.01,12554967.82,13272165.59,10259200.99
CBSA,21,-15653157.16,-17789711.86,-27098269.72,-32372118.189999998,-37700198.96
CC,12,428631145.0,510389080.0,423422901.0,369338611.0,364283160.0
CCC,12,,,13000000.0,13962379.0,13792138.0
CCMD,1,72469884.16,70020856.22,76359006.8,85676833.78,77890988.16000001
CCMD,2,132667.32,150840.01,518782.85,802985.64,727532.3300000001
CCMD,3,439429.88,903022.8200000001,1093329.7,575328.6,309851.55
CCMD,4,10569430.879999999,9497614.35,8758410.57,7548048.899999999,7018709.91
CCMD,5,2355142.19,6178325.43,7089139.04,10066390.75,12119182.32
CCMD,6,14572.770000000019,130104.14,225662.99,183503.85,514401.63
CCMD,7,72590.64,88457.01000000001,68656.78,76626.73999999999,139577.59
CCMD,8,2640853.19,,,,28840.14
CCMD,9,813981.73,1010093.3400000001,2933304.56,2461162.4899999998,2732162.71
CCMD,12,-7225719.5200000005,-6642891.800000001,-8183554.58,-12613719.59,-2699916.49
CCOHS,1,9850950.06,11090822.51,10910328.530000001,12542226.89,12587847.379999999
CCOHS,2,140508.14,132023.94,240810.08,390195.27,407627.67000000004
CCOHS,3,193241.76,112968.43,36481.51,51937.21,59198.21
CCOHS,4,896041.4800000001,1100110.71,1131341.38,1296110.04,908873.35
CCOHS,5,387734.29,359868.49,520522.15,626168.52,753752.0700000001
CCOHS,6,9946.77,10113.32,21780.09,9586.93,17740.16
CCOHS,7,136291.8700000001,70135.31000000006,60201.179999999935,28540.079999999998,106688.12999999999
CCOHS,9,90938.36,216989.3,233904.3,67745.4,37445.32
CCOHS,21,0.0,0.0,0.0,0.0,0.0
CCOHS,22,0.0,0.0,0.0,0.0,0.0
CCRA,1,4499572652.62,4666489788.11,5133393910.43,5895202683.95,5669868201.87
CCRA,2,89396564.0,71371721.42,88112221.57,104200994.10000001,105765807.67
CCRA,3,25497767.96,21709194.42,21596668.939999998,27779355.01,23280619.39
CCRA,4,452975667.34000003,523125165.37,491730243.41999996,647164872.21,565992193.88
CCRA,5,291833969.24,287266968.7,290292345.31,303908228.40999997,296975459.63
CCRA,6,41109773.26,60614425.04,69718847.24,56688346.52,59341993.72
CCRA,7,14601660.65,12797491.78,15501914.540000001,15873132.69,14707891.01
