program_id,tag_id
INDSC-BXM02,MOD005
HRSD-BGO08,MOD005
CAS-BEG03,MOD020
CTA-BTT01,MOD001
FEDSO-BNM12,MOD005
OICC-BTK08,MOD002
EA-BVD03,MOD005
HRSD-BGQ04,MOD019
EA-BVD01,MOD002
HRSD-BGO11,MOD005
GSC-BVY04,MOD020
HRSD-BGO13,MOD019
EA-BVB10,MOD005
EA-BVC10,MOD001
CGC-BGB03,MOD001
CFIA-BUH13,MOD019
INDSC-BXQ01,MOD004
TC-BTX05,MOD002
WATER-ISS30,MOD002
PSEP-BVS01,MOD021
HRSD-BGO25,MOD019
NPB-BUB01,MOD001
TC-BTW08,MOD021
EC-BGR01,MOD001
PCAN-BYK03,MOD005
INDSC-BXL03,MOD005
ISC-BNP01,MOD004
CICS-BWV01,MOD020
VAC-BWI16,MOD004
NR-BTO05,MOD008
CAS-BEG05,MOD019
EA-BVD10,MOD005
EA-BVD04,MOD008
RCMP-BXI01,MOD021
INDSC-BXP04,MOD005
CFIA-BUH07,MOD001
CCRA-BRA09,MOD001
FJA-BNZ01,MOD020
FO-BTI02,MOD019
ND-BUS07,MOD002
GSC-BVY07,MOD020
CH-BSG04,MOD005
AGR-BWP06,MOD019
OCOL-BGI01,MOD020
SHARE-BYE03,MOD020
EC-BGT04,MOD005
INDSC-BYP20,MOD005
EA-BVE03,MOD019
INDSC-BXP06,MOD005
H-BVG21,MOD001
TC-BTW25,MOD021
NRC-BNQ15,MOD019
CI-BGD02,MOD019
AGR-BWP13,MOD019
ND-BYX03,MOD019
FEDNO-BYL02,MOD004
NR-BTO06,MOD002
PSEP-BVT02,MOD005
PHAC-BVR01,MOD021
SWC-BXR03,MOD005
AECB-BTJ04,MOD001
NRC-BNQ07,MOD019
EC-BGR02,MOD005
INDSC-BYP19,MOD001
PCO-BWW07,MOD002
OICC-BTK05,MOD005
AGR-BWP03,MOD005
NRC-BNQ21,MOD020
EC-BGR06,MOD005
NR-BTM11,MOD019
CEAA-BGV03,MOD001
GSC-BVX03,MOD020
ISC-BNP16,MOD019
NPB-BUA01,MOD019
ISC-BNN04,MOD005
CH-BSG01,MOD005
HRSD-BGQ01,MOD019
EA-BVB21,MOD002
PCO-BWW02,MOD002
FO-BTH06,MOD001
CBSA-BUG02,MOD021
HRSD-BGO12,MOD004
INDSC-BXP03,MOD005
NR-BTO06,MOD005
INDSC-BYP12,MOD004
PHAC-BVQ01,MOD019
VAC-BWI20,MOD004
INDSC-BXM07,MOD005
CSC-BUJ05,MOD021
INAC-BWR04,MOD005
CTAIB-BWA04,MOD019
AGR-BWP01,MOD005
H-BVG01,MOD002
NR-BTM03,MOD019
CASDO-BXZ02,MOD002
FEDNO-BYL01,MOD005
CBSA-BUF13,MOD001
FORDQ-BLL04,MOD005
CBSA-BUF07,MOD021
PHAC-BVP04,MOD005
OICC-BYT05,MOD002
EA-BVE03,MOD021
FO-BTG04,MOD001
CI-BGE01,MOD019
SHARE-BYE04,MOD020
NRC-BNQ17,MOD005
FO-BTG05,MOD005
PCA-BGW02,MOD005
MJRC-MJRC1,MOD019
ND-BUO06,MOD020
PCA-BGW11,MOD019
INAC-BWM15,MOD005
ACOA-BED05,MOD005
TBC-BXC03,MOD002
ND-BUP01,MOD019
PMPRB-BVM01,MOD001
ISC-BNP03,MOD019
RCMP-BXG07,MOD021
EA-BVE02,MOD019
CI-BGE05,MOD019
EC-BGU02,MOD001
CSA-BLM02,MOD019
WDO-BYM04,MOD005
CIHR-BUI01,MOD004
NR-BTO03,MOD002
CBSA-BUF10,MOD020
FO-BTG03,MOD001
GSC-BVW01,MOD020
ND-BUP04,MOD001
NFB-BYZ04,MOD019
TC-BTW04,MOD001
PSC-BWB01,MOD002
HRSD-BGO15,MOD005
INDSC-BYP20,MOD001
INDSC-BXP08,MOD005
TBC-BXC04,MOD008
H-BVH11,MOD021
H-BVG07,MOD005
LAC-BSJ02,MOD019
ND-BUS06,MOD020
OICC-BYB04,MOD005
AGR-BWO03,MOD005
HRSD-BGO27,MOD005
PHAC-BVP02,MOD005
ACOA-BED06,MOD005
ND-BUN06,MOD001
CH-BSE03,MOD019
EA-BZB02,MOD021
CH-BSF01,MOD005
INDSC-BXL04,MOD019
PSEP-BVT04,MOD005
PSC-BWB02,MOD002
PCA-BGW02,MOD001
INAC-BWR14,MOD005
NR-BTL09,MOD019
PCA-BGW04,MOD019
INAC-BWM14,MOD005
ISC-BNO01,MOD005
H-BVG08,MOD001
TC-BTW18,MOD001
HRSD-BGP03,MOD005
VAC-BWI13,MOD004
LAC-BSJ03,MOD001
ACOA-BED04,MOD019
AGR-BWP04,MOD005
FO-BTG05,MOD019
AECB-BTJ02,MOD001
MJRC-MJRC2,MOD002
NR-BTO08,MOD005
CSC-BUJ08,MOD021
OSFI-BVO01,MOD001
OPSIC-BTS01,MOD002
ND-BUQ06,MOD021
TBC-BXB07,MOD002
HRSD-BGO18,MOD001
ND-BUR04,MOD021
VAC-BWI07,MOD004
EA-BVB19,MOD019
NR-BTL11,MOD020
CBSA-BUF11,MOD020
CBSA-BUF06,MOD001
PSEP-BVU02,MOD002
IPC-BRF01,MOD002
TC-BTX06,MOD001
CBSA-BUF05,MOD021
AGR-BWP13,MOD005
NR-BTM01,MOD019
OICC-BYC03,MOD005
HRSD-BGO09,MOD004
CCOHS-BFZ01,MOD019
HRSD-BGM09,MOD004
TC-BTX02,MOD005
ACOA-BED01,MOD019
INDSC-BXP09,MOD005
CI-BGE04,MOD019
CCRA-BRA11,MOD001
SC-BNV05,MOD019
INDSC-BXP11,MOD005
CCMD-BTR01,MOD020
NR-BTO07,MOD005
OICC-BYD04,MOD002
INAC-BWR05,MOD005
INDSC-BXQ03,MOD005
EA-BVC01,MOD019
SSHRC-BNT01,MOD004
CTA-BTT02,MOD001
FO-BTG07,MOD002
ND-BUP07,MOD019
HRSD-BGO17,MOD001
EA-BVD10,MOD004
EA-BVB05,MOD004
VAC-BWJ01,MOD019
H-BVH10,MOD001
HRSD-BGM06,MOD004
JUS-BNY06,MOD005
INDSC-BYP07,MOD005
INDSC-BXM13,MOD005
OICC-BYT03,MOD005
ND-BUS04,MOD020
LAC-BSI01,MOD002
INAC-BWR08,MOD019
NRC-BNQ05,MOD019
INDSC-BYP15,MOD005
CASDO-BXZ01,MOD005
IPC-BRG01,MOD005
ND-BYY06,MOD019
OICC-BYC01,MOD005
HRSD-BGP07,MOD019
EA-BVD11,MOD004
LAC-BSJ01,MOD001
H-BVH15,MOD019
OICC-BYB01,MOD005
ND-BUP04,MOD020
TBC-BXC02,MOD008
TC-BTY02,MOD005
RCMP-BXH03,MOD019
EA-BVC08,MOD002
EA-BVB10,MOD020
CBSA-BUG03,MOD021
HRSD-BGO30,MOD019
CSC-BUK04,MOD021
LAC-BSI02,MOD019
INAC-BWM17,MOD019
EC-BGS07,MOD001
PCAN-ISS10,MOD002
EC-BGT06,MOD001
SC-BNV04,MOD019
PHAC-BVR02,MOD001
EA-BVD13,MOD005
