"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"CSEC","BNF00",141713682,126596384,165887480,141609696,244963505,247238665,188756007,181141436,180925542,169575879,166155442.00,166155442.00,166155442.00,"."
"CSIS","AXF00",463740989,454883201,465231564,474197376,482274183,472027300,528925064,495644733,557720182,546127764,528939177.00,528939177.00,528939177.00,"."
"CSIS","BJR00",69201499,41537748,69522506,42108353,45087970,43248278,47143064,40919115,50461304,43288431,48152882.00,48152882.00,48152882.00,"."
"CT","AOD00",1835335,1353452,1729459,848462,358825,348825,".",".",".",".",".",".",".","."
"CT","ISC00",598422,383360,688022,306961,226553,226553,".",".",".",".",".",".",".","."
"CTA","BAN00",12932400,12878593,12980700,12027105,12398013,11306027,12384415,11099602,11490649,10569836,11532859.18,11429543.18,11429543.18,11315866.00
"CTA","BAO00",8775281,8337217,9201197,8982629,9365918,10984842,10537659,10334836,9416993,8969209,8703153.12,8635058.12,8635058.12,9253556.00
"CTA","ISC00",8104609,7485034,7897029,7967204,7364441,6486980,6149901,6819794,7388682,7409032,10678153.70,7092618.70,7092618.70,7222665.00
"CTAIB","AVX00",14302345,13670313,14750720,14671477,15029520,14990356,13367836,13142640,13323213,12949182,".",".",".",13216156.00
"CTAIB","AVY00",6100861,5831259,5486825,5457349,4947248,4934356,5252719,5164231,5095801,4952744,".",".",".",5241795.00
"CTAIB","AVZ00",478208,457077,355351,353442,284458,283717,312391,307128,296124,287811,".",".",".",286104.00
"CTAIB","AWC00",4920591,4703146,6920995,6883816,6162835,6146776,5844890,5746426,5967386,5799860,".",".",".",6044524.00
"CTAIB","BWA01",".",".",".",".",".",".",".",".",".",".",12691485.00,12341560.00,12341560.00,"."
"CTAIB","BWA02",".",".",".",".",".",".",".",".",".",".",5373229.00,5289240.00,5289240.00,"."
"CTAIB","BWA03",".",".",".",".",".",".",".",".",".",".",6032315.00,5876932.00,5876932.00,"."
"CTAIB","BWA04",".",".",".",".",".",".",".",".",".",".",280649.00,293847.00,293847.00,"."
"CTAIB","ISC00",7317864,6994482,5969177,5937110,5879447,5864126,5769255,5672065,6176546,6003148,".",".",".",5892236.00
"CTAIB","ISS00",".",".",".",".",".",".",".",".",".",".",5718221.00,5583087.00,5583087.00,"."
"EA","AJG00",1116163306,940538085,1014280061,939594606,1099634658,1030998272,1004617946,954956846,1024589506,896561089,982515627.00,943179801.00,936613983.00,957781259.00
"EA","AJK00",849024917,716016050,714341149,620548488,886426430,766727807,748939862,693665951,822489980,702069649,735657199.00,657946968.00,638941115.00,764948263.00
"EA","AJL00",65387379,54470658,55257695,54306686,52761876,52028661,49465206,48404466,53733700,48746982,56140967.00,55288240.00,55329405.00,53761744.00
"EA","AJO00",138820367,23139633,13578219,13578219,".",".",".",".",".",".",".",".",".","."
"EA","AJP00",99740457,92434881,104026780,98858329,89765176,86002990,76329133,76209297,84983301,84371569,84279764.00,83783897.00,82017179.00,82390190.00
"EA","AJQ00",166772646,160582217,160918756,156811144,174432054,169728804,186897234,164459301,201998216,193902346,205010348.00,197367838.00,197058884.00,200373622.00
"EA","AJR00",223818829,220037627,229870882,229133960,199886445,198792503,234965156,234377684,232167076,229333161,234379557.00,218732690.00,218893959.00,203795103.00
"EA","BHP00",".",".",876196510,701403180,858403703,731520386,".",".",".",".",".",".",".","."
"EA","BHQ00",".",".",942692968,837666218,953933907,929287814,".",".",".",".",".",".",".","."
"EA","BHR00",".",".",292198399,291056368,345048585,344411819,".",".",".",".",".",".",".","."
"EA","BHS00",".",".",667797441,665861183,1156300033,1154561935,".",".",".",".",".",".",".","."
"EA","BHT00",".",".",198751829,198034232,220199660,219011103,".",".",".",".",".",".",".","."
"EA","DAN00",".",".",".",".",".",".",383288377,364417410,488353932,465232381,475585381.00,343382490.00,160981374.00,237901526.00
"EA","DAP00",".",".",".",".",".",".",2663663100,2480948658,2655864109,2553957625,2337470163.00,2659521426.00,2430772627.00,2335188938.00
"EA","DAQ00",".",".",".",".",".",".",700120351,700103212,898575988,852045849,726443560.00,639181486.00,473559495.00,561922614.00
"EA","ISC00",201179282,187659960,280179998,258425197,276540121,256272063,296210345,279309741,252227835,233804155,250124702.00,243718478.00,239359607.00,244123374.00
"EC","AGL00",129554411,124279701,122992217,120519001,143284612,140408483,150950291,150399093,154140480,153035992,135322453.00,121360716.00,87463465.00,137912691.00
"EC","AGM00",109535967,108552181,104913126,100322337,94498585,92453058,95168261,81784289,79297907,70732520,69722840.00,72152481.00,70272990.00,80035023.00
"EC","AGR00",177168255,167695081,189462286,182818981,180986784,174493294,205045977,181347768,189968112,180123302,194578410.00,187770089.00,192095331.00,174382678.00
"EC","AGS00",87671980,79295781,86290566,84616666,90048046,86779805,85506174,83529612,91141832,87801448,84357041.00,91454269.00,97110653.00,74912985.00
"EC","BDJ00",26737256,23048760,28557210,26618144,27083480,25886657,18757335,15321848,22787760,15643525,18728707.00,18707542.00,18952893.00,19267384.00
"EC","BDK00",70215385,67500282,70851606,70727194,96697210,72619888,99908100,78790925,106683277,98446872,84520845.00,65379639.00,61660038.00,88026739.00
"EC","BDO00",47284533,41707206,46216846,44661876,42693720,42309866,40718054,40634373,42463209,40339332,41696948.00,34143478.00,34302472.00,34672528.00
"EC","BIA00",240203577,157525949,186131979,125118027,161572084,121061134,128325216,119607526,159369236,149504223,147118686.00,99319825.00,91437866.00,97030449.00
"EC","BKF00",17928918,16695292,18545835,18208956,17202627,17058497,19985276,19971764,17880767,17511301,16297080.00,16095331.00,15870680.00,16652429.00
"EC","ISC00",210460031,203355229,205422506,205338366,204386901,203115955,190345122,179540197,194907490,192729765,194931405.00,186768159.00,184465594.00,179196292.00
"ECBC","ABS00",60667000,60667000,52848000,50844000,12384000,9865841,".",".",".",".",".",".",".","."
"EDC","AJQ00",231192530,231192530,122395881,122395881,2597096,2597096,3699980,3699980,8210494,8210494,".",".",".","."
"ERC","BEN00",1761527,1595595,1800219,1605928,1764615,1584606,1645173,1517969,1646173,1524278,945510.00,945510.00,945510.00,1554862.00
"FBCL","BJG00",26224693,18185400,14338293,13190982,21040000,8138200,35281996,20119299,41781864,41781858,22885386.00,22885386.00,22885386.00,"."
"FCAC","SGA00",12890555,12890555,14719918,14719918,17890366,17890366,16272565,16272565,17426664,17426664,".",".",".","."
"FEDSO","BMF00",54727459,34609151,75083532,71120480,34132517,27689452,47140022,47037706,89373369,63417133,105327756.00,36647813.00,0.00,66896145.00
"FEDSO","BMR00",56710643,56576259,61687965,56430801,78926662,9298340,74992007,55550921,87487194,79228401,93112054.00,72524016.00,0.00,92081080.00
"FEDSO","HGL00",131599397,131523159,89670252,87659299,76917862,49467300,72728057,69728063,63196539,63173971,54998686.00,61253690.00,0.00,58571582.00
"FEDSO","ISC00",19771916,19012398,20266932,19069825,18063426,17648051,17754648,17480605,17330723,16316107,15910153.00,15900476.00,0.00,16899045.00
"FIN","BLH00",86809535,81328189,94370788,90992374,137331601,124886930,72275817,63516872,72257066,69856767,60243914.00,59928914.00,59641414.00,60440111.00
"FIN","BLI00",26148248975,26148248975,25258792413,25258792413,23600697770,23600697770,22793429403,22793429403,21282396928,21282396928,21594000000.00,22674000000.00,24789000000.00,22878000000.00
"FIN","BLJ01",27454315277,27454315277,27825587306,27825587306,28819845127,28819845127,29853063123,29853198920,30467141947,30467145409,30807300825.00,31698182329.00,32685252299.00,29922850143.00
"FIN","BLJ02",556052712,487480880,1373493407,1304896575,98003836,29432004,-198494332,-267183332,73754112,5188786,612286.00,612286.00,612286.00,5194013.00
"FIN","BLJ06",28912354223,28912354223,30542952196,30542952196,32114006363,32114006363,34024617855,34024617855,36057581263,36057581263,37149703000.00,38359814000.00,39894304000.00,36067673000.00
"FIN","BLJ09",14987008,14987006,5000000,5000000,5000000,5000000,3144000,3000000,4162588,4105569,0.00,0.00,0.00,149000.00
"FIN","BLJ11",701402920,491417920,492810000,492810000,934420000,934420000,492924088,492924088,492935977,492935976,492872596.00,492872596.00,489762596.00,488371016.00
"FIN","ISC00",51598307,50468976,59261811,57841315,55290836,54866622,46584433,43808353,45449867,42341540,38878680.00,38073680.00,37573680.00,41115227.00
"FJA","ARP00",1783968,1657597,1770016,1681809,3359324,3073719,3775296,2488907,3301145,2762299,3707160.00,1707160.00,1707160.00,1706144.00
"FJA","ARR00",8772011,8352983,9131719,8455757,9119362,8130290,9258589,7576944,9728688,8420415,8781050.00,7781050.00,7781050.00,7902601.00
"FJA","ARS00",474217220,474217220,490350437,490350437,505689613,505689613,532643045,532643045,534886933,534886933,558662575.00,572093242.00,585714128.00,544838708.00
"FJA","ISC00",875000,874800,854278,854278,726804,726804,726800,717936,726800,726800,726800.00,726800.00,726800.00,726800.00
"FNSI","BJZ00",5000000,2028410,".",".",".",".",".",".",".",".",".",".",".","."
"FO","AIP00",60594180,59662859,62438158,61504263,62584993,60892985,63494209,61653577,68838834,65069916,71359349.00,61560927.00,53483136.00,63121302.00
"FO","AIV00",114253506,111762240,100342250,98693883,112964932,104489712,224002815,217947740,313845953,296174686,213252617.00,92071394.00,92071394.00,277650414.00
"FO","AIW00",24606511,22438827,24995228,23272786,21760898,20730807,22253259,21092704,20612983,20609733,22354201.00,14458156.00,14458156.00,22534830.00
"FO","CGA00",".",".",3184203,2715681,2365700,2081064,2255855,2208729,2162247,2162247,2385497.00,0.00,0.00,0.00
"FO","HAA00",121546490,120395929,153222633,150657317,139697147,136798429,138444929,131253481,146108908,142012966,147811981.00,148750789.00,149599563.00,128176269.00
"FO","HAB00",38319772,37284599,40922737,40442966,44883292,43144082,49969752,47134443,53771328,52853121,54268898.00,52350069.00,50829167.00,40202708.00
"FO","HGM00",35879880,35413462,".",".",".",".",".",".",".",".",".",".",".","."
"FO","HGN00",85412057,85309398,84860400,83910543,89463258,88845466,87824341,86077797,82749574,82171410,55786486.00,54796708.00,53996501.00,56234640.00
"FO","HGO00",34904601,34288659,29086052,26298035,25960740,24747548,25301668,23961078,25769683,25029237,30475056.00,21509476.00,21163051.00,27951814.00
"FO","HGP00",6082627,6015341,6801305,6801305,6301222,6108151,5999171,5764048,6872750,6798111,6114231.00,6128137.00,6043268.00,5515751.00
"FO","HGQ00",3377185,3327949,3713029,3713029,3726528,3676552,3778332,3778332,3260018,3259849,3192457.00,3192457.00,2472457.00,3382084.00
"FO","HGR00",14191994,14033632,15847656,14355038,15555098,14848021,14373692,14210564,17245889,16621761,13127462.00,12884029.00,12884029.00,14010930.00
"FO","HGS00",51599881,51599881,54590696,54590696,50624156,50624156,44364335,43632492,56823746,53786293,46011571.00,41068969.00,39822564.00,46288327.00
"FO","HGW00",3970852,3944254,2132736,1476827,1675797,1574650,1440810,1329507,1324037,1324037,1182400.00,785318.00,785318.00,1625067.00
"FO","HGX00",108755157,107321670,112755349,110733954,107315521,106007941,103785307,99549696,103615855,103263746,102351038.00,102351038.00,102351038.00,103320201.00
"FO","HGY00",29768277,29034212,32988523,32383362,31526854,30938311,30774751,29496542,31154628,30192628,29195310.00,29195310.00,29195310.00,29458464.00
"FO","ISC00",400650903,301461246,357637282,329182034,325266040,297974714,375256056,344340910,491691373,398103942,375300172.00,310108912.00,288735244.00,313770705.00
"FO","LJA00",11147469,11147469,58328348,35040603,18896376,18887268,18394902,17819882,39862147,35116786,34918463.00,13157510.00,13157510.00,17926048.00
"FO","LJB00",12612958,12455824,15370349,15370349,".",".",".",".",".",".",".",".",".","."
"FO","LJC00",39073927,38113431,36708017,36499413,35840130,35840130,31104608,31104607,32642528,32349621,33890834.00,33890833.00,33890833.00,31613840.00
"FO","LJD00",53679522,52570352,43983435,43983435,45202414,45194295,42256838,42256838,41150782,38928370,33679329.00,33679329.00,34742119.00,34101584.00
"FO","LJE00",6614796,6614796,7160790,7160790,7320573,7320573,7111947,7111947,8222825,7533825,8415573.00,8415573.00,8415573.00,8491010.00
"FO","LJF00",465222523,431657999,540025028,448024899,592838614,474005854,899172190,778918291,974935332,756142070,730802589.00,572560411.00,424546089.00,863517816.00
"FO","LJG00",148892419,137714376,127754894,114196788,120042068,100195337,134556708,103264378,157583629,117228739,121188483.00,101761245.00,103433235.00,101167711.00
"FO","LJH00",15886367,15886367,15364943,15364943,14551816,14551816,15612170,15612170,16784190,16779983,12946128.00,12946128.00,12946128.00,13096266.00
"FO","LJK00",30482486,30368076,30869839,30826575,30458779,30287492,28488983,28200785,31007115,31007114,34556501.00,30573613.00,26063431.00,29428016.00
"FO","LJL00",17785878,17282396,19211872,19203672,17201935,17201935,16334126,15077397,18562645,18158045,16390301.00,11805824.00,11786545.00,8463792.00
"FORDQ","BNI00",141594333,130483270,153560384,147594134,146499765,146564462,152129376,147576913,159007337,176315687,145866881.00,136290418.00,136530866.00,158796744.00
"FORDQ","BNJ00",44248112,44054296,39482396,39132388,47945992,34133620,35257500,33610006,38516354,35198143,34883447.00,33080533.00,33140615.00,38450858.00
"FORDQ","BNK00",106875144,102808455,99103811,64286545,46333260,55328034,57193056,60180857,103349140,85904392,104721027.00,47118599.00,39355723.00,87644272.00
"FORDQ","ISC00",21862007,19083325,15745105,18292750,15995281,17871800,21128067,17829224,18624549,18534411,18345114.00,18266055.00,18266879.00,18228067.00
"FTRAC","BNG00",23879111,22673503,22647499,21668241,22659674,20873133,25809887,24973253,28211047,27084324,24123606.00,22301596.00,20446038.00,28387444.00
"FTRAC","BNH00",23879111,23068382,22647498,21702134,22144131,21678510,22796927,22081112,22783119,20353044,22063142.00,21101856.00,20446038.00,23519516.00
"FTRAC","ISC00",8428333,8251686,7993236,8333808,7754694,8852787,7710147,7898026,7652785,7969157,7590930.00,7207480.00,7216249.00,7755587.00
"GG","AKC00",14614567,14081012,14388066,14033636,14692242,14693687,16225953,16020959,16411527,15996649,16007130.00,16007130.00,16007130.00,"."
"GG","ISC00",6531780,6747879,6407755,6272868,6374071,6167353,6398694,6297133,6864906,6666436,19271468.00,19271468.00,19271468.00,"."
"GSC","AZA00",296556581,158849677,288882223,152781604,284969733,144689521,283691443,151557532,275842885,137993277,153731765.00,114121744.00,114337354.00,148255037.00
"GSC","AZN00",84651364,80559725,108414408,101211263,129838325,115698499,137618499,128954893,136602627,135402231,80895164.00,77426283.00,77514154.00,81761681.00
"GSC","BEQ00",2262619658,2011582718,2389021296,2111237753,2401611484,2032720121,2621087613,2112305111,2904752099,2458990334,2994281729.00,2380190423.00,2234497300.00,2192828508.00
"GSC","BEU00",117958621,117792671,121121362,120686479,123736048,116448841,110793370,109908581,117092772,104491576,128471892.00,106537458.00,106521313.00,106647604.00
"GSC","BEW00",109561853,78458807,94751554,61627911,98634469,57727343,97800485,51299267,106276146,52946867,64762500.00,65106226.00,64033141.00,60707474.00
"GSC","BEX00",53530137,49534679,58780027,56443732,48319387,47133036,31228075,24537710,33319449,31472654,27562369.00,27700366.00,27769860.00,29454041.00
"GSC","BEY00",4291479,3884382,4696328,4075023,4220906,3889948,4101959,3830009,4021026,3257831,4080925.00,4080925.00,4080925.00,4118152.00
"GSC","CUA00",".",".",".",".",22135913,22035911,21448262,20273364,20240292,18315360,18651926.00,15189099.00,15189099.00,15184073.00
"GSC","ISC00",265280018,236870598,263576949,239060369,244446622,226820291,252881576,230649243,307364502,262556577,221643915.00,221602215.00,221611043.00,231502828.00
"H","AKR00",117606563,103655546,107621366,101141190,107392104,97967114,91265498,87559410,92644414,84862213,96356868.00,88905975.00,87880503.00,72844578.00
"H","AKS00",45072231,42148137,47823266,46299835,45426812,44319169,42256130,41360034,42638272,42621685,39983502.00,36761642.00,36761717.00,40238976.00
"H","AKU00",955284197,945580413,931062884,927125272,884879027,870774017,890352928,888041558,1016427606,940569090,1099570276.00,1009855421.00,851627796.00,843780295.00
"H","AKZ00",123992030,115533278,88593095,88591578,74460754,69339368,86174613,84450294,95374170,94866751,88941061.00,87966715.00,85813203.00,87797766.00
"H","ALA00",24276709,19926803,17981606,16475781,15315788,13650940,17566176,15260199,14921829,13588652,18326068.00,18325867.00,18325874.00,18685517.00
"H","BLZ00",29813884,28148044,".",".",".",".",".",".",".",".",".",".",".","."
"H","BMA00",424192433,405697982,375031600,353877280,359916645,334273289,345205119,329580184,331314881,329454933,297012268.00,270905619.00,208897987.00,260866701.00
"H","BMD00",164676896,164654898,179564906,179564797,167240719,166617222,146869279,145641623,149533205,149469788,147322313.00,147770952.00,146970903.00,146005296.00
"H","BME00",69817058,69655161,71238986,71238491,66393020,66365087,65987214,63941395,71165659,69079818,67881855.00,67333133.00,67174417.00,68562778.00
"H","CFA00",".",".",36455580,35535627,37697458,34325604,37389916,34513091,36131274,34148234,38015185.00,38010419.00,38010583.00,37562015.00
"H","ISC00",426457843,374914169,405591219,364976909,347762172,343595169,332225509,321685601,317645591,303735385,286918200.00,248785416.00,243116232.00,265223547.00
"H","LJR00",39863924,39011188,26252493,25830789,37412211,36653712,37503038,37221431,38085206,37435684,35328730.00,35328730.00,35328730.00,38093638.00
"H","LJS00",15404883,15303974,21421594,21420658,21345176,20709033,20926585,20871026,20084261,19866574,18294915.00,12757653.00,12757665.00,13148978.00
"H","LJT00",1189983336,1140213493,1113116336,1071034484,1104008776,1075694038,1145042304,1138729982,1252363148,1251632266,1238036465.00,1181106370.00,1182623653.00,1180001880.00
"H","LJU00",356716249,356715000,525566179,525066806,640557440,640190204,672813984,672276324,790081621,781886051,796373302.00,724055660.00,756558985.00,683792972.00
"HC","AVA00",193278687,188261984,173521684,169098540,178891813,176559271,170658416,164744126,174137957,167069960,171847509.00,171847509.00,171847509.00,"."
"HC","AVB00",257637177,241674987,259236216,245512498,257191981,245268531,271283193,259587242,294124512,277824438,304226891.00,304226891.00,304226891.00,"."
"HMIRC","AJT00",2491955,2418006,".",".",".",".",".",".",".",".",".",".",".","."
"HMIRC","AJX00",602618,540128,".",".",".",".",".",".",".",".",".",".",".","."
"HMIRC","ISC00",1927237,1927237,".",".",".",".",".",".",".",".",".",".",".","."
"HRSD","AMP00",144754830,141638166,143704008,143416411,127535180,127308633,123719407,123719176,128566734,127697824,160249779.00,160249779.00,160249779.00,161240615.00
"HRSD","AMQ00",2282318283,2274086340,2199358818,2194548765,2563682116,2555956846,2494776596,2489519002,2860670636,2850167429,2969076593.00,3074026937.00,3185136037.00,2479065886.00
"HRSD","AMR00",131203431,130627625,89484916,86188551,87185606,82504671,".",".",".",".",".",".",".","."
"HRSD","BJJ00",2031033582,1902275248,1725784354,1614076687,1682390002,1528534409,1725872957,1587159057,1972067723,1839527482,1783515752.00,1755520062.00,1640624839.00,1693306935.00
"HRSD","BJK00",40563818158,40557943884,42095532783,42094313717,44484053031,44481738204,46108714777,46108407989,48918957839,48917558758,51916187629.00,54889332770.00,58009577298.00,49042853716.00
"HRSD","BJN00",143951678,139033788,201523089,200115279,216114137,214610555,".",".",".",".",".",".",".","."
"HRSD","BKC00",3026576785,2996545951,3015939981,2992414508,2975175849,2939900967,8985948747,8961100867,2266438200,2239757375,311001403.00,243649279.00,114211342.00,7933212853.00
"HRSD","DAA00",".",".",".",".",".",".",49943158,49259236,56876981,50872977,56037812.00,53554056.00,53554056.00,51132597.00
"HRSD","DAB00",".",".",".",".",".",".",17442316,17442316,17741163,17635252,20654469.00,118983.00,119408.00,23418496.00
"HRSD","ISC00",297803095,292813622,336658160,321838603,282162934,274202887,274315849,261420377,314616318,295748607,206132178.00,201834987.00,209232094.00,253650710.00
"IDRC","AJS00",241646094,156223043,226416279,202416279,190023783,190023783,183478242,183478242,149205625,147474006,138705625.00,138705625.00,138705625.00,"."
"IJC","AJU00",5116636,4651867,4886288,4437575,5124071,4905212,5090796,4805959,5304693,4966232,8230578.00,8230578.00,8230578.00,"."
"IJC","AJV00",2114880,1855631,2402321,2232320,2079827,1859740,1911036,1812764,1887101,1484391,1819115.00,1819115.00,1819115.00,"."
"INAC","AFA00",".",".",".",".",".",".",".",".",50000000,50000000,0.00,0.00,0.00,0.00
"INAC","ANA00",272621764,238105460,259054960,224607972,".",".",".",".",".",".",".",".",".","."
"INAC","ANC00",1075768664,1073406412,1039313770,1038948588,1313930953,1266710553,1299754223,1294213707,1895903208,1893671648,2223946873.00,1419001493.00,1405644151.00,1212699364.00
"INAC","AND00",854424375,674086734,990390491,485123423,".",".",".",".",".",".",".",".",".","."
"INAC","ANG00",1735046114,1734756058,1776306381,1775804549,1789854739,1788854310,1805232412,1805134484,2146963499,2146512812,2203184787.00,2290705684.00,2401195959.00,1855472918.00
"INAC","ANL00",486629636,484410694,487468400,484218256,426350542,422226591,422197013,422158084,448123980,448123980,413808860.00,402318676.00,404110062.00,397170892.00
"INAC","ANM00",38886094,37059921,34336163,33836437,29053812,28426563,29687786,29564330,33513434,32933548,28961879.00,28961361.00,28988312.00,28911620.00
"INAC","ANO00",138948186,136472218,178720859,170331482,150273247,146407862,149134761,147466620,160333883,157628707,176213122.00,174948206.00,180750631.00,134894297.00
"INAC","ANP00",182626651,176818376,253415512,238498638,262578542,212493747,191506907,180587234,221709977,169918169,264322708.00,187248863.00,196674023.00,58614753.00
"INAC","ANQ00",113497111,112438523,134117966,133423081,".",".",".",".",".",".",".",".",".","."
"INAC","ANR00",1710219854,1709912535,1724806452,1723318991,1743672380,1733443753,1767436611,1767363171,1880734603,1880636118,1876199107.00,1957529465.00,2050799922.00,1764360798.00
"INAC","BHU00",718973516,717808669,718050234,715832560,".",".",".",".",".",".",".",".",".","."
"INAC","BHW00",52629102,52255804,".",".",".",".",".",".",".",".",".",".",".","."
"INAC","BHX00",15023187,14814062,".",".",".",".",".",".",".",".",".",".",".","."
"INAC","BHY00",7921593,7870718,".",".",".",".",".",".",".",".",".",".",".","."
"INAC","CEA00",".",".",52494753,51708349,49569445,49520444,50351308,50336798,49635904,49414504,29582303.00,29582303.00,29582303.00,29645997.00
"INAC","CKA00",".",".",".",".",850123995,173531547,850452288,176996399,762065345,566517198,1035735011.00,1113356769.00,146361345.00,487447240.00
"INAC","CKB00",".",".",".",".",757504293,749933655,1059408643,1058167714,856031246,852598746,873311740.00,825895076.00,788587110.00,806628418.00
"INAC","CKC00",".",".",".",".",43027380,43027380,40642245,40562630,47873223,47172438,47280254.00,47280254.00,47280254.00,42636070.00
"INAC","CKD00",".",".",".",".",254318655,218047705,330755795,293179002,316283070,280792274,373226056.00,244647554.00,233314687.00,209574311.00
"INAC","CKE00",".",".",".",".",33930706,33668724,39648489,39648489,50615612,48106479,32407433.00,30107433.00,22107433.00,39583926.00
"INAC","HGH00",711090851,593297435,685955866,574379693,660297962,492880678,496957326,316813828,220255708,168268485,196289577.00,27396568.00,2435833.00,165991965.00
"INAC","HGV00",15189091,12862568,18743641,13504948,46683870,40827871,64860149,64447283,63803749,53832299,47546846.00,5420004.00,5420004.00,47822067.00
"INAC","ISC00",369720885,318766155,425192874,375954708,319426789,291651755,292875027,268654893,310899391,286377646,234773957.00,225783164.00,214745886.00,224097504.00
"IPC","ASN00",11901051,11800606,12145055,11423618,12610061,12031143,12087188,11963491,11873204,11216142,11619666.00,11619666.00,11619666.00,11406623.00
"IPC","ASO00",9504645,9179989,9978938,9961251,9170954,9152469,8610896,8482910,11309919,9459683,8619753.00,8619753.00,8619753.00,8694136.00
"IPC","ASR00",3363340,3500946,3222158,2698747,2573482,2508474,2319763,2296196,2930365,2679125,2869950.00,2869950.00,2869950.00,2401395.00
"IPC","AST00",4898215,4028548,3970016,2968987,3202156,3040117,3479064,2942391,3805990,3365828,3234249.00,3234249.00,3234249.00,3381673.00
"IPC","ISC01",6209244,6208756,11148599,11027772,7849119,7990102,7032545,6979326,6766209,6499633,6620626.00,6620626.00,6620626.00,7324253.00
"IPC","ISC02",3339470,3112691,5363860,5343842,2739376,2618339,2572086,2355337,3378288,3463577,2574732.00,2574732.00,2574732.00,2596950.00
"IRB","AFR00",11895533,11078782,13430414,12366193,12456011,11316805,11783319,11465244,10912584,11458776,11683941.00,11731941.00,11834941.00,11100604.00
"IRB","AFT00",17823637,14521651,17659977,12516921,16010506,14863181,16321443,15889895,15861686,15660007,16332231.00,16332231.00,16332231.00,15718195.00
"IRB","AFU00",82550525,69780481,58109527,55762477,53378946,49291278,45608416,41540255,46118843,42277011,47194694.00,46057694.00,46057694.00,42860946.00
"IRB","HAC00",4783439,3818100,7553871,7504740,11763732,10865389,13669953,11907468,16743474,13519013,21991696.00,22855094.00,22855094.00,16219236.00
"IRB","ISC00",35305756,35059429,34797513,33769989,35078824,33413380,31919735,31594311,32967429,32584660,29881308.00,29855878.00,29855878.00,28603685.00
"ISC","AOT00",48325110,47581822,40864257,37793377,".",".",".",".",".",".",".",".",".","."
"ISC","AOU00",50817979,49730971,48880925,47114308,".",".",".",".",".",".",".",".",".","."
"ISC","AOW00",50954627,44123977,38182192,37132066,32900839,31303194,35237330,33947200,34708383,32364461,35618706.00,33118707.00,33150706.00,34316964.00
"ISC","AOX00",430698114,349193500,385360732,330580008,266607114,220998346,321148941,244450613,332439783,280593734,359430758.00,465079093.00,361878649.00,326898851.00
"ISC","AOY00",4772805,4606545,4816683,4665036,".",".",".",".",".",".",".",".",".","."
"ISC","AOZ00",79622363,76756979,84853872,72366822,85133251,83737927,171973037,156421933,162988503,146688613,213105186.00,316782514.00,158117638.00,142379294.00
"ISC","APA00",206709596,30275871,220871835,47207056,226588256,50785898,220925261,42207492,222976003,50124282,73477129.00,63161186.00,52830225.00,66943246.00
"ISC","APD00",418233156,415896394,293158433,210195969,314097657,313406525,319761314,311415582,1198477652,1197358867,1531761184.00,826994964.00,532602914.00,342834370.00
"ISC","APG00",127053837,126216305,105974606,104364290,125254348,123580592,119473498,117906335,106179081,98326709,98327554.00,92940422.00,92972422.00,106285898.00
"ISC","APJ00",82888037,81516335,84894338,85577041,89667650,91428836,84895899,85392842,86016566,86209989,84501977.00,85927003.00,85174073.00,97653629.00
"ISC","CRA00",".",".",".",".",49501679,48628660,47656936,46107684,41935930,41153360,41903401.00,41903401.00,41903401.00,46563535.00
"ISC","ISC00",150583600,131684019,137903851,138479491,136734260,133544518,137436860,131984816,172036346,154093770,152780251.00,152337683.00,151517666.00,133198881.00
"JCCB","BJE00",182933000,109054244,274566409,189218871,432832159,244957619,426801000,247328089,367525000,284286532,331777000.00,331777000.00,331777000.00,"."
"JUS","ASA00",1299607,1178161,1318472,1195444,1318823,1080164,1320615,1115554,1338475,1008746,1312105.00,1312105.00,1312105.00,1324227.00
"JUS","ASB00",434451047,424204889,397222148,382305605,395616601,383759270,399106482,384331448,420670448,409973313,385118141.00,386176639.00,384478149.00,400491696.00
"JUS","ASE00",202477743,191992179,204778998,191292725,206826028,208762406,207091862,194449097,207124393,198793560,195920770.00,191669494.00,191669494.00,199619747.00
"JUS","ISC00",130574126,116607619,162330023,162247090,126792857,115249778,103816747,103323708,95250612,80043827,73808640.00,73228692.00,73220582.00,77424860.00
"LAC","BHB00",4950812,1442234,3074431,2694577,3618967,3423217,2784158,2636780,3435702,3698370,3315929.00,3315929.00,3315929.00,2399766.00
"LAC","BHC00",17073230,13834998,15352127,15112669,13053961,12908868,13960086,13525770,11371405,10919085,9649880.00,9649880.00,9649880.00,13095854.00
"LAC","BHD00",39499999,35649520,31609536,31959088,30688191,33220247,28687056,25694772,34071149,32694622,30934977.00,30975977.00,31075977.00,27024039.00
"LAC","ISC00",28915322,29685818,24602230,24511284,23943203,25067714,30643450,30891178,28275495,27630132,27541464.00,27500464.00,27400464.00,27367254.00
"LAC","LJN00",3138850,6432497,8413918,8506781,9138751,9392789,5186416,4797139,4695177,3788193,3307948.00,3307948.00,3307948.00,5363344.00
"LAC","LJO00",35141723,31878165,23248034,18019293,24914872,18580815,22961090,13905973,41001527,35770236,40469017.00,36782528.00,70966606.00,41608310.00
