"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"CH",4,37736000,5234000,5234000,33668000,3865000,3865000
"CH",5,6980000,876000,876000,5569000,740000,740000
"CH",6,2220000,164000,164000,1282000,225000,225000
"CH",7,5304000,994000,994000,4905000,278000,278000
"CH",9,3689000,170000,170000,2370000,52000,52000
"CH",10,1217454000,266985000,266985000,1181321000,269434000,269434000
"CH",12,2707000,1321000,1321000,2009000,642000,642000
"CH",20,-12607000,-767000,-767000,-11553000,-1136000,-1136000
"CHRC",1,19161896,4744543,4744543,19530423,4788023,4788023
"CHRC",2,900000,120108,120108,877985,152990,152990
"CHRC",3,200000,40592,40592,173309,28784,28784
"CHRC",4,1831224,210931,210931,1851705,156257,156257
"CHRC",5,300000,66012,66012,278755,90479,90479
"CHRC",6,100000,18090,18090,111024,12367,12367
"CHRC",7,130000,19840,19840,135378,11825,11825
"CHRC",8,0,1500,1500,0,0,0
"CHRC",9,400000,6133,6133,356671,11240,11240
"CHRC",12,0,0,0,21300,0,0
"CHRC",20,-1200000,-463152,-463152,-1187378,-297680,-297680
"CI",1,574348000,133612000,133612000,528358000,129223000,129223000
"CI",2,57675000,12257000,12257000,74935000,10762000,10762000
"CI",3,4500000,800000,800000,7989000,1237000,1237000
"CI",4,445976000,72268000,72268000,499111000,66745000,66745000
"CI",5,12647000,9782000,9782000,17897000,10263000,10263000
"CI",6,6794000,125000,125000,6669000,274000,274000
"CI",7,51872000,8670000,8670000,71039000,8567000,8567000
"CI",9,28602000,222000,222000,38400000,615000,615000
"CI",10,1231051000,357024000,357024000,1270833000,304761000,304761000
"CI",12,4042000,5240000,5240000,3379000,5584000,5584000
"CI",20,-619265000,-164717000,-164717000,-676156000,-167426000,-167426000
"CICS",1,2877953,611818,611818,2915264,508729,508729
"CICS",2,929000,70873,70873,920000,128983,128983
"CICS",3,45300,0,0,13500,316,316
"CICS",4,1505900,64628,64628,1408700,184129,184129
"CICS",5,366000,21691,21691,530000,17924,17924
"CICS",6,29000,43,43,22500,1158,1158
"CICS",7,31000,11093,11093,34800,3778,3778
"CICS",9,140000,0,0,130000,0,0
"CICS",12,506,72185,72185,206,35558,35558
"CIHR",1,42880000,11457000,11457000,40694000,10853000,10853000
"CIHR",2,3965000,1362000,1362000,3736000,432000,432000
"CIHR",3,491000,87000,87000,810000,64000,64000
"CIHR",4,8851000,522000,522000,5795000,422000,422000
"CIHR",5,1135000,355000,355000,1636000,182000,182000
"CIHR",6,52000,0,0,53000,3000,3000
"CIHR",7,129000,3000,3000,158000,6000,6000
"CIHR",9,949000,238000,238000,399000,267000,267000
"CIHR",10,1027149000,179275000,179275000,972339000,170838000,170838000
"CIHR",12,0,138000,138000,0,19000,19000
"CNEDA",1,10182000,2761000,2761000,10589000,2591000,2591000
"CNEDA",2,600000,136000,136000,890000,76000,76000
"CNEDA",3,80000,2000,2000,44000,0,0
"CNEDA",4,2600000,252000,252000,2432000,190000,190000
"CNEDA",5,1000000,5000,5000,896000,3000,3000
"CNEDA",6,40000,36000,36000,255000,0,0
"CNEDA",7,60000,4000,4000,61000,4000,4000
"CNEDA",8,0,0,0,14000,0,0
"CNEDA",9,10000,129000,129000,0,0,0
"CNEDA",10,35500000,1731000,1731000,40187000,653000,653000
"CNEDA",12,9000,1000,1000,0,0,0
"CPCC",1,4650293,1017543,1017543,4238802,753202,753202
"CPCC",2,2273017,126666,126666,1981970,120707,120707
"CPCC",3,509567,13285,13285,330328,3018,3018
"CPCC",4,1672362,341731,341731,1651642,207668,207668
"CPCC",5,2231380,4745,4745,550547,33040,33040
"CPCC",6,7475,576,576,55055,119,119
"CPCC",7,156981,7818,7818,440438,7159,7159
"CPCC",9,109638,4277,4277,495492,1443,1443
"CPCC",10,9983518,206010,206010,9731000,1076000,1076000
"CPCC",12,0,-3474,-3474,0,0,0
"CRTC",1,47500000,13857000,13857000,48046000,12020000,12020000
"CRTC",2,1537000,256000,256000,1541000,397000,397000
"CRTC",3,1051000,246000,246000,1054000,252000,252000
"CRTC",4,6210000,639000,639000,6227000,817000,817000
"CRTC",5,744000,323000,323000,745000,408000,408000
"CRTC",6,338000,53000,53000,339000,19000,19000
"CRTC",7,317000,29000,29000,318000,55000,55000
"CRTC",9,1534000,16000,16000,1539000,81000,81000
"CRTC",12,0,2000,2000,0,0,0
"CRTC",20,-47745000,-46291000,-46291000,-47685000,-46011000,-46011000
"CSA",1,67470000,17972000,17972000,68389000,16874000,16874000
"CSA",2,4497000,754000,754000,4249000,629000,629000
"CSA",3,3044000,515000,515000,2775000,455000,455000
"CSA",4,121464000,8408000,8408000,138185000,8316000,8316000
"CSA",5,2950000,369000,369000,3361000,395000,395000
"CSA",6,3137000,660000,660000,7675000,343000,343000
"CSA",7,1851000,303000,303000,1817000,364000,364000
"CSA",8,445000,0,0,595000,0,0
"CSA",9,81096000,28559000,28559000,155220000,23553000,23553000
"CSA",10,60966000,7913000,7913000,45748000,7444000,7444000
"CSA",12,6918000,35000,35000,4402000,90000,90000
"CSC",1,1740183000,405987000,405987000,1759208000,405032000,405032000
"CSC",2,25465000,4196000,4196000,18915000,3786000,3786000
"CSC",3,610000,64000,64000,545000,34000,34000
"CSC",4,298072000,43040000,43040000,259200000,44126000,44126000
"CSC",5,16726000,2317000,2317000,16059000,3528000,3528000
"CSC",6,23460000,2332000,2332000,20214000,2372000,2372000
"CSC",7,129360000,29578000,29578000,123073000,20194000,20194000
"CSC",8,132198000,4760000,4760000,135170000,7631000,7631000
"CSC",9,72702000,3129000,3129000,46694000,2483000,2483000
"CSC",10,120000,30000,30000,4820000,675000,675000
"CSC",12,82763000,7125000,7125000,72151000,6951000,6951000
"CSC",20,-120292000,-31336000,-31336000,-92605000,-15371000,-15371000
"CTA",1,23577754,5630244,5630244,23860812,5690563,5690563
"CTA",2,416690,81493,81493,548784,84979,84979
"CTA",3,338462,53685,53685,410582,32144,32144
"CTA",4,2034137,112492,112492,1808804,168927,168927
"CTA",5,448517,44638,44638,577315,56186,56186
"CTA",6,68674,26012,26012,56087,1205,1205
"CTA",7,126009,20634,20634,189231,15553,15553
"CTA",8,3522137,0,0,0,0,0
"CTA",9,381786,2453,2453,340472,9567,9567
"CTA",12,0,0,0,0,0,0
"CTAIB",1,23688000,6067000,6067000,23995000,6257000,6257000
"CTAIB",2,1630000,234000,234000,1521000,277000,277000
"CTAIB",3,148000,45000,45000,138000,20000,20000
"CTAIB",4,2519000,195000,195000,2362000,249000,249000
"CTAIB",5,453000,129000,129000,394000,111000,111000
"CTAIB",6,413000,6000,6000,412000,55000,55000
"CTAIB",7,209000,65000,65000,230000,33000,33000
"CTAIB",8,63000,0,0,120000,4000,4000
"CTAIB",9,310000,26000,26000,642000,15000,15000
"EA",1,1109253000,280859000,280859000,1037801000,266589000,266589000
"EA",2,124272000,17981000,17981000,15374000,20594000,20594000
"EA",3,17003000,2008000,2008000,14003000,1167000,1167000
"EA",4,273871000,30115000,30115000,292324000,36278000,36278000
"EA",5,222422000,52618000,52618000,233308000,55617000,55617000
"EA",6,30381000,2736000,2736000,48439000,3438000,3438000
"EA",7,51130000,6794000,6794000,61496000,6383000,6383000
"EA",8,61531000,1908000,1908000,99285000,17989000,17989000
"EA",9,46844000,2046000,2046000,27354000,3393000,3393000
"EA",10,4130785000,546851000,546851000,3774927000,687265000,687265000
"EA",12,86729000,1912000,1912000,127852000,2412000,2412000
"EA",20,-45925000,-4111000,-4111000,-48225000,-16702000,-16702000
"EC",1,629299000,163887000,163887000,622106000,150623000,150623000
"EC",2,33765000,5992000,5992000,36650000,5150000,5150000
"EC",3,3122000,567000,567000,4198000,418000,418000
"EC",4,157055000,17731000,17731000,145448000,17799000,17799000
"EC",5,29508000,10856000,10856000,26587000,10560000,10560000
"EC",6,15196000,1885000,1885000,17855000,1272000,1272000
"EC",7,44106000,5490000,5490000,43742000,6372000,6372000
"EC",8,937000,23000,23000,691000,1000,1000
"EC",9,43007000,1599000,1599000,42708000,1399000,1399000
"EC",10,130626000,13709000,13709000,131734000,30056000,30056000
"EC",12,4306000,3151000,3151000,3553000,863000,863000
"EC",20,-79531000,-13566000,-13566000,-88596000,-12625000,-12625000
"ERC",1,721292,224421,224421,730644,252548,252548
"ERC",2,20000,4599,4599,35000,1556,1556
"ERC",3,20000,0,0,30000,0,0
"ERC",4,138218,20538,20538,695218,36264,36264
"ERC",5,4000,1298,1298,12000,534,534
"ERC",6,2000,0,0,2000,0,0
"ERC",7,25000,1217,1217,25000,3469,3469
"ERC",9,15000,248,248,25000,0,0
