"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"LAC",3,700000,59491,59491,147000,63898,63898
"LAC",4,13550298,1195892,1195892,25308969,900787,900787
"LAC",5,5315305,956020,956020,2485256,1039875,1039875
"LAC",6,11505260,2768475,2768475,11540403,1270958,1270958
"LAC",7,648312,260475,260475,1143974,173448,173448
"LAC",9,435250,42026,42026,398984,28233,28233
"LAC",10,1536000,1037964,1037964,1536000,1194315,1194315
"LAC",12,5888145,449219,449219,5522339,567519,567519
"LAC",20,-550000,-41382,-41382,-550000,-28681,-28681
"MPCC",1,3171000,718000,718000,3187000,645000,645000
"MPCC",2,107000,23000,23000,121000,31000,31000
"MPCC",3,99000,5000,5000,69000,14000,14000
"MPCC",4,698000,104000,104000,865000,60000,60000
"MPCC",5,420000,2000,2000,372000,60000,60000
"MPCC",6,3000,0,0,1000,0,0
"MPCC",7,55000,11000,11000,51000,7000,7000
"MPCC",8,0,0,0,0,0,0
"MPCC",9,85000,2000,2000,19000,1000,1000
"MPCC",12,0,-1000,-1000,0,0,0
"NBC",1,2529000,1038000,1038000,2562000,991000,991000
"NBC",2,140000,11000,11000,140000,17000,17000
"NBC",3,317000,50000,50000,300000,44000,44000
"NBC",4,740000,106000,106000,740000,125000,125000
"NBC",5,100000,11000,11000,100000,13000,13000
"NBC",6,936000,60000,60000,936000,75000,75000
"NBC",7,890000,131000,131000,890000,168000,168000
"NBC",8,1200000,6000,6000,1185000,80000,80000
"NBC",9,246000,3000,3000,380000,5000,5000
"NBC",10,0,0,0,0,0,0
"NBC",12,2616000,0,0,1455000,0,0
"ND",1,8772177000,2653502000,2653502000,8942591000,2133640000,2133640000
"ND",2,798792000,149684000,149684000,767561000,228544000,228544000
"ND",3,17260000,2875000,2875000,16605000,2691000,2691000
"ND",4,3384323000,563263000,563263000,3261541000,508649000,508649000
"ND",5,374536000,55019000,55019000,365928000,62290000,62290000
"ND",6,1380782000,108199000,108199000,1259813000,148565000,148565000
"ND",7,1093181000,174791000,174791000,1039413000,151314000,151314000
"ND",8,509837000,49784000,49784000,643860000,41127000,41127000
"ND",9,2296999000,398660000,398660000,2451509000,295570000,295570000
"ND",10,167321000,4751000,4751000,167919000,4196000,4196000
"ND",12,236589000,75289000,75289000,230482000,47150000,47150000
"ND",20,-345702000,-74144000,-74144000,-497373000,-55928000,-55928000
"NEB",1,59685000,3384000,3384000,60265000,15839000,15839000
"NEB",2,4442000,248000,248000,5228000,696000,696000
"NEB",3,506000,19000,19000,498000,88000,88000
"NEB",4,12337000,885000,885000,15684000,1514000,1514000
"NEB",5,809000,5000,5000,1494000,55000,55000
"NEB",6,607000,78000,78000,996000,331000,331000
"NEB",7,506000,55000,55000,498000,49000,49000
"NEB",8,0,0,0,0,27000,27000
"NEB",9,1416000,520000,520000,498000,43000,43000
"NEB",10,5364000,160000,160000,4264000,130000,130000
"NEB",12,0,4000,4000,0,9000,9000
"NFB",1,37194795,9116061,9116061,37044583,9063352,9063352
"NFB",2,4520922,520716,520716,3120808,726940,726940
"NFB",3,613067,68856,68856,523430,121988,121988
"NFB",4,13700141,2250114,2250114,13225013,1861824,1861824
"NFB",5,6513836,1439216,1439216,7886419,1698538,1698538
"NFB",6,2064773,806096,806096,1313057,887083,887083
"NFB",7,1857607,126822,126822,1097695,83322,83322
"NFB",8,12000000,0,0,2000000,0,0
"NFB",9,3314127,236344,236344,3315945,281936,281936
"NFB",12,1048523,87574,87574,820316,220883,220883
"NFB",20,-8452446,-1459427,-1459427,-8452446,-515713,-515713
"NPA",1,219830,13737,13737,345740,18943,18943
"NPA",2,5000,0,0,4000,0,0
"NPA",3,500,0,0,750,0,0
"NPA",4,248000,657,657,379095,5114,5114
"NPA",5,10000,0,0,10000,2368,2368
"NPA",6,500,0,0,250,0,0
"NPA",7,500,0,0,2000,0,0
"NPA",9,500,0,0,0,0,0
"NPA",10,10000,0,0,10000,0,0
"NPA",12,0,0,0,0,0,0
"NPB",1,41167000,11109000,11109000,41694000,12309000,12309000
"NPB",2,3960000,407000,407000,3960000,476000,476000
"NPB",3,374000,0,0,374000,14000,14000
"NPB",4,5362000,212000,212000,5362000,601000,601000
"NPB",5,198000,21000,21000,198000,40000,40000
"NPB",6,142000,50000,50000,142000,16000,16000
"NPB",7,424000,26000,26000,424000,16000,16000
"NPB",9,265000,5000,5000,265000,5000,5000
"NPB",12,17000,110000,110000,16000,70000,70000
"NPB",20,-5645000,-1019000,-1019000,-5645000,-691000,-691000
"NR",1,395879000,110721000,110721000,401370000,102120000,102120000
"NR",2,13028000,2805000,2805000,13660000,2427000,2427000
"NR",3,4980000,701000,701000,9126000,554000,554000
"NR",4,99119000,18563000,18563000,113436000,18665000,18665000
"NR",5,33166000,2084000,2084000,32969000,4115000,4115000
"NR",6,5333000,1250000,1250000,4059000,1993000,1993000
"NR",7,36987000,1955000,1955000,33374000,2460000,2460000
"NR",8,2121000,2000,2000,38058000,0,0
"NR",9,53669000,946000,946000,46532000,1131000,1131000
"NR",10,741868000,68048000,68048000,1027002000,65837000,65837000
"NR",12,965000,183000,183000,5698000,412000,412000
"NR",20,-38465000,-4815000,-4815000,-38870000,-4281000,-4281000
"NRC",1,461397000,99035000,99035000,465507000,98142000,98142000
"NRC",2,24971000,2794000,2794000,23846000,2957000,2957000
"NRC",3,2747000,364000,364000,2730000,330000,330000
"NRC",4,74863000,7452000,7452000,79209000,9805000,9805000
"NRC",5,12198000,2471000,2471000,9704000,2106000,2106000
"NRC",6,39073000,2323000,2323000,31442000,4167000,4167000
"NRC",7,67213000,5187000,5187000,64656000,4829000,4829000
"NRC",8,57117000,3979000,3979000,101980000,3323000,3323000
"NRC",9,82750000,4930000,4930000,85958000,7476000,7476000
"NRC",10,363336000,77966000,77966000,369875000,50697000,50697000
"NRC",12,19418000,2376000,2376000,22601000,2277000,2277000
"NSERC",1,35367000,9762000,9762000,35554000,9643000,9643000
"NSERC",2,5035000,462000,462000,4357000,372000,372000
"NSERC",3,1669000,366000,366000,1171000,190000,190000
"NSERC",4,5105000,399000,399000,5614000,671000,671000
"NSERC",5,1494000,402000,402000,1530000,507000,507000
"NSERC",6,220000,33000,33000,208000,42000,42000
"NSERC",7,263000,46000,46000,191000,47000,47000
"NSERC",9,905000,24000,24000,1076000,27000,27000
"NSERC",10,1156972000,311615000,311615000,1078435000,305319000,305319000
"OAG",1,69169000,17245000,17245000,69943000,16629000,16629000
"OAG",2,3296000,1092000,1092000,3208000,983000,983000
"OAG",3,532000,160000,160000,483000,125000,125000
"OAG",4,5038000,1280000,1280000,4969000,1442000,1442000
"OAG",5,1034000,722000,722000,1066000,830000,830000
"OAG",6,242000,4000,4000,217000,34000,34000
"OAG",7,268000,34000,34000,229000,36000,36000
"OAG",9,752000,26000,26000,918000,17000,17000
"OAG",12,19000,2000,2000,11000,13000,13000
"OAG",20,-2660000,-106000,-106000,-2510000,-412000,-412000
"OCI",1,3782013,936204,936204,3831045,947552,947552
"OCI",2,289700,41713,41713,289700,55130,55130
"OCI",3,27900,1421,1421,27900,1014,1014
"OCI",4,434003,59584,59584,434003,55557,55557
"OCI",5,16000,3488,3488,16000,3362,3362
"OCI",6,59888,0,0,59888,0,0
"OCI",7,6000,2631,2631,6000,3843,3843
"OCI",8,0,0,0,0,0,0
"OCI",9,0,168,168,0,524,524
"OCI",10,0,0,0,0,0,0
"OCI",12,0,8001,8001,0,0,0
"OCOL",1,15730000,4061000,4061000,15892000,3994000,3994000
"OCOL",2,815000,70000,70000,764000,115000,115000
"OCOL",3,207000,36000,36000,332000,30000,30000
"OCOL",4,2735000,210000,210000,3020000,392000,392000
"OCOL",5,528000,86000,86000,298000,103000,103000
"OCOL",6,241000,22000,22000,90000,33000,33000
"OCOL",7,154000,18000,18000,121000,9000,9000
"OCOL",9,320000,1000,1000,373000,6000,6000
"OCOL",12,0,0,0,1000,26000,26000
"OCSEC",1,1246000,299000,299000,1263000,317000,317000
"OCSEC",2,31000,8000,8000,35000,6000,6000
"OCSEC",3,65000,19000,19000,25000,4000,4000
"OCSEC",4,392000,50000,50000,449000,48000,48000
"OCSEC",5,318000,0,0,315000,76000,76000
"OCSEC",6,3000,0,0,3000,0,0
"OCSEC",7,29000,2000,2000,20000,5000,5000
"OCSEC",8,0,0,0,0,0,0
"OCSEC",9,25000,0,0,15000,0,0
"OCSEC",12,0,0,0,0,0,0
"ODPP",1,134739000,29382000,29382000,136064000,40137000,40137000
"ODPP",2,6983000,1025000,1025000,6363000,926000,926000
"ODPP",3,511000,94000,94000,547000,76000,76000
"ODPP",4,53408000,12360000,12360000,56135000,7627000,7627000
"ODPP",5,2127000,298000,298000,1464000,372000,372000
"ODPP",6,1685000,50000,50000,1782000,58000,58000
"ODPP",7,1392000,297000,297000,1669000,162000,162000
"ODPP",9,632000,62000,62000,889000,84000,84000
"ODPP",12,2692000,853000,853000,3494000,1233000,1233000
"ODPP",20,-22742000,-1683000,-1683000,-22742000,-3175000,-3175000
"OICC",1,45084000,9405000,9405000,45553000,9423000,9423000
"OICC",2,1160000,174000,174000,851000,105000,105000
"OICC",3,555000,126000,126000,433000,87000,87000
"OICC",4,601340000,2925000,2925000,106839000,2952000,2952000
"OICC",5,3499000,57000,57000,2701000,390000,390000
"OICC",6,1997000,318000,318000,115000,270000,270000
"OICC",7,402000,18000,18000,252000,22000,22000
"OICC",8,0,0,0,42178000,42000,42000
"OICC",9,2564000,5000,5000,1161000,173000,173000
"OICC",10,6354896000,79327000,79327000,5068385000,157608000,157608000
"OICC",12,166000,48000,48000,204000,-4000,-4000
"OPSIC",1,3563406,817866,817866,3584499,730168,730168
"OPSIC",2,122100,20070,20070,98000,17814,17814
"OPSIC",3,131185,7971,7971,61500,2766,2766
"OPSIC",4,1243000,164847,164847,1477475,142227,142227
"OPSIC",5,266230,11127,11127,162000,44900,44900
"OPSIC",6,7760,159,159,5000,2069,2069
"OPSIC",7,15700,7784,7784,14000,2147,2147
"OPSIC",9,52000,8230,8230,20000,0,0
"OPSIC",10,40000,5310,5310,40000,758,758
"OPSIC",12,0,0,0,0,0,0
"ORL",1,2935000,680000,680000,2973000,709000,709000
"ORL",2,101000,6000,6000,69000,12000,12000
"ORL",3,69000,17000,17000,83000,13000,13000
"ORL",4,1261000,211000,211000,1251000,167000,167000
"ORL",5,28000,15000,15000,37000,16000,16000
"ORL",6,8000,0,0,5000,1000,1000
"ORL",7,13000,2000,2000,18000,2000,2000
"ORL",9,10000,1000,1000,27000,3000,3000
"ORL",12,0,0,0,0,0,0
"PCA",1,376476000,104048000,104048000,375920000,95602000,95602000
"PCA",2,37746000,4457000,4457000,24044000,3603000,3603000
"PCA",3,16830000,1323000,1323000,11469000,1240000,1240000
"PCA",4,372137000,21947000,21947000,261011000,20428000,20428000
"PCA",5,34075000,3733000,3733000,39080000,2884000,2884000
"PCA",6,42698000,5718000,5718000,28402000,2409000,2409000
"PCA",7,93055000,7242000,7242000,80305000,6281000,6281000
"PCA",8,604696000,39081000,39081000,495850000,30762000,30762000
"PCA",9,62704000,4252000,4252000,61042000,5188000,5188000
"PCA",10,23244000,407000,407000,23658000,449000,449000
"PCA",12,39566000,2942000,2942000,16013000,6412000,6412000
"PCO",1,115784000,24285000,24285000,101876000,21738000,21738000
"PCO",2,11626000,857000,857000,3891000,677000,677000
"PCO",3,7148000,403000,403000,4233000,374000,374000
"PCO",4,26949000,2846000,2846000,24792000,2683000,2683000
"PCO",5,3210000,527000,527000,1239000,717000,717000
"PCO",6,5257000,31000,31000,1000000,24000,24000
"PCO",7,583000,73000,73000,689000,77000,77000
"PCO",9,4302000,516000,516000,4832000,212000,212000
"PCO",10,4500000,0,0,0,0,0
"PCO",12,44000,480000,480000,-79000,534000,534000
"PCO",20,-75000,0,0,-75000,0,0
"PHAC",1,216398000,45054000,45054000,216988000,46344000,46344000
"PHAC",2,6743000,1111000,1111000,7089000,1526000,1526000
"PHAC",3,14329000,170000,170000,13266000,481000,481000
"PHAC",4,98035000,3159000,3159000,103279000,8029000,8029000
"PHAC",5,2548000,731000,731000,3489000,920000,920000
"PHAC",6,3174000,660000,660000,3497000,672000,672000
"PHAC",7,16322000,12763000,12763000,27073000,1918000,1918000
"PHAC",8,0,0,0,0,0,0
"PHAC",9,12115000,549000,549000,9068000,845000,845000
"PHAC",10,216327000,90209000,90209000,206779000,93594000,93594000
"PHAC",12,1919000,685000,685000,1451000,56000,56000
"PHAC",20,-524000,3000,3000,-524000,-177000,-177000
"PMPRB",1,6896000,1497000,1497000,6963000,1513000,1513000
"PMPRB",2,215000,35000,35000,167000,29000,29000
"PMPRB",3,450000,53000,53000,387000,45000,45000
"PMPRB",4,3068000,253000,253000,3200000,130000,130000
"PMPRB",5,95000,54000,54000,86000,55000,55000
"PMPRB",6,30000,0,0,27000,0,0
"PMPRB",7,35000,2000,2000,60000,3000,3000
"PMPRB",8,0,0,0,0,0,0
"PMPRB",9,65000,52000,52000,65000,0,0
"PMPRB",10,0,0,0,0,0,0
"PMPRB",12,12000,19000,19000,10000,-1000,-1000
"PSC",1,83814000,16959000,16959000,84785000,18164000,18164000
"PSC",2,551000,103000,103000,489000,132000,132000
"PSC",3,215000,30000,30000,157000,31000,31000
"PSC",4,9929000,689000,689000,9976000,1715000,1715000
"PSC",5,2307000,81000,81000,1535000,96000,96000
"PSC",6,220000,12000,12000,32000,5000,5000
"PSC",7,137000,23000,23000,128000,55000,55000
"PSC",9,464000,134000,134000,702000,140000,140000
"PSC",12,126000,630000,630000,51000,8000,8000
"PSC",20,-14252000,-470000,-470000,-14252000,-653000,-653000
"PSEP",1,110263117,27627242,27627242,108609936,27289444,27289444
"PSEP",2,3625205,481736,481736,3539090,478794,478794
"PSEP",3,1834867,226218,226218,6288012,293271,293271
"PSEP",4,19441215,1846099,1846099,19024219,3310175,3310175
"PSEP",5,4344385,521680,521680,3806779,677681,677681
"PSEP",6,692756,32251,32251,412822,37179,37179
"PSEP",7,1292354,75861,75861,934225,77903,77903
"PSEP",8,0,0,0,1959830,0,0
"PSEP",9,3654953,517260,517260,2215694,142650,142650
"PSEP",10,914540358,65243829,65243829,952867801,337507534,337507534
"PSEP",12,100514,440085,440085,0,-597,-597
"PSEP",20,-2700000,-1021250,-1021250,-2700000,-1121902,-1121902
"RCMP",1,3194707000,912505000,912505000,3229552000,748997000,748997000
"RCMP",2,173265000,62336000,62336000,165126000,56283000,56283000
"RCMP",3,3457000,356000,356000,2956000,399000,399000
"RCMP",4,402982000,82957000,82957000,420497000,65620000,65620000
"RCMP",5,90538000,20032000,20032000,90687000,20626000,20626000
"RCMP",6,91963000,12455000,12455000,94579000,10381000,10381000
"RCMP",7,121479000,28038000,28038000,121447000,26851000,26851000
"RCMP",8,88262000,4175000,4175000,67707000,8790000,8790000
"RCMP",9,265735000,22914000,22914000,207022000,20690000,20690000
"RCMP",10,233574000,54160000,54160000,205973000,50033000,50033000
"RCMP",12,157876000,21642000,21642000,93233000,1679000,1679000
"RCMP",20,-1934332000,-320443000,-320443000,-1933231000,-489585000,-489585000
"SC",1,482636000,125928000,125928000,537192000,139599000,139599000
"SC",2,16223000,3440000,3440000,85741000,23159000,23159000
"SC",3,3482000,880000,880000,12967000,3717000,3717000
"SC",4,31750000,3241000,3241000,195407000,78418000,78418000
"SC",5,12302000,3429000,3429000,19890000,4322000,4322000
"SC",6,2034000,54000,54000,5347000,143000,143000
"SC",7,2808000,259000,259000,5978000,495000,495000
"SC",8,0,2000,2000,0,0,0
"SC",9,8170000,2061000,2061000,8718000,1025000,1025000
"SC",10,100000,0,0,200000,100000,100000
"SC",12,31559000,121000,121000,51000,5000,5000
"SC",20,-120000000,-17218000,-17218000,-120000000,-12573000,-12573000
"SCC",1,23867193,5722606,5722606,23675602,5494563,5494563
"SCC",2,1716055,249545,249545,1558578,142865,142865
"SCC",3,135666,215,215,154316,524,524
"SCC",4,3401775,415097,415097,3724804,377996,377996
"SCC",5,1092231,137360,137360,976142,146148,146148
"SCC",6,279963,22258,22258,301309,9033,9033
"SCC",7,2191970,225204,225204,1999921,209625,209625
"SCC",9,1996386,58071,58071,1736409,33931,33931
"SCC",12,201683,2274,2274,103401,27812,27812
"SHARE",1,601992000,133955000,133955000,612509000,132916000,132916000
"SHARE",2,501786000,70234000,70234000,444176000,69137000,69137000
"SHARE",3,692000,118000,118000,542000,209000,209000
"SHARE",4,225395000,32589000,32589000,227424000,24204000,24204000
"SHARE",5,323767000,122461000,122461000,290945000,147056000,147056000
"SHARE",6,96992000,31452000,31452000,144362000,20355000,20355000
"SHARE",7,6684000,690000,690000,5525000,751000,751000
"SHARE",8,3782000,0,0,0,0,0
"SHARE",9,369705000,29430000,29430000,498084000,16438000,16438000
"SHARE",12,1844000,3236000,3236000,5464000,2650000,2650000
"SHARE",20,-407094000,-46758000,-46758000,-407094000,-22233000,-22233000
"SIRC",1,4015000,722000,722000,4012000,579000,579000
"SIRC",2,213000,55000,55000,236000,41000,41000
"SIRC",3,47000,1000,1000,47000,3000,3000
"SIRC",4,820000,143000,143000,630000,23000,23000
"SIRC",5,100000,14000,14000,42000,8000,8000
"SIRC",6,4000,0,0,2000,0,0
"SIRC",7,26000,6000,6000,78000,8000,8000
"SIRC",8,97000,0,0,0,0,0
"SIRC",9,1700000,5000,5000,2100000,21000,21000
"SIRC",12,0,-4000,-4000,0,4000,4000
"SSHRC",1,18959000,5193000,5193000,18764000,5262000,5262000
"SSHRC",2,1474000,135000,135000,1193000,171000,171000
"SSHRC",3,1297000,150000,150000,1199000,40000,40000
"SSHRC",4,3243000,298000,298000,3764000,380000,380000
"SSHRC",5,720000,201000,201000,1290000,233000,233000
"SSHRC",6,135000,19000,19000,96000,21000,21000
"SSHRC",7,101000,32000,32000,109000,27000,27000
"SSHRC",9,1500000,16000,16000,579000,9000,9000
"SSHRC",10,751815000,182148000,182148000,708996000,81743000,81743000
"SWC",1,13173000,2563000,2563000,8890000,2479000,2479000
"SWC",2,936000,103000,103000,588000,100000,100000
"SWC",3,323000,36000,36000,123000,7000,7000
"SWC",4,2103000,187000,187000,1148000,150000,150000
"SWC",5,55000,46000,46000,56000,34000,34000
"SWC",6,492000,0,0,62000,0,0
"SWC",7,124000,3000,3000,62000,7000,7000
"SWC",9,190000,66000,66000,176000,103000,103000
"SWC",10,20580000,6803000,6803000,20630000,2055000,2055000
"SWC",12,1000,0,0,1000,0,0
"TBC",1,3557827685,689786255,689786255,3462453905,522851221,522851221
"TBC",2,1412763,256764,256764,1915895,306445,306445
"TBC",3,235642,73050,73050,363980,61309,61309
"TBC",4,75546702,14474655,14474655,89553399,14722393,14722393
"TBC",5,2242431,154609,154609,2535535,220421,220421
"TBC",6,2642973,4156,4156,1230818,37590,37590
"TBC",7,581379,53490,53490,1457617,50664,50664
"TBC",9,6257557,729220,729220,3803533,635979,635979
"TBC",10,981690,351297,351297,500000,1301,1301
"TBC",12,624888,1898218,1898218,2448746,1820220,1820220
"TBC",20,-633050470,-111263193,-111263193,-500909143,-98605858,-98605858
"TC",1,532993000,108811000,108811000,495459000,106020000,106020000
"TC",2,37490000,4763000,4763000,20559000,3407000,3407000
"TC",3,3902000,181000,181000,3112000,232000,232000
"TC",4,159934000,7930000,7930000,164424000,14692000,14692000
"TC",5,11727000,939000,939000,6271000,1116000,1116000
"TC",6,15000000,782000,782000,6080000,1371000,1371000
"TC",7,18396000,3074000,3074000,12376000,2179000,2179000
"TC",8,85356000,32000,32000,99137000,391000,391000
"TC",9,43394000,1907000,1907000,32230000,2077000,2077000
"TC",10,415306000,77048000,77048000,495940000,94390000,94390000
"TC",12,103477000,25219000,25219000,134687000,41175000,41175000
"TC",20,-68982000,-10512000,-10512000,-78429000,-12159000,-12159000
"VAC",1,227949000,58678000,58678000,241734000,77918000,77918000
"VAC",2,29768000,6594000,6594000,29073000,5742000,5742000
"VAC",3,6248000,46000,46000,5617000,63000,63000
"VAC",4,457547000,87105000,87105000,411322000,81296000,81296000
"VAC",5,8085000,1151000,1151000,7268000,1079000,1079000
"VAC",6,11025000,536000,536000,6608000,3513000,3513000
"VAC",7,213154000,49726000,49726000,191620000,43313000,43313000
"VAC",8,735000,0,0,1652000,0,0
"VAC",9,2572000,195000,195000,2313000,87000,87000
"VAC",10,3728436000,1381360000,1381360000,2725789000,720101000,720101000
"VAC",12,5880000,5100000,5100000,5286000,4660000,4660000
"VRAB",1,9888000,1785000,1785000,10017000,2358000,2358000
"VRAB",2,557000,107000,107000,556000,83000,83000
"VRAB",3,2000,0,0,2000,0,0
"VRAB",4,172000,21000,21000,172000,35000,35000
"VRAB",5,31000,3000,3000,31000,0,0
"VRAB",6,27000,2000,2000,27000,0,0
"VRAB",7,63000,14000,14000,63000,6000,6000
"VRAB",8,0,0,0,2000,0,0
"VRAB",9,51000,7000,7000,51000,0,0
"VRAB",10,0,0,0,0,0,0
"VRAB",12,0,103000,103000,0,0,0
"WDO",1,28674000,7817000,7817000,27856000,7188000,7188000
"WDO",2,1434000,176000,176000,1198000,203000,203000
"WDO",3,367000,21000,21000,319000,12000,12000
"WDO",4,6448000,1199000,1199000,6864000,1163000,1163000
"WDO",5,1039000,83000,83000,1602000,53000,53000
"WDO",6,372000,1000,1000,37000,1000,1000
"WDO",7,260000,12000,12000,224000,8000,8000
"WDO",9,903000,29000,29000,859000,7000,7000
"WDO",10,173158000,20459000,20459000,157533000,17409000,17409000
"WDO",12,0,94000,94000,0,211000,211000

