dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
CSEC,ex4,3,3,5,3,4,0.00163
CSEC,ex5,1,1,1,1,.,0.00036
CSEC,non,2099,2102,2095,2148,2296,0.9701
CTA,ex1,8,8,7,10,10,0.0372
CTA,ex2,2,2,2,2,2,0.00865
CTA,ex3,2,3,3,3,4,0.01298
CTA,non,206,228,227,208,219,0.94118
CTAIB,ex1,1,1,1,1,1,0.00476
CTAIB,ex2,5,5,5,6,7,0.02667
CTAIB,ex4,1,1,1,1,1,0.00476
CTAIB,non,196,206,208,201,201,0.96381
EA,ex1,266,275,286,291,288,0.04639
EA,ex2,117,120,134,144,131,0.02132
EA,ex3,108,104,107,111,113,0.01792
EA,ex4,30,31,23,23,22,0.00426
EA,ex5,8,5,9,10,11,0.00142
EA,non,5498,5438,5331,5482,5789,0.90869
EC,ex1,101,105,93,95,99,0.01491
EC,ex2,34,31,32,31,37,0.00499
EC,ex3,23,25,22,25,27,0.00369
EC,ex4,5,5,4,4,6,0.00073
EC,ex5,3,3,3,4,4,0.00051
EC,non,6384,6426,6321,6442,6663,0.97516
ERC,ex2,.,.,1,1,1,0.1
ERC,non,5,6,6,5,5,0.9
FCAC,ex1,5,5,5,4,4,0.04894
FCAC,ex2,.,.,1,1,1,0.00638
FCAC,ex4,.,1,1,1,1,0.00851
FCAC,non,73,78,87,93,109,0.93617
FEDSO,ex1,7,6,4,4,5,0.0233
FEDSO,ex2,6,6,7,6,8,0.02957
FEDSO,ex4,3,2,1,2,.,0.00717
FEDSO,non,208,204,210,205,222,0.93996
FIN,ex1,79,71,69,69,66,0.09405
FIN,ex2,35,33,35,40,40,0.04862
FIN,ex3,25,21,24,26,26,0.03241
FIN,ex4,9,8,7,8,9,0.01089
FIN,ex5,7,8,7,7,8,0.00983
FIN,non,596,602,593,597,639,0.8042
FJA,ex1,4,3,4,2,4,0.05822
FJA,ex3,1,1,1,.,1,0.0137
FJA,ex4,.,.,1,.,.,0.00342
FJA,ex5,.,.,.,1,.,0.00342
FJA,non,53,50,53,56,57,0.92123
FO,ex1,141,132,127,127,135,0.01296
FO,ex2,37,33,37,45,48,0.00392
FO,ex3,29,35,39,37,38,0.00348
FO,ex4,9,8,11,10,11,0.00096
FO,ex5,2,2,2,.,1,0.00014
FO,non,9740,9648,9685,10011,10905,0.97855
FORDQ,ex1,7,8,7,9,6,0.02236
FORDQ,ex2,5,5,6,6,6,0.01692
FORDQ,ex3,.,2,2,1,1,0.00363
FORDQ,ex4,2,.,1,2,3,0.00483
FORDQ,non,334,316,317,318,291,0.95227
FTRAC,ex1,24,26,18,20,19,0.0586
FTRAC,ex2,4,3,4,4,4,0.01041
FTRAC,ex3,3,3,2,2,2,0.00657
FTRAC,non,316,323,350,352,347,0.92442
GG,ex1,8,7,7,6,6,0.04393
GG,ex2,1,2,2,2,2,0.01163
GG,ex3,3,3,3,3,2,0.01809
GG,non,143,144,154,138,138,0.92636
GSC,ex1,160,156,155,160,175,0.01279
GSC,ex2,112,127,128,131,135,0.01005
GSC,ex3,51,56,61,54,63,0.00452
GSC,ex4,10,13,9,13,12,0.0009
GSC,ex5,4,2,3,3,3,0.00024
GSC,non,11630,11738,11705,12533,13600,0.97149
H,ex1,103,93,93,80,87,0.00977
H,ex2,70,77,71,66,72,0.00763
H,ex3,36,32,31,30,33,0.00347
H,ex4,7,7,6,9,13,0.0009
H,ex5,2,3,4,3,2,0.0003
H,non,9123,8867,8984,9139,9532,0.97793
HRSD,ex1,296,307,311,324,353,0.01401
HRSD,ex2,73,66,64,67,73,0.00302
HRSD,ex3,63,73,67,69,76,0.00306
HRSD,ex4,10,12,13,14,18,0.00059
HRSD,ex5,8,6,5,5,5,0.00026
HRSD,non,20647,21243,21852,23250,24214,0.97906
IJC,ex2,1,1,1,1,1,0.03165
IJC,ex3,1,1,1,1,1,0.03165
IJC,non,29,30,30,30,29,0.93671
INAC,ex1,116,99,102,106,115,0.02264
INAC,ex2,37,42,39,37,36,0.00804
INAC,ex3,39,34,38,39,38,0.00791
INAC,ex4,5,2,5,4,5,0.00088
INAC,ex5,2,4,4,4,5,0.0008
INAC,non,4658,4503,4394,4518,4732,0.95973
IOG,ex1,5,3,4,6,6,0.05634
IOG,ex3,4,4,4,4,4,0.04695
IOG,ex4,1,1,1,1,1,0.01174
IOG,non,75,72,76,77,77,0.88498
IPC,ex1,8,11,10,10,10,0.03715
IPC,ex2,5,5,5,4,5,0.0182
IPC,ex3,2,2,2,2,2,0.00758
IPC,ex4,.,.,.,.,1,0.00076
IPC,non,246,264,242,245,238,0.93632
IRB,ex1,14,13,12,11,11,0.01213
IRB,ex2,9,7,7,7,9,0.00776
IRB,ex3,2,3,3,5,4,0.00338
IRB,ex4,1,1,1,1,2,0.00119
IRB,non,957,930,950,1007,1061,0.97554
ISC,ex1,104,104,103,107,118,0.02203
ISC,ex2,52,52,53,54,56,0.01097
ISC,ex3,34,36,37,39,45,0.00785
ISC,ex4,4,5,7,6,7,0.00119
ISC,ex5,4,2,3,5,6,0.00082
ISC,non,4520,4543,4573,4736,4914,0.95713
JJJ,non,1110,1144,1141,1128,1165,1
JUS,ex1,32,30,28,30,32,0.00675
JUS,ex2,10,10,15,11,13,0.00262
JUS,ex3,8,8,8,8,9,0.00182
JUS,ex4,1,1,.,1,2,0.00022
JUS,ex5,2,3,3,.,.,0.00036
JUS,non,4521,4424,4407,4411,4476,0.98822
LAC,ex1,14,14,13,10,15,0.01357
LAC,ex2,9,12,11,11,8,0.01049
LAC,ex3,4,4,3,.,2,0.00267
