"program_id","result_id"
"CI-BGE02","7296-2018"
"CI-BGE02","7297-2018"
"CI-BGE02","7298-2018"
"CI-BGE02","7299-2018"
"CI-BGE03","7296-2018"
"CI-BGE03","7297-2018"
"CI-BGE03","7298-2018"
"CI-BGE03","7299-2018"
"CI-BGE04","7296-2018"
"CI-BGE04","7297-2018"
"CI-BGE04","7298-2018"
"CI-BGE04","7299-2018"
"CI-BGE05","7296-2018"
"CI-BGE05","7297-2018"
"CI-BGE05","7298-2018"
"CI-BGE05","7299-2018"
"CI-BGE06","7296-2018"
"CI-BGE06","7297-2018"
"CI-BGE06","7298-2018"
"CI-BGE06","7299-2018"
"CI-BGE07","7297-2018"
"CI-BGE07","7298-2018"
"CI-BGE07","7299-2018"
"CI-BGF01","7300-2018"
"CI-BGF02","7301-2018"
"CICS-BWV01","7082-2018"
"CICS-BWV01","7083-2018"
"CIHR-BUI01","7378-2018"
"CIHR-BUI01","7379-2018"
"CIHR-BUI01","7380-2018"
"CIHR-BUI02","7378-2018"
"CIHR-BUI02","7379-2018"
"CIHR-BUI02","7380-2018"
"CIHR-BUI03","7378-2018"
"CIHR-BUI03","7379-2018"
"CIHR-BUI03","7380-2018"
"CNEDA-BNL01","7195-2018"
"CNEDA-BNL02","7196-2018"
"CNEDA-BNL03","7195-2018"
"CNEDA-BNL03","7196-2018"
"CNEDA-BNL03","7197-2018"
"CNEDA-BNL04","7197-2018"
"CPCC-BWX01","7136-2018"
"CPCC-BWX01","7137-2018"
"CPCC-BWX01","7138-2018"
"CPCC-BWX01","7139-2018"
"CPCC-BWX02","7136-2018"
"CPCC-BWX02","7137-2018"
"CPCC-BWX02","7138-2018"
"CPCC-BWX02","7139-2018"
"CRTC-BRT01","7465-2018"
"CRTC-BRT02","7466-2018"
"CRTC-BRT03","7467-2018"
"CSA-BLM01","7249-2018"
"CSA-BLM01","7250-2018"
"CSA-BLM01","7251-2018"
"CSA-BLM01","7252-2018"
"CSA-BLM02","7249-2018"
"CSA-BLM02","7250-2018"
"CSA-BLM02","7251-2018"
"CSA-BLM02","7252-2018"
"CSA-BLM03","7249-2018"
"CSA-BLM03","7250-2018"
"CSA-BLM03","7251-2018"
"CSA-BLM03","7252-2018"
"CSC-BUJ01","7215-2018"
"CSC-BUJ02","7215-2018"
"CSC-BUJ03","7215-2018"
"CSC-BUJ04","7216-2018"
"CSC-BUJ05","7216-2018"
"CSC-BUJ06","7215-2018"
"CSC-BUJ07","7216-2018"
"CSC-BUK01","7217-2018"
"CSC-BUK02","7217-2018"
"CSC-BUK03","7217-2018"
"CSC-BUK04","7217-2018"
"CSC-BUK05","7217-2018"
"CSC-BUK06","7217-2018"
"CSC-BUK07","7217-2018"
"CSC-BUK08","7217-2018"
"CSC-BUK09","7217-2018"
"CSC-BUK10","7217-2018"
"CSC-BUL01","7218-2018"
"CSC-BUL02","7218-2018"
"CSC-BUL03","7218-2018"
"CSC-BUL04","7218-2018"
"CTA-BTT01","7066-2018"
"CTA-BTT01","7067-2018"
"CTA-BTT01","7068-2018"
"CTA-BTT02","7066-2018"
"CTA-BTT02","7067-2018"
"CTA-BTT02","7068-2018"
"CTA-BTT03","7066-2018"
"CTA-BTT03","7067-2018"
"CTA-BTT03","7068-2018"
"CTAIB-BWA02","7063-2018"
"CTAIB-BWA02","7064-2018"
"CTAIB-BWA02","7065-2018"
"CTAIB-BWA03","7063-2018"
"CTAIB-BWA03","7064-2018"
"CTAIB-BWA03","7065-2018"
"CTAIB-BWA04","7063-2018"
"CTAIB-BWA04","7064-2018"
"CTAIB-BWA04","7065-2018"
"EA-BVB01","7087-2018"
"EA-BVB01","7088-2018"
