dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
CFIA,age55to59,729,733,716,711,747
CFIA,age60to64,260,274,284,309,318
CFIA,age65plus,81,83,83,85,91
CGC,age20to24,8,7,8,7,7
CGC,age25to29,40,18,20,22,28
CGC,age30to34,54,39,43,43,43
CGC,age35to39,73,54,53,52,58
CGC,age40to44,78,55,64,62,68
CGC,age45to49,86,61,50,47,59
CGC,age50to54,141,104,91,89,79
CGC,age55to59,92,53,54,57,64
CGC,age60to64,41,19,22,21,20
CGC,age65plus,12,3,3,3,9
CH,age20less,5,3,1,6,1
CH,age20to24,50,75,74,75,84
CH,age25to29,98,98,87,95,99
CH,age30to34,197,174,165,149,133
CH,age35to39,309,316,294,289,257
CH,age40to44,262,275,282,298,320
CH,age45to49,261,277,282,286,300
CH,age50to54,324,333,289,285,258
CH,age55to59,160,166,188,181,206
CH,age60to64,66,74,79,70,68
CH,age65plus,21,30,32,28,33
CHRC,age20less,1,.,2,1,1
CHRC,age20to24,7,11,7,8,13
CHRC,age25to29,18,15,13,16,6
CHRC,age30to34,26,19,23,26,19
CHRC,age35to39,27,27,30,25,25
CHRC,age40to44,22,22,28,31,37
CHRC,age45to49,42,35,27,20,15
CHRC,age50to54,34,30,33,37,34
CHRC,age55to59,22,24,27,25,23
CHRC,age60to64,12,12,8,9,12
CHRC,age65plus,4,4,6,7,6
CHRT,age25to29,3,3,.,.,.
CHRT,age30to34,2,3,.,.,.
CHRT,age35to39,5,2,.,.,.
CHRT,age40to44,2,3,.,.,.
CHRT,age45to49,5,4,.,.,.
CHRT,age50to54,3,4,.,.,.
CHRT,age55to59,1,.,.,.,.
CHRT,age60to64,.,1,.,.,.
CI,age20less,30,42,28,32,19
CI,age20to24,257,340,405,403,334
CI,age25to29,500,637,740,730,653
CI,age30to34,717,876,894,947,894
CI,age35to39,709,927,1046,1096,1097
CI,age40to44,635,788,837,885,954
CI,age45to49,652,762,755,831,830
CI,age50to54,656,761,783,787,794
CI,age55to59,436,487,534,529,537
CI,age60to64,202,246,272,260,260
CI,age65plus,56,61,91,87,93
CICS,age20to24,.,.,1,1,2
CICS,age25to29,3,5,3,1,1
CICS,age30to34,2,2,4,7,5
CICS,age35to39,.,.,.,.,1
CICS,age40to44,1,1,.,1,1
CICS,age45to49,2,2,2,3,3
CICS,age50to54,6,5,5,4,3
CICS,age55to59,4,4,4,1,2
CICS,age60to64,3,3,3,2,2
CICS,age65plus,2,2,1,2,2
CIHR,age20less,.,1,1,.,3
CIHR,age20to24,5,13,21,12,24
CIHR,age25to29,30,29,28,19,26
CIHR,age30to34,63,71,61,59,62
CIHR,age35to39,72,73,86,83,93
CIHR,age40to44,76,73,66,71,79
CIHR,age45to49,51,53,61,55,61
CIHR,age50to54,49,48,55,57,58
CIHR,age55to59,35,40,36,32,39
CIHR,age60to64,12,9,12,14,13
CIHR,age65plus,1,2,5,7,4
CIRB,age20to24,2,2,.,.,.
CIRB,age25to29,6,3,.,.,.
CIRB,age30to34,10,15,.,.,.
CIRB,age35to39,7,5,.,.,.
CIRB,age40to44,12,12,.,.,.
CIRB,age45to49,12,9,.,.,.
CIRB,age50to54,21,17,.,.,.
CIRB,age55to59,9,8,.,.,.
CIRB,age60to64,9,12,.,.,.
CIRB,age65plus,3,5,.,.,.
CITT,age20to24,3,6,.,.,.
CITT,age25to29,7,10,.,.,.
CITT,age30to34,10,7,.,.,.
CITT,age35to39,13,12,.,.,.
CITT,age40to44,16,16,.,.,.
CITT,age45to49,5,8,.,.,.
CITT,age50to54,9,7,.,.,.
CITT,age55to59,9,10,.,.,.
CITT,age60to64,1,.,.,.,.
CITT,age65plus,.,1,.,.,.
CNEDA,age20less,.,.,.,1,1
CNEDA,age20to24,.,.,2,4,1
CNEDA,age25to29,.,.,9,5,7
CNEDA,age30to34,.,.,8,7,12
CNEDA,age35to39,.,.,10,10,11
CNEDA,age40to44,.,.,10,12,11
CNEDA,age45to49,.,.,6,11,10
CNEDA,age50to54,.,.,12,11,7
CNEDA,age55to59,.,.,12,9,9
CNEDA,age60to64,.,.,5,7,9
CNEDA,age65plus,.,.,1,.,.
CPAC,age20less,.,.,.,1,.
CPAC,age25to29,2,1,1,1,.
CPAC,age30to34,2,1,2,2,.
CPAC,age35to39,.,2,2,2,.
CPAC,age40to44,2,2,1,1,.
CPAC,age45to49,2,3,4,4,.
CPAC,age50to54,5,3,4,3,.
CPAC,age55to59,.,1,2,2,.
CPAC,age60to64,3,1,1,1,.
CPAC,age65plus,.,3,2,2,.
CPCC,age20to24,.,.,1,3,3
CPCC,age25to29,3,2,3,7,6
CPCC,age30to34,.,1,1,1,1
CPCC,age35to39,.,.,1,2,1
CPCC,age40to44,1,2,2,2,4
CPCC,age45to49,1,1,1,5,4
CPCC,age50to54,1,1,2,5,6
CPCC,age55to59,3,3,2,2,1
CPCC,age60to64,.,1,1,1,.
CPCC,age65plus,.,.,.,1,1
CRTC,age20less,2,1,.,1,.
CRTC,age20to24,8,10,21,15,15
CRTC,age25to29,44,33,44,40,40
CRTC,age30to34,66,62,70,73,73
CRTC,age35to39,68,85,82,80,89
CRTC,age40to44,43,46,43,60,72
CRTC,age45to49,57,41,47,46,46
CRTC,age50to54,72,75,73,65,57
CRTC,age55to59,45,45,51,39,41
CRTC,age60to64,29,27,23,22,21
CRTC,age65plus,10,10,8,9,8
CSA,age20less,.,.,.,.,2
CSA,age20to24,24,11,14,16,38
CSA,age25to29,28,14,13,14,24
CSA,age30to34,50,46,44,40,42
CSA,age35to39,102,93,74,81,65
CSA,age40to44,104,107,97,98,101
CSA,age45to49,120,112,109,107,108
CSA,age50to54,120,117,109,108,107
CSA,age55to59,68,71,81,89,91
CSA,age60to64,29,33,35,38,48
CSA,age65plus,18,17,24,25,29
CSC,age20less,7,7,6,7,5
CSC,age20to24,392,367,286,248,270
CSC,age25to29,1726,1541,1372,1168,1038
CSC,age30to34,2375,2305,2182,2105,2007
CSC,age35to39,2905,2862,2702,2551,2553
CSC,age40to44,3164,3213,3222,3172,3055
CSC,age45to49,2853,2824,2779,2812,2976
CSC,age50to54,2536,2553,2553,2551,2539
CSC,age55to59,1697,1682,1642,1605,1669
CSC,age60to64,647,681,671,706,752
CSC,age65plus,199,224,224,247,245
CSEC,age20less,1,3,.,1,4
CSEC,age20to24,65,99,80,81,89
CSEC,age25to29,179,178,177,162,171
CSEC,age30to34,320,295,284,247,247
CSEC,age35to39,335,369,383,399,398
CSEC,age40to44,266,285,285,304,343
CSEC,age45to49,311,311,291,294,296
CSEC,age50to54,342,347,371,338,307
CSEC,age55to59,162,181,190,222,240
CSEC,age60to64,63,76,79,81,81
CSEC,age65plus,31,27,28,33,33
CTA,age20less,1,.,2,1,2
CTA,age20to24,13,.,9,10,9
CTA,age25to29,14,10,17,17,14
CTA,age30to34,28,25,24,20,18
CTA,age35to39,35,39,36,33,27
CTA,age40to44,30,26,31,37,44
CTA,age45to49,40,36,31,23,24
CTA,age50to54,42,37,42,48,39
CTA,age55to59,28,30,32,32,29
CTA,age60to64,7,13,13,16,15
CTA,age65plus,6,2,4,2,2
CTAIB,age20to24,1,1,2,3,2
CTAIB,age25to29,8,11,7,2,6
CTAIB,age30to34,10,12,7,9,9
CTAIB,age35to39,17,19,21,25,25
CTAIB,age40to44,25,22,25,24,23
CTAIB,age45to49,30,32,28,26,26
CTAIB,age50to54,45,49,59,58,47
CTAIB,age55to59,42,36,39,40,40
CTAIB,age60to64,17,18,21,25,27
CTAIB,age65plus,7,3,4,3,4
EA,age20less,10,4,3,1,8
EA,age20to24,343,146,170,181,214
EA,age25to29,793,441,391,365,396
EA,age30to34,1414,816,798,714,668
EA,age35to39,1465,971,965,960,939
EA,age40to44,1271,939,931,967,1057
EA,age45to49,1196,852,876,850,862
EA,age50to54,1143,839,798,804,833
EA,age55to59,754,617,620,606,635
EA,age60to64,356,298,303,323,324
EA,age65plus,119,104,118,119,125
EC,age20less,34,54,30,22,33
EC,age20to24,334,349,338,350,399
EC,age25to29,561,564,566,509,521
EC,age30to34,736,756,781,753,739
EC,age35to39,956,953,955,902,921
EC,age40to44,872,901,971,977,1010
EC,age45to49,954,950,897,878,874
EC,age50to54,986,1034,1029,1003,993
EC,age55to59,658,649,669,703,708
EC,age60to64,244,259,282,286,307
EC,age65plus,73,81,77,92,96
ERC,age30to34,1,1,1,1,.
ERC,age35to39,1,1,.,.,1
ERC,age40to44,1,1,2,1,1
ERC,age45to49,1,1,.,1,1
ERC,age50to54,1,.,2,3,1
ERC,age55to59,1,1,1,1,1
ERC,age60to64,.,.,.,.,1
FCAC,age20less,.,.,.,1,.
FCAC,age20to24,1,2,2,5,4
FCAC,age25to29,10,8,6,6,10
FCAC,age30to34,14,16,16,18,18
FCAC,age35to39,19,19,22,22,21
FCAC,age40to44,8,11,16,18,20
FCAC,age45to49,7,4,3,5,6
FCAC,age50to54,7,10,8,9,12
FCAC,age55to59,3,5,6,7,4
FCAC,age60to64,1,1,3,2,3
FCAC,age65plus,3,2,2,1,1
FEDSO,age20less,2,.,.,5,1
FEDSO,age20to24,9,12,5,9,9
FEDSO,age25to29,44,27,26,22,23
FEDSO,age30to34,42,40,43,35,33
FEDSO,age35to39,28,40,40,43,40
FEDSO,age40to44,24,22,25,29,33
FEDSO,age45to49,26,30,27,29,26
FEDSO,age50to54,24,32,30,24,24
FEDSO,age55to59,13,14,15,18,21
FEDSO,age60to64,6,6,5,5,3
FEDSO,age65plus,.,1,2,3,4
FIN,age20less,1,.,.,.,1
FIN,age20to24,14,10,15,16,19
FIN,age25to29,106,97,77,82,85
FIN,age30to34,134,141,145,128,120
FIN,age35to39,142,130,138,134,147
FIN,age40to44,100,100,113,116,116
FIN,age45to49,98,109,100,90,94
FIN,age50to54,95,87,80,86,83
FIN,age55to59,40,50,56,64,57
FIN,age60to64,21,20,12,11,18
FIN,age65plus,5,7,7,8,7
FJA,age20less,1,.,.,.,.
FJA,age20to24,.,1,1,.,2
FJA,age25to29,4,2,1,3,3
FJA,age30to34,12,4,5,3,6
FJA,age35to39,7,9,8,13,11
FJA,age40to44,10,7,6,8,10
FJA,age45to49,12,16,14,10,9
FJA,age50to54,9,7,6,7,12
FJA,age55to59,7,7,5,7,4
FJA,age60to64,3,3,7,7,2
FJA,age65plus,2,2,1,1,.
FO,age20less,32,28,22,28,55
FO,age20to24,306,311,356,318,371
FO,age25to29,722,641,623,674,741
FO,age30to34,1037,994,979,991,1051
FO,age35to39,1230,1201,1259,1279,1305
FO,age40to44,1316,1313,1265,1304,1383
FO,age45to49,1581,1421,1363,1346,1395
FO,age50to54,2052,2035,1922,1799,1685
FO,age55to59,1365,1340,1386,1425,1450
FO,age60to64,518,516,517,554,592
FO,age65plus,135,158,166,183,202
FORDQ,age20to24,17,18,15,11,11
FORDQ,age25to29,27,29,29,22,22
FORDQ,age30to34,30,24,21,26,30
FORDQ,age35to39,55,54,41,40,43
FORDQ,age40to44,39,47,44,47,52
