dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
FIN,ex2,34,35,33,35,40
FIN,ex3,23,25,21,24,26
FIN,ex4,9,9,8,7,8
FIN,ex5,7,7,8,7,7
FIN,non,601,596,602,593,597
FJA,ex1,3,4,3,4,2
FJA,ex3,1,1,1,1,.
FJA,ex4,.,.,.,1,.
FJA,ex5,.,.,.,.,1
FJA,non,63,53,50,53,56
FO,ex1,162,141,132,127,127
FO,ex2,36,37,33,37,45
FO,ex3,41,29,35,39,37
FO,ex4,10,9,8,11,10
FO,ex5,2,2,2,2,.
FO,non,10043,9740,9648,9685,10011
FORDQ,ex1,6,7,8,7,9
FORDQ,ex2,5,5,5,6,6
FORDQ,ex3,1,.,2,2,1
FORDQ,ex4,2,2,.,1,2
FORDQ,non,325,334,316,317,318
FTRAC,ex1,25,24,26,18,20
FTRAC,ex2,5,4,3,4,4
FTRAC,ex3,3,3,3,2,2
FTRAC,non,341,316,323,350,352
GG,ex1,8,8,7,7,6
GG,ex2,2,1,2,2,2
GG,ex3,3,3,3,3,3
GG,non,145,143,144,154,138
GSC,ex1,151,160,156,155,160
GSC,ex2,115,112,127,128,131
GSC,ex3,56,51,56,61,54
GSC,ex4,8,10,13,9,13
GSC,ex5,2,4,2,3,3
GSC,non,11812,11630,11738,11705,12533
H,ex1,99,103,93,93,80
H,ex2,65,70,77,71,66
H,ex3,36,36,32,31,30
H,ex4,7,7,7,6,9
H,ex5,3,2,3,4,3
H,non,9491,9123,8867,8984,9139
HMIRC,ex1,2,.,.,.,.
HMIRC,non,29,.,.,.,.
HRSD,ex1,307,296,307,311,324
HRSD,ex2,74,73,66,64,67
HRSD,ex3,64,63,73,67,69
HRSD,ex4,14,10,12,13,14
HRSD,ex5,7,8,6,5,5
HRSD,non,19580,20647,21243,21852,23250
IJC,ex2,1,1,1,1,1
IJC,ex3,1,1,1,1,1
IJC,non,30,29,30,30,30
INAC,ex1,120,116,99,102,106
INAC,ex2,42,37,42,39,37
INAC,ex3,38,39,34,38,39
INAC,ex4,5,5,2,5,4
INAC,ex5,3,2,4,4,4
INAC,non,4767,4658,4503,4394,4518
IOG,ex1,4,5,3,4,6
IOG,ex3,4,4,4,4,4
IOG,ex4,1,1,1,1,1
IOG,non,75,75,72,76,77
IPC,ex1,10,8,11,10,10
IPC,ex2,5,5,5,5,4
IPC,ex3,2,2,2,2,2
IPC,non,241,246,264,242,245
IRB,ex1,18,14,13,12,11
IRB,ex2,9,9,7,7,7
IRB,ex3,2,2,3,3,5
IRB,ex4,1,1,1,1,1
IRB,ex5,1,.,.,.,.
IRB,non,1003,957,930,950,1007
ISC,ex1,118,104,104,103,107
ISC,ex2,49,52,52,53,54
ISC,ex3,35,34,36,37,39
ISC,ex4,4,4,5,7,6
ISC,ex5,5,4,2,3,5
ISC,non,4571,4520,4543,4573,4736
JUS,ex1,36,32,30,28,30
JUS,ex2,10,10,10,15,11
JUS,ex3,8,8,8,8,8
JUS,ex4,3,1,1,.,1
JUS,ex5,.,2,3,3,.
JUS,non,4668,4521,4424,4407,4411
LAC,ex1,12,14,14,13,10
LAC,ex2,10,9,12,11,11
LAC,ex3,3,4,4,3,.
LAC,ex4,3,2,1,2,2
LAC,non,885,1014,995,909,907
MPCC,ex1,1,.,.,.,.
MPCC,ex3,.,1,2,2,1
MPCC,non,17,13,20,24,24
ND,ex1,89,79,81,87,86
ND,ex2,33,33,32,36,41
ND,ex3,30,27,29,31,27
ND,ex4,3,4,4,5,4
ND,ex5,6,5,5,6,6
ND,non,24778,22998,22460,22789,23014
NEB,ex1,15,14,17,18,15
NEB,ex2,2,2,1,4,6
NEB,ex3,12,13,14,16,18
NEB,ex4,2,2,3,3,3
NEB,ex5,1,.,1,1,1
NEB,non,377,404,411,427,413
NFB,ex1,4,6,6,3,2
NFB,ex2,18,19,20,18,19
NFB,ex3,1,.,.,2,4
NFB,ex4,5,6,6,4,4
NFB,ex5,1,1,1,1,1
NFB,non,437,388,361,361,341
NPB,ex1,6,7,6,5,5
NPB,ex2,7,6,6,6,7
NPB,ex3,1,1,1,1,1
NPB,non,440,445,454,435,435
NR,ex1,67,70,71,60,64
NR,ex2,35,34,34,40,42
NR,ex3,33,34,35,35,37
NR,ex4,8,10,6,6,5
NR,ex5,2,2,2,3,4
NR,non,4216,4081,4001,4047,4112
NRC,ex1,75,81,77,79,80
NRC,ex2,38,38,51,47,57
NRC,ex3,25,23,7,9,6
NRC,ex4,2,2,14,14,14
NRC,ex5,5,5,6,7,7
NRC,non,3380,3385,3463,3624,3700
NRTEE,non,3,.,.,.,.
NSERC,ex1,10,11,12,13,12
NSERC,ex2,6,4,4,4,5
NSERC,ex3,3,2,2,2,2
NSERC,ex4,3,3,3,2,2
NSERC,ex5,1,1,1,1,1
NSERC,non,384,388,396,422,420
OAG,ex1,91,86,85,84,92
OAG,ex2,1,.,.,.,.
OAG,ex3,49,45,43,44,42
OAG,ex4,5,5,3,1,1
OAG,ex5,12,11,12,9,7
OAG,non,453,434,428,450,475
OCI,ex1,3,3,3,4,4
OCI,ex3,1,1,1,1,2
OCI,non,29,36,31,32,30
OCOL,ex1,9,8,10,8,8
OCOL,ex3,4,3,3,3,3
OCOL,non,149,160,159,153,144
ODPP,ex1,3,5,5,3,5
ODPP,ex2,4,3,3,3,3
ODPP,non,947,961,960,964,982
OICC,ex1,15,14,15,16,12
OICC,ex2,7,6,8,6,8
OICC,ex3,3,3,4,5,5
OICC,ex4,3,2,4,4,3
OICC,non,280,263,323,320,301
OPSIC,ex1,.,1,1,1,1
OPSIC,ex2,1,1,1,.,.
OPSIC,ex3,1,1,1,1,1
OPSIC,non,29,25,22,24,22
ORL,ex1,2,2,2,3,2
ORL,ex2,1,1,1,1,.
ORL,non,23,23,24,22,22
OSFI,ex1,81,95,93,96,95
OSFI,ex2,25,23,27,26,27
OSFI,ex3,11,10,12,11,11
OSFI,ex4,7,7,6,4,2
OSFI,ex5,4,3,2,4,4
OSFI,non,510,546,560,526,549
PCA,ex1,6,7,6,3,3
PCA,ex2,39,40,44,44,43
PCA,ex3,16,13,13,18,15
PCA,ex4,5,7,8,7,6
PCA,ex5,6,6,8,6,4
PCA,non,2851,3102,3315,3808,3905
PCC,ex1,3,3,4,2,2
PCC,ex2,1,1,1,1,1
PCC,ex3,1,1,1,.,.
PCC,non,55,60,68,68,64
PCO,ex1,48,44,38,29,32
PCO,ex2,14,10,14,14,19
PCO,ex3,20,19,16,15,12
PCO,ex4,11,9,11,8,11
PCO,ex5,9,6,3,4,6
PCO,non,652,663,646,642,719
PHAC,ex1,39,34,34,38,37
PHAC,ex2,20,18,16,17,19
PHAC,ex3,14,15,14,17,17
PHAC,ex4,2,2,3,1,1
PHAC,non,2088,2106,2119,2150,2160
PMPRB,ex1,2,2,3,2,2
PMPRB,ex2,2,2,2,2,2
PMPRB,ex3,1,1,1,1,1
PMPRB,non,48,50,54,64,64
PSC,ex1,29,24,22,18,18
PSC,ex2,8,6,9,13,11
PSC,ex3,11,10,9,7,7
PSC,ex4,3,3,3,4,3
PSC,ex5,1,.,1,1,2
PSC,non,813,693,694,698,739
PSEP,ex1,61,54,50,41,39
PSEP,ex2,14,13,9,13,13
PSEP,ex3,15,16,14,13,15
PSEP,ex4,4,5,5,4,4
PSEP,ex5,2,2,1,1,1
PSEP,non,1016,967,899,1053,1077
PSSRB,ex1,3,2,.,.,.
PSSRB,ex2,2,2,.,.,.
PSSRB,ex3,1,1,.,.,.
PSSRB,non,90,86,.,.,.
PSST,ex1,3,1,.,.,.
PSST,ex3,1,1,.,.,.
PSST,non,28,29,.,.,.
RCMP,ex1,32,33,34,42,52
RCMP,ex2,10,9,14,12,14
RCMP,ex3,3,4,4,3,4
RCMP,ex4,1,1,.,1,1
RCMP,ex5,.,1,1,1,1
RCMP,non,5925,6017,6384,6512,6729
RPSDP,ex3,1,1,.,.,.
RPSDP,non,8,8,.,.,.
RSCT,ex3,1,1,.,.,.
RSCT,non,9,8,.,.,.
SC,ex1,9,9,12,14,18
SC,ex2,49,47,44,43,45
SC,ex3,18,18,18,16,18
SC,ex4,6,5,5,5,5
SC,non,6049,6427,6453,7340,6898
SCC,ex1,4,3,3,3,6
SCC,ex2,1,1,1,.,.
SCC,ex3,.,.,.,1,1
SCC,non,211,215,209,208,209
SHARE,ex1,33,37,40,38,40
SHARE,ex2,23,42,40,35,35
SHARE,ex3,30,30,26,24,27
SHARE,ex4,4,3,1,2,4
SHARE,ex5,2,4,3,2,1
SHARE,non,5207,5278,5126,5056,5150
SIRC,ex1,1,1,1,1,1
SIRC,ex4,1,1,1,1,1
SIRC,non,13,14,16,18,20
SSHRC,ex1,6,7,5,6,6
SSHRC,ex2,4,4,4,4,3
SSHRC,ex3,1,.,3,2,3
SSHRC,ex4,2,1,.,1,1
SSHRC,ex5,.,.,1,1,1
SSHRC,non,186,193,196,196,197
SWC,ex1,1,.,1,2,2
SWC,ex2,3,3,4,4,3
SWC,non,96,95,87,85,94
TBC,ex1,88,94,83,83,87
TBC,ex2,38,35,34,32,37
TBC,ex3,43,38,37,41,41
TBC,ex4,9,9,13,13,18
TBC,ex5,10,12,10,11,11
TBC,non,1672,1590,1584,1548,1647
TC,ex1,101,96,99,105,89
TC,ex2,46,45,46,47,48
TC,ex3,28,28,27,31,28
TC,ex4,1,2,3,3,3
TC,ex5,4,2,2,4,3
TC,non,4598,4598,5028,4964,4611
TRC,ex1,2,.,.,.,.
TRC,ex3,1,1,1,.,.
TRC,non,22,14,8,.,.
VAC,ex1,26,33,26,34,35
VAC,ex2,12,11,10,13,13
VAC,ex3,7,11,12,14,13
VAC,ex4,2,2,4,4,3
VAC,ex5,1,.,.,.,1
VAC,non,3554,3131,3122,3348,2744
VRAB,ex1,.,.,.,.,1
VRAB,ex3,.,.,.,.,1
VRAB,non,.,.,.,.,84
WDO,ex1,9,9,9,10,10
WDO,ex2,7,10,7,7,8
WDO,ex3,2,1,1,1,1
WDO,ex4,5,5,5,4,3
WDO,non,312,293,275,270,257
JJJ,non,1100,1110,1144,1141,1128
ZGOC,ex1,3448,3342,3272,3284,3303
ZGOC,ex2,1576,1582,1610,1631,1689
ZGOC,ex3,1125,1079,1076,1096,1086
ZGOC,ex4,272,262,279,269,271
ZGOC,ex5,139,132,123,134,131
ZGOC,non,256257,250741,250674,252565,256216
