dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
GSC,na,.,.,.,.,1
GSC,stu,191,198,259,282,389
GSC,ter,373,395,572,644,703
H,cas,401,394,257,340,273
H,ind,8585,8178,8104,8080,8355
H,stu,142,177,157,223,186
H,ter,573,592,561,546,513
HMIRC,cas,3,.,.,.,.
HMIRC,ind,22,.,.,.,.
HMIRC,stu,2,.,.,.,.
HMIRC,ter,4,.,.,.,.
HRSD,cas,530,790,1024,986,703
HRSD,ind,17404,17549,16953,16840,17613
HRSD,stu,245,349,553,538,458
HRSD,ter,1867,2409,3177,3948,4955
IJC,cas,2,3,.,2,3
IJC,ind,25,24,24,25,24
IJC,stu,2,2,2,1,2
IJC,ter,3,2,6,4,3
INAC,cas,85,224,258,278,244
INAC,ind,4368,4127,3902,3803,3990
INAC,stu,189,218,261,268,252
INAC,ter,333,288,263,233,222
IOG,cas,1,6,2,5,2
IOG,ind,77,77,74,71,75
IOG,stu,1,.,.,5,.
IOG,ter,5,2,4,4,11
IPC,cas,13,16,24,22,12
IPC,ind,233,232,244,220,225
IPC,stu,3,1,4,8,7
IPC,ter,9,12,10,9,17
IRB,cas,84,81,91,84,68
IRB,ind,825,781,714,718,759
IRB,stu,6,12,14,22,20
IRB,ter,119,109,135,149,184
ISC,cas,69,85,120,125,166
ISC,ind,4565,4457,4438,4406,4501
ISC,stu,49,79,80,139,142
ISC,ter,99,97,104,106,138
JUS,cas,66,126,132,125,97
JUS,ind,4328,4134,4055,4007,4012
JUS,stu,22,32,34,44,45
JUS,ter,309,282,255,285,307
LAC,cas,44,135,105,71,67
LAC,ind,802,776,776,744,765
LAC,stu,8,18,18,9,15
LAC,ter,59,114,127,114,83
MPCC,cas,2,1,2,1,1
MPCC,ind,14,11,19,22,22
MPCC,stu,.,.,.,1,.
MPCC,ter,2,2,1,2,2
ND,cas,991,821,913,1058,728
ND,ind,22838,21350,20849,20889,21305
ND,stu,200,204,180,304,376
ND,ter,910,771,669,703,769
NEB,cas,4,3,5,12,4
NEB,ind,381,399,403,417,422
NEB,stu,2,5,1,4,.
NEB,ter,22,28,38,36,30
NFB,ind,351,340,331,332,334
NFB,ter,115,80,63,57,37
NPB,cas,27,19,23,34,23
NPB,ind,345,357,349,335,356
NPB,stu,3,7,9,6,4
NPB,ter,79,76,86,72,65
NR,cas,231,272,298,290,233
NR,ind,3813,3634,3508,3506,3621
NR,stu,182,172,166,169,130
NR,ter,135,153,177,226,280
NRC,cas,.,.,.,1,.
NRC,ind,3011,3041,3067,3149,3236
NRC,na,.,.,.,.,3
NRC,stu,39,48,46,.,72
NRC,ter,475,445,505,630,553
NRTEE,ind,3,.,.,.,.
NSERC,ind,344,341,349,360,367
NSERC,stu,11,15,20,19,11
NSERC,ter,52,53,49,65,64
OAG,cas,1,3,1,3,.
OAG,ind,552,536,523,525,529
OAG,na,.,.,.,.,2
OAG,stu,9,9,15,23,30
OAG,ter,49,33,32,37,56
OCI,cas,1,1,1,2,1
OCI,ind,30,33,31,32,33
OCI,stu,1,5,2,2,2
OCI,ter,1,1,1,1,.
OCOL,cas,6,11,9,10,4
OCOL,ind,146,154,155,148,145
OCOL,stu,5,2,3,3,1
OCOL,ter,5,4,5,3,5
ODPP,cas,16,12,21,12,15
ODPP,ind,860,874,892,899,909
ODPP,stu,7,4,1,1,5
ODPP,ter,71,79,54,58,61
OICC,cas,5,12,19,21,21
OICC,ind,292,269,312,311,278
OICC,stu,6,4,16,14,17
OICC,ter,5,3,7,5,13
OPSIC,cas,2,.,.,2,.
OPSIC,ind,27,27,23,23,23
OPSIC,na,.,.,.,.,1
OPSIC,stu,1,.,.,.,.
OPSIC,ter,1,1,2,1,.
ORL,cas,.,.,1,1,.
ORL,ind,25,26,26,24,24
ORL,ter,1,.,.,1,.
OSFI,cas,10,9,10,9,8
OSFI,ind,600,639,659,628,646
OSFI,na,.,.,.,.,3
OSFI,stu,5,11,10,5,12
OSFI,ter,23,25,21,25,19
PCA,cas,.,.,35,78,60
PCA,ind,2607,2837,2954,3240,3305
PCA,stu,57,87,73,78,87
PCA,ter,259,251,332,490,524
PCC,cas,3,3,9,8,8
PCC,ind,50,52,52,51,50
PCC,stu,3,6,8,6,3
PCC,ter,4,4,5,6,6
PCO,cas,29,52,38,44,57
PCO,ind,704,659,655,637,655
PCO,stu,11,23,22,17,22
PCO,ter,10,17,13,14,65
PHAC,cas,75,103,92,107,92
PHAC,ind,1881,1831,1852,1883,1908
PHAC,stu,92,126,101,115,122
PHAC,ter,115,115,141,118,112
PMPRB,cas,1,3,6,3,1
PMPRB,ind,48,49,52,62,67
PMPRB,na,.,.,.,.,1
PMPRB,stu,.,1,1,.,.
PMPRB,ter,4,2,1,4,.
PSC,cas,23,13,30,32,26
PSC,ind,814,708,683,682,709
PSC,stu,14,9,17,20,30
PSC,ter,14,6,8,7,15
PSEP,cas,72,61,74,112,98
PSEP,ind,977,939,845,911,950
PSEP,stu,31,32,41,68,60
PSEP,ter,32,25,18,34,41
PSSRB,cas,3,7,.,.,.
PSSRB,ind,74,71,.,.,.
PSSRB,stu,4,1,.,.,.
PSSRB,ter,15,12,.,.,.
PSST,cas,1,.,.,.,.
PSST,ind,25,26,.,.,.
PSST,ter,6,5,.,.,.
RCMP,cas,95,173,174,184,141
RCMP,ind,5543,5616,5763,5837,6150
RCMP,stu,37,57,68,69,87
RCMP,ter,296,219,432,481,423
RPSDP,cas,.,1,.,.,.
RPSDP,ind,6,7,.,.,.
RPSDP,stu,3,1,.,.,.
RSCT,cas,1,.,.,.,.
RSCT,ind,9,9,.,.,.
SC,cas,51,115,114,229,191
SC,ind,4844,4727,4801,4792,4902
SC,stu,48,256,204,163,187
SC,ter,1188,1408,1413,2234,1704
SCC,cas,6,7,10,10,3
SCC,ind,165,168,150,153,162
SCC,stu,12,15,18,14,15
SCC,ter,33,29,35,35,36
SHARE,cas,151,168,148,196,267
SHARE,ind,4985,5010,4815,4638,4634
SHARE,stu,53,64,52,70,87
SHARE,ter,110,152,221,253,269
SIRC,ind,15,16,17,17,18
SIRC,stu,.,.,.,2,.
SIRC,ter,.,.,1,1,4
SSHRC,ind,169,159,163,166,172
SSHRC,stu,4,5,2,4,2
SSHRC,ter,26,41,44,40,37
SWC,cas,8,12,5,7,9
SWC,ind,84,77,83,78,84
SWC,stu,1,1,.,1,1
SWC,ter,7,8,4,5,5
TBC,cas,76,76,65,75,76
TBC,ind,1699,1618,1598,1570,1651
TBC,stu,49,50,58,37,54
TBC,ter,36,34,40,46,60
TC,cas,78,181,275,78,128
TC,ind,4546,4421,4746,4959,4522
TC,stu,67,87,91,39,62
TC,ter,87,82,93,78,70
TRC,cas,1,.,2,.,.
TRC,ind,13,4,4,.,.
TRC,ter,11,11,3,.,.
VAC,cas,155,150,205,337,157
VAC,ind,3133,2730,2604,2758,2382
VAC,stu,75,68,66,52,85
VAC,ter,239,240,299,266,185
VRAB,ind,.,.,.,.,66
VRAB,ter,.,.,.,.,20
WDO,cas,9,14,10,7,7
WDO,ind,301,274,254,250,246
WDO,stu,14,17,15,19,13
WDO,ter,11,13,18,16,13
JJJ,ind,1100,1110,1144,1141,1128
ZGOC,cas,6692,8002,8663,9251,7505
ZGOC,ind,230283,222721,219668,218544,222474
ZGOC,na,.,.,.,.,47
ZGOC,stu,4605,5189,5500,5712,6281
ZGOC,ter,21237,21226,23203,25472,26389
